# Tue Oct 10 15:00:23 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.013536453247070312e-02,-2.026560000000000058e-04,5.713700000000000261e-11,2.350807189941406250e-01,3.997109999999999830e-01,2.612310000000000050e-08
3.771238327026367188e-01,1.996419999999999861e-01,4.843370000000000409e-09,5.200593471527099609e-01,3.997370000000000090e-01,2.638150000000000035e-08
6.638605594635009766e-01,3.997160000000000157e-01,2.563780000000000012e-08,8.059356212615966797e-01,3.996750000000000025e-01,2.590939999999999906e-08
9.442234039306640625e-01,5.997679999999999678e-01,9.894219999999999774e-08,1.085158348083496094e+00,3.996680000000000232e-01,2.622670000000000085e-08
1.226221799850463867e+00,7.998920000000000474e-01,3.424520000000000015e-07,1.380058288574218750e+00,3.996799999999999797e-01,2.716579999999999898e-08
1.584256887435913086e+00,1.000000000000000000e+00,7.021019999999999695e-07,1.743109464645385742e+00,3.996899999999999897e-01,2.614319999999999881e-08
1.949741125106811523e+00,1.200010000000000021e+00,1.380550000000000064e-06,2.124011278152465820e+00,3.996609999999999885e-01,2.610400000000000002e-08
2.330354928970336914e+00,1.400109999999999966e+00,1.894189999999999943e-06,2.503207683563232422e+00,3.996680000000000232e-01,1.736910000000000033e-08
2.705751657485961914e+00,1.600049999999999972e+00,2.513409999999999793e-06,2.880695343017578125e+00,3.996609999999999885e-01,2.044950000000000057e-08
3.085856437683105469e+00,1.800270000000000037e+00,7.486670000000000269e-06,3.259599924087524414e+00,3.996299999999999852e-01,3.357029999999999852e-08
3.465134143829345703e+00,1.999859999999999971e+00,9.720199999999999533e-05,3.638891458511352539e+00,3.995750000000000135e-01,8.421500000000000335e-08
3.845811843872070312e+00,2.200029999999999930e+00,1.546130000000000052e-04,4.036679744720458984e+00,3.996009999999999840e-01,3.094109999999999904e-07
4.191570043563842773e+00,2.400090000000000057e+00,2.098980000000000019e-04,4.364393949508666992e+00,3.995730000000000115e-01,3.614930000000000196e-07
4.521137475967407227e+00,2.600190000000000001e+00,2.745359999999999749e-04,4.696102857589721680e+00,3.995900000000000007e-01,3.925080000000000098e-07
4.852877378463745117e+00,2.800349999999999895e+00,2.768429999999999784e-04,5.026401281356811523e+00,3.996179999999999732e-01,4.517149999999999920e-07
5.184451580047607422e+00,3.000449999999999839e+00,4.369479999999999914e-04,5.359338045120239258e+00,3.995440000000000103e-01,4.486680000000000045e-07
5.518248796463012695e+00,3.200559999999999850e+00,5.122349999999999907e-04,5.707177400588989258e+00,3.995420000000000083e-01,4.553710000000000083e-07
5.866051912307739258e+00,3.400669999999999860e+00,5.888840000000000220e-04,6.053942203521728516e+00,3.994969999999999910e-01,4.381809999999999980e-07
6.213127613067626953e+00,3.600769999999999804e+00,6.932460000000000098e-04,6.388750076293945312e+00,3.995299999999999963e-01,5.098199999999999952e-07
6.547697544097900391e+00,3.800570000000000004e+00,6.693940000000000220e-04,6.721933603286743164e+00,3.995819999999999927e-01,8.891859999999999526e-08
6.926815748214721680e+00,4.000639999999999752e+00,8.849430000000000143e-04,7.115707874298095703e+00,3.995279999999999943e-01,4.585229999999999826e-07
7.272544384002685547e+00,4.200739999999999696e+00,9.900550000000001016e-04,7.446520090103149414e+00,3.994369999999999865e-01,4.866730000000000328e-07
7.603429079055786133e+00,4.400730000000000253e+00,1.096970000000000063e-03,7.788323402404785156e+00,3.994420000000000193e-01,4.242930000000000261e-07
7.961224555969238281e+00,4.600830000000000197e+00,1.207460000000000044e-03,8.150123834609985352e+00,3.994440000000000213e-01,4.366439999999999757e-07
8.320962190628051758e+00,4.800959999999999894e+00,1.325449999999999936e-03,8.507855176925659180e+00,3.994510000000000005e-01,4.305209999999999943e-07
8.679815530776977539e+00,5.001019999999999577e+00,1.431790000000000059e-03,8.868670225143432617e+00,3.993920000000000248e-01,4.576630000000000132e-07
9.044605016708374023e+00,4.801960000000000228e+00,-5.100149999999999780e-06,9.204513788223266602e+00,3.994300000000000073e-01,4.514389999999999967e-07
9.362423658370971680e+00,4.600789999999999935e+00,1.193119999999999988e-03,9.555250644683837891e+00,3.994269999999999765e-01,3.963119999999999822e-07
9.727215051651000977e+00,4.400680000000000369e+00,1.083849999999999918e-03,9.915107011795043945e+00,3.994369999999999865e-01,4.486050000000000125e-07
1.008994269371032715e+01,4.200650000000000439e+00,9.740789999999999822e-04,1.026490855216979980e+01,3.994010000000000060e-01,4.503419999999999969e-07
1.042174386978149414e+01,4.000580000000000247e+00,8.720460000000000191e-04,1.059172081947326660e+01,3.994750000000000245e-01,4.873529999999999568e-07
