# Tue Oct 10 16:11:13 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-2.5, Npos=50, Nneg=50, pw=0.1, cycles=3, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.004118919372558594e-02,-1.621249999999999970e-04,-2.941470000000000183e-09,2.830839157104492188e-01,3.996419999999999972e-01,4.279620000000000201e-06
4.575750827789306641e-01,1.995869999999999866e-01,1.634949999999999906e-06,5.984914302825927734e-01,3.996319999999999872e-01,4.218000000000000103e-06
7.393374443054199219e-01,3.996179999999999732e-01,4.261899999999999802e-06,8.832538127899169922e-01,3.996250000000000080e-01,4.245889999999999594e-06
1.026247978210449219e+00,5.997350000000000181e-01,8.037590000000000069e-06,1.169582366943359375e+00,3.996319999999999872e-01,4.094920000000000089e-06
1.312029600143432617e+00,7.997469999999999857e-01,1.139880000000000003e-05,1.468994855880737305e+00,3.996089999999999920e-01,3.479230000000000060e-06
1.621834993362426758e+00,9.999989999999999712e-01,1.327810000000000082e-05,1.778818607330322266e+00,3.996250000000000080e-01,3.171249999999999919e-06
1.937949419021606445e+00,1.199940000000000007e+00,1.569699999999999896e-05,2.095636606216430664e+00,3.996350000000000180e-01,3.115249999999999947e-06
2.251546621322631836e+00,1.400020000000000042e+00,1.976249999999999925e-05,2.410456418991088867e+00,3.996589999999999865e-01,3.123200000000000015e-06
2.567364692687988281e+00,1.600070000000000103e+00,2.348979999999999997e-05,2.727275133132934570e+00,3.996469999999999745e-01,3.095069999999999828e-06
2.882186651229858398e+00,1.800219999999999931e+00,2.860079999999999898e-05,3.042272806167602539e+00,3.996210000000000040e-01,3.100499999999999791e-06
3.200005292892456055e+00,1.999980000000000091e+00,3.451680000000000129e-05,3.358913898468017578e+00,3.995850000000000235e-01,3.108989999999999942e-06
3.514826059341430664e+00,2.200000000000000178e+00,4.101369999999999663e-05,3.674733400344848633e+00,3.995699999999999807e-01,3.097389999999999918e-06
3.834565401077270508e+00,2.400059999999999860e+00,4.958930000000000309e-05,3.992552042007446289e+00,3.995250000000000190e-01,3.106860000000000015e-06
4.152462959289550781e+00,2.600150000000000183e+00,5.938899999999999670e-05,4.311295509338378906e+00,3.995179999999999843e-01,3.100039999999999799e-06
4.469280481338500977e+00,2.800269999999999815e+00,7.128229999999999343e-05,4.628189563751220703e+00,3.994869999999999810e-01,3.093479999999999984e-06
