# Tue Oct 10 17:28:58 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.202888488769531250e-02,-1.430509999999999963e-04,-3.661100000000000106e-09,2.835457324981689453e-01,3.995900000000000007e-01,1.043349999999999929e-05
4.553041458129882812e-01,1.995399999999999952e-01,2.709840000000000130e-06,6.112151145935058594e-01,3.996589999999999865e-01,1.035479999999999952e-05
7.700700759887695312e-01,3.996850000000000125e-01,1.029219999999999948e-05,9.110434055328369141e-01,3.996589999999999865e-01,1.032520000000000069e-05
1.052967071533203125e+00,5.997970000000000246e-01,2.459299999999999984e-05,1.194879531860351562e+00,3.994460000000000233e-01,9.959650000000000434e-06
1.354727506637573242e+00,7.996940000000000159e-01,4.314200000000000131e-05,1.510625839233398438e+00,3.995509999999999895e-01,8.594079999999999886e-06
1.668071985244750977e+00,9.998510000000000453e-01,6.066219999999999664e-05,1.824982404708862305e+00,3.995589999999999975e-01,7.388970000000000340e-06
1.980894565582275391e+00,1.199929999999999941e+00,8.488069999999999524e-05,2.136810541152954102e+00,3.995870000000000255e-01,6.112970000000000190e-06
2.292720079421997070e+00,1.400069999999999926e+00,1.133109999999999998e-04,2.464616537094116211e+00,3.995969999999999800e-01,5.726019999999999601e-06
2.623526811599731445e+00,1.600149999999999961e+00,1.468859999999999892e-04,2.795437812805175781e+00,3.995509999999999895e-01,5.592790000000000200e-06
2.952343702316284180e+00,1.800280000000000102e+00,1.740180000000000134e-04,3.127236604690551758e+00,3.996210000000000040e-01,4.926550000000000291e-06
3.287162780761718750e+00,2.000039999999999818e+00,2.029269999999999902e-04,3.459048748016357422e+00,3.995969999999999800e-01,4.302720000000000031e-06
3.614959716796875000e+00,2.200060000000000127e+00,2.291419999999999959e-04,3.783861160278320312e+00,3.995199999999999863e-01,3.639240000000000075e-06
3.940846443176269531e+00,2.400110000000000188e+00,2.338060000000000041e-04,4.111747264862060547e+00,3.995440000000000103e-01,2.644770000000000091e-06
4.271590709686279297e+00,2.600220000000000198e+00,2.412980000000000062e-04,4.441485404968261719e+00,3.995900000000000007e-01,2.295699999999999891e-06
4.600399255752563477e+00,2.800330000000000208e+00,2.334220000000000023e-04,4.773316383361816406e+00,3.995159999999999823e-01,1.657940000000000088e-06
4.931280851364135742e+00,3.000399999999999956e+00,2.585260000000000249e-04,5.104109048843383789e+00,3.994969999999999910e-01,2.421189999999999938e-06
5.262017250061035156e+00,3.200600000000000112e+00,3.317320000000000013e-04,5.435989141464233398e+00,3.994559999999999778e-01,3.604969999999999808e-06
5.593901634216308594e+00,3.400630000000000042e+00,3.735680000000000120e-04,5.768726587295532227e+00,3.994389999999999885e-01,3.473359999999999810e-06
5.928710460662841797e+00,3.600740000000000052e+00,4.143770000000000070e-04,6.102610826492309570e+00,3.993940000000000268e-01,7.437800000000000176e-06
6.259467124938964844e+00,3.800520000000000120e+00,5.167239999999999811e-04,6.433420896530151367e+00,3.993200000000000083e-01,9.053160000000000580e-06
6.589333295822143555e+00,4.000549999999999606e+00,6.347959999999999714e-04,6.760180234909057617e+00,3.994489999999999985e-01,1.301530000000000056e-05
6.916082143783569336e+00,4.200739999999999696e+00,7.015839999999999967e-04,7.073055744171142578e+00,3.994349999999999845e-01,1.372380000000000064e-05
7.231291532516479492e+00,4.400820000000000398e+00,7.673120000000000288e-04,7.390871763229370117e+00,3.993729999999999780e-01,1.207479999999999999e-05
7.550783395767211914e+00,4.601029999999999731e+00,7.971229999999999505e-04,7.710691213607788086e+00,3.994079999999999853e-01,1.258430000000000079e-05
7.866602659225463867e+00,4.801090000000000302e+00,8.629210000000000005e-04,8.025511503219604492e+00,3.994179999999999953e-01,1.152779999999999998e-05
