# Tue Oct 10 14:51:15 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-2, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=2001, Rth=32648.104959212164
3.674342632293701172e-01,4.000310000000000255e-01,1.259039999999999977e-06
6.980516910552978516e-01,4.000369999999999759e-01,1.271610000000000095e-06
1.030680179595947266e+00,4.000310000000000255e-01,1.298090000000000052e-06
1.361453056335449219e+00,4.000330000000000275e-01,1.287759999999999932e-06
1.692142486572265625e+00,4.000319999999999987e-01,1.285610000000000088e-06
2.024963378906250000e+00,4.000380000000000047e-01,1.281429999999999901e-06
2.359705448150634766e+00,4.000389999999999779e-01,1.284209999999999983e-06
2.691338539123535156e+00,4.000400000000000067e-01,1.250120000000000027e-06
3.024817228317260742e+00,4.000409999999999799e-01,1.264529999999999902e-06
3.357501029968261719e+00,4.000369999999999759e-01,1.242510000000000027e-06
3.690927743911743164e+00,4.000389999999999779e-01,1.247220000000000020e-06
4.020262002944946289e+00,4.000319999999999987e-01,1.273680000000000060e-06
4.353255987167358398e+00,4.000330000000000275e-01,1.265840000000000064e-06
4.684080600738525391e+00,4.000369999999999759e-01,1.212149999999999906e-06
5.009824514389038086e+00,4.000389999999999779e-01,1.268440000000000048e-06
5.338440418243408203e+00,4.000330000000000275e-01,1.219480000000000012e-06
5.666253805160522461e+00,4.000389999999999779e-01,1.226329999999999997e-06
5.994021415710449219e+00,4.000389999999999779e-01,1.209589999999999967e-06
6.320885419845581055e+00,4.000429999999999819e-01,1.271930000000000035e-06
6.650694370269775391e+00,4.000429999999999819e-01,1.200180000000000044e-06
6.982504129409790039e+00,4.000409999999999799e-01,1.164830000000000035e-06
7.315310239791870117e+00,4.000409999999999799e-01,1.171299999999999907e-06
7.646121025085449219e+00,4.000400000000000067e-01,1.199060000000000044e-06
7.979931592941284180e+00,4.000310000000000255e-01,1.161730000000000014e-06
8.329732418060302734e+00,4.000440000000000107e-01,1.194510000000000020e-06
8.662541866302490234e+00,4.000480000000000147e-01,1.174480000000000019e-06
8.994300842285156250e+00,4.000460000000000127e-01,1.160789999999999901e-06
9.329105138778686523e+00,4.000400000000000067e-01,1.154899999999999946e-06
9.661966085433959961e+00,4.000380000000000047e-01,1.193769999999999922e-06
9.992704868316650391e+00,4.000330000000000275e-01,1.176790000000000044e-06
1.032758545875549316e+01,4.000340000000000007e-01,1.163559999999999919e-06
1.066139650344848633e+01,4.000349999999999739e-01,1.185369999999999927e-06
1.099113178253173828e+01,4.000369999999999759e-01,1.154980000000000036e-06
1.132101917266845703e+01,4.000389999999999779e-01,1.167410000000000102e-06
1.165182828903198242e+01,4.000409999999999799e-01,1.141510000000000062e-06
1.198264503479003906e+01,4.000400000000000067e-01,1.166640000000000023e-06
1.230945444107055664e+01,4.000469999999999859e-01,1.118970000000000020e-06
1.264126467704772949e+01,4.000420000000000087e-01,1.138580000000000075e-06
1.297404026985168457e+01,4.000380000000000047e-01,1.157069999999999918e-06
1.330188918113708496e+01,4.000380000000000047e-01,1.142130000000000024e-06
1.363169884681701660e+01,4.000340000000000007e-01,1.146109999999999984e-06
1.396150946617126465e+01,4.000389999999999779e-01,1.171690000000000085e-06
1.429032158851623535e+01,4.000360000000000027e-01,1.135099999999999940e-06
1.462512993812561035e+01,4.000330000000000275e-01,1.145860000000000071e-06
1.495294308662414551e+01,4.000360000000000027e-01,1.139360000000000006e-06
1.528675198554992676e+01,4.000429999999999819e-01,1.129820000000000094e-06
1.561556410789489746e+01,4.000380000000000047e-01,1.122059999999999977e-06
1.594637465476989746e+01,4.000360000000000027e-01,1.117890000000000066e-06
1.627618598937988281e+01,4.000389999999999779e-01,1.158280000000000072e-06
1.660699820518493652e+01,4.000420000000000087e-01,1.119649999999999944e-06
1.693980717658996582e+01,4.000400000000000067e-01,1.143150000000000016e-06
1.727361702919006348e+01,4.000380000000000047e-01,1.110340000000000028e-06
1.760742545127868652e+01,4.000440000000000107e-01,1.099789999999999977e-06
1.793623852729797363e+01,4.000449999999999839e-01,1.072760000000000085e-06
1.826205062866210938e+01,4.000389999999999779e-01,1.096180000000000066e-06
1.859485983848571777e+01,4.000340000000000007e-01,1.085459999999999980e-06
1.892767024040222168e+01,4.000349999999999739e-01,1.100879999999999995e-06
1.926147890090942383e+01,4.000429999999999819e-01,1.061569999999999943e-06
1.959128999710083008e+01,4.000440000000000107e-01,1.062970000000000048e-06
1.992410016059875488e+01,4.000449999999999839e-01,1.070550000000000067e-06
2.025790929794311523e+01,4.000469999999999859e-01,1.042210000000000013e-06
2.059071683883666992e+01,4.000520000000000187e-01,1.045629999999999974e-06
2.092153000831604004e+01,4.000480000000000147e-01,1.024599999999999897e-06
2.125233888626098633e+01,4.000449999999999839e-01,1.060330000000000019e-06
2.158015298843383789e+01,4.000489999999999879e-01,1.026530000000000021e-06
2.191096210479736328e+01,4.000480000000000147e-01,1.032900000000000097e-06
2.223969817161560059e+01,4.000509999999999899e-01,1.018490000000000010e-06
2.257150840759277344e+01,4.000469999999999859e-01,1.077170000000000056e-06
2.290032124519348145e+01,4.000520000000000187e-01,1.017889999999999965e-06
2.324404907226562500e+01,4.000560000000000227e-01,1.036350000000000039e-06
2.357588386535644531e+01,4.000600000000000267e-01,1.040809999999999908e-06
2.390876841545104980e+01,4.000589999999999979e-01,1.012129999999999998e-06
2.423959302902221680e+01,4.000630000000000019e-01,1.054440000000000064e-06
2.457335233688354492e+01,4.000630000000000019e-01,1.045580000000000076e-06
2.490719819068908691e+01,4.000600000000000267e-01,1.060079999999999895e-06
