# Tue Oct 10 17:37:07 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3, Vmin=-2, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.897283554077148438e-02,-8.106229999999999805e-05,-6.281390000000000371e-09,2.801852226257324219e-01,3.996609999999999885e-01,9.561689999999999588e-06
4.538161754608154297e-01,1.198739999999999944e-01,2.456700000000000128e-06,5.977337360382080078e-01,3.996709999999999985e-01,9.578299999999999418e-06
7.396535873413085938e-01,2.398609999999999909e-01,5.178649999999999961e-06,8.825707435607910156e-01,3.996919999999999917e-01,9.537610000000000659e-06
1.025416135787963867e+00,3.597520000000000162e-01,8.379419999999999471e-06,1.167759656906127930e+00,3.996230000000000060e-01,9.554730000000000590e-06
1.308272123336791992e+00,4.798129999999999895e-01,1.198589999999999988e-05,1.466238260269165039e+00,3.995659999999999767e-01,9.457280000000000363e-06
1.623160362243652344e+00,5.997679999999999678e-01,1.608059999999999983e-05,1.782072544097900391e+00,3.996009999999999840e-01,9.420029999999999999e-06
1.940974235534667969e+00,7.196860000000000479e-01,2.069840000000000159e-05,2.100801706314086914e+00,3.995540000000000203e-01,9.350109999999999490e-06
2.258799552917480469e+00,8.397320000000000340e-01,2.548200000000000099e-05,2.416635036468505859e+00,3.995319999999999983e-01,9.359819999999999436e-06
2.575607299804687500e+00,9.600229999999999597e-01,3.019569999999999958e-05,2.734437942504882812e+00,3.995179999999999843e-01,9.288599999999999464e-06
2.892423868179321289e+00,1.079930000000000057e+00,3.538729999999999914e-05,3.051533222198486328e+00,3.995110000000000050e-01,9.320990000000000351e-06
3.207241296768188477e+00,1.199959999999999916e+00,4.122330000000000222e-05,3.366150379180908203e+00,3.995179999999999843e-01,9.260880000000000007e-06
3.524060487747192383e+00,1.319909999999999917e+00,4.724880000000000068e-05,3.681968450546264648e+00,3.995630000000000015e-01,9.292089999999999663e-06
3.839807033538818359e+00,1.439990000000000103e+00,5.393459999999999688e-05,3.999788761138916016e+00,3.995850000000000235e-01,9.330449999999999749e-06
4.157048940658569336e+00,1.559930000000000039e+00,6.115460000000000568e-05,4.315531015396118164e+00,3.996210000000000040e-01,9.315270000000000006e-06
4.474517583847045898e+00,1.679899999999999949e+00,6.869269999999999370e-05,4.633425474166870117e+00,3.995699999999999807e-01,9.346259999999999518e-06
4.791334390640258789e+00,1.800259999999999971e+00,7.808590000000000398e-05,4.949247598648071289e+00,3.996089999999999920e-01,9.517929999999999520e-06
5.106157064437866211e+00,1.920299999999999896e+00,8.708840000000000461e-05,5.264481544494628906e+00,3.995630000000000015e-01,9.462379999999999687e-06
5.419903993606567383e+00,2.040189999999999948e+00,9.715319999999999674e-05,5.578885078430175781e+00,3.995850000000000235e-01,9.615499999999999671e-06
5.736724376678466797e+00,2.160270000000000135e+00,1.080830000000000018e-04,5.911695241928100586e+00,3.995659999999999767e-01,9.603300000000000025e-06
6.069583177566528320e+00,2.280279999999999863e+00,1.202139999999999979e-04,6.241556406021118164e+00,3.995349999999999735e-01,9.638280000000000832e-06
6.400466203689575195e+00,2.400220000000000020e+00,1.324639999999999975e-04,6.575366735458374023e+00,3.995369999999999755e-01,9.667600000000000409e-06
6.732276201248168945e+00,2.520179999999999865e+00,1.459529999999999899e-04,6.907176256179809570e+00,3.995299999999999963e-01,9.509470000000000620e-06
7.064084529876708984e+00,2.640219999999999789e+00,1.611670000000000106e-04,7.237987756729125977e+00,3.995159999999999823e-01,9.529309999999999400e-06
7.394899845123291016e+00,2.760609999999999786e+00,1.757820000000000053e-04,7.569725036621093750e+00,3.995040000000000258e-01,9.668479999999999289e-06
7.727704763412475586e+00,2.880459999999999798e+00,1.927259999999999976e-04,7.902607440948486328e+00,3.995059999999999722e-01,9.679880000000000569e-06
8.062515735626220703e+00,3.000509999999999788e+00,2.090840000000000060e-04,8.234418153762817383e+00,3.995130000000000070e-01,9.735609999999999441e-06
8.393328428268432617e+00,2.880529999999999813e+00,1.924250000000000016e-04,8.566239595413208008e+00,3.995279999999999943e-01,9.669000000000000091e-06
