# Tue Oct 10 15:25:48 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.696487426757812500e-02,-2.384189999999999953e-04,-2.447659999999999830e-07,2.159507274627685547e-01,3.994989999999999930e-01,2.611560000000000183e-04
3.888545036315917969e-01,1.994799999999999907e-01,1.221600000000000095e-04,5.327692031860351562e-01,3.995440000000000103e-01,2.681410000000000065e-04
6.756875514984130859e-01,3.995079999999999742e-01,2.705049999999999859e-04,8.185303211212158203e-01,3.995589999999999975e-01,2.728140000000000209e-04
9.605252742767333984e-01,5.996540000000000203e-01,4.454300000000000230e-04,1.103369474411010742e+00,3.995659999999999767e-01,2.755309999999999747e-04
1.242471456527709961e+00,7.996919999999999584e-01,6.409430000000000465e-04,1.384281873703002930e+00,3.995509999999999895e-01,2.782770000000000057e-04
1.525201559066772461e+00,9.998010000000000508e-01,8.620840000000000490e-04,1.669120311737060547e+00,3.995870000000000255e-01,2.781330000000000152e-04
1.811040401458740234e+00,1.199880000000000058e+00,1.077580000000000074e-03,1.965950012207031250e+00,3.995779999999999887e-01,2.770679999999999974e-04
2.121862411499023438e+00,1.399920000000000053e+00,1.309320000000000102e-03,2.278773069381713867e+00,3.995659999999999767e-01,2.738290000000000103e-04
2.437680006027221680e+00,1.600000000000000089e+00,1.513140000000000058e-03,2.596515655517578125e+00,3.995850000000000235e-01,2.699520000000000066e-04
2.756508111953735352e+00,1.800159999999999982e+00,1.756540000000000011e-03,2.913408994674682617e+00,3.995560000000000223e-01,2.733120000000000016e-04
3.073319673538208008e+00,1.999910000000000077e+00,2.030989999999999879e-03,3.231532573699951172e+00,3.995389999999999775e-01,2.730920000000000071e-04
3.389136075973510742e+00,2.199980000000000047e+00,2.290379999999999847e-03,3.546050071716308594e+00,3.995420000000000083e-01,2.728219999999999842e-04
3.704957008361816406e+00,2.400020000000000042e+00,2.528509999999999872e-03,3.862811803817749023e+00,3.994920000000000138e-01,2.702560000000000227e-04
4.021701812744140625e+00,2.600130000000000052e+00,2.783170000000000175e-03,4.181686162948608398e+00,3.994889999999999830e-01,2.719089999999999745e-04
4.336643457412719727e+00,2.800209999999999866e+00,3.111350000000000140e-03,4.494507312774658203e+00,3.995420000000000083e-01,2.743779999999999808e-04
