# Tue Oct 10 17:48:06 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.003332138061523438e-02,-1.883510000000000132e-04,-3.776550000000000261e-11,2.819180488586425781e-01,3.997539999999999982e-01,6.531979999999999970e-07
4.398250579833984375e-01,1.996419999999999861e-01,1.378799999999999879e-07,5.844626426696777344e-01,3.997399999999999842e-01,6.133719999999999949e-07
7.256762981414794922e-01,3.997140000000000137e-01,6.160160000000000284e-07,8.676457405090332031e-01,3.997140000000000137e-01,6.135760000000000145e-07
1.010519981384277344e+00,5.998679999999999568e-01,1.695090000000000020e-06,1.170422077178955078e+00,3.996709999999999985e-01,5.994270000000000378e-07
1.328345537185668945e+00,7.998560000000000114e-01,3.614409999999999924e-06,1.487332105636596680e+00,3.996560000000000112e-01,5.763339999999999779e-07
1.646148920059204102e+00,9.999390000000000223e-01,5.884740000000000005e-06,1.805728435516357422e+00,3.997249999999999970e-01,4.475640000000000232e-07
1.962060928344726562e+00,1.200059999999999905e+00,7.006130000000000123e-06,2.120967388153076172e+00,3.997399999999999842e-01,3.015770000000000011e-07
2.277788639068603516e+00,1.400130000000000097e+00,7.451159999999999655e-06,2.435789823532104492e+00,3.997140000000000137e-01,2.184719999999999991e-07
2.595606565475463867e+00,1.600219999999999976e+00,8.587690000000000105e-06,2.753551483154296875e+00,3.997760000000000202e-01,1.565309999999999873e-07
2.912517786026000977e+00,1.800349999999999895e+00,9.985580000000000031e-06,3.072426080703735352e+00,3.997780000000000222e-01,1.387350000000000045e-07
3.230241537094116211e+00,2.000030000000000197e+00,1.177610000000000064e-05,3.405236005783081055e+00,3.998900000000000232e-01,1.490030000000000009e-07
3.564104318618774414e+00,2.199889999999999901e+00,1.486069999999999987e-05,3.739975690841674805e+00,3.998490000000000100e-01,1.474369999999999987e-07
3.898862600326538086e+00,2.400049999999999795e+00,1.972020000000000137e-05,4.072852134704589844e+00,3.998800000000000132e-01,1.426630000000000116e-07
4.229723453521728516e+00,2.600210000000000132e+00,2.601079999999999836e-05,4.402620792388916016e+00,3.998110000000000275e-01,1.464450000000000120e-07
4.562586545944213867e+00,2.800320000000000142e+00,3.572820000000000124e-05,4.736437082290649414e+00,3.997829999999999995e-01,1.495779999999999912e-07
4.897338628768920898e+00,3.000410000000000021e+00,4.846289999999999978e-05,5.069331169128417969e+00,3.998160000000000047e-01,1.499670000000000087e-07
5.228149890899658203e+00,3.200549999999999784e+00,6.735650000000000469e-05,5.403051376342773438e+00,3.997829999999999995e-01,1.603490000000000020e-07
5.561992883682250977e+00,3.400669999999999860e+00,9.357990000000000167e-05,5.738858461380004883e+00,3.997519999999999962e-01,1.678339999999999926e-07
5.896824836730957031e+00,3.600810000000000066e+00,1.297199999999999981e-04,6.071667432785034180e+00,3.996870000000000145e-01,1.716040000000000059e-07
6.229600429534912109e+00,3.800590000000000135e+00,1.828020000000000025e-04,6.401481866836547852e+00,3.996709999999999985e-01,1.730760000000000074e-07
6.559480667114257812e+00,4.000709999999999766e+00,2.558260000000000135e-04,6.737286329269409180e+00,3.995940000000000047e-01,1.766000000000000064e-07
6.893252372741699219e+00,4.200820000000000221e+00,3.647200000000000181e-04,7.070096492767333984e+00,3.996560000000000112e-01,2.018130000000000086e-07
7.228013753890991211e+00,4.400960000000000427e+00,5.160580000000000115e-04,7.402956962585449219e+00,3.995779999999999887e-01,2.199089999999999874e-07
7.561907291412353516e+00,4.601009999999999600e+00,7.384750000000000472e-04,7.735719919204711914e+00,3.995349999999999735e-01,2.462570000000000061e-07
7.892681360244750977e+00,4.801000000000000156e+00,1.068600000000000062e-03,8.082569360733032227e+00,3.994559999999999778e-01,2.765769999999999758e-07
8.257421016693115234e+00,5.001059999999999839e+00,1.529009999999999918e-03,8.448360681533813477e+00,3.994579999999999798e-01,3.009049999999999803e-07
8.625207901000976562e+00,4.800980000000000025e+00,1.175370000000000017e-03,8.814133167266845703e+00,3.995159999999999823e-01,3.251389999999999841e-07
8.990999460220336914e+00,4.600990000000000357e+00,8.625850000000000227e-04,9.165898084640502930e+00,3.994920000000000138e-01,3.282709999999999886e-07
9.320901870727539062e+00,4.400940000000000296e+00,6.231049999999999913e-04,9.497708797454833984e+00,3.995369999999999755e-01,3.716659999999999877e-07
9.652617931365966797e+00,4.200770000000000337e+00,4.496200000000000218e-04,9.838604211807250977e+00,3.995279999999999943e-01,3.831740000000000137e-07
9.994515657424926758e+00,4.000720000000000276e+00,3.266629999999999859e-04,1.016632437705993652e+01,3.995389999999999775e-01,3.906290000000000233e-07
1.032029438018798828e+01,3.800660000000000149e+00,2.382320000000000054e-04,1.049223756790161133e+01,3.996060000000000167e-01,3.919810000000000211e-07
1.065104818344116211e+01,3.600839999999999819e+00,1.735209999999999943e-04,1.082304310798645020e+01,3.995750000000000135e-01,3.609489999999999851e-07
1.098195147514343262e+01,3.400669999999999860e+00,1.281900000000000042e-04,1.115875864028930664e+01,3.996489999999999765e-01,3.526460000000000199e-07
1.131767678260803223e+01,3.200600000000000112e+00,9.465160000000000023e-05,1.149162268638610840e+01,3.996589999999999865e-01,3.420679999999999896e-07
1.165148401260375977e+01,3.000490000000000101e+00,7.044050000000000430e-05,1.182545781135559082e+01,3.997109999999999830e-01,3.343079999999999784e-07
1.198437976837158203e+01,2.800349999999999895e+00,5.195399999999999758e-05,1.215922069549560547e+01,3.996750000000000025e-01,3.323599999999999930e-07
1.231815314292907715e+01,2.600290000000000212e+00,3.843210000000000089e-05,1.249408650398254395e+01,3.996850000000000125e-01,3.357829999999999833e-07
1.265293836593627930e+01,2.400150000000000006e+00,2.831999999999999990e-05,1.282780408859252930e+01,3.996939999999999937e-01,3.323289999999999843e-07
1.298776388168334961e+01,2.200009999999999799e+00,2.073869999999999848e-05,1.315961217880249023e+01,3.997089999999999810e-01,3.241529999999999778e-07
1.331662511825561523e+01,1.999770000000000048e+00,1.497499999999999977e-05,1.349151587486267090e+01,3.997140000000000137e-01,3.198269999999999958e-07
1.364935612678527832e+01,1.800240000000000062e+00,1.069600000000000059e-05,1.382532501220703125e+01,3.997089999999999810e-01,3.219519999999999966e-07
1.398323488235473633e+01,1.600170000000000092e+00,7.483319999999999699e-06,1.414006090164184570e+01,3.997160000000000157e-01,3.240169999999999824e-07
1.429696273803710938e+01,1.400150000000000006e+00,5.131219999999999807e-06,1.445787334442138672e+01,3.997249999999999970e-01,3.233339999999999755e-07
1.461481642723083496e+01,1.200120000000000076e+00,3.385070000000000016e-06,1.477493190765380859e+01,3.997370000000000090e-01,3.236929999999999856e-07
1.493169283866882324e+01,9.999919999999999920e-01,2.152900000000000174e-06,1.509159946441650391e+01,3.997470000000000190e-01,3.229109999999999988e-07
1.526540732383728027e+01,7.999730000000000452e-01,1.293529999999999963e-06,1.542532086372375488e+01,3.998019999999999907e-01,3.199390000000000169e-07
1.558332133293151855e+01,5.998919999999999808e-01,6.952139999999999942e-07,1.572614479064941406e+01,3.997330000000000050e-01,3.148169999999999794e-07
1.587006282806396484e+01,3.997419999999999862e-01,3.120589999999999755e-07,1.601403784751892090e+01,3.997109999999999830e-01,3.162979999999999911e-07
1.615493607521057129e+01,1.996370000000000089e-01,1.006059999999999944e-07,1.630081772804260254e+01,3.997060000000000057e-01,3.111050000000000055e-07
1.645382308959960938e+01,-1.096730000000000052e-04,-2.345089999999999912e-10,1.665764784812927246e+01,3.997609999999999775e-01,3.489569999999999926e-07
1.681459832191467285e+01,-1.998520000000000019e-01,-1.089279999999999944e-07,1.695753431320190430e+01,3.996779999999999777e-01,3.103049999999999983e-07
1.710145235061645508e+01,-3.999449999999999950e-01,-3.317300000000000197e-07,1.724427819252014160e+01,3.997089999999999810e-01,3.067250000000000152e-07
1.738724827766418457e+01,-6.000490000000000546e-01,-7.115959999999999883e-07,1.753020977973937988e+01,3.997249999999999970e-01,3.084640000000000019e-07
1.767305636405944824e+01,-8.001570000000000071e-01,-1.328879999999999972e-06,1.783203649520874023e+01,3.997060000000000057e-01,3.077820000000000226e-07
1.799186611175537109e+01,-1.000299999999999967e+00,-2.294469999999999819e-06,1.814876294136047363e+01,3.997709999999999875e-01,3.170689999999999919e-07
1.830375313758850098e+01,-1.200369999999999937e+00,-5.392520000000000168e-06,1.846263623237609863e+01,3.997709999999999875e-01,3.031290000000000140e-07
1.862349128723144531e+01,-1.400039999999999951e+00,-1.537520000000000146e-05,1.879739141464233398e+01,3.998140000000000027e-01,3.004159999999999817e-07
1.895539093017578125e+01,-1.600079999999999947e+00,-3.224769999999999959e-05,1.913119935989379883e+01,3.998450000000000060e-01,2.738039999999999813e-07
1.929011654853820801e+01,-1.800170000000000048e+00,-5.516259999999999935e-05,1.946610045433044434e+01,3.998110000000000275e-01,2.642520000000000028e-07
1.962296819686889648e+01,-2.000220000000000109e+00,-8.514319999999999484e-05,1.979881548881530762e+01,3.998800000000000132e-01,2.353469999999999964e-07
1.995172762870788574e+01,-2.200369999999999937e+00,-1.257589999999999999e-04,2.012063026428222656e+01,3.998950000000000005e-01,2.390560000000000199e-07
2.027854132652282715e+01,-2.400469999999999882e+00,-1.827830000000000015e-04,2.046345663070678711e+01,3.998800000000000132e-01,2.267140000000000011e-07
2.061934614181518555e+01,-2.600560000000000205e+00,-2.674649999999999879e-04,2.078925156593322754e+01,3.999420000000000197e-01,2.267450000000000097e-07
2.094418263435363770e+01,-2.800300000000000011e+00,-3.986060000000000254e-04,2.111708235740661621e+01,3.999539999999999762e-01,1.932410000000000030e-07
2.127397465705871582e+01,-3.000410000000000021e+00,-6.022570000000000310e-04,2.144787502288818359e+01,4.000330000000000275e-01,1.811639999999999935e-07
2.160679984092712402e+01,-3.200530000000000097e+00,-9.076000000000000517e-04,2.178168368339538574e+01,3.999920000000000142e-01,1.779379999999999883e-07
2.193756055831909180e+01,-3.400619999999999976e+00,-2.090729999999999845e-03,2.212864661216735840e+01,3.999610000000000110e-01,2.355840000000000004e-07
2.230012607574462891e+01,-3.600600000000000023e+00,-3.831409999999999937e-03,2.249223971366882324e+01,3.999920000000000142e-01,3.972260000000000128e-07
2.266338324546813965e+01,-3.800670000000000215e+00,-4.932599999999999658e-03,2.285104060173034668e+01,3.999780000000000002e-01,5.382980000000000467e-07
2.302297592163085938e+01,-4.000479999999999592e+00,-6.395480000000000262e-03,2.321403574943542480e+01,4.000210000000000155e-01,6.460570000000000259e-07
2.339061021804809570e+01,-4.200689999999999813e+00,-1.224839999999999957e-02,2.359576797485351562e+01,4.000119999999999787e-01,7.927169999999999905e-07
2.377023506164550781e+01,-4.400730000000000253e+00,-1.588459999999999872e-02,2.397507429122924805e+01,4.000900000000000012e-01,9.029630000000000104e-07
2.414778614044189453e+01,-4.600830000000000197e+00,-2.059880000000000044e-02,2.435266685485839844e+01,4.000949999999999784e-01,9.719319999999999975e-07
2.452518153190612793e+01,-4.800919999999999632e+00,-2.430730000000000043e-02,2.473244643211364746e+01,4.001979999999999982e-01,1.103630000000000096e-06
2.489040875434875488e+01,-5.001030000000000086e+00,-2.832660000000000039e-02,2.507858562469482422e+01,4.001779999999999782e-01,1.476369999999999978e-06
2.523647379875183105e+01,-4.800939999999999763e+00,-2.669590000000000157e-02,2.542600655555725098e+01,4.001709999999999989e-01,1.448650000000000098e-06
2.558567786216735840e+01,-4.600839999999999819e+00,-2.492600000000000024e-02,2.577493572235107422e+01,4.001759999999999762e-01,1.551899999999999914e-06
2.593467330932617188e+01,-4.400710000000000122e+00,-2.306590000000000029e-02,2.612572145462036133e+01,4.000900000000000012e-01,1.494700000000000063e-06
