# Tue Oct 10 19:09:45 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=1.8, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=50, Rth=24883188.699787546
3.408799171447753906e-01,3.997589999999999755e-01,1.004859999999999940e-08
7.046723365783691406e-01,3.997950000000000115e-01,6.532239999999999768e-09
1.068464279174804688e+00,3.997829999999999995e-01,5.317640000000000261e-09
1.428167104721069336e+00,3.997729999999999895e-01,4.493109999999999594e-09
1.785304784774780273e+00,3.997609999999999775e-01,3.787760000000000163e-09
2.144770622253417969e+00,3.997680000000000122e-01,4.018400000000000103e-09
2.507546901702880859e+00,3.997660000000000102e-01,4.478280000000000380e-09
2.871412277221679688e+00,3.997990000000000155e-01,4.442680000000000214e-09
3.234205007553100586e+00,3.997919999999999807e-01,4.402329999999999624e-09
3.592000246047973633e+00,3.997950000000000115e-01,4.430469999999999901e-09
3.950794696807861328e+00,3.998019999999999907e-01,4.201520000000000190e-09
4.310264110565185547e+00,3.998110000000000275e-01,4.102489999999999964e-09
4.667346000671386719e+00,3.997299999999999742e-01,3.676469999999999816e-09
5.027104377746582031e+00,3.998229999999999840e-01,3.093179999999999859e-09
5.385957956314086914e+00,3.997330000000000050e-01,3.002849999999999820e-09
5.744712829589843750e+00,3.997660000000000102e-01,3.061259999999999828e-09
6.109642028808593750e+00,3.997180000000000177e-01,3.128269999999999993e-09
6.471435308456420898e+00,3.997870000000000035e-01,3.308699999999999958e-09
6.833228111267089844e+00,3.997709999999999875e-01,3.466609999999999881e-09
7.197020769119262695e+00,3.997800000000000242e-01,2.987590000000000020e-09
7.556815385818481445e+00,3.997970000000000135e-01,3.030559999999999924e-09
7.921606540679931641e+00,3.998180000000000067e-01,2.642140000000000143e-09
8.286285400390625000e+00,3.997760000000000202e-01,2.505910000000000087e-09
8.649135828018188477e+00,3.997539999999999982e-01,2.677939999999999957e-09
9.016093730926513672e+00,3.997490000000000210e-01,2.920020000000000014e-09
9.379905939102172852e+00,3.997419999999999862e-01,2.246209999999999836e-09
9.743319034576416016e+00,3.997829999999999995e-01,2.117959999999999994e-09
1.010176730155944824e+01,3.998369999999999980e-01,2.375340000000000195e-09
1.046316790580749512e+01,3.997280000000000277e-01,2.544090000000000052e-09
1.082729339599609375e+01,3.997780000000000222e-01,2.685240000000000128e-09
1.118997478485107422e+01,3.997640000000000082e-01,2.633199999999999965e-09
1.155329871177673340e+01,3.997229999999999950e-01,3.009609999999999909e-09
1.191602134704589844e+01,3.997450000000000170e-01,2.718970000000000176e-09
1.229512476921081543e+01,3.997800000000000242e-01,2.738959999999999814e-09
1.265946912765502930e+01,3.997660000000000102e-01,2.330459999999999829e-09
1.303681755065917969e+01,3.997760000000000202e-01,2.704240000000000166e-09
1.339589715003967285e+01,3.998059999999999947e-01,2.060009999999999796e-09
1.375523853302001953e+01,3.998110000000000275e-01,2.270329999999999955e-09
1.411220788955688477e+01,3.997660000000000102e-01,2.958099999999999949e-09
1.447079348564147949e+01,3.997660000000000102e-01,3.008430000000000126e-09
1.483046412467956543e+01,3.997970000000000135e-01,3.198479999999999898e-09
1.519325709342956543e+01,3.998470000000000080e-01,3.242639999999999878e-09
1.555904674530029297e+01,3.997950000000000115e-01,2.589890000000000039e-09
1.591984057426452637e+01,3.998519999999999852e-01,2.403349999999999978e-09
1.627955985069274902e+01,3.998800000000000132e-01,2.511429999999999877e-09
1.664278769493103027e+01,3.998490000000000100e-01,2.293560000000000091e-09
1.700414562225341797e+01,3.998470000000000080e-01,2.086599999999999805e-09
1.736693787574768066e+01,3.998209999999999820e-01,2.321030000000000204e-09
1.773161625862121582e+01,3.998369999999999980e-01,2.927230000000000034e-09
1.809407305717468262e+01,3.998419999999999752e-01,2.438030000000000110e-09
1.830133652687072754e+01,3.998090000000000255e-01,4.079020000000000251e-09
