# Tue Oct 10 19:11:58 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=2, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=50, Rth=24342371.493456624
3.439507484436035156e-01,3.998280000000000167e-01,6.704720000000000397e-09
7.240934371948242188e-01,3.998110000000000275e-01,4.652499999999999805e-09
1.087665557861328125e+00,3.998180000000000067e-01,4.442680000000000214e-09
1.451458454132080078e+00,3.998209999999999820e-01,5.450229999999999697e-09
1.814836502075195312e+00,3.998369999999999980e-01,5.717610000000000070e-09
2.177967309951782227e+00,3.997919999999999807e-01,4.538809999999999963e-09
2.545490264892578125e+00,3.997760000000000202e-01,5.105719999999999611e-09
2.908367395401000977e+00,3.997780000000000222e-01,3.607759999999999958e-09
3.274073600769042969e+00,3.998090000000000255e-01,4.145610000000000122e-09
3.635867834091186523e+00,3.997229999999999950e-01,4.677070000000000270e-09
3.995662212371826172e+00,3.997709999999999875e-01,3.990640000000000190e-09
4.352659463882446289e+00,3.998059999999999947e-01,4.305890000000000317e-09
4.712881088256835938e+00,3.998110000000000275e-01,4.373650000000000091e-09
5.080673217773437500e+00,3.997970000000000135e-01,4.129649999999999693e-09
5.442463159561157227e+00,3.998260000000000147e-01,3.824709999999999710e-09
5.805286407470703125e+00,3.997970000000000135e-01,3.890799999999999840e-09
6.167078018188476562e+00,3.998039999999999927e-01,4.132989999999999807e-09
6.523874998092651367e+00,3.997780000000000222e-01,3.882690000000000372e-09
6.884925603866577148e+00,3.997850000000000015e-01,5.003229999999999896e-09
7.243460416793823242e+00,3.997760000000000202e-01,5.096669999999999937e-09
7.600257635116577148e+00,3.998110000000000275e-01,4.262020000000000136e-09
7.964067935943603516e+00,3.997490000000000210e-01,5.153810000000000011e-09
8.330912590026855469e+00,3.997709999999999875e-01,4.316560000000000240e-09
8.696703910827636719e+00,3.997760000000000202e-01,3.151050000000000198e-09
9.059497356414794922e+00,3.997829999999999995e-01,4.169339999999999997e-09
9.425545930862426758e+00,3.998059999999999947e-01,4.973660000000000380e-09
9.788120508193969727e+00,3.998209999999999820e-01,4.895789999999999696e-09
1.014790797233581543e+01,3.997299999999999742e-01,4.749120000000000243e-09
1.050975918769836426e+01,3.997800000000000242e-01,5.067279999999999897e-09
1.087554049491882324e+01,3.997680000000000122e-01,5.850060000000000372e-09
1.123833131790161133e+01,3.997350000000000070e-01,5.247069999999999749e-09
1.160212564468383789e+01,3.997919999999999807e-01,6.852850000000000381e-09
1.196719694137573242e+01,3.997800000000000242e-01,6.250300000000000223e-09
1.234862327575683594e+01,3.997229999999999950e-01,4.680659999999999840e-09
1.271445202827453613e+01,3.996970000000000245e-01,4.930000000000000140e-09
1.307753872871398926e+01,3.997519999999999962e-01,4.878380000000000270e-09
1.343708372116088867e+01,3.996870000000000145e-01,5.017859999999999875e-09
1.379488396644592285e+01,3.997020000000000017e-01,4.686829999999999624e-09
1.415161180496215820e+01,3.996870000000000145e-01,3.929839999999999739e-09
1.451647162437438965e+01,3.996970000000000245e-01,4.339219999999999828e-09
1.487625145912170410e+01,3.997040000000000037e-01,4.354790000000000013e-09
1.524004316329956055e+01,3.997109999999999830e-01,4.581380000000000158e-09
1.560606884956359863e+01,3.997060000000000057e-01,4.659970000000000401e-09
1.597162580490112305e+01,3.996730000000000005e-01,4.154550000000000300e-09
1.633436608314514160e+01,3.996870000000000145e-01,4.171049999999999984e-09
1.669820904731750488e+01,3.997539999999999982e-01,4.503170000000000281e-09
1.705900406837463379e+01,3.997419999999999862e-01,4.270900000000000213e-09
1.741777157783508301e+01,3.996870000000000145e-01,4.308739999999999743e-09
1.777760624885559082e+01,3.997089999999999810e-01,4.261140000000000032e-09
1.814234304428100586e+01,3.997089999999999810e-01,4.489959999999999661e-09
1.834828042984008789e+01,3.996830000000000105e-01,6.109420000000000188e-09
