# Tue Oct 17 19:16:40 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.218194961547851562e-02,-1.266000000000000076e-05,8.356209999999999623e-10,2.805664539337158203e-01,4.000480000000000147e-01,3.721219999999999754e-07
4.382712841033935547e-01,1.999759999999999871e-01,5.301209999999999729e-08,6.412291526794433594e-01,4.000440000000000107e-01,3.716190000000000138e-07
7.977266311645507812e-01,4.000380000000000047e-01,3.154360000000000196e-07,9.400727748870849609e-01,4.000330000000000275e-01,3.168389999999999958e-07
1.080967426300048828e+00,6.000640000000000418e-01,1.065580000000000096e-06,1.237825632095336914e+00,4.000349999999999739e-01,3.366959999999999863e-07
1.394657850265502930e+00,8.000859999999999639e-01,2.620270000000000156e-06,1.550348043441772461e+00,4.000340000000000007e-01,3.324189999999999805e-07
1.737844228744506836e+00,1.000080000000000080e+00,5.285099999999999594e-06,1.893986701965332031e+00,4.000340000000000007e-01,3.223090000000000044e-07
2.049194574356079102e+00,1.200069999999999970e+00,9.931879999999999173e-06,2.205722808837890625e+00,4.000319999999999987e-01,3.201219999999999862e-07
2.363111734390258789e+00,1.400050000000000017e+00,1.763370000000000025e-05,2.519080877304077148e+00,4.000310000000000255e-01,3.387729999999999856e-07
2.674612045288085938e+00,1.600019999999999998e+00,3.261119999999999704e-05,2.830785512924194336e+00,4.000340000000000007e-01,3.341549999999999902e-07
2.989120721817016602e+00,1.800010000000000110e+00,6.909100000000000647e-05,3.145547389984130859e+00,4.000369999999999759e-01,3.538759999999999853e-07
3.302836656570434570e+00,1.999980000000000091e+00,2.011199999999999989e-04,3.475706338882446289e+00,4.000360000000000027e-01,4.177789999999999984e-07
3.633726119995117188e+00,2.200009999999999799e+00,4.881999999999999946e-04,3.805716276168823242e+00,4.000310000000000255e-01,5.423520000000000379e-07
3.964019298553466797e+00,2.400110000000000188e+00,8.854219999999999669e-04,4.134579658508300781e+00,4.000259999999999927e-01,7.290699999999999500e-07
4.289572477340698242e+00,2.600159999999999805e+00,1.363889999999999981e-03,4.477282524108886719e+00,4.000279999999999947e-01,8.980289999999999742e-07
4.633326768875122070e+00,2.800240000000000062e+00,1.890280000000000042e-03,4.819119691848754883e+00,4.000259999999999927e-01,1.055209999999999931e-06
