# Tue Oct 17 19:03:17 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=3.6000000000000014, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=58, ratioRth=0.2, Rth=7649513.074014464
3.550593852996826172e-01,4.000290000000000235e-01,3.851219999999999859e-09
7.441115379333496094e-01,4.000330000000000275e-01,1.105150000000000056e-09
1.134146213531494141e+00,4.000310000000000255e-01,6.220560000000000282e-09
1.523569107055664062e+00,4.000369999999999759e-01,8.104919999999999760e-10
1.911631345748901367e+00,4.000310000000000255e-01,2.288200000000000019e-09
2.302187919616699219e+00,4.000349999999999739e-01,7.353309999999999912e-10
2.680659294128417969e+00,4.000299999999999967e-01,2.878069999999999864e-10
3.070960760116577148e+00,4.000279999999999947e-01,2.433340000000000202e-09
3.461657762527465820e+00,4.000259999999999927e-01,6.470460000000000091e-07
3.790293216705322266e+00,4.000170000000000115e-01,9.066779999999999612e-07
4.118672847747802734e+00,4.000210000000000155e-01,7.665010000000000157e-07
4.465548992156982422e+00,4.000380000000000047e-01,9.757499999999999328e-07
4.841625452041625977e+00,4.000230000000000175e-01,1.091619999999999977e-06
5.170698404312133789e+00,4.000159999999999827e-01,1.313089999999999908e-06
5.497880220413208008e+00,4.000190000000000135e-01,1.312729999999999923e-06
5.826109409332275391e+00,4.000270000000000215e-01,1.423219999999999902e-06
6.156196355819702148e+00,4.000239999999999907e-01,1.492650000000000015e-06
6.486118793487548828e+00,4.000239999999999907e-01,1.591790000000000094e-06
6.814035654067993164e+00,4.000190000000000135e-01,1.559879999999999963e-06
7.142699718475341797e+00,4.000239999999999907e-01,1.588999999999999948e-06
7.473356246948242188e+00,4.000310000000000255e-01,1.694619999999999964e-06
7.801603555679321289e+00,4.000250000000000195e-01,1.647309999999999946e-06
8.129493713378906250e+00,4.000219999999999887e-01,1.709890000000000073e-06
8.458306312561035156e+00,4.000279999999999947e-01,1.708600000000000040e-06
8.800300598144531250e+00,4.000230000000000175e-01,1.832589999999999974e-06
9.128194570541381836e+00,4.000250000000000195e-01,2.007110000000000084e-06
9.458590030670166016e+00,4.000259999999999927e-01,1.840710000000000076e-06
9.786963939666748047e+00,4.000250000000000195e-01,1.896910000000000063e-06
1.011741113662719727e+01,4.000239999999999907e-01,2.048540000000000210e-06
1.044798350334167480e+01,4.000179999999999847e-01,2.172490000000000099e-06
1.077519679069519043e+01,4.000170000000000115e-01,2.426640000000000029e-06
1.110502982139587402e+01,4.000250000000000195e-01,2.417339999999999966e-06
1.143426370620727539e+01,4.000210000000000155e-01,2.407959999999999812e-06
1.176070451736450195e+01,4.000170000000000115e-01,2.555460000000000094e-06
1.208784055709838867e+01,4.000150000000000095e-01,2.520280000000000119e-06
1.241540718078613281e+01,4.000170000000000115e-01,2.687410000000000160e-06
1.274253201484680176e+01,4.000179999999999847e-01,2.704019999999999989e-06
1.307168626785278320e+01,4.000199999999999867e-01,2.741299999999999910e-06
1.340064215660095215e+01,4.000219999999999887e-01,2.768469999999999855e-06
1.372570919990539551e+01,4.000210000000000155e-01,2.758890000000000109e-06
1.405405664443969727e+01,4.000250000000000195e-01,2.905120000000000063e-06
1.439663887023925781e+01,4.000130000000000075e-01,2.849210000000000034e-06
1.472274756431579590e+01,4.000110000000000054e-01,2.876780000000000009e-06
1.505405831336975098e+01,4.000150000000000095e-01,2.969590000000000057e-06
1.538230180740356445e+01,4.000079999999999747e-01,3.135060000000000016e-06
1.570373725891113281e+01,4.000090000000000034e-01,3.413240000000000036e-06
1.602919340133666992e+01,4.000090000000000034e-01,3.264209999999999872e-06
1.635345172882080078e+01,4.000070000000000014e-01,3.409960000000000129e-06
1.668370342254638672e+01,4.000070000000000014e-01,3.528949999999999899e-06
1.701293635368347168e+01,4.000150000000000095e-01,3.469210000000000027e-06
1.734070611000061035e+01,4.000049999999999994e-01,3.733860000000000111e-06
1.766768980026245117e+01,4.000079999999999747e-01,3.474039999999999945e-06
1.799608349800109863e+01,4.000009999999999954e-01,3.493990000000000068e-06
1.832611036300659180e+01,4.000070000000000014e-01,3.558119999999999994e-06
1.865963006019592285e+01,4.000090000000000034e-01,3.502409999999999980e-06
1.898540568351745605e+01,4.000079999999999747e-01,3.470139999999999864e-06
1.931431317329406738e+01,4.000029999999999974e-01,3.642630000000000054e-06
1.964281129837036133e+01,4.000079999999999747e-01,3.748319999999999884e-06
1.980033993721008301e+01,4.000250000000000195e-01,3.104949999999999808e-06
