# Tue Oct 17 17:35:28 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=3, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=1204, ratioRth=0.2, Rth=4086571.64079728
3.691768646240234375e-01,4.000190000000000135e-01,3.193549999999999999e-09
7.450616359710693359e-01,4.000310000000000255e-01,1.376080000000000071e-09
1.132960796356201172e+00,4.000150000000000095e-01,2.925779999999999796e-09
1.525099754333496094e+00,4.000270000000000215e-01,2.008429999999999857e-09
1.899133205413818359e+00,4.000250000000000195e-01,2.940129999999999855e-09
2.286208152770996094e+00,4.000219999999999887e-01,1.124120000000000043e-09
2.679551839828491211e+00,4.000219999999999887e-01,3.518680000000000096e-09
3.075964689254760742e+00,4.000170000000000115e-01,3.635780000000000032e-09
3.451659202575683594e+00,4.000190000000000135e-01,3.054319999999999850e-09
3.842056751251220703e+00,4.000259999999999927e-01,1.873589999999999938e-09
4.229341268539428711e+00,4.000199999999999867e-01,1.156629999999999965e-09
4.603949069976806641e+00,4.000219999999999887e-01,1.400849999999999976e-09
5.006014108657836914e+00,4.000239999999999907e-01,1.020409999999999995e-09
5.397553920745849609e+00,4.000139999999999807e-01,3.267100000000000019e-09
5.791455507278442383e+00,4.000119999999999787e-01,1.665500000000000091e-09
6.178511857986450195e+00,4.000150000000000095e-01,2.690349999999999917e-09
6.567466974258422852e+00,4.000270000000000215e-01,7.317900000000000134e-10
6.957926988601684570e+00,4.000230000000000175e-01,2.713950000000000125e-09
7.348554134368896484e+00,4.000230000000000175e-01,1.004240000000000039e-09
7.738397598266601562e+00,4.000230000000000175e-01,2.528149999999999795e-09
8.114061117172241211e+00,4.000199999999999867e-01,2.410949999999999827e-09
8.506094932556152344e+00,4.000330000000000275e-01,9.923459999999999562e-10
8.894779682159423828e+00,4.000239999999999907e-01,2.622660000000000123e-09
9.268859863281250000e+00,4.000239999999999907e-01,8.537050000000000003e-10
9.657552242279052734e+00,4.000279999999999947e-01,2.764670000000000132e-09
1.003376245498657227e+01,4.000239999999999907e-01,2.132699999999999883e-09
1.040788125991821289e+01,4.000290000000000235e-01,1.052879999999999987e-09
1.079749512672424316e+01,4.000239999999999907e-01,2.979839999999999917e-09
1.119005036354064941e+01,4.000190000000000135e-01,1.556689999999999926e-09
1.156601691246032715e+01,4.000330000000000275e-01,1.284640000000000022e-09
1.195591330528259277e+01,4.000239999999999907e-01,2.788290000000000098e-09
1.234720182418823242e+01,4.000330000000000275e-01,1.189470000000000029e-09
1.273755192756652832e+01,4.000279999999999947e-01,2.612100000000000110e-09
1.311243748664855957e+01,4.000230000000000175e-01,1.739640000000000002e-09
1.350262904167175293e+01,4.000340000000000007e-01,2.251720000000000161e-09
1.389231252670288086e+01,4.000420000000000087e-01,1.711449999999999916e-09
1.429635691642761230e+01,4.000389999999999779e-01,2.766720000000000140e-09
1.468796563148498535e+01,4.000409999999999799e-01,1.756429999999999900e-09
1.507763528823852539e+01,4.000340000000000007e-01,4.685989999999999862e-09
1.546575760841369629e+01,4.000360000000000027e-01,1.912279999999999935e-09
1.585505819320678711e+01,4.000319999999999987e-01,5.391779999999999759e-09
1.624399304389953613e+01,4.000369999999999759e-01,2.993460000000000125e-09
1.661921262741088867e+01,4.000360000000000027e-01,6.019310000000000382e-09
1.701028490066528320e+01,4.000290000000000235e-01,3.511239999999999964e-09
1.739821910858154297e+01,4.000340000000000007e-01,4.739960000000000246e-09
1.778750920295715332e+01,4.000319999999999987e-01,1.861799999999999919e-09
1.817819023132324219e+01,4.000340000000000007e-01,3.568149999999999926e-09
1.856894159317016602e+01,4.000279999999999947e-01,1.383589999999999975e-09
1.894400739669799805e+01,4.000389999999999779e-01,1.170210000000000036e-09
1.933233380317687988e+01,4.000319999999999987e-01,2.088210000000000175e-09
1.972054409980773926e+01,4.000389999999999779e-01,2.569450000000000055e-09
2.011527991294860840e+01,4.000340000000000007e-01,3.005090000000000011e-09
2.049207997322082520e+01,4.000299999999999967e-01,4.047809999999999901e-09
2.086852860450744629e+01,4.000330000000000275e-01,1.344190000000000091e-09
2.124565100669860840e+01,4.000389999999999779e-01,7.982729999999999999e-10
2.163872385025024414e+01,4.000349999999999739e-01,2.856310000000000035e-09
2.201889538764953613e+01,4.000420000000000087e-01,2.285479999999999846e-09
2.239773297309875488e+01,4.000349999999999739e-01,2.607210000000000140e-09
2.277459621429443359e+01,4.000259999999999927e-01,2.813569999999999829e-09
2.315326929092407227e+01,4.000279999999999947e-01,2.705990000000000082e-09
2.354403901100158691e+01,4.000319999999999987e-01,1.117300000000000060e-09
2.393167519569396973e+01,4.000279999999999947e-01,4.363250000000000210e-09
2.432381415367126465e+01,4.000330000000000275e-01,1.267489999999999932e-09
2.471770930290222168e+01,4.000330000000000275e-01,3.762709999999999717e-09
2.510908555984497070e+01,4.000270000000000215e-01,1.628239999999999953e-09
2.550388789176940918e+01,4.000340000000000007e-01,1.566710000000000063e-09
2.588002705574035645e+01,4.000360000000000027e-01,2.573170000000000121e-09
2.625537157058715820e+01,4.000279999999999947e-01,3.134140000000000098e-09
2.662973141670227051e+01,4.000270000000000215e-01,3.054740000000000145e-09
2.700843739509582520e+01,4.000259999999999927e-01,2.063699999999999812e-09
2.738272356986999512e+01,4.000319999999999987e-01,4.245079999999999986e-09
2.775629758834838867e+01,4.000299999999999967e-01,3.713069999999999876e-09
2.812946414947509766e+01,4.000279999999999947e-01,2.067729999999999848e-09
2.850678944587707520e+01,4.000270000000000215e-01,1.085050000000000094e-09
2.888059425354003906e+01,4.000299999999999967e-01,2.797539999999999833e-09
2.926987862586975098e+01,4.000199999999999867e-01,4.489349999999999598e-09
2.964718532562255859e+01,4.000170000000000115e-01,1.388139999999999923e-09
3.002487277984619141e+01,4.000250000000000195e-01,1.510259999999999911e-09
3.040123987197875977e+01,4.000290000000000235e-01,1.825549999999999967e-09
3.077852416038513184e+01,4.000310000000000255e-01,3.009520000000000171e-09
3.115403771400451660e+01,4.000210000000000155e-01,3.466369999999999891e-09
3.152846837043762207e+01,4.000150000000000095e-01,2.149190000000000103e-09
3.190252113342285156e+01,4.000219999999999887e-01,1.077330000000000042e-09
3.228046321868896484e+01,4.000230000000000175e-01,1.224649999999999902e-09
3.265290451049804688e+01,4.000150000000000095e-01,2.734719999999999837e-09
3.302694511413574219e+01,4.000150000000000095e-01,1.231440000000000041e-09
3.340096521377563477e+01,4.000230000000000175e-01,1.193439999999999965e-09
3.377645182609558105e+01,4.000259999999999927e-01,2.241079999999999875e-09
3.415280866622924805e+01,4.000179999999999847e-01,2.572040000000000147e-09
3.452679347991943359e+01,4.000230000000000175e-01,1.384069999999999957e-09
3.490351057052612305e+01,4.000230000000000175e-01,7.501720000000000230e-10
3.527645206451416016e+01,4.000259999999999927e-01,2.007460000000000014e-09
3.565659832954406738e+01,4.000270000000000215e-01,2.757879999999999993e-09
3.603263568878173828e+01,4.000139999999999807e-01,6.012649999999999911e-09
3.640648150444030762e+01,4.000139999999999807e-01,5.704769999999999936e-09
3.677755546569824219e+01,4.000299999999999967e-01,7.639159999999999499e-09
3.715311336517333984e+01,4.000230000000000175e-01,1.476829999999999997e-08
3.753008055686950684e+01,4.000179999999999847e-01,9.721169999999999426e-09
3.790249395370483398e+01,4.000330000000000275e-01,7.998279999999999805e-09
3.827855467796325684e+01,4.000290000000000235e-01,8.279109999999999548e-09
3.865458917617797852e+01,4.000290000000000235e-01,1.080060000000000011e-08
3.903216600418090820e+01,4.000159999999999827e-01,9.547259999999999558e-09
3.940645456314086914e+01,4.000139999999999807e-01,7.113269999999999777e-09
3.978374147415161133e+01,4.000230000000000175e-01,5.820919999999999789e-09
4.015981435775756836e+01,4.000230000000000175e-01,7.525789999999999920e-09
4.053743481636047363e+01,4.000310000000000255e-01,5.888989999999999947e-09
4.091196393966674805e+01,4.000130000000000075e-01,4.108799999999999708e-09
4.128773212432861328e+01,4.000170000000000115e-01,2.094840000000000182e-09
4.166558504104614258e+01,4.000210000000000155e-01,1.459750000000000051e-09
4.203992152214050293e+01,4.000290000000000235e-01,1.514520000000000060e-09
4.241387486457824707e+01,4.000190000000000135e-01,8.436329999999999549e-09
4.279047322273254395e+01,4.000119999999999787e-01,6.918379999999999843e-09
4.316371536254882812e+01,4.000159999999999827e-01,1.292130000000000004e-08
4.354091119766235352e+01,4.000279999999999947e-01,1.632270000000000031e-08
4.391548585891723633e+01,4.000259999999999927e-01,1.314480000000000035e-08
4.430755257606506348e+01,4.000139999999999807e-01,9.162819999999999591e-09
4.468242669105529785e+01,4.000239999999999907e-01,8.548859999999999986e-10
4.505834054946899414e+01,4.000239999999999907e-01,2.119870000000000043e-09
4.543147683143615723e+01,4.000170000000000115e-01,4.455450000000000367e-09
4.580503439903259277e+01,4.000219999999999887e-01,4.301789999999999990e-10
4.618353796005249023e+01,4.000150000000000095e-01,1.068100000000000065e-09
4.656270647048950195e+01,4.000230000000000175e-01,8.464219999999999749e-10
4.693947744369506836e+01,4.000179999999999847e-01,1.912330000000000157e-09
4.731370019912719727e+01,4.000150000000000095e-01,1.753279999999999967e-09
4.769148206710815430e+01,4.000110000000000054e-01,1.948420000000000185e-09
4.806753396987915039e+01,4.000179999999999847e-01,6.114839999999999741e-10
4.844293999671936035e+01,4.000170000000000115e-01,1.030660000000000037e-09
4.881613993644714355e+01,4.000150000000000095e-01,2.306659999999999973e-09
4.919226408004760742e+01,4.000119999999999787e-01,2.730500000000000032e-09
4.956617736816406250e+01,4.000250000000000195e-01,3.618239999999999801e-10
4.993795943260192871e+01,4.000179999999999847e-01,2.280989999999999999e-09
5.031567144393920898e+01,4.000119999999999787e-01,1.982139999999999940e-09
5.068947410583496094e+01,4.000130000000000075e-01,2.032100000000000045e-09
