# Fri Oct 20 14:35:04 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.885934829711914062e-02,-2.713440000000000231e-04,-4.327300000000000272e-11,2.768938541412353516e-01,3.997709999999999875e-01,2.380150000000000041e-07
4.334938526153564453e-01,1.997200000000000086e-01,3.494829999999999935e-08,6.383857727050781250e-01,3.997660000000000102e-01,2.432060000000000140e-07
7.967565059661865234e-01,3.997510000000000230e-01,1.865369999999999980e-07,9.339444637298583984e-01,3.997580000000000022e-01,1.785560000000000009e-07
1.074362754821777344e+00,5.997839999999999838e-01,5.423820000000000190e-07,1.215051174163818359e+00,3.997589999999999755e-01,1.720450000000000030e-07
1.358236789703369141e+00,7.998030000000000417e-01,1.111679999999999960e-06,1.514495849609375000e+00,3.997680000000000122e-01,1.290829999999999919e-07
1.671881914138793945e+00,9.997960000000000180e-01,1.572919999999999926e-06,1.827533960342407227e+00,3.997560000000000002e-01,8.314669999999999371e-08
2.029808998107910156e+00,1.199799999999999978e+00,1.514230000000000027e-06,2.186507701873779297e+00,3.997580000000000022e-01,4.877740000000000239e-08
2.389763355255126953e+00,1.399780000000000024e+00,1.593749999999999987e-06,2.547269105911254883e+00,3.997560000000000002e-01,2.671239999999999970e-08
2.747289180755615234e+00,1.599760000000000071e+00,1.971919999999999833e-06,2.904198408126831055e+00,3.997609999999999775e-01,2.849239999999999975e-08
3.107084274291992188e+00,1.799760000000000026e+00,1.856429999999999902e-06,3.276785850524902344e+00,3.997620000000000062e-01,1.782469999999999946e-08
3.479334592819213867e+00,1.999710000000000099e+00,2.315059999999999820e-06,3.636138200759887695e+00,3.997609999999999775e-01,2.396999999999999891e-08
3.836801290512084961e+00,2.197620000000000129e+00,3.187789999999999933e-06,3.993514060974121094e+00,3.997629999999999795e-01,2.750170000000000068e-08
4.195748805999755859e+00,2.397790000000000088e+00,2.608629999999999874e-06,4.367643356323242188e+00,3.997569999999999735e-01,1.416129999999999989e-08
4.571185350418090820e+00,2.597820000000000018e+00,2.982039999999999828e-06,4.728796243667602539e+00,3.997600000000000042e-01,1.480399999999999975e-08
4.932680130004882812e+00,2.797959999999999781e+00,3.791700000000000052e-06,5.243545770645141602e+00,3.997640000000000082e-01,7.753360000000000614e-09
5.445018529891967773e+00,2.998139999999999805e+00,4.314389999999999870e-06,5.601927280426025391e+00,3.997550000000000270e-01,8.031959999999999217e-09
5.806809902191162109e+00,3.198189999999999866e+00,5.173669999999999714e-06,5.963719129562377930e+00,3.997620000000000062e-01,7.444999999999999830e-09
6.169603586196899414e+00,3.398309999999999942e+00,7.065239999999999968e-06,6.342504978179931641e+00,3.997560000000000002e-01,8.449159999999999803e-09
6.540390968322753906e+00,3.598370000000000068e+00,8.995640000000000155e-06,6.711293697357177734e+00,3.997629999999999795e-01,9.901800000000000693e-09
6.914177179336547852e+00,3.798150000000000137e+00,1.285639999999999942e-05,7.086078643798828125e+00,3.997569999999999735e-01,1.555749999999999885e-08
7.288963079452514648e+00,3.998009999999999842e+00,1.757739999999999878e-05,7.459865570068359375e+00,3.997609999999999775e-01,1.105999999999999903e-09
7.662748336791992188e+00,4.198269999999999946e+00,2.513770000000000159e-05,7.833651542663574219e+00,3.997600000000000042e-01,1.500320000000000047e-09
8.037542343139648438e+00,4.398310000000000386e+00,3.548810000000000332e-05,8.209680318832397461e+00,3.997589999999999755e-01,8.252980000000000177e-10
