# Fri Oct 20 16:12:59 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=0, Npos=50, Nneg=0, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.045031547546386719e-02,-8.678439999999999194e-06,1.787780000000000107e-10,2.153656482696533203e-01,4.000429999999999819e-01,5.120469999999999793e-08
3.577072620391845703e-01,1.999900000000000011e-01,9.220060000000000109e-09,5.117497444152832031e-01,4.000449999999999839e-01,4.770919999999999816e-08
6.497247219085693359e-01,4.000380000000000047e-01,4.653480000000000189e-08,7.896101474761962891e-01,4.000440000000000107e-01,4.545710000000000012e-08
9.267466068267822266e-01,6.001020000000000243e-01,1.850920000000000007e-07,1.083254575729370117e+00,4.000380000000000047e-01,3.512939999999999824e-08
1.286644458770751953e+00,8.001000000000000334e-01,2.666719999999999940e-07,1.443561792373657227e+00,4.000420000000000087e-01,2.841319999999999862e-08
1.645726203918457031e+00,1.000099999999999989e+00,2.926900000000000090e-07,1.802490234375000000e+00,4.000420000000000087e-01,1.572509999999999898e-08
2.004448652267456055e+00,1.200099999999999945e+00,2.894729999999999875e-07,2.160656929016113281e+00,4.000380000000000047e-01,8.058390000000000335e-09
2.362698316574096680e+00,1.400079999999999991e+00,3.071109999999999764e-07,2.518648147583007812e+00,4.000409999999999799e-01,7.973709999999999341e-09
2.721719741821289062e+00,1.600049999999999972e+00,3.426129999999999988e-07,2.879352092742919922e+00,4.000449999999999839e-01,5.340499999999999911e-09
3.081551790237426758e+00,1.800040000000000084e+00,3.991270000000000243e-07,3.238602161407470703e+00,4.000440000000000107e-01,5.196980000000000390e-09
3.442542076110839844e+00,2.000000000000000000e+00,4.717230000000000214e-07,3.600074768066406250e+00,4.000460000000000127e-01,4.955020000000000121e-09
3.801969528198242188e+00,2.200309999999999988e+00,5.991409999999999782e-07,3.958753824234008789e+00,4.000460000000000127e-01,4.913879999999999993e-09
4.162576675415039062e+00,2.400370000000000115e+00,7.474239999999999568e-07,4.318975925445556641e+00,4.000469999999999859e-01,4.949509999999999796e-09
4.524299144744873047e+00,2.600280000000000147e+00,9.946780000000000081e-07,4.692471504211425781e+00,4.000349999999999739e-01,4.494379999999999942e-09
4.895000696182250977e+00,2.800349999999999895e+00,1.373100000000000033e-06,5.050709486007690430e+00,4.000380000000000047e-01,4.182780000000000315e-09
5.253685474395751953e+00,3.000480000000000036e+00,1.968099999999999842e-06,5.424159049987792969e+00,4.000389999999999779e-01,3.123400000000000195e-09
5.625754117965698242e+00,3.200670000000000126e+00,2.874179999999999814e-06,5.780484676361083984e+00,4.000429999999999819e-01,3.368530000000000154e-09
5.984558582305908203e+00,3.400809999999999889e+00,4.107730000000000056e-06,6.140102386474609375e+00,4.000460000000000127e-01,3.702879999999999935e-09
6.345041751861572266e+00,3.600900000000000212e+00,5.978280000000000299e-06,6.502687215805053711e+00,4.000429999999999819e-01,2.900400000000000034e-09
6.707786560058593750e+00,3.800640000000000018e+00,8.813920000000000139e-06,6.879673242568969727e+00,4.000440000000000107e-01,3.887119999999999704e-09
7.083558797836303711e+00,4.000689999999999635e+00,1.303530000000000037e-05,7.258192777633666992e+00,4.000420000000000087e-01,-8.783340000000000401e-10
7.462497472763061523e+00,4.200650000000000439e+00,1.922090000000000091e-05,7.633335590362548828e+00,4.000330000000000275e-01,-1.249339999999999948e-09
7.835702657699584961e+00,4.400780000000000136e+00,2.858460000000000073e-05,8.007053852081298828e+00,4.000330000000000275e-01,-1.793029999999999959e-09
8.209803819656372070e+00,4.600979999999999848e+00,4.258819999999999994e-05,8.382680177688598633e+00,4.000270000000000215e-01,-1.770439999999999937e-09
8.584911584854125977e+00,4.801020000000000287e+00,6.359170000000000306e-05,8.756046056747436523e+00,4.000270000000000215e-01,-1.007119999999999930e-09
8.960263490676879883e+00,5.001129999999999853e+00,9.528929999999999584e-05,9.130906581878662109e+00,4.000199999999999867e-01,-1.081380000000000044e-09
9.334258794784545898e+00,4.801020000000000287e+00,6.530140000000000467e-05,9.507141828536987305e+00,4.000250000000000195e-01,-1.262640000000000098e-09
9.714040994644165039e+00,4.600959999999999717e+00,4.442029999999999888e-05,9.884925127029418945e+00,4.000310000000000255e-01,-1.155979999999999972e-09
1.008780646324157715e+01,4.400789999999999758e+00,3.016149999999999913e-05,1.026270818710327148e+01,4.000349999999999739e-01,-8.776190000000000069e-10
1.046913433074951172e+01,4.200619999999999798e+00,2.047469999999999897e-05,1.064165139198303223e+01,4.000310000000000255e-01,-7.894520000000000155e-10
1.084622263908386230e+01,4.000600000000000378e+00,1.393550000000000066e-05,1.101799893379211426e+01,4.000330000000000275e-01,-1.044750000000000063e-10
1.121985602378845215e+01,3.800650000000000084e+00,9.621089999999999392e-06,1.137970805168151855e+01,4.000340000000000007e-01,6.125890000000000236e-09
1.158430719375610352e+01,3.600880000000000081e+00,6.589349999999999854e-06,1.173953413963317871e+01,4.000400000000000067e-01,6.387719999999999941e-09
1.194320297241210938e+01,3.400770000000000071e+00,4.542610000000000202e-06,1.209714531898498535e+01,4.000400000000000067e-01,6.957710000000000368e-09
1.230085420608520508e+01,3.200720000000000010e+00,3.123080000000000090e-06,1.245878648757934570e+01,4.000400000000000067e-01,6.574860000000000186e-09
1.265977740287780762e+01,3.000579999999999803e+00,2.167210000000000042e-06,1.283005166053771973e+01,4.000340000000000007e-01,6.024860000000000224e-09
1.303431296348571777e+01,2.800370000000000026e+00,1.483720000000000001e-06,1.318989968299865723e+01,4.000340000000000007e-01,6.032499999999999589e-09
1.339344120025634766e+01,2.600280000000000147e+00,1.030060000000000053e-06,1.356312370300292969e+01,4.000380000000000047e-01,5.982449999999999747e-09
1.376610970497131348e+01,2.400279999999999969e+00,7.499869999999999778e-07,1.392237377166748047e+01,4.000400000000000067e-01,5.944089999999999892e-09
1.412600994110107422e+01,2.200219999999999843e+00,5.327860000000000434e-07,1.428236413002014160e+01,4.000400000000000067e-01,6.233779999999999953e-09
1.448452186584472656e+01,2.000000000000000000e+00,3.909050000000000186e-07,1.464194726943969727e+01,4.000440000000000107e-01,6.299089999999999596e-09
1.484520673751831055e+01,1.800040000000000084e+00,2.831749999999999929e-07,1.501549553871154785e+01,4.000420000000000087e-01,7.778410000000000233e-09
1.521879220008850098e+01,1.600049999999999972e+00,2.161200000000000056e-07,1.538888359069824219e+01,4.000409999999999799e-01,6.211579999999999761e-09
1.559323668479919434e+01,1.400079999999999991e+00,1.448120000000000132e-07,1.574926185607910156e+01,4.000400000000000067e-01,6.481189999999999619e-09
1.595374393463134766e+01,1.200090000000000101e+00,7.901569999999999464e-08,1.609264993667602539e+01,4.000449999999999839e-01,7.039649999999999777e-09
1.623307800292968750e+01,1.000089999999999923e+00,5.161520000000000018e-08,1.637343668937683105e+01,4.000480000000000147e-01,7.823260000000000135e-09
1.651302886009216309e+01,8.000990000000000046e-01,3.306650000000000033e-08,1.665477228164672852e+01,4.000520000000000187e-01,7.979869999999999245e-09
1.679533171653747559e+01,6.000809999999999755e-01,1.869050000000000117e-08,1.693470406532287598e+01,4.000460000000000127e-01,8.528229999999999200e-09
1.707507705688476562e+01,4.000509999999999899e-01,8.915190000000000106e-09,1.721654772758483887e+01,4.000540000000000207e-01,8.568119999999999566e-09
1.735672116279602051e+01,1.999950000000000061e-01,2.507899999999999994e-09,1.749554610252380371e+01,4.000540000000000207e-01,9.328209999999999989e-09
