# Fri Oct 20 14:39:28 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=-5, Vmin=5, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.998110771179199219e-02,-1.974819999999999907e-04,1.873369999999999963e-10,2.818355560302734375e-01,3.998510000000000120e-01,3.156209999999999911e-07
4.407422542572021484e-01,-2.000609999999999888e-01,-6.671789999999999684e-08,6.476280689239501953e-01,3.998499999999999832e-01,3.112059999999999876e-07
8.065364360809326172e-01,-4.001080000000000192e-01,-3.648249999999999862e-07,9.484522342681884766e-01,3.998430000000000040e-01,2.697329999999999974e-07
1.088692903518676758e+00,-6.001520000000000188e-01,-1.190279999999999935e-06,1.260744571685791016e+00,3.998439999999999772e-01,2.617610000000000104e-07
1.419013023376464844e+00,-8.001570000000000071e-01,-2.904819999999999829e-06,1.577199459075927734e+00,3.998439999999999772e-01,2.674590000000000129e-07
1.737084388732910156e+00,-1.000170000000000003e+00,-6.321640000000000007e-06,1.897013664245605469e+00,3.998470000000000080e-01,2.614500000000000019e-07
2.056924104690551758e+00,-1.200190000000000090e+00,-1.178050000000000012e-05,2.214810609817504883e+00,3.998479999999999812e-01,2.691479999999999958e-07
2.370404958724975586e+00,-1.400179999999999980e+00,-2.151749999999999854e-05,2.525123357772827148e+00,3.998530000000000140e-01,2.646510000000000052e-07
2.680753707885742188e+00,-1.600130000000000052e+00,-3.875660000000000091e-05,2.836415767669677734e+00,3.998539999999999872e-01,2.423249999999999944e-07
2.995402336120605469e+00,-1.800140000000000073e+00,-8.431050000000000534e-05,3.151326656341552734e+00,3.998530000000000140e-01,2.330740000000000130e-07
3.307962656021118164e+00,-2.000129999999999963e+00,-3.757310000000000250e-04,3.478071212768554688e+00,3.998510000000000120e-01,2.797560000000000071e-07
3.633316040039062500e+00,-2.200439999999999952e+00,-1.220710000000000068e-03,3.806977748870849609e+00,3.998570000000000180e-01,2.781150000000000257e-07
3.970028162002563477e+00,-2.400539999999999896e+00,-2.371709999999999964e-03,4.157166957855224609e+00,3.998619999999999952e-01,2.591399999999999766e-07
4.353344440460205078e+00,-2.600639999999999841e+00,-3.727310000000000172e-03,4.708134889602661133e+00,3.998519999999999852e-01,3.447199999999999792e-07
4.865359783172607422e+00,-2.800390000000000157e+00,-5.063169999999999650e-03,5.052442073822021484e+00,3.998610000000000220e-01,3.279529999999999986e-07
5.224287986755371094e+00,-3.000430000000000152e+00,-6.455279999999999872e-03,5.398894071578979492e+00,3.998639999999999972e-01,3.149950000000000224e-07
5.556894063949584961e+00,-3.200629999999999864e+00,-7.861510000000000373e-03,5.744128465652465820e+00,3.998709999999999765e-01,3.309209999999999759e-07
5.918070554733276367e+00,-3.400650000000000173e+00,-9.372210000000000610e-03,6.105286359786987305e+00,3.998749999999999805e-01,3.346370000000000073e-07
6.273514986038208008e+00,-3.600849999999999884e+00,-1.094750000000000063e-02,6.491808891296386719e+00,3.998709999999999765e-01,3.568190000000000137e-07
6.651916265487670898e+00,-3.800959999999999894e+00,-1.248999999999999937e-02,6.838150978088378906e+00,3.998740000000000072e-01,4.364969999999999943e-07
7.036030769348144531e+00,-4.000779999999999781e+00,-1.415560000000000082e-02,7.228510856628417969e+00,3.998800000000000132e-01,4.364420000000000114e-07
7.383327722549438477e+00,-4.200809999999999711e+00,-1.576050000000000020e-02,7.572339773178100586e+00,3.998800000000000132e-01,4.371270000000000205e-07
7.727109432220458984e+00,-4.400839999999999641e+00,-1.746419999999999917e-02,7.943583250045776367e+00,3.998740000000000072e-01,5.386129999999999539e-07
8.102490663528442383e+00,-4.600959999999999717e+00,-1.919879999999999851e-02,8.292717933654785156e+00,3.998900000000000232e-01,5.021319999999999597e-07
