# Fri Oct 20 14:59:13 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.5, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=68, ratioRth=0.2, Rth=7668937.192729447
3.701696395874023438e-01,4.000560000000000227e-01,1.025149999999999919e-08
7.593321800231933594e-01,4.000540000000000207e-01,1.344610000000000054e-08
1.151593208312988281e+00,4.000480000000000147e-01,9.182619999999999874e-09
1.545367240905761719e+00,4.000540000000000207e-01,1.122909999999999961e-08
1.922863721847534180e+00,4.000480000000000147e-01,1.477320000000000023e-08
2.301757574081420898e+00,4.000460000000000127e-01,1.456990000000000032e-08
2.693019628524780273e+00,4.000469999999999859e-01,1.048200000000000082e-08
3.083796501159667969e+00,4.000500000000000167e-01,9.705250000000000167e-09
3.477749347686767578e+00,4.000480000000000147e-01,2.275129999999999939e-08
3.870077371597290039e+00,4.000460000000000127e-01,2.113869999999999856e-08
4.256579160690307617e+00,4.000560000000000227e-01,1.114229999999999946e-08
4.647163152694702148e+00,4.000529999999999919e-01,1.071540000000000045e-08
5.038706541061401367e+00,4.000520000000000187e-01,1.648379999999999968e-08
5.411835908889770508e+00,4.000509999999999899e-01,1.740820000000000033e-08
5.802588462829589844e+00,4.000520000000000187e-01,1.644410000000000032e-08
6.194591760635375977e+00,4.000520000000000187e-01,2.352880000000000089e-08
6.582130908966064453e+00,4.000469999999999859e-01,4.550919999999999831e-08
6.972633838653564453e+00,4.000520000000000187e-01,5.416020000000000080e-08
7.361106872558593750e+00,4.000389999999999779e-01,5.475950000000000141e-08
7.750560760498046875e+00,4.000429999999999819e-01,6.326450000000000379e-08
8.139801740646362305e+00,4.000469999999999859e-01,5.073449999999999680e-08
8.530875921249389648e+00,4.000429999999999819e-01,5.454080000000000092e-08
8.919334650039672852e+00,4.000440000000000107e-01,6.878520000000000107e-08
9.326440572738647461e+00,4.000509999999999899e-01,8.525779999999999731e-08
9.715211391448974609e+00,4.000489999999999879e-01,7.737790000000000098e-08
1.010200214385986328e+01,4.000639999999999752e-01,1.256479999999999880e-07
1.045979237556457520e+01,4.000600000000000267e-01,1.040470000000000052e-07
1.078866147994995117e+01,4.000609999999999999e-01,1.349409999999999905e-07
1.112972760200500488e+01,4.000600000000000267e-01,1.245880000000000036e-07
1.148766636848449707e+01,4.000639999999999752e-01,1.093989999999999991e-07
1.183014130592346191e+01,4.000650000000000039e-01,1.394610000000000072e-07
1.217052674293518066e+01,4.000659999999999772e-01,1.695250000000000043e-07
1.250146436691284180e+01,4.000549999999999939e-01,1.433770000000000007e-07
1.285890388488769531e+01,4.000589999999999979e-01,1.268980000000000025e-07
1.318675398826599121e+01,4.000609999999999999e-01,1.546560000000000053e-07
1.354693627357482910e+01,4.000670000000000059e-01,1.589919999999999986e-07
1.388874411582946777e+01,4.000650000000000039e-01,1.576289999999999883e-07
1.423043012619018555e+01,4.000710000000000099e-01,1.582439999999999974e-07
1.457569289207458496e+01,4.000650000000000039e-01,1.552620000000000042e-07
1.491820192337036133e+01,4.000730000000000119e-01,1.581120000000000066e-07
1.526383876800537109e+01,4.000679999999999792e-01,1.668529999999999920e-07
1.560337233543395996e+01,4.000699999999999812e-01,1.440300000000000000e-07
1.594822859764099121e+01,4.000710000000000099e-01,1.533500000000000067e-07
1.629168391227722168e+01,4.000670000000000059e-01,1.477970000000000098e-07
1.663278675079345703e+01,4.000670000000000059e-01,1.452700000000000031e-07
1.697659921646118164e+01,4.000710000000000099e-01,1.431070000000000122e-07
1.730603265762329102e+01,4.000639999999999752e-01,1.587710000000000127e-07
1.764997267723083496e+01,4.000699999999999812e-01,1.838390000000000092e-07
1.800743126869201660e+01,4.000699999999999812e-01,1.635950000000000034e-07
1.835070157051086426e+01,4.000650000000000039e-01,1.551650000000000001e-07
1.871061754226684570e+01,4.000690000000000079e-01,1.756010000000000118e-07
1.905681467056274414e+01,4.000659999999999772e-01,1.545930000000000132e-07
1.938706445693969727e+01,4.000619999999999732e-01,1.735759999999999920e-07
1.973084568977355957e+01,4.000739999999999852e-01,1.641939999999999944e-07
2.007499909400939941e+01,4.000699999999999812e-01,1.761739999999999998e-07
2.040292692184448242e+01,4.000639999999999752e-01,1.886690000000000068e-07
2.074738836288452148e+01,4.000650000000000039e-01,2.121639999999999932e-07
2.109028148651123047e+01,4.000679999999999792e-01,1.705280000000000034e-07
2.143597221374511719e+01,4.000670000000000059e-01,1.891800000000000039e-07
2.178014707565307617e+01,4.000739999999999852e-01,1.663970000000000043e-07
2.212469863891601562e+01,4.000690000000000079e-01,2.227240000000000031e-07
2.248197913169860840e+01,4.000730000000000119e-01,1.970730000000000072e-07
2.282407999038696289e+01,4.000759999999999872e-01,1.972120000000000060e-07
2.316664195060729980e+01,4.000719999999999832e-01,2.097950000000000069e-07
2.351123690605163574e+01,4.000679999999999792e-01,2.293800000000000065e-07
2.385591840744018555e+01,4.000710000000000099e-01,2.490750000000000251e-07
2.418343448638916016e+01,4.000730000000000119e-01,2.026230000000000006e-07
2.452773427963256836e+01,4.000659999999999772e-01,2.452960000000000016e-07
2.469997000694274902e+01,4.000469999999999859e-01,1.920239999999999995e-07
