# Fri Oct 20 15:10:17 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.5, Tmax=0, Twrite=1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=53, ratioRth=0.2, Rth=7368772.488804575
1.273470163345336914e+00,4.000569999999999959e-01,3.381620000000000075e-08
2.567484378814697266e+00,4.000609999999999999e-01,4.966380000000000297e-08
3.852993965148925781e+00,4.000580000000000247e-01,6.443429999999999617e-08
5.142180204391479492e+00,4.000529999999999919e-01,5.406110000000000225e-08
6.437690496444702148e+00,4.000580000000000247e-01,7.365470000000000374e-08
7.731178522109985352e+00,4.000799999999999912e-01,1.146609999999999969e-07
8.962637424468994141e+00,4.000739999999999852e-01,1.426150000000000101e-07
1.021218705177307129e+01,4.000690000000000079e-01,1.467999999999999910e-07
1.145591759681701660e+01,4.000799999999999912e-01,1.529399999999999917e-07
1.268857312202453613e+01,4.000600000000000267e-01,1.316920000000000122e-07
1.395270729064941406e+01,4.000679999999999792e-01,2.173959999999999966e-07
1.520235395431518555e+01,4.000730000000000119e-01,1.997560000000000054e-07
1.645136523246765137e+01,4.000719999999999832e-01,1.728910000000000094e-07
1.769546651840209961e+01,4.000730000000000119e-01,1.776169999999999949e-07
1.891269803047180176e+01,4.000779999999999892e-01,2.098789999999999962e-07
2.016278386116027832e+01,4.000719999999999832e-01,2.026510000000000059e-07
2.138380312919616699e+01,4.000739999999999852e-01,1.771249999999999929e-07
2.264082694053649902e+01,4.000799999999999912e-01,1.765510000000000038e-07
2.387733602523803711e+01,4.000799999999999912e-01,1.839320000000000088e-07
2.510828709602355957e+01,4.000770000000000159e-01,2.298990000000000127e-07
2.635278725624084473e+01,4.000719999999999832e-01,2.199740000000000082e-07
2.761410903930664062e+01,4.000750000000000139e-01,1.988819999999999938e-07
2.885251927375793457e+01,4.000719999999999832e-01,2.185089999999999881e-07
3.009491348266601562e+01,4.000679999999999792e-01,2.246039999999999908e-07
3.132820773124694824e+01,4.000699999999999812e-01,2.642359999999999846e-07
3.255886340141296387e+01,4.000790000000000179e-01,2.681159999999999902e-07
3.379108476638793945e+01,4.000830000000000219e-01,2.087650000000000036e-07
3.503882527351379395e+01,4.000810000000000199e-01,2.306799999999999983e-07
3.628568148612976074e+01,4.000719999999999832e-01,2.370769999999999993e-07
3.752142858505249023e+01,4.000730000000000119e-01,2.472740000000000211e-07
3.875618505477905273e+01,4.000730000000000119e-01,1.918809999999999961e-07
3.998339557647705078e+01,4.000719999999999832e-01,2.315179999999999956e-07
4.122155165672302246e+01,4.000739999999999852e-01,2.168630000000000011e-07
4.245641398429870605e+01,4.000739999999999852e-01,2.236390000000000083e-07
4.371579813957214355e+01,4.000679999999999792e-01,2.090169999999999982e-07
4.499050474166870117e+01,4.000810000000000199e-01,2.290560000000000097e-07
4.622213006019592285e+01,4.000770000000000159e-01,2.577780000000000204e-07
4.746914410591125488e+01,4.000790000000000179e-01,2.195770000000000080e-07
4.871637725830078125e+01,4.000739999999999852e-01,2.694380000000000070e-07
4.994855546951293945e+01,4.000710000000000099e-01,2.541769999999999870e-07
5.118179655075073242e+01,4.000770000000000159e-01,2.374750000000000006e-07
5.242882084846496582e+01,4.000759999999999872e-01,2.855020000000000111e-07
5.366539835929870605e+01,4.000679999999999792e-01,2.548200000000000014e-07
5.489735007286071777e+01,4.000790000000000179e-01,2.371199999999999951e-07
5.612791776657104492e+01,4.000770000000000159e-01,2.449190000000000241e-07
5.736067867279052734e+01,4.000759999999999872e-01,2.684039999999999992e-07
5.859367609024047852e+01,4.000739999999999852e-01,3.010850000000000256e-07
5.983912754058837891e+01,4.000839999999999952e-01,2.772739999999999985e-07
6.106938171386718750e+01,4.000779999999999892e-01,2.720080000000000095e-07
6.228840517997741699e+01,4.000839999999999952e-01,2.496830000000000263e-07
6.353590965270996094e+01,4.000770000000000159e-01,2.960549999999999865e-07
6.477995157241821289e+01,4.000810000000000199e-01,2.516649999999999973e-07
6.601064395904541016e+01,4.000870000000000259e-01,2.691370000000000098e-07
6.618244957923889160e+01,4.000529999999999919e-01,1.952250000000000028e-07
