# Fri Oct 20 14:58:04 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-4, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=50, ratioRth=0.2, Rth=11076680.884603795
3.721892833709716797e-01,4.000460000000000127e-01,5.953929999999999767e-08
7.600066661834716797e-01,4.000630000000000019e-01,1.751449999999999977e-07
1.104599237442016602e+00,4.000630000000000019e-01,2.279489999999999986e-07
1.460747241973876953e+00,4.000650000000000039e-01,2.238879999999999994e-07
1.821917772293090820e+00,4.000639999999999752e-01,2.903470000000000257e-07
2.165882825851440430e+00,4.000630000000000019e-01,2.946670000000000008e-07
2.510761737823486328e+00,4.000619999999999732e-01,2.676439999999999844e-07
2.854500770568847656e+00,4.000580000000000247e-01,2.585189999999999871e-07
3.184854030609130859e+00,4.000609999999999999e-01,2.918100000000000170e-07
3.515610694885253906e+00,4.000549999999999939e-01,3.135989999999999747e-07
3.876405477523803711e+00,4.000569999999999959e-01,3.258239999999999932e-07
4.233203649520874023e+00,4.000609999999999999e-01,2.909640000000000106e-07
4.577005147933959961e+00,4.000549999999999939e-01,2.934119999999999806e-07
4.919808864593505859e+00,4.000580000000000247e-01,3.553520000000000178e-07
5.279607057571411133e+00,4.000589999999999979e-01,3.268780000000000237e-07
5.621406316757202148e+00,4.000639999999999752e-01,3.233160000000000081e-07
5.979202985763549805e+00,4.000670000000000059e-01,3.601469999999999757e-07
6.336999177932739258e+00,4.000679999999999792e-01,3.032009999999999897e-07
6.678802013397216797e+00,4.000690000000000079e-01,3.266550000000000090e-07
7.023604869842529297e+00,4.000619999999999732e-01,3.443450000000000040e-07
7.365412473678588867e+00,4.000670000000000059e-01,3.568040000000000231e-07
7.708214282989501953e+00,4.000639999999999752e-01,3.495919999999999980e-07
8.064011573791503906e+00,4.000549999999999939e-01,3.452069999999999756e-07
8.438014984130859375e+00,4.000730000000000119e-01,3.703539999999999823e-07
8.783872604370117188e+00,4.000650000000000039e-01,3.676160000000000011e-07
9.130554199218750000e+00,4.000710000000000099e-01,3.420679999999999896e-07
9.475415468215942383e+00,4.000630000000000019e-01,3.373019999999999852e-07
9.834434270858764648e+00,4.000699999999999812e-01,3.351970000000000071e-07
1.017923688888549805e+01,4.000750000000000139e-01,3.300159999999999820e-07
1.052323365211486816e+01,4.000690000000000079e-01,3.533990000000000002e-07
1.086794400215148926e+01,4.000630000000000019e-01,3.569460000000000253e-07
1.122787594795227051e+01,4.000639999999999752e-01,3.368759999999999786e-07
1.157214808464050293e+01,4.000679999999999792e-01,3.072439999999999949e-07
1.192795801162719727e+01,4.000699999999999812e-01,3.135759999999999751e-07
1.228650546073913574e+01,4.000670000000000059e-01,3.254359999999999768e-07
1.263294696807861328e+01,4.000699999999999812e-01,3.387749999999999879e-07
1.297771501541137695e+01,4.000739999999999852e-01,2.895689999999999905e-07
1.333447170257568359e+01,4.000739999999999852e-01,3.062860000000000203e-07
1.367792701721191406e+01,4.000759999999999872e-01,3.263120000000000172e-07
1.402357077598571777e+01,4.000690000000000079e-01,3.357909999999999924e-07
1.438085651397705078e+01,4.000690000000000079e-01,3.142609999999999842e-07
1.472363901138305664e+01,4.000699999999999812e-01,3.376920000000000039e-07
1.506744384765625000e+01,4.000799999999999912e-01,3.269959999999999987e-07
1.541642761230468750e+01,4.000750000000000139e-01,3.036039999999999967e-07
1.575993824005126953e+01,4.000719999999999832e-01,3.137810000000000223e-07
1.610374522209167480e+01,4.000739999999999852e-01,3.077289999999999890e-07
1.644826984405517578e+01,4.000710000000000099e-01,3.637980000000000128e-07
1.679054069519042969e+01,4.000719999999999832e-01,3.119360000000000213e-07
1.713747906684875488e+01,4.000719999999999832e-01,3.242180000000000250e-07
1.748506236076354980e+01,4.000690000000000079e-01,3.168599999999999931e-07
1.764171886444091797e+01,4.000460000000000127e-01,2.566109999999999941e-07
