# Tue Oct 24 19:17:00 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=0, Npos=50, Nneg=0, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.195878982543945312e-02,-1.058579999999999951e-05,-6.012919999999999384e-11,2.813730239868164062e-01,4.000290000000000235e-01,6.490050000000000599e-08
4.232552051544189453e-01,1.999710000000000099e-01,1.311420000000000006e-08,5.664925575256347656e-01,4.000290000000000235e-01,6.503460000000000453e-08
7.088270187377929688e-01,4.000380000000000047e-01,6.345590000000000377e-08,8.498339653015136719e-01,4.000429999999999819e-01,6.073329999999999499e-08
9.899628162384033203e-01,6.000780000000000003e-01,2.226649999999999891e-07,1.147849798202514648e+00,4.000299999999999967e-01,4.193869999999999953e-08
1.349948167800903320e+00,8.000979999999999759e-01,3.050370000000000070e-07,1.505855083465576172e+00,4.000310000000000255e-01,2.419059999999999958e-08
1.708260297775268555e+00,1.000099999999999989e+00,3.197519999999999902e-07,1.864997863769531250e+00,4.000369999999999759e-01,1.644749999999999888e-08
2.068691968917846680e+00,1.200090000000000101e+00,4.150589999999999846e-07,2.222766160964965820e+00,4.000409999999999799e-01,1.085259999999999952e-08
2.425976514816284180e+00,1.400069999999999926e+00,5.056389999999999923e-07,2.584196805953979492e+00,4.000340000000000007e-01,8.877730000000000113e-09
2.788542032241821289e+00,1.600039999999999907e+00,4.497350000000000233e-07,2.943874359130859375e+00,4.000349999999999739e-01,6.342100000000000257e-09
3.146978616714477539e+00,1.800030000000000019e+00,5.486460000000000280e-07,3.301188230514526367e+00,4.000340000000000007e-01,5.868950000000000087e-09
3.505163192749023438e+00,1.999989999999999934e+00,7.072109999999999659e-07,3.662219285964965820e+00,4.000299999999999967e-01,3.447790000000000147e-09
3.862886190414428711e+00,2.200210000000000221e+00,8.416759999999999990e-07,4.019975900650024414e+00,4.000330000000000275e-01,3.107939999999999920e-09
4.224099159240722656e+00,2.400279999999999969e+00,8.544880000000000213e-07,4.378124237060546875e+00,4.000369999999999759e-01,3.146950000000000181e-09
4.580684423446655273e+00,2.600239999999999885e+00,1.124310000000000040e-06,4.737012386322021484e+00,4.000409999999999799e-01,3.426610000000000020e-09
4.941545724868774414e+00,2.800330000000000208e+00,1.536670000000000061e-06,5.097517967224121094e+00,4.000360000000000027e-01,3.572769999999999854e-09
5.298946619033813477e+00,3.000440000000000218e+00,2.158730000000000167e-06,5.454418897628784180e+00,4.000380000000000047e-01,5.150279999999999714e-09
5.659515380859375000e+00,3.200569999999999915e+00,2.951859999999999805e-06,5.814874649047851562e+00,4.000349999999999739e-01,4.375570000000000018e-09
6.018209695816040039e+00,3.400659999999999794e+00,4.281620000000000352e-06,6.189575672149658203e+00,4.000239999999999907e-01,6.547679999999999872e-09
6.393812417984008789e+00,3.600800000000000001e+00,6.140410000000000388e-06,6.563894987106323242e+00,4.000279999999999947e-01,5.361899999999999858e-09
6.766705751419067383e+00,3.800539999999999807e+00,8.834179999999999502e-06,6.922289848327636719e+00,4.000190000000000135e-01,4.643500000000000353e-09
7.125805854797363281e+00,4.000600000000000378e+00,1.281469999999999947e-05,7.296846151351928711e+00,4.000279999999999947e-01,-1.470949999999999971e-09
7.500859260559082031e+00,4.200529999999999653e+00,1.875029999999999902e-05,7.673842191696166992e+00,4.000279999999999947e-01,-1.081589999999999984e-09
7.878079891204833984e+00,4.400750000000000384e+00,2.736449999999999863e-05,8.050024986267089844e+00,4.000330000000000275e-01,-3.582360000000000128e-10
8.254980325698852539e+00,4.600880000000000081e+00,4.001959999999999882e-05,8.429889678955078125e+00,4.000330000000000275e-01,-6.047849999999999955e-10
8.633714199066162109e+00,4.800980000000000025e+00,5.916020000000000322e-05,8.805861473083496094e+00,4.000190000000000135e-01,-3.848200000000000215e-10
9.008693695068359375e+00,5.001149999999999984e+00,8.771430000000000145e-05,9.183840990066528320e+00,4.000190000000000135e-01,-2.970809999999999794e-10
9.386810779571533203e+00,4.800989999999999647e+00,5.954449999999999885e-05,9.558732271194458008e+00,4.000190000000000135e-01,-1.166190000000000085e-09
9.764713764190673828e+00,4.600950000000000095e+00,4.070760000000000307e-05,9.939304590225219727e+00,4.000279999999999947e-01,-1.747630000000000095e-09
1.014435696601867676e+01,4.400780000000000136e+00,2.788030000000000139e-05,1.031696653366088867e+01,4.000270000000000215e-01,-1.816280000000000060e-09
1.052169513702392578e+01,4.200580000000000425e+00,1.908490000000000086e-05,1.069707703590393066e+01,4.000299999999999967e-01,-2.091320000000000177e-09
1.090007257461547852e+01,4.000619999999999621e+00,1.312020000000000018e-05,1.107253742218017578e+01,4.000389999999999779e-01,-5.563500000000000485e-10
1.127785468101501465e+01,3.800619999999999887e+00,9.057400000000000729e-06,1.143387627601623535e+01,4.000429999999999819e-01,5.664130000000000374e-09
1.163792610168457031e+01,3.600919999999999899e+00,6.249610000000000122e-06,1.179606223106384277e+01,4.000330000000000275e-01,5.707340000000000270e-09
1.199896740913391113e+01,3.400809999999999889e+00,4.328050000000000007e-06,1.215796875953674316e+01,4.000349999999999739e-01,6.412050000000000000e-09
1.236278676986694336e+01,3.200660000000000061e+00,2.986569999999999935e-06,1.252168250083923340e+01,4.000319999999999987e-01,8.557739999999999443e-09
1.272479295730590820e+01,3.000500000000000167e+00,2.066679999999999922e-06,1.288184809684753418e+01,4.000369999999999759e-01,8.651669999999999345e-09
1.308804535865783691e+01,2.800419999999999909e+00,1.432800000000000072e-06,1.324430346488952637e+01,4.000409999999999799e-01,9.441579999999999567e-09
1.344804859161376953e+01,2.600309999999999899e+00,9.932199999999999959e-07,1.360539245605468750e+01,4.000360000000000027e-01,9.502060000000000582e-09
1.381089639663696289e+01,2.400240000000000151e+00,7.338400000000000119e-07,1.396621942520141602e+01,4.000369999999999759e-01,8.797789999999999663e-09
1.416984891891479492e+01,2.200130000000000141e+00,5.274979999999999765e-07,1.432746815681457520e+01,4.000369999999999759e-01,8.457899999999999920e-09
1.453075718879699707e+01,1.999989999999999934e+00,3.817579999999999963e-07,1.468592643737792969e+01,4.000279999999999947e-01,8.536789999999999841e-09
1.488830780982971191e+01,1.800030000000000019e+00,2.858110000000000173e-07,1.504696702957153320e+01,4.000330000000000275e-01,7.837939999999999509e-09
1.525181603431701660e+01,1.600030000000000063e+00,2.173489999999999963e-07,1.542313861846923828e+01,4.000210000000000155e-01,9.360830000000000647e-09
1.562997245788574219e+01,1.400050000000000017e+00,1.392829999999999906e-07,1.578586435317993164e+01,4.000250000000000195e-01,8.583949999999999914e-09
1.598893594741821289e+01,1.200059999999999905e+00,7.358949999999999863e-08,1.613020157814025879e+01,4.000239999999999907e-01,8.345880000000000549e-09
1.626948428153991699e+01,1.000070000000000014e+00,4.868620000000000089e-08,1.641047763824462891e+01,4.000210000000000155e-01,8.570670000000000142e-09
1.654952120780944824e+01,8.000650000000000261e-01,3.083900000000000238e-08,1.669096732139587402e+01,4.000210000000000155e-01,9.490870000000000335e-09
1.683148312568664551e+01,6.000490000000000546e-01,1.898709999999999867e-08,1.697102808952331543e+01,4.000210000000000155e-01,9.589330000000000013e-09
1.711290812492370605e+01,4.000210000000000155e-01,1.066529999999999956e-08,1.725399398803710938e+01,4.000279999999999947e-01,1.098830000000000020e-08
1.739344930648803711e+01,1.999670000000000059e-01,4.764529999999999883e-09,1.753390049934387207e+01,4.000239999999999907e-01,1.119880000000000066e-08
