# Tue Oct 24 19:03:45 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.5, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.09, T2 = 0.09, nplc=0.5, Nfire=95, ratioRth=0.2, Rth=9177393.20431676
4.342195987701416016e-01,4.000460000000000127e-01,1.318439999999999926e-08
9.851591587066650391e-01,4.000349999999999739e-01,9.704690000000000326e-09
1.530153274536132812e+00,4.000409999999999799e-01,1.201849999999999939e-08
2.074349880218505859e+00,4.000389999999999779e-01,1.235339999999999996e-08
2.604434251785278320e+00,4.000380000000000047e-01,9.677799999999999812e-09
3.139645099639892578e+00,4.000429999999999819e-01,9.843349999999999928e-09
3.675027847290039062e+00,4.000369999999999759e-01,1.199989999999999948e-08
4.223292350769042969e+00,4.000380000000000047e-01,9.423610000000000300e-09
4.769135475158691406e+00,4.000389999999999779e-01,1.190620000000000010e-08
5.313304901123046875e+00,4.000420000000000087e-01,1.189639999999999957e-08
5.848587751388549805e+00,4.000330000000000275e-01,1.145680000000000039e-08
6.393307685852050781e+00,4.000429999999999819e-01,1.178319999999999959e-08
6.939218759536743164e+00,4.000409999999999799e-01,8.631109999999999987e-09
7.501940488815307617e+00,4.000420000000000087e-01,8.536850000000000769e-09
8.049068212509155273e+00,4.000460000000000127e-01,1.146680000000000015e-08
8.598379135131835938e+00,4.000509999999999899e-01,8.788970000000000515e-09
9.129214525222778320e+00,4.000360000000000027e-01,1.236690000000000038e-08
9.673305749893188477e+00,4.000480000000000147e-01,1.146310000000000025e-08
1.020776486396789551e+01,4.000420000000000087e-01,1.197649999999999974e-08
1.077259421348571777e+01,4.000480000000000147e-01,1.118450000000000000e-08
1.130831313133239746e+01,4.000449999999999839e-01,1.219429999999999955e-08
1.184220361709594727e+01,4.000360000000000027e-01,9.632809999999999950e-09
1.237442564964294434e+01,4.000449999999999839e-01,9.989600000000000328e-09
1.292418622970581055e+01,4.000460000000000127e-01,1.098880000000000077e-08
1.345626378059387207e+01,4.000480000000000147e-01,8.582479999999999504e-09
1.404744005203247070e+01,4.000409999999999799e-01,1.174870000000000018e-08
1.459330725669860840e+01,4.000540000000000207e-01,9.540549999999999692e-09
1.512713336944580078e+01,4.000509999999999899e-01,1.195419999999999993e-08
1.567220377922058105e+01,4.000529999999999919e-01,9.700799999999999423e-09
1.620158720016479492e+01,4.000400000000000067e-01,1.057690000000000056e-08
1.674830412864685059e+01,4.000509999999999899e-01,1.110610000000000076e-08
1.727442002296447754e+01,4.000480000000000147e-01,8.474079999999999341e-09
1.782458734512329102e+01,4.000429999999999819e-01,1.196320000000000021e-08
1.837227392196655273e+01,4.000460000000000127e-01,8.698439999999999174e-09
1.891888117790222168e+01,4.000429999999999819e-01,9.978709999999999759e-09
1.946549296379089355e+01,4.000460000000000127e-01,1.173919999999999933e-08
2.001525139808654785e+01,4.000429999999999819e-01,8.540899999999999737e-09
