# Tue Oct 24 19:53:16 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.5, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 3, T2 = 3, nplc=0.5, Nfire=87, ratioRth=0.2, Rth=8076313.580661162
3.361084461212158203e+00,4.000469999999999859e-01,7.746380000000000706e-09
9.733016252517700195e+00,4.000429999999999819e-01,7.725070000000000497e-09
1.612505125999450684e+01,4.000429999999999819e-01,5.379160000000000272e-09
2.250079941749572754e+01,4.000360000000000027e-01,8.410319999999999966e-09
2.890182852745056152e+01,4.000520000000000187e-01,5.374839999999999608e-09
3.527687478065490723e+01,4.000400000000000067e-01,7.485830000000000401e-09
4.163941407203674316e+01,4.000409999999999799e-01,4.962340000000000051e-09
4.803290057182312012e+01,4.000400000000000067e-01,8.486590000000000159e-09
5.439901185035705566e+01,4.000409999999999799e-01,7.550289999999999577e-09
6.079289221763610840e+01,4.000540000000000207e-01,7.521920000000000429e-09
6.716639542579650879e+01,4.000529999999999919e-01,5.300280000000000230e-09
7.354260087013244629e+01,4.000449999999999839e-01,6.624810000000000411e-09
7.993923783302307129e+01,4.000480000000000147e-01,5.201479999999999703e-09
8.631506204605102539e+01,4.000500000000000167e-01,8.383149999999999532e-09
9.270817923545837402e+01,4.000540000000000207e-01,5.765640000000000368e-09
9.907126593589782715e+01,4.000589999999999979e-01,7.826090000000000630e-09
1.054426212310791016e+02,4.000429999999999819e-01,7.533759999999999428e-09
1.118480637073516846e+02,4.000480000000000147e-01,7.067640000000000215e-09
1.182301096916198730e+02,4.000429999999999819e-01,8.119210000000000545e-09
1.246290974617004395e+02,4.000569999999999959e-01,6.189099999999999648e-09
1.309811921119689941e+02,4.000589999999999979e-01,7.960800000000000055e-09
1.373658659458160400e+02,4.000409999999999799e-01,8.127280000000000497e-09
1.437578339576721191e+02,4.000270000000000215e-01,5.484860000000000021e-09
1.501325933933258057e+02,4.000400000000000067e-01,5.464080000000000016e-09
1.565318126678466797e+02,4.000589999999999979e-01,6.316130000000000191e-09
1.628972942829132080e+02,4.000500000000000167e-01,4.725899999999999986e-09
1.692540161609649658e+02,4.000360000000000027e-01,7.538369999999999891e-09
1.756445505619049072e+02,4.000380000000000047e-01,4.922210000000000108e-09
1.820047230720520020e+02,4.000449999999999839e-01,5.184750000000000320e-09
1.883880863189697266e+02,4.000400000000000067e-01,4.717659999999999609e-09
1.947657520771026611e+02,4.000549999999999939e-01,4.771389999999999588e-09
2.011327550411224365e+02,4.000380000000000047e-01,6.478880000000000275e-09
2.075071074962615967e+02,4.000420000000000087e-01,5.139799999999999973e-09
2.138728914260864258e+02,4.000349999999999739e-01,7.590540000000000549e-09
2.202758305072784424e+02,4.000529999999999919e-01,2.929640000000000153e-08
2.266489317417144775e+02,4.000609999999999999e-01,5.212160000000000001e-08
2.330260031223297119e+02,4.000330000000000275e-01,3.937999999999999926e-08
2.394194085597991943e+02,4.000369999999999759e-01,5.215600000000000063e-08
2.458129656314849854e+02,4.000299999999999967e-01,3.788840000000000329e-08
2.522071070671081543e+02,4.000440000000000107e-01,6.266930000000000650e-08
2.585896070003509521e+02,4.000509999999999899e-01,5.917270000000000019e-08
2.649703626632690430e+02,4.000480000000000147e-01,6.180199999999999979e-08
2.713517816066741943e+02,4.000389999999999779e-01,5.534219999999999776e-08
2.777441222667694092e+02,4.000409999999999799e-01,5.057019999999999976e-08
2.841334838867187500e+02,4.000520000000000187e-01,5.709560000000000206e-08
2.905059301853179932e+02,4.000569999999999959e-01,6.145650000000000507e-08
2.968779137134552002e+02,4.000330000000000275e-01,7.010080000000000261e-08
3.032578797340393066e+02,4.000469999999999859e-01,7.654019999999999342e-08
3.096293926239013672e+02,4.000290000000000235e-01,7.051549999999999374e-08
3.160180864334106445e+02,4.000480000000000147e-01,6.384829999999999344e-08
3.223918378353118896e+02,4.000480000000000147e-01,6.184259999999999818e-08
3.287675747871398926e+02,4.000330000000000275e-01,5.982490000000000255e-08
3.351570115089416504e+02,4.000360000000000027e-01,7.280089999999999910e-08
3.415291061401367188e+02,4.000380000000000047e-01,6.866909999999999648e-08
3.479201261997222900e+02,4.000449999999999839e-01,7.257460000000000455e-08
3.542891569137573242e+02,4.000509999999999899e-01,1.098670000000000004e-07
3.606188340187072754e+02,4.000319999999999987e-01,6.491529999999999895e-08
3.670184960365295410e+02,4.000360000000000027e-01,8.126640000000000301e-08
3.733918280601501465e+02,4.000440000000000107e-01,6.843740000000000109e-08
3.797687544822692871e+02,4.000569999999999959e-01,6.940489999999999966e-08
3.861528823375701904e+02,4.000469999999999859e-01,7.368659999999999492e-08
3.925431234836578369e+02,4.000400000000000067e-01,7.008540000000000367e-08
3.989381449222564697e+02,4.000440000000000107e-01,6.218750000000000016e-08
4.053158729076385498e+02,4.000380000000000047e-01,9.113160000000000323e-08
4.117094094753265381e+02,4.000460000000000127e-01,6.821219999999999984e-08
4.180965764522552490e+02,4.000589999999999979e-01,6.601430000000000105e-08
4.244705998897552490e+02,4.000429999999999819e-01,1.011370000000000010e-07
4.308051440715789795e+02,4.000460000000000127e-01,8.065960000000000051e-08
4.371929376125335693e+02,4.000400000000000067e-01,6.028839999999999873e-08
4.435881090164184570e+02,4.000409999999999799e-01,7.508659999999999422e-08
4.499622390270233154e+02,4.000509999999999899e-01,6.914509999999999359e-08
4.563403828144073486e+02,4.000409999999999799e-01,6.507110000000000621e-08
4.627335882186889648e+02,4.000469999999999859e-01,7.396639999999999720e-08
4.691169235706329346e+02,4.000319999999999987e-01,7.941040000000000280e-08
