# Tue Oct 24 17:29:30 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-4, Tmax=600, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=4, ratioRth=0.2, Rth=8605067.466646088
3.763895034790039062e-01,4.000500000000000167e-01,1.150220000000000025e-08
7.543070316314697266e-01,-4.001020000000000132e-01,-6.447549999999999723e-09
1.130457162857055664e+00,4.000480000000000147e-01,8.550479999999999615e-09
1.521028518676757812e+00,-4.000989999999999824e-01,-5.389690000000000400e-07
1.677361488342285156e+00,4.000349999999999739e-01,6.722889999999999394e-08
1.974223136901855469e+00,-4.000969999999999804e-01,-8.668390000000000503e-08
2.210296392440795898e+00,4.000270000000000215e-01,5.614329999999999823e-08
2.448157072067260742e+00,-4.001049999999999884e-01,-6.998149999999999703e-08
2.681344270706176758e+00,4.000330000000000275e-01,4.395250000000000265e-08
2.916197061538696289e+00,-4.000909999999999744e-01,-6.220499999999999354e-08
3.151267051696777344e+00,4.000319999999999987e-01,4.457860000000000320e-08
3.388437271118164062e+00,-4.001040000000000152e-01,-5.616229999999999992e-08
3.624984264373779297e+00,4.000290000000000235e-01,3.780249999999999721e-08
3.860288619995117188e+00,-4.001060000000000172e-01,-6.095869999999999382e-08
4.093187332153320312e+00,4.000340000000000007e-01,3.979669999999999927e-08
4.327303647994995117e+00,-4.001069999999999904e-01,-5.723199999999999923e-08
4.565945386886596680e+00,4.000259999999999927e-01,4.075510000000000209e-08
4.798995494842529297e+00,-4.000900000000000012e-01,-5.054399999999999917e-08
5.032264232635498047e+00,4.000360000000000027e-01,4.061279999999999690e-08
5.266023397445678711e+00,-4.001049999999999884e-01,-5.291519999999999859e-08
5.501402854919433594e+00,4.000319999999999987e-01,3.457869999999999848e-08
5.735617637634277344e+00,-4.000900000000000012e-01,-5.634279999999999945e-08
5.969738245010375977e+00,4.000400000000000067e-01,3.770820000000000013e-08
6.206209421157836914e+00,-4.001000000000000112e-01,-4.799899999999999855e-08
6.442162036895751953e+00,4.000380000000000047e-01,3.312330000000000121e-08
6.676653146743774414e+00,-4.000920000000000032e-01,-5.419410000000000086e-08
6.912247419357299805e+00,4.000389999999999779e-01,3.653249999999999973e-08
7.149730682373046875e+00,-4.001009999999999844e-01,-5.058519999999999692e-08
7.384358167648315430e+00,4.000319999999999987e-01,3.677090000000000007e-08
7.619943857192993164e+00,-4.001000000000000112e-01,-4.829350000000000161e-08
7.856651782989501953e+00,4.000409999999999799e-01,3.199680000000000101e-08
8.094787359237670898e+00,-4.000940000000000052e-01,-4.599730000000000121e-08
8.329341411590576172e+00,4.000349999999999739e-01,3.777459999999999733e-08
8.564147472381591797e+00,-4.000989999999999824e-01,-4.031660000000000117e-08
8.796050548553466797e+00,4.000400000000000067e-01,2.820529999999999978e-08
9.033149480819702148e+00,-4.000929999999999764e-01,-4.281020000000000174e-08
9.266115188598632812e+00,4.000290000000000235e-01,3.051169999999999918e-08
9.502014636993408203e+00,-4.001069999999999904e-01,-4.126879999999999960e-08
9.734205245971679688e+00,4.000400000000000067e-01,2.745710000000000106e-08
9.968941450119018555e+00,-4.000920000000000032e-01,-4.004540000000000070e-08
1.020193672180175781e+01,4.000340000000000007e-01,2.630449999999999907e-08
1.043722534179687500e+01,-4.000850000000000239e-01,-4.401089999999999740e-08
1.067213511466979980e+01,4.000460000000000127e-01,2.830640000000000060e-08
1.090642213821411133e+01,-4.000960000000000072e-01,-3.695790000000000035e-08
1.113902330398559570e+01,4.000389999999999779e-01,2.475359999999999939e-08
1.137298703193664551e+01,-4.000960000000000072e-01,-4.023589999999999834e-08
1.160712146759033203e+01,4.000340000000000007e-01,2.810070000000000161e-08
1.184222984313964844e+01,-4.000980000000000092e-01,-3.856440000000000220e-08
1.207919549942016602e+01,4.000369999999999759e-01,2.480799999999999953e-08
1.231299901008605957e+01,-4.000949999999999784e-01,-3.893800000000000099e-08
1.255100274085998535e+01,4.000389999999999779e-01,2.571570000000000044e-08
1.278410911560058594e+01,-4.001020000000000132e-01,-3.562529999999999939e-08
1.302256059646606445e+01,4.000310000000000255e-01,2.632210000000000116e-08
1.325916147232055664e+01,-4.000929999999999764e-01,-4.039470000000000238e-08
1.349514961242675781e+01,4.000369999999999759e-01,2.872310000000000062e-08
1.372921466827392578e+01,-4.000989999999999824e-01,-3.243939999999999864e-08
1.396300625801086426e+01,4.000319999999999987e-01,2.487900000000000063e-08
1.419723629951477051e+01,-4.000980000000000092e-01,-3.592690000000000257e-08
1.443102455139160156e+01,4.000310000000000255e-01,2.653029999999999967e-08
1.466319727897644043e+01,-4.000929999999999764e-01,-3.745710000000000127e-08
1.489626097679138184e+01,4.000270000000000215e-01,2.614930000000000109e-08
1.513307619094848633e+01,-4.000879999999999992e-01,-3.754720000000000285e-08
1.538419580459594727e+01,4.000409999999999799e-01,3.022870000000000254e-08
1.562124156951904297e+01,-4.000859999999999972e-01,-3.899939999999999914e-08
1.585807061195373535e+01,4.000420000000000087e-01,2.693589999999999836e-08
1.609526801109313965e+01,-4.000909999999999744e-01,-3.736609999999999735e-08
1.633094477653503418e+01,4.000449999999999839e-01,2.847549999999999912e-08
1.657002186775207520e+01,-4.000909999999999744e-01,-3.621520000000000125e-08
1.680892109870910645e+01,4.000469999999999859e-01,2.877979999999999940e-08
1.704603433609008789e+01,-4.000879999999999992e-01,-3.155909999999999703e-08
1.728100562095642090e+01,4.000389999999999779e-01,2.577360000000000124e-08
1.751891350746154785e+01,-4.000949999999999784e-01,-3.526049999999999999e-08
1.775336527824401855e+01,4.000460000000000127e-01,2.496929999999999979e-08
1.799006056785583496e+01,-4.000839999999999952e-01,-3.504490000000000168e-08
1.822426676750183105e+01,4.000400000000000067e-01,2.808169999999999992e-08
1.846092963218688965e+01,-4.000940000000000052e-01,-3.541219999999999730e-08
1.869702363014221191e+01,4.000389999999999779e-01,2.472040000000000079e-08
1.893228387832641602e+01,-4.000830000000000219e-01,-3.324769999999999800e-08
1.916901683807373047e+01,4.000480000000000147e-01,2.558200000000000037e-08
1.940452051162719727e+01,-4.000929999999999764e-01,-3.205700000000000045e-08
1.964076471328735352e+01,4.000349999999999739e-01,2.456519999999999950e-08
1.987720942497253418e+01,-4.000989999999999824e-01,-3.263899999999999865e-08
2.011342334747314453e+01,4.000469999999999859e-01,2.317390000000000080e-08
2.034812879562377930e+01,-4.000889999999999724e-01,-3.085239999999999905e-08
2.058407807350158691e+01,4.000420000000000087e-01,2.564100000000000110e-08
2.082059431076049805e+01,-4.000920000000000032e-01,-3.179380000000000244e-08
2.105733561515808105e+01,4.000380000000000047e-01,2.478140000000000047e-08
2.129415392875671387e+01,-4.000929999999999764e-01,-3.589800000000000156e-08
2.152617454528808594e+01,4.000380000000000047e-01,2.603249999999999835e-08
2.176036119461059570e+01,-4.001000000000000112e-01,-3.370489999999999763e-08
2.199289226531982422e+01,4.000369999999999759e-01,2.440419999999999892e-08
