# Fri Oct 27 19:06:16 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.150341033935546875e-02,-1.223090000000000008e-05,1.258499999999999945e-09,2.808210849761962891e-01,4.000420000000000087e-01,8.170780000000000059e-07
4.515671730041503906e-01,1.999920000000000031e-01,1.748080000000000126e-07,6.078083515167236328e-01,4.000389999999999779e-01,6.358899999999999587e-07
7.475132942199707031e-01,4.000369999999999759e-01,6.150150000000000315e-07,8.896803855895996094e-01,4.000369999999999759e-01,6.050279999999999567e-07
1.029597043991088867e+00,6.000630000000000130e-01,1.280519999999999981e-06,1.184113502502441406e+00,4.000420000000000087e-01,4.990430000000000304e-07
1.339703321456909180e+00,8.000810000000000421e-01,1.790300000000000037e-06,1.495464086532592773e+00,4.000429999999999819e-01,3.684799999999999749e-07
1.653122663497924805e+00,1.000080000000000080e+00,2.179270000000000058e-06,1.809621572494506836e+00,4.000400000000000067e-01,3.547820000000000067e-07
1.964462518692016602e+00,1.200080000000000036e+00,2.757660000000000038e-06,2.116541147232055664e+00,4.000310000000000255e-01,3.339870000000000114e-07
2.274011135101318359e+00,1.400050000000000017e+00,3.329739999999999904e-06,2.428598165512084961e+00,4.000340000000000007e-01,3.552900000000000004e-07
2.586069345474243164e+00,1.600019999999999998e+00,4.127120000000000391e-06,2.742660284042358398e+00,4.000330000000000275e-01,3.557970000000000195e-07
2.900537014007568359e+00,1.800010000000000110e+00,5.144479999999999913e-06,3.055368423461914062e+00,4.000239999999999907e-01,3.349759999999999947e-07
3.211502790451049805e+00,1.999970000000000026e+00,6.230540000000000150e-06,3.367744207382202148e+00,4.000259999999999927e-01,3.614240000000000208e-07
3.524374961853027344e+00,2.200019999999999865e+00,7.440960000000000159e-06,3.679628372192382812e+00,4.000230000000000175e-01,3.638770000000000230e-07
