# Fri Oct 27 18:06:22 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.4, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=125, ratioRth=0.2, Rth=101329062.20544201
3.549172878265380859e-01,4.000469999999999859e-01,-2.864209999999999976e-09
7.286484241485595703e-01,4.000299999999999967e-01,6.027339999999999785e-10
1.103379726409912109e+00,4.000299999999999967e-01,-4.405500000000000141e-09
1.476414918899536133e+00,4.000460000000000127e-01,-3.134920000000000172e-09
1.866692543029785156e+00,4.000250000000000195e-01,-2.592890000000000132e-09
2.240305900573730469e+00,4.000429999999999819e-01,-5.735599999999999922e-09
2.613476753234863281e+00,4.000500000000000167e-01,-9.474040000000000921e-10
2.989099740982055664e+00,4.000389999999999779e-01,-1.240170000000000071e-09
3.352028846740722656e+00,4.000480000000000147e-01,-8.431669999999999691e-10
3.725989341735839844e+00,4.000340000000000007e-01,-8.592609999999999965e-10
4.085493803024291992e+00,4.000299999999999967e-01,-3.917770000000000214e-09
4.459903478622436523e+00,4.000440000000000107e-01,-4.464070000000000281e-09
4.836134672164916992e+00,4.000469999999999859e-01,-2.556549999999999821e-09
5.192114591598510742e+00,4.000380000000000047e-01,-5.538459999999999711e-10
5.553311347961425781e+00,4.000409999999999799e-01,-9.773609999999999298e-10
5.910725355148315430e+00,4.000369999999999759e-01,-1.437709999999999991e-09
6.280114650726318359e+00,4.000440000000000107e-01,-5.516840000000000152e-09
6.639307260513305664e+00,4.000449999999999839e-01,-5.915309999999999914e-09
7.000857591629028320e+00,4.000429999999999819e-01,-7.817449999999999304e-09
7.375115394592285156e+00,4.000480000000000147e-01,-9.042019999999999553e-10
7.731330156326293945e+00,4.000349999999999739e-01,-3.034829999999999952e-09
8.092114686965942383e+00,4.000400000000000067e-01,-5.740400000000000153e-10
8.454427480697631836e+00,4.000500000000000167e-01,-1.009020000000000099e-09
8.816308498382568359e+00,4.000509999999999899e-01,-2.489829999999999869e-09
9.177640199661254883e+00,4.000489999999999879e-01,-3.790090000000000092e-09
9.536049842834472656e+00,4.000509999999999899e-01,-2.151780000000000194e-09
9.909722328186035156e+00,4.000389999999999779e-01,-1.421490000000000020e-09
1.026801943778991699e+01,4.000310000000000255e-01,-2.011040000000000120e-09
1.062413430213928223e+01,4.000380000000000047e-01,-7.844410000000000625e-09
1.098452591896057129e+01,4.000299999999999967e-01,-6.861950000000000277e-09
1.134207463264465332e+01,4.000380000000000047e-01,-7.941569999999999491e-09
1.170013499259948730e+01,4.000420000000000087e-01,-8.050659999999999577e-09
