# Fri Oct 27 18:01:52 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.02, T2 = 0.02, nplc=0.5, Nfire=77, ratioRth=0.2, Rth=46577933.53448351
3.716678619384765625e-01,4.000330000000000275e-01,-1.023170000000000019e-10
7.732727527618408203e-01,4.000389999999999779e-01,-2.064980000000000039e-09
1.176641941070556641e+00,4.000409999999999799e-01,-5.066980000000000219e-09
1.581249475479125977e+00,4.000279999999999947e-01,-6.739839999999999754e-09
1.992085456848144531e+00,4.000340000000000007e-01,-1.451399999999999972e-09
2.402044773101806641e+00,4.000239999999999907e-01,-6.543869999999999655e-09
2.806143999099731445e+00,4.000150000000000095e-01,-3.784919999999999788e-09
3.219028472900390625e+00,4.000409999999999799e-01,-4.963369999999999994e-09
3.628091335296630859e+00,4.000250000000000195e-01,-2.003310000000000189e-09
4.034218788146972656e+00,4.000380000000000047e-01,-1.500399999999999906e-09
4.440305471420288086e+00,4.000319999999999987e-01,-6.628699999999999661e-09
4.846073865890502930e+00,4.000270000000000215e-01,-5.333420000000000386e-09
5.257670164108276367e+00,4.000400000000000067e-01,-4.166650000000000289e-09
5.667115926742553711e+00,4.000199999999999867e-01,-3.824289999999999829e-09
6.072380304336547852e+00,4.000330000000000275e-01,-9.137869999999999796e-10
6.476191043853759766e+00,4.000360000000000027e-01,-2.160980000000000121e-09
6.882879495620727539e+00,4.000239999999999907e-01,-5.088599999999999985e-09
7.302486181259155273e+00,4.000340000000000007e-01,-4.934490000000000400e-09
7.710439205169677734e+00,4.000259999999999927e-01,-1.418720000000000039e-09
8.119697809219360352e+00,4.000409999999999799e-01,-3.546149999999999795e-09
8.524402379989624023e+00,4.000340000000000007e-01,-4.503969999999999699e-09
8.928677797317504883e+00,4.000270000000000215e-01,-2.392470000000000114e-09
9.333683729171752930e+00,4.000340000000000007e-01,-1.347180000000000098e-10
9.739285230636596680e+00,4.000460000000000127e-01,-2.001249999999999888e-09
1.014610409736633301e+01,4.000330000000000275e-01,-4.296309999999999612e-09
1.055213856697082520e+01,4.000290000000000235e-01,-1.071849999999999974e-09
1.095393657684326172e+01,4.000270000000000215e-01,-2.491469999999999876e-10
1.137362766265869141e+01,4.000250000000000195e-01,2.540269999999999956e-08
1.180027365684509277e+01,4.000409999999999799e-01,1.167300000000000004e-07
1.216009068489074707e+01,4.000420000000000087e-01,1.523759999999999875e-07
1.251752257347106934e+01,4.000349999999999739e-01,6.351220000000000408e-08
1.293999648094177246e+01,4.000369999999999759e-01,7.556900000000000653e-08
1.336023855209350586e+01,4.000380000000000047e-01,6.253959999999999443e-08
1.378212475776672363e+01,4.000380000000000047e-01,5.781750000000000140e-08
1.420457410812377930e+01,4.000230000000000175e-01,7.081600000000000361e-08
1.464211106300354004e+01,4.000429999999999819e-01,4.951520000000000123e-08
1.506303548812866211e+01,4.000400000000000067e-01,3.585669999999999840e-08
1.548548579216003418e+01,4.000409999999999799e-01,5.584010000000000118e-08
1.590634989738464355e+01,4.000409999999999799e-01,2.950719999999999836e-08
1.632633066177368164e+01,4.000449999999999839e-01,4.076890000000000053e-08
1.675122141838073730e+01,4.000319999999999987e-01,4.964439999999999950e-08
1.717601847648620605e+01,4.000340000000000007e-01,4.529869999999999785e-08
1.760337948799133301e+01,4.000429999999999819e-01,5.027680000000000323e-08
1.802865219116210938e+01,4.000380000000000047e-01,4.349689999999999690e-08
1.845518541336059570e+01,4.000389999999999779e-01,5.941669999999999894e-08
1.889774584770202637e+01,4.000239999999999907e-01,4.282359999999999841e-08
1.931722760200500488e+01,4.000239999999999907e-01,4.605130000000000288e-08
1.974021029472351074e+01,4.000340000000000007e-01,5.976749999999999570e-08
2.016118502616882324e+01,4.000319999999999987e-01,6.977399999999999997e-08
2.058227157592773438e+01,4.000290000000000235e-01,7.055440000000000608e-08
2.112645387649536133e+01,4.000389999999999779e-01,5.035919999999999873e-08
2.154934978485107422e+01,4.000330000000000275e-01,7.477230000000000576e-08
2.197021698951721191e+01,4.000369999999999759e-01,4.436870000000000210e-08
2.240721154212951660e+01,4.000460000000000127e-01,6.322099999999999416e-08
2.282821941375732422e+01,4.000360000000000027e-01,5.216809999999999979e-08
2.324968886375427246e+01,4.000420000000000087e-01,4.783499999999999787e-08
2.366987824440002441e+01,4.000409999999999799e-01,4.975030000000000179e-08
2.409088516235351562e+01,4.000380000000000047e-01,3.940880000000000147e-08
2.451491451263427734e+01,4.000449999999999839e-01,5.985920000000000439e-08
2.495502638816833496e+01,4.000389999999999779e-01,7.329479999999999799e-08
2.539512777328491211e+01,4.000420000000000087e-01,1.009679999999999946e-07
2.575449776649475098e+01,4.000440000000000107e-01,6.980860000000000479e-08
2.619132328033447266e+01,4.000310000000000255e-01,7.591049999999999672e-08
2.662609410285949707e+01,4.000389999999999779e-01,5.616870000000000188e-08
2.704712271690368652e+01,4.000239999999999907e-01,7.679220000000000123e-08
2.748345780372619629e+01,4.000449999999999839e-01,5.966809999999999416e-08
2.790199899673461914e+01,4.000409999999999799e-01,7.892160000000000176e-08
2.832278299331665039e+01,4.000440000000000107e-01,7.473809999999999609e-08
2.874489521980285645e+01,4.000290000000000235e-01,7.121400000000000492e-08
2.918418693542480469e+01,4.000440000000000107e-01,5.634200000000000251e-08
2.961495685577392578e+01,4.000250000000000195e-01,7.318670000000000246e-08
3.004022240638732910e+01,4.000380000000000047e-01,6.739119999999999534e-08
