# Fri Oct 27 17:34:27 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.105446815490722656e-02,-1.845359999999999896e-05,-1.317470000000000001e-09,2.815451622009277344e-01,4.000210000000000155e-01,3.435630000000000305e-08
4.220695495605468750e-01,1.999630000000000019e-01,6.844149999999999780e-09,5.633137226104736328e-01,4.000170000000000115e-01,3.732509999999999718e-08
7.040762901306152344e-01,4.000170000000000115e-01,4.078889999999999674e-08,8.582959175109863281e-01,4.000330000000000275e-01,3.055619999999999670e-08
1.000290393829345703e+00,6.000469999999999970e-01,7.571939999999999973e-08,1.141062259674072266e+00,4.000219999999999887e-01,3.554399999999999720e-08
1.283030033111572266e+00,8.001000000000000334e-01,2.100119999999999882e-07,1.438206911087036133e+00,4.000380000000000047e-01,3.118159999999999911e-08
1.641173124313354492e+00,1.000080000000000080e+00,2.914970000000000062e-07,1.798295259475708008e+00,4.000349999999999739e-01,3.224720000000000172e-08
2.000128507614135742e+00,1.200069999999999970e+00,4.326729999999999992e-07,2.153957843780517578e+00,4.000290000000000235e-01,3.382849999999999749e-08
2.356984615325927734e+00,1.400060000000000082e+00,6.795420000000000111e-07,2.512435674667358398e+00,4.000319999999999987e-01,3.939390000000000311e-08
2.715167522430419922e+00,1.600030000000000063e+00,9.313330000000000454e-07,2.871316432952880859e+00,4.000310000000000255e-01,3.841929999999999781e-08
3.074167966842651367e+00,1.800019999999999953e+00,1.210479999999999971e-06,3.244171380996704102e+00,4.000219999999999887e-01,3.411250000000000188e-08
3.446438550949096680e+00,1.999970000000000026e+00,1.600169999999999962e-06,3.618336915969848633e+00,4.000319999999999987e-01,4.742249999999999997e-08
3.821745395660400391e+00,2.199980000000000047e+00,2.138140000000000166e-06,3.992344617843627930e+00,4.000360000000000027e-01,4.180720000000000262e-08
4.193542242050170898e+00,2.400079999999999991e+00,2.703739999999999884e-06,4.367246866226196289e+00,4.000179999999999847e-01,4.107529999999999856e-08
4.570593833923339844e+00,2.600190000000000001e+00,3.552680000000000178e-06,4.743947267532348633e+00,4.000199999999999867e-01,4.190630000000000117e-08
