# Fri Oct 27 16:44:17 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=3.5, Tmax=0, Twrite=0.1, Tread=0.1, hslV=-0.4, T1 = 0.02, T2 = 0.02, nplc=0.5, Nfire=39, ratioRth=0.2, Rth=29509375.43937564
3.869464397430419922e-01,-4.000900000000000012e-01,-1.127699999999999942e-09
7.900972366333007812e-01,-4.000810000000000199e-01,-4.893280000000000291e-09
1.199370384216308594e+00,-4.001029999999999864e-01,-5.507600000000000296e-09
1.608444452285766602e+00,-4.000889999999999724e-01,-3.871269999999999599e-09
2.007832050323486328e+00,-4.000900000000000012e-01,-3.001490000000000148e-09
2.413095712661743164e+00,-4.001000000000000112e-01,-1.084020000000000068e-08
2.822898626327514648e+00,-4.000960000000000072e-01,-1.572910000000000103e-09
3.229140758514404297e+00,-4.000909999999999744e-01,-1.058529999999999983e-08
3.635232925415039062e+00,-4.001100000000000212e-01,-1.352659999999999918e-08
4.039987802505493164e+00,-4.000989999999999824e-01,-6.594729999999999622e-09
4.446059942245483398e+00,-4.000870000000000259e-01,-8.206610000000000057e-09
4.850858211517333984e+00,-4.000929999999999764e-01,-2.036450000000000014e-08
5.255254030227661133e+00,-4.000960000000000072e-01,-9.266569999999999775e-09
5.661237955093383789e+00,-4.000960000000000072e-01,-1.890339999999999906e-09
6.066873311996459961e+00,-4.000870000000000259e-01,-6.325820000000000392e-09
6.470245122909545898e+00,-4.000889999999999724e-01,-1.069959999999999974e-08
6.877279043197631836e+00,-4.001020000000000132e-01,-3.321729999999999861e-09
7.303242444992065430e+00,-4.000839999999999952e-01,-2.988219999999999841e-09
7.708097934722900391e+00,-4.000879999999999992e-01,-9.634110000000000762e-09
8.116697549819946289e+00,-4.001000000000000112e-01,-5.079319999999999785e-09
8.518819093704223633e+00,-4.000889999999999724e-01,-7.260109999999999655e-09
8.923531055450439453e+00,-4.000839999999999952e-01,-9.231630000000000721e-09
9.331167697906494141e+00,-4.001000000000000112e-01,-1.099419999999999994e-08
9.734499454498291016e+00,-4.000989999999999824e-01,-7.124090000000000366e-09
1.014046573638916016e+01,-4.000850000000000239e-01,-6.858829999999999982e-09
1.054668045043945312e+01,-4.000879999999999992e-01,-1.429819999999999928e-08
1.095105266571044922e+01,-4.000969999999999804e-01,-1.330130000000000079e-08
1.137371039390563965e+01,-4.000969999999999804e-01,-8.287199999999999258e-09
1.177714824676513672e+01,-4.000839999999999952e-01,-1.544060000000000063e-08
1.218002843856811523e+01,-4.000810000000000199e-01,-7.007099999999999925e-09
1.259048223495483398e+01,-4.001000000000000112e-01,-8.740379999999999548e-09
1.299196434020996094e+01,-4.001009999999999844e-01,-5.494760000000000162e-09
1.339368605613708496e+01,-4.000989999999999824e-01,-5.324970000000000069e-09
1.379991555213928223e+01,-4.000839999999999952e-01,-1.074579999999999985e-08
1.422022962570190430e+01,-4.000909999999999744e-01,-1.140140000000000077e-08
1.463099336624145508e+01,-4.001020000000000132e-01,-1.113430000000000031e-08
1.504307961463928223e+01,-4.001000000000000112e-01,-1.763899999999999999e-08
1.545085024833679199e+01,-4.001080000000000192e-01,-6.377819999999999799e-09
1.586261391639709473e+01,-4.001020000000000132e-01,-1.504600000000000119e-08
1.608470535278320312e+01,-4.001089999999999924e-01,-9.320619999999999191e-09
