# Fri Oct 27 17:12:38 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=4, Tmax=0, Twrite=0.1, Tread=0.1, hslV=-0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=133, ratioRth=0.2, Rth=15339517.223068602
3.521165847778320312e-01,-4.000850000000000239e-01,-1.329389999999999935e-08
7.292442321777343750e-01,-4.001000000000000112e-01,-1.371519999999999995e-08
1.104372501373291016e+00,-4.001000000000000112e-01,-2.165800000000000110e-08
1.477987527847290039e+00,-4.000810000000000199e-01,-3.279290000000000243e-08
1.849504947662353516e+00,-4.000909999999999744e-01,-1.663669999999999901e-08
2.224263191223144531e+00,-4.000980000000000092e-01,-2.740300000000000060e-08
2.599247932434082031e+00,-4.000779999999999892e-01,-2.565539999999999890e-08
2.974251508712768555e+00,-4.000819999999999932e-01,-1.169840000000000005e-08
3.350082159042358398e+00,-4.000920000000000032e-01,-1.290489999999999997e-08
3.725176095962524414e+00,-4.000909999999999744e-01,-1.507310000000000082e-08
4.096488952636718750e+00,-4.000850000000000239e-01,-1.128639999999999941e-08
4.468905687332153320e+00,-4.000960000000000072e-01,-1.680979999999999876e-08
4.845000982284545898e+00,-4.000960000000000072e-01,-1.826849999999999911e-08
5.219348669052124023e+00,-4.000750000000000139e-01,-2.069759999999999933e-08
5.593163013458251953e+00,-4.000819999999999932e-01,-1.240839999999999946e-08
5.968034982681274414e+00,-4.000989999999999824e-01,-1.853030000000000083e-08
6.342201948165893555e+00,-4.000810000000000199e-01,-2.277090000000000043e-08
6.716157913208007812e+00,-4.000779999999999892e-01,-1.824950000000000072e-08
7.088078498840332031e+00,-4.000929999999999764e-01,-2.476779999999999961e-08
7.462673187255859375e+00,-4.000839999999999952e-01,-2.322370000000000036e-08
7.835213661193847656e+00,-4.000900000000000012e-01,-2.328740000000000046e-08
8.210458278656005859e+00,-4.000989999999999824e-01,-1.749810000000000102e-08
8.583350896835327148e+00,-4.000850000000000239e-01,-2.223779999999999945e-08
8.953035831451416016e+00,-4.000989999999999824e-01,-1.895019999999999852e-08
9.324641942977905273e+00,-4.000850000000000239e-01,-2.205569999999999943e-08
9.701059103012084961e+00,-4.000790000000000179e-01,-2.379089999999999898e-08
1.007877635955810547e+01,-4.000850000000000239e-01,-1.593680000000000146e-08
1.045491576194763184e+01,-4.001029999999999864e-01,-1.286759999999999970e-08
1.083031034469604492e+01,-4.001000000000000112e-01,-2.870949999999999976e-08
1.120404148101806641e+01,-4.000900000000000012e-01,-2.021169999999999959e-08
1.159523677825927734e+01,-4.001080000000000192e-01,-2.643120000000000112e-08
1.197072029113769531e+01,-4.001080000000000192e-01,-3.070369999999999852e-08
1.234415054321289062e+01,-4.000889999999999724e-01,-2.661880000000000076e-08
1.272116351127624512e+01,-4.001009999999999844e-01,-2.828090000000000147e-08
1.309523510932922363e+01,-4.001129999999999964e-01,-2.432489999999999900e-08
1.346991276741027832e+01,-4.001040000000000152e-01,-2.861100000000000056e-08
1.384511852264404297e+01,-4.000920000000000032e-01,-2.862980000000000137e-08
1.422008395195007324e+01,-4.000909999999999744e-01,-2.012319999999999850e-08
1.459309196472167969e+01,-4.001029999999999864e-01,-2.217089999999999837e-08
1.496838831901550293e+01,-4.000989999999999824e-01,-2.473089999999999946e-08
1.534131336212158203e+01,-4.000889999999999724e-01,-1.761029999999999987e-08
1.571468758583068848e+01,-4.001029999999999864e-01,-2.026520000000000070e-08
1.609001636505126953e+01,-4.000920000000000032e-01,-2.591800000000000087e-08
1.646233129501342773e+01,-4.000830000000000219e-01,-2.109729999999999993e-08
1.683701634407043457e+01,-4.001049999999999884e-01,-1.823899999999999874e-08
1.721118569374084473e+01,-4.001060000000000172e-01,-2.621220000000000095e-08
1.758840322494506836e+01,-4.000900000000000012e-01,-2.966569999999999941e-08
1.796371841430664062e+01,-4.000960000000000072e-01,-1.762369999999999985e-08
1.833701109886169434e+01,-4.001000000000000112e-01,-2.135469999999999865e-08
1.871202540397644043e+01,-4.001009999999999844e-01,-2.578929999999999986e-08
1.908575105667114258e+01,-4.000790000000000179e-01,-1.782920000000000126e-08
1.946204805374145508e+01,-4.000960000000000072e-01,-2.587120000000000140e-08
1.983214378356933594e+01,-4.001029999999999864e-01,-3.347399999999999918e-08
2.020921993255615234e+01,-4.000949999999999784e-01,-2.402260000000000098e-08
2.058316636085510254e+01,-4.000839999999999952e-01,-1.294399999999999997e-08
2.095754575729370117e+01,-4.001009999999999844e-01,-1.148009999999999968e-08
2.133118534088134766e+01,-4.001080000000000192e-01,-2.114089999999999841e-08
2.170591402053833008e+01,-4.000940000000000052e-01,-1.387620000000000053e-08
2.207808136940002441e+01,-4.001080000000000192e-01,-1.366119999999999993e-08
2.245188808441162109e+01,-4.001049999999999884e-01,-2.910059999999999854e-08
2.282535338401794434e+01,-4.000920000000000032e-01,-2.034990000000000145e-08
2.319217324256896973e+01,-4.001080000000000192e-01,-2.390349999999999960e-08
2.357062339782714844e+01,-4.000909999999999744e-01,-2.315290000000000015e-08
2.394644451141357422e+01,-4.000850000000000239e-01,-2.250570000000000015e-08
2.431994318962097168e+01,-4.000839999999999952e-01,-9.519909999999999647e-09
2.469280648231506348e+01,-4.000969999999999804e-01,-2.860349999999999868e-08
2.506921458244323730e+01,-4.000839999999999952e-01,-2.399750000000000031e-08
2.544129586219787598e+01,-4.000900000000000012e-01,-1.356549999999999994e-08
2.581353020668029785e+01,-4.000980000000000092e-01,-1.758370000000000081e-08
2.618703365325927734e+01,-4.000839999999999952e-01,-2.206879999999999973e-08
2.656323122978210449e+01,-4.000819999999999932e-01,-1.486089999999999942e-08
2.695202708244323730e+01,-4.001000000000000112e-01,-2.243219999999999953e-08
2.732746958732604980e+01,-4.000759999999999872e-01,-3.010149999999999992e-08
2.770471620559692383e+01,-4.000799999999999912e-01,-2.731000000000000102e-08
2.808367729187011719e+01,-4.000810000000000199e-01,-1.866299999999999976e-08
2.845688676834106445e+01,-4.000870000000000259e-01,-2.809539999999999957e-08
2.883656072616577148e+01,-4.000900000000000012e-01,-2.431669999999999896e-08
2.921494293212890625e+01,-4.000859999999999972e-01,-1.945539999999999963e-08
2.959475922584533691e+01,-4.000940000000000052e-01,-3.156339999999999794e-08
2.997387027740478516e+01,-4.000909999999999744e-01,-3.491080000000000315e-08
3.035330104827880859e+01,-4.000940000000000052e-01,-2.427990000000000091e-08
3.073291254043579102e+01,-4.000969999999999804e-01,-2.855240000000000161e-08
3.111045980453491211e+01,-4.000900000000000012e-01,-2.785010000000000002e-08
3.148363876342773438e+01,-4.000750000000000139e-01,-2.007210000000000144e-08
3.185864830017089844e+01,-4.000879999999999992e-01,-1.777870000000000024e-08
3.223379874229431152e+01,-4.001000000000000112e-01,-2.151839999999999964e-08
3.260513138771057129e+01,-4.000839999999999952e-01,-2.536730000000000111e-08
3.297847223281860352e+01,-4.000989999999999824e-01,-1.884929999999999859e-08
3.335295724868774414e+01,-4.000920000000000032e-01,-3.451760000000000331e-08
3.372997617721557617e+01,-4.000879999999999992e-01,-2.683070000000000083e-08
3.410307621955871582e+01,-4.000850000000000239e-01,-2.534419999999999940e-08
3.447629857063293457e+01,-4.000949999999999784e-01,-2.180540000000000082e-08
3.484899687767028809e+01,-4.000879999999999992e-01,-2.821320000000000014e-08
3.522216272354125977e+01,-4.000830000000000219e-01,-2.303500000000000079e-08
3.559693670272827148e+01,-4.001040000000000152e-01,-1.876059999999999992e-08
3.597507810592651367e+01,-4.000960000000000072e-01,-2.667160000000000042e-08
3.634721112251281738e+01,-4.000799999999999912e-01,-2.525319999999999878e-08
3.672118425369262695e+01,-4.000859999999999972e-01,-1.786869999999999972e-08
3.709412121772766113e+01,-4.000980000000000092e-01,-2.837349999999999927e-08
3.746875596046447754e+01,-4.000810000000000199e-01,-3.028940000000000254e-08
3.784790301322937012e+01,-4.000839999999999952e-01,-2.870129999999999973e-08
3.822118592262268066e+01,-4.000870000000000259e-01,-2.307360000000000023e-08
3.859245395660400391e+01,-4.000900000000000012e-01,-2.731539999999999855e-08
3.896843481063842773e+01,-4.000799999999999912e-01,-2.128139999999999891e-08
3.934243965148925781e+01,-4.000870000000000259e-01,-1.668630000000000099e-08
3.971566152572631836e+01,-4.000960000000000072e-01,-2.500010000000000097e-08
4.008655524253845215e+01,-4.000779999999999892e-01,-2.362329999999999886e-08
4.046177673339843750e+01,-4.000859999999999972e-01,-1.956539999999999863e-08
4.083511996269226074e+01,-4.000920000000000032e-01,-2.427740000000000138e-08
4.120901918411254883e+01,-4.000779999999999892e-01,-2.712790000000000100e-08
4.158521771430969238e+01,-4.000730000000000119e-01,-2.027189999999999903e-08
4.199251174926757812e+01,-4.000830000000000219e-01,-3.012179999999999911e-08
4.236528539657592773e+01,-4.000799999999999912e-01,-2.044909999999999880e-08
4.273799443244934082e+01,-4.000879999999999992e-01,-2.391419999999999916e-08
4.311504268646240234e+01,-4.000850000000000239e-01,-3.035990000000000308e-08
4.348993539810180664e+01,-4.000790000000000179e-01,-2.713029999999999843e-08
4.387839436531066895e+01,-4.000900000000000012e-01,-3.433240000000000109e-08
4.425436782836914062e+01,-4.000940000000000052e-01,-3.261700000000000017e-08
4.464456844329833984e+01,-4.000960000000000072e-01,-2.690329999999999911e-08
4.502005529403686523e+01,-4.001069999999999904e-01,-3.964890000000000109e-08
4.539344382286071777e+01,-4.000949999999999784e-01,-4.565100000000000293e-08
4.576801443099975586e+01,-4.000870000000000259e-01,-4.298489999999999867e-08
4.614110279083251953e+01,-4.000969999999999804e-01,-4.541789999999999802e-08
4.653107142448425293e+01,-4.000830000000000219e-01,-4.426519999999999723e-08
4.690750479698181152e+01,-4.001020000000000132e-01,-4.481409999999999893e-08
4.731019210815429688e+01,-4.000759999999999872e-01,-4.122760000000000185e-08
4.768471026420593262e+01,-4.000850000000000239e-01,-3.109450000000000093e-08
4.805957603454589844e+01,-4.001040000000000152e-01,-3.981060000000000312e-08
4.843400406837463379e+01,-4.000799999999999912e-01,-4.095399999999999734e-08
4.880721449851989746e+01,-4.000879999999999992e-01,-3.370030000000000035e-08
4.918331503868103027e+01,-4.001000000000000112e-01,-3.134569999999999858e-08
4.955892157554626465e+01,-4.000980000000000092e-01,-4.836190000000000109e-08
4.993132257461547852e+01,-4.000889999999999724e-01,-4.340119999999999691e-08
5.013411641120910645e+01,-4.001060000000000172e-01,-4.541970000000000271e-08
