# Tue Oct  3 16:18:33 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.947613716125488281e-02,-2.353190000000000080e-05,-3.707410000000000254e-11,2.821366786956787109e-01,4.000299999999999967e-01,1.511179999999999904e-08
4.226751327514648438e-01,1.999720000000000109e-01,3.640029999999999888e-09,5.653460025787353516e-01,4.000270000000000215e-01,1.616859999999999895e-08
7.054202556610107422e-01,4.000250000000000195e-01,1.499179999999999863e-08,8.481776714324951172e-01,4.000290000000000235e-01,1.560030000000000040e-08
9.881198406219482422e-01,6.000569999999999515e-01,4.264000000000000330e-08,1.131037712097167969e+00,4.000299999999999967e-01,1.680189999999999840e-08
1.271938800811767578e+00,8.000690000000000301e-01,9.638870000000000072e-08,1.411878585815429688e+00,4.000299999999999967e-01,1.535670000000000013e-08
1.554759740829467773e+00,1.000089999999999923e+00,2.236590000000000045e-07,1.713641166687011719e+00,4.000299999999999967e-01,1.421739999999999931e-08
1.920589685440063477e+00,1.200080000000000036e+00,3.713439999999999932e-07,2.077235221862792969e+00,4.000250000000000195e-01,1.480799999999999932e-08
2.284123182296752930e+00,1.400060000000000082e+00,5.625540000000000225e-07,2.444024801254272461e+00,4.000259999999999927e-01,1.478639999999999931e-08
2.646910667419433594e+00,1.600030000000000063e+00,8.464089999999999924e-07,2.805904388427734375e+00,4.000239999999999907e-01,1.618950000000000081e-08
3.011701583862304688e+00,1.800019999999999953e+00,1.294890000000000023e-06,3.171629667282104492e+00,4.000279999999999947e-01,1.705309999999999936e-08
3.378490924835205078e+00,1.999970000000000026e+00,2.900500000000000012e-06,3.547394514083862305e+00,4.000250000000000195e-01,6.353200000000000271e-08
3.754279613494873047e+00,2.200050000000000061e+00,6.896260000000000106e-06,3.912407636642456055e+00,4.000219999999999887e-01,4.040510000000000226e-08
4.120068073272705078e+00,2.400090000000000057e+00,5.540420000000000056e-06,4.290972709655761719e+00,4.000210000000000155e-01,8.536390000000000380e-08
4.494854688644409180e+00,2.600249999999999950e+00,5.158940000000000110e-06,4.654762744903564453e+00,4.000259999999999927e-01,3.971290000000000087e-08
4.858647108078002930e+00,2.800250000000000128e+00,5.241110000000000376e-06,5.018271207809448242e+00,4.000239999999999907e-01,8.539810000000000023e-08
5.223151922225952148e+00,3.000459999999999905e+00,6.012369999999999832e-06,5.380113124847412109e+00,4.000199999999999867e-01,4.639349999999999784e-08
5.586307287216186523e+00,3.200470000000000148e+00,6.633210000000000142e-06,5.756244659423828125e+00,4.000259999999999927e-01,4.006089999999999842e-08
5.960548162460327148e+00,3.400710000000000122e+00,7.846070000000000588e-06,6.131298065185546875e+00,4.000219999999999887e-01,3.886200000000000084e-08
6.335380077362060547e+00,3.600800000000000001e+00,9.329300000000000616e-06,6.504653692245483398e+00,4.000210000000000155e-01,4.154519999999999670e-08
6.723069667816162109e+00,3.800399999999999778e+00,1.134769999999999979e-05,6.892915248870849609e+00,4.000219999999999887e-01,3.437299999999999949e-08
7.096430301666259766e+00,4.000639999999999752e+00,1.321310000000000060e-05,7.277438879013061523e+00,4.000159999999999827e-01,1.241469999999999933e-08
