# Tue Oct  3 19:01:04 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=4.5, Rht1=4000000.0, Rth2=12000000.0, pw=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, pulsos hasta umbral=36
3.438780307769775391e-01,4.000319999999999987e-01,1.155050000000000059e-09
7.076730728149414062e-01,4.000259999999999927e-01,7.148980000000000267e-09
1.074473857879638672e+00,4.000299999999999967e-01,7.566019999999999480e-09
1.437656402587890625e+00,4.000310000000000255e-01,5.960629999999999919e-09
1.814044952392578125e+00,4.000310000000000255e-01,5.714240000000000318e-09
2.186831474304199219e+00,4.000299999999999967e-01,8.245030000000000013e-09
2.565615415573120117e+00,4.000270000000000215e-01,9.413929999999999978e-09
2.909418582916259766e+00,4.000130000000000075e-01,1.058969999999999953e-08
3.223992586135864258e+00,4.000210000000000155e-01,1.977930000000000014e-09
3.600165367126464844e+00,4.000119999999999787e-01,9.606600000000000720e-10
3.982611656188964844e+00,4.000099999999999767e-01,2.213879999999999804e-09
4.360384464263916016e+00,4.000119999999999787e-01,1.517770000000000023e-09
4.739179372787475586e+00,4.000190000000000135e-01,2.149630000000000155e-09
5.085143327713012695e+00,4.000020000000000242e-01,1.419479999999999983e-08
5.405048847198486328e+00,4.000239999999999907e-01,1.917819999999999898e-09
5.781312465667724609e+00,4.000219999999999887e-01,1.771139999999999945e-09
6.160458087921142578e+00,4.000210000000000155e-01,1.052859999999999940e-08
6.537165641784667969e+00,4.000199999999999867e-01,5.008009999999999956e-09
6.914988040924072266e+00,4.000179999999999847e-01,4.583319999999999844e-09
7.297606468200683594e+00,4.000190000000000135e-01,1.175250000000000052e-09
7.675329923629760742e+00,4.000210000000000155e-01,1.634760000000000050e-09
8.049636363983154297e+00,4.000219999999999887e-01,2.684150000000000083e-09
8.423429965972900391e+00,4.000239999999999907e-01,7.015560000000000122e-09
8.801102638244628906e+00,4.000250000000000195e-01,1.921120000000000083e-09
9.179579496383666992e+00,4.000190000000000135e-01,7.097069999999999771e-09
9.562361001968383789e+00,4.000199999999999867e-01,1.249669999999999966e-08
9.940144538879394531e+00,4.000170000000000115e-01,1.497610000000000001e-08
1.031785678863525391e+01,4.000230000000000175e-01,1.244199999999999984e-08
1.070134902000427246e+01,4.000230000000000175e-01,7.227470000000000065e-09
1.107852959632873535e+01,4.000190000000000135e-01,1.883529999999999926e-08
1.145630216598510742e+01,4.000190000000000135e-01,1.084399999999999936e-08
1.183208727836608887e+01,4.000230000000000175e-01,1.281959999999999986e-08
1.221333432197570801e+01,4.000210000000000155e-01,1.903260000000000064e-08
1.259212732315063477e+01,4.000150000000000095e-01,9.193859999999999517e-09
1.297090387344360352e+01,4.000150000000000095e-01,1.114140000000000042e-08
1.334494829177856445e+01,4.000179999999999847e-01,1.947079999999999856e-08
1.354658007621765137e+01,4.000279999999999947e-01,2.919360000000000143e-08
1.378403377532958984e+01,4.000279999999999947e-01,3.421569999999999714e-08
1.404629397392272949e+01,4.000239999999999907e-01,3.012040000000000282e-08
1.428016018867492676e+01,4.000270000000000215e-01,3.148299999999999809e-08
1.451594424247741699e+01,4.000299999999999967e-01,3.096009999999999941e-08
1.475580573081970215e+01,4.000259999999999927e-01,2.611499999999999926e-08
1.499067091941833496e+01,4.000250000000000195e-01,2.743710000000000155e-08
1.522853589057922363e+01,4.000330000000000275e-01,2.812920000000000084e-08
1.546140313148498535e+01,4.000319999999999987e-01,2.875469999999999873e-08
1.569726824760437012e+01,4.000380000000000047e-01,2.740069999999999865e-08
1.593213438987731934e+01,4.000380000000000047e-01,2.542120000000000068e-08
1.616999673843383789e+01,4.000380000000000047e-01,2.605660000000000120e-08
1.640786147117614746e+01,4.000330000000000275e-01,2.676109999999999933e-08
1.664146780967712402e+01,4.000340000000000007e-01,2.613139999999999933e-08
1.687597608566284180e+01,4.000380000000000047e-01,2.713530000000000079e-08
1.710984325408935547e+01,4.000349999999999739e-01,2.680159999999999893e-08
1.734470796585083008e+01,4.000409999999999799e-01,2.399129999999999924e-08
1.757859444618225098e+01,4.000319999999999987e-01,2.725120000000000119e-08
1.781544017791748047e+01,4.000299999999999967e-01,2.720070000000000017e-08
1.805130267143249512e+01,4.000299999999999967e-01,2.655530000000000155e-08
1.828640460968017578e+01,4.000310000000000255e-01,2.367879999999999892e-08
1.852403354644775391e+01,4.000299999999999967e-01,2.377659999999999997e-08
1.876189684867858887e+01,4.000349999999999739e-01,2.201650000000000064e-08
1.899776935577392578e+01,4.000349999999999739e-01,2.462509999999999926e-08
1.923263025283813477e+01,4.000360000000000027e-01,2.398499999999999938e-08
1.947150731086730957e+01,4.000349999999999739e-01,2.331599999999999848e-08
1.970943212509155273e+01,4.000270000000000215e-01,2.224450000000000109e-08
1.994949817657470703e+01,4.000330000000000275e-01,2.272680000000000138e-08
2.018715667724609375e+01,4.000290000000000235e-01,2.215290000000000112e-08
2.042402148246765137e+01,4.000330000000000275e-01,2.236270000000000013e-08
2.066281056404113770e+01,4.000299999999999967e-01,2.300969999999999924e-08
2.090074849128723145e+01,4.000340000000000007e-01,2.057729999999999924e-08
2.113661384582519531e+01,4.000330000000000275e-01,2.160280000000000072e-08
2.140638351440429688e+01,4.000319999999999987e-01,2.195349999999999869e-08
2.164132452011108398e+01,4.000299999999999967e-01,2.222760000000000046e-08
2.187619233131408691e+01,4.000310000000000255e-01,2.239740000000000043e-08
2.211300182342529297e+01,4.000310000000000255e-01,2.224059999999999866e-08
2.234992051124572754e+01,4.000330000000000275e-01,2.403960000000000041e-08
2.258478641510009766e+01,4.000279999999999947e-01,2.184869999999999963e-08
2.282166337966918945e+01,4.000290000000000235e-01,2.253909999999999964e-08
2.305944347381591797e+01,4.000239999999999907e-01,2.223259999999999951e-08
2.329530572891235352e+01,4.000270000000000215e-01,2.252780000000000073e-08
2.352817106246948242e+01,4.000279999999999947e-01,2.355020000000000001e-08
2.376611042022705078e+01,4.000259999999999927e-01,2.287500000000000135e-08
2.400597310066223145e+01,4.000250000000000195e-01,2.458469999999999845e-08
2.424376344680786133e+01,4.000319999999999987e-01,2.417410000000000072e-08
2.448043441772460938e+01,4.000310000000000255e-01,2.469710000000000150e-08
2.471656703948974609e+01,4.000330000000000275e-01,2.268979999999999913e-08
2.495535445213317871e+01,4.000340000000000007e-01,2.494810000000000156e-08
2.519321990013122559e+01,4.000330000000000275e-01,2.358989999999999936e-08
2.542916083335876465e+01,4.000319999999999987e-01,2.259480000000000060e-08
2.566702365875244141e+01,4.000319999999999987e-01,2.315780000000000041e-08
2.590089344978332520e+01,4.000340000000000007e-01,2.589970000000000063e-08
2.613468098640441895e+01,4.000299999999999967e-01,2.409079999999999957e-08
2.636862325668334961e+01,4.000310000000000255e-01,2.371929999999999852e-08
2.660041689872741699e+01,4.000259999999999927e-01,2.334910000000000160e-08
2.683635568618774414e+01,4.000279999999999947e-01,2.365119999999999873e-08
2.707022142410278320e+01,4.000219999999999887e-01,2.318229999999999841e-08
2.730608677864074707e+01,4.000259999999999927e-01,2.398529999999999905e-08
2.754395079612731934e+01,4.000259999999999927e-01,2.302119999999999904e-08
2.777793478965759277e+01,4.000219999999999887e-01,2.308810000000000013e-08
2.801568055152893066e+01,4.000279999999999947e-01,2.344950000000000097e-08
2.825254535675048828e+01,4.000279999999999947e-01,2.395689999999999861e-08
2.848641204833984375e+01,4.000270000000000215e-01,2.401140000000000086e-08
2.872120165824890137e+01,4.000270000000000215e-01,2.294869999999999955e-08
2.896014118194580078e+01,4.000230000000000175e-01,2.325199999999999870e-08
2.921499490737915039e+01,4.000270000000000215e-01,2.196029999999999912e-08
2.945086026191711426e+01,4.000290000000000235e-01,2.148639999999999975e-08
2.968669033050537109e+01,4.000299999999999967e-01,2.156070000000000062e-08
2.992559289932250977e+01,4.000250000000000195e-01,2.123139999999999846e-08
3.016337704658508301e+01,4.000319999999999987e-01,2.135720000000000148e-08
3.039931797981262207e+01,4.000290000000000235e-01,1.962290000000000097e-08
3.063718175888061523e+01,4.000310000000000255e-01,1.968559999999999993e-08
3.087474560737609863e+01,4.000310000000000255e-01,2.073690000000000022e-08
3.111083507537841797e+01,4.000299999999999967e-01,2.047630000000000052e-08
3.135077428817749023e+01,4.000299999999999967e-01,2.064030000000000120e-08
3.158665060997009277e+01,4.000299999999999967e-01,2.102100000000000010e-08
3.182343029975891113e+01,4.000310000000000255e-01,2.057820000000000159e-08
3.206236886978149414e+01,4.000360000000000027e-01,2.073999999999999910e-08
3.230224013328552246e+01,4.000290000000000235e-01,2.108119999999999954e-08
3.254042243957519531e+01,4.000290000000000235e-01,2.087460000000000151e-08
3.277595853805541992e+01,4.000310000000000255e-01,2.142409999999999925e-08
3.301282382011413574e+01,4.000299999999999967e-01,2.104459999999999907e-08
3.324767184257507324e+01,4.000340000000000007e-01,2.182620000000000058e-08
3.348516416549682617e+01,4.000310000000000255e-01,2.114799999999999852e-08
3.372221088409423828e+01,4.000310000000000255e-01,2.134039999999999964e-08
3.395716428756713867e+01,4.000279999999999947e-01,2.126150000000000149e-08
3.419387149810791016e+01,4.000279999999999947e-01,2.024569999999999844e-08
3.443009972572326660e+01,4.000270000000000215e-01,2.019000000000000080e-08
3.466656327247619629e+01,4.000299999999999967e-01,2.045749999999999972e-08
3.490250468254089355e+01,4.000270000000000215e-01,2.038690000000000040e-08
3.514126443862915039e+01,4.000250000000000195e-01,2.062239999999999943e-08
3.537708687782287598e+01,4.000250000000000195e-01,2.086760000000000019e-08
3.561170792579650879e+01,4.000279999999999947e-01,2.078170000000000073e-08
3.584571862220764160e+01,4.000330000000000275e-01,2.082689999999999970e-08
3.607906842231750488e+01,4.000360000000000027e-01,2.077430000000000094e-08
3.631765651702880859e+01,4.000349999999999739e-01,2.132729999999999934e-08
3.655259299278259277e+01,4.000299999999999967e-01,2.086279999999999872e-08
3.679031443595886230e+01,4.000340000000000007e-01,2.195000000000000134e-08
3.702885031700134277e+01,4.000349999999999739e-01,2.208959999999999949e-08
3.726354956626892090e+01,4.000409999999999799e-01,2.120550000000000086e-08
3.750325608253479004e+01,4.000409999999999799e-01,2.130640000000000079e-08
3.773930978775024414e+01,4.000319999999999987e-01,2.118239999999999915e-08
3.797894334793090820e+01,4.000299999999999967e-01,2.178760000000000115e-08
3.821569800376892090e+01,4.000330000000000275e-01,2.205439999999999862e-08
3.845358562469482422e+01,4.000330000000000275e-01,2.150320000000000160e-08
3.869107031822204590e+01,4.000360000000000027e-01,2.127619999999999897e-08
3.892881369590759277e+01,4.000319999999999987e-01,1.997689999999999871e-08
3.916005921363830566e+01,4.000310000000000255e-01,2.048739999999999855e-08
3.939857292175292969e+01,4.000380000000000047e-01,1.980180000000000001e-08
3.963743782043457031e+01,4.000340000000000007e-01,2.000939999999999917e-08
3.987431311607360840e+01,4.000369999999999759e-01,2.061809999999999852e-08
4.011209344863891602e+01,4.000360000000000027e-01,2.055990000000000135e-08
4.034804153442382812e+01,4.000319999999999987e-01,1.980500000000000099e-08
4.058682107925415039e+01,4.000369999999999759e-01,1.994539999999999939e-08
4.082575702667236328e+01,4.000330000000000275e-01,2.115790000000000115e-08
4.106270313262939453e+01,4.000290000000000235e-01,2.057040000000000002e-08
4.130149507522583008e+01,4.000270000000000215e-01,2.011950000000000026e-08
4.153636026382446289e+01,4.000239999999999907e-01,2.021950000000000116e-08
4.177229833602905273e+01,4.000290000000000235e-01,2.044970000000000146e-08
4.201116132736206055e+01,4.000310000000000255e-01,2.044119999999999844e-08
4.224802517890930176e+01,4.000330000000000275e-01,2.181049999999999866e-08
4.248326706886291504e+01,4.000400000000000067e-01,2.153349999999999890e-08
4.272271919250488281e+01,4.000319999999999987e-01,2.115870000000000139e-08
4.295763087272644043e+01,4.000360000000000027e-01,2.034109999999999875e-08
4.319548392295837402e+01,4.000299999999999967e-01,2.017300000000000137e-08
4.343235778808593750e+01,4.000340000000000007e-01,1.927769999999999930e-08
4.366916131973266602e+01,4.000369999999999759e-01,1.955130000000000051e-08
4.390708708763122559e+01,4.000319999999999987e-01,1.906730000000000094e-08
4.414388704299926758e+01,4.000389999999999779e-01,1.828319999999999989e-08
4.439580726623535156e+01,4.000310000000000255e-01,1.742339999999999838e-08
4.463160777091979980e+01,4.000330000000000275e-01,1.759279999999999988e-08
4.487052726745605469e+01,4.000389999999999779e-01,1.726389999999999950e-08
4.510731697082519531e+01,4.000349999999999739e-01,1.750710000000000130e-08
4.534425473213195801e+01,4.000349999999999739e-01,1.865269999999999867e-08
4.558378243446350098e+01,4.000420000000000087e-01,1.799580000000000025e-08
4.582190704345703125e+01,4.000330000000000275e-01,1.755970000000000007e-08
4.605784702301025391e+01,4.000369999999999759e-01,1.711480000000000050e-08
4.629530167579650879e+01,4.000369999999999759e-01,1.774459999999999929e-08
4.653116798400878906e+01,4.000360000000000027e-01,1.729940000000000005e-08
4.676595878601074219e+01,4.000409999999999799e-01,1.756359999999999920e-08
4.700389647483825684e+01,4.000340000000000007e-01,1.697560000000000081e-08
4.723869013786315918e+01,4.000369999999999759e-01,1.788890000000000013e-08
4.747562885284423828e+01,4.000360000000000027e-01,1.849770000000000158e-08
4.771149206161499023e+01,4.000369999999999759e-01,1.760929999999999874e-08
4.794735717773437500e+01,4.000360000000000027e-01,1.837800000000000085e-08
4.818214964866638184e+01,4.000369999999999759e-01,1.848990000000000002e-08
4.841706418991088867e+01,4.000340000000000007e-01,1.843669999999999859e-08
4.865188622474670410e+01,4.000360000000000027e-01,1.787740000000000032e-08
4.889016199111938477e+01,4.000369999999999759e-01,1.763799999999999886e-08
4.912760663032531738e+01,4.000369999999999759e-01,1.801969999999999889e-08
4.936255145072937012e+01,4.000389999999999779e-01,1.694259999999999979e-08
4.960034132003784180e+01,4.000380000000000047e-01,1.725739999999999874e-08
4.983927822113037109e+01,4.000380000000000047e-01,1.686730000000000109e-08
5.007906818389892578e+01,4.000389999999999779e-01,1.738300000000000087e-08
5.031701350212097168e+01,4.000340000000000007e-01,1.720830000000000064e-08
5.055629467964172363e+01,4.000369999999999759e-01,1.653229999999999842e-08
5.079372954368591309e+01,4.000310000000000255e-01,1.653739999999999958e-08
5.103051996231079102e+01,4.000330000000000275e-01,1.680230000000000018e-08
5.126645970344543457e+01,4.000389999999999779e-01,1.624729999999999951e-08
5.150332522392272949e+01,4.000380000000000047e-01,1.659999999999999975e-08
5.174018907546997070e+01,4.000330000000000275e-01,1.636819999999999896e-08
5.197879624366760254e+01,4.000369999999999759e-01,1.712199999999999940e-08
5.221942067146301270e+01,4.000369999999999759e-01,1.664660000000000164e-08
