# Tue Oct  3 16:34:58 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=4, Rht1=4000000.0, Rth2=12000000.0, pw=0.1, hslV=0.4, T1 = 0.04, T2 = 0.04, nplc=0.5, pulsos hasta umbral=563
3.857009410858154297e-01,4.000360000000000027e-01,8.186580000000000282e-10
8.116223812103271484e-01,4.000330000000000275e-01,3.036129999999999937e-09
1.244370698928833008e+00,4.000270000000000215e-01,3.137989999999999831e-09
1.664575815200805664e+00,4.000259999999999927e-01,3.735790000000000393e-09
2.089206695556640625e+00,4.000270000000000215e-01,5.873180000000000185e-09
2.509667396545410156e+00,4.000299999999999967e-01,7.050140000000000224e-09
2.948423624038696289e+00,4.000290000000000235e-01,5.195820000000000365e-09
3.368234395980834961e+00,4.000330000000000275e-01,9.224400000000000530e-09
3.789669990539550781e+00,4.000299999999999967e-01,5.083310000000000306e-09
4.211445093154907227e+00,4.000319999999999987e-01,9.460839999999999767e-09
4.631505489349365234e+00,4.000310000000000255e-01,1.076179999999999979e-08
5.050906896591186523e+00,4.000279999999999947e-01,9.266540000000000138e-09
5.487108945846557617e+00,4.000369999999999759e-01,1.619630000000000124e-08
5.910359144210815430e+00,4.000360000000000027e-01,1.241970000000000003e-08
6.333199739456176758e+00,4.000319999999999987e-01,1.220619999999999948e-08
6.767126083374023438e+00,4.000349999999999739e-01,1.746060000000000152e-08
7.191830873489379883e+00,4.000349999999999739e-01,2.136440000000000038e-08
7.612559556961059570e+00,4.000360000000000027e-01,1.382440000000000036e-08
8.032927274703979492e+00,4.000290000000000235e-01,1.604849999999999974e-08
8.454621315002441406e+00,4.000349999999999739e-01,6.716410000000000384e-09
8.875411272048950195e+00,4.000389999999999779e-01,7.859220000000000081e-09
9.296232700347900391e+00,4.000290000000000235e-01,8.538029999999999725e-09
9.732023239135742188e+00,4.000270000000000215e-01,1.435179999999999918e-08
1.015834116935729980e+01,4.000290000000000235e-01,1.086669999999999929e-08
1.059332108497619629e+01,4.000230000000000175e-01,8.564110000000000115e-09
1.101726365089416504e+01,4.000239999999999907e-01,8.583679999999999872e-09
1.143422675132751465e+01,4.000230000000000175e-01,7.839510000000000363e-09
1.185624599456787109e+01,4.000239999999999907e-01,7.258179999999999848e-09
1.227781605720520020e+01,4.000239999999999907e-01,6.994990000000000057e-09
1.269932317733764648e+01,4.000239999999999907e-01,9.646069999999999964e-09
1.313672471046447754e+01,4.000230000000000175e-01,9.969819999999999803e-09
1.355686259269714355e+01,4.000310000000000255e-01,1.161500000000000011e-08
1.397910523414611816e+01,4.000230000000000175e-01,5.702099999999999986e-09
1.441921043395996094e+01,4.000259999999999927e-01,5.542149999999999933e-09
1.485771870613098145e+01,4.000219999999999887e-01,6.096650000000000035e-09
1.529222726821899414e+01,4.000279999999999947e-01,7.158340000000000326e-09
1.571414160728454590e+01,4.000299999999999967e-01,6.250990000000000145e-09
1.613570213317871094e+01,4.000299999999999967e-01,6.308659999999999595e-09
1.657119488716125488e+01,4.000279999999999947e-01,4.797289999999999674e-09
1.699463033676147461e+01,4.000330000000000275e-01,7.386390000000000174e-09
1.741762590408325195e+01,4.000279999999999947e-01,7.318510000000000197e-09
1.784875392913818359e+01,4.000279999999999947e-01,5.928789999999999748e-09
1.827245759963989258e+01,4.000219999999999887e-01,7.162300000000000382e-09
1.869483184814453125e+01,4.000259999999999927e-01,6.809940000000000164e-09
1.911487460136413574e+01,4.000310000000000255e-01,7.035889999999999782e-09
1.953894639015197754e+01,4.000259999999999927e-01,8.914709999999999297e-09
1.997660589218139648e+01,4.000239999999999907e-01,9.676439999999999726e-09
2.040180587768554688e+01,4.000310000000000255e-01,8.781890000000000163e-09
2.083921742439270020e+01,4.000270000000000215e-01,1.750039999999999966e-08
2.126161193847656250e+01,4.000239999999999907e-01,1.529139999999999954e-08
2.168488907814025879e+01,4.000279999999999947e-01,1.071139999999999922e-08
2.210819387435913086e+01,4.000139999999999807e-01,1.210290000000000046e-08
2.254211425781250000e+01,4.000210000000000155e-01,1.205520000000000031e-08
2.296610307693481445e+01,4.000190000000000135e-01,1.142269999999999944e-08
2.339849591255187988e+01,4.000210000000000155e-01,1.541220000000000019e-08
2.381842589378356934e+01,4.000230000000000175e-01,1.743090000000000026e-08
2.424165463447570801e+01,4.000219999999999887e-01,1.283350000000000040e-08
2.466322922706604004e+01,4.000239999999999907e-01,1.374089999999999998e-08
2.508930134773254395e+01,4.000179999999999847e-01,1.712059999999999979e-08
2.553199458122253418e+01,4.000179999999999847e-01,1.396569999999999945e-08
2.597673869132995605e+01,4.000270000000000215e-01,1.847090000000000164e-08
2.639987587928771973e+01,4.000239999999999907e-01,1.719330000000000017e-08
2.682383275032043457e+01,4.000270000000000215e-01,1.944550000000000032e-08
2.726068997383117676e+01,4.000259999999999927e-01,5.946709999999999785e-08
2.769596385955810547e+01,4.000330000000000275e-01,1.983439999999999925e-08
2.813679027557373047e+01,4.000219999999999887e-01,1.937559999999999914e-08
2.857851982116699219e+01,4.000319999999999987e-01,1.508700000000000136e-08
2.902226352691650391e+01,4.000230000000000175e-01,1.326819999999999933e-08
2.944839262962341309e+01,4.000279999999999947e-01,2.072860000000000140e-08
2.987431883811950684e+01,4.000210000000000155e-01,2.305259999999999958e-08
3.031035923957824707e+01,4.000290000000000235e-01,1.849010000000000091e-08
3.073522686958312988e+01,4.000190000000000135e-01,2.026039999999999923e-08
3.110923528671264648e+01,4.000340000000000007e-01,1.626360000000000079e-08
3.151519870758056641e+01,4.000239999999999907e-01,2.711200000000000150e-08
3.185701203346252441e+01,4.000279999999999947e-01,2.520689999999999988e-08
3.223223161697387695e+01,4.000330000000000275e-01,1.749169999999999906e-08
3.267463111877441406e+01,4.000340000000000007e-01,5.962030000000000349e-09
3.309463095664978027e+01,4.000380000000000047e-01,2.105150000000000160e-08
3.351575922966003418e+01,4.000369999999999759e-01,1.776750000000000011e-08
3.394902443885803223e+01,4.000389999999999779e-01,2.416359999999999874e-08
3.438951158523559570e+01,4.000340000000000007e-01,2.098430000000000083e-08
3.481088232994079590e+01,4.000360000000000027e-01,1.966660000000000155e-08
3.523016738891601562e+01,4.000340000000000007e-01,2.277129999999999890e-08
3.565020489692687988e+01,4.000319999999999987e-01,1.874889999999999923e-08
3.607118630409240723e+01,4.000340000000000007e-01,2.148049999999999836e-08
3.649034547805786133e+01,4.000340000000000007e-01,2.529480000000000161e-08
3.693954706192016602e+01,4.000299999999999967e-01,1.991859999999999944e-08
3.737242841720581055e+01,4.000310000000000255e-01,1.910269999999999939e-08
3.779332447052001953e+01,4.000380000000000047e-01,2.715679999999999870e-08
3.823029446601867676e+01,4.000389999999999779e-01,1.930099999999999859e-08
3.865303587913513184e+01,4.000409999999999799e-01,1.442039999999999954e-08
3.908922171592712402e+01,4.000380000000000047e-01,1.695519999999999952e-08
3.952540755271911621e+01,4.000389999999999779e-01,2.128580000000000109e-09
3.995554232597351074e+01,4.000319999999999987e-01,7.564529999999999313e-09
4.036412739753723145e+01,4.000290000000000235e-01,5.142860000000000168e-08
4.073896837234497070e+01,4.000319999999999987e-01,4.504040000000000010e-08
4.114833402633666992e+01,4.000250000000000195e-01,5.394630000000000178e-08
4.152318692207336426e+01,4.000369999999999759e-01,4.824530000000000089e-09
4.195822310447692871e+01,4.000360000000000027e-01,1.600179999999999907e-08
4.239504766464233398e+01,4.000389999999999779e-01,1.521150000000000026e-08
4.283090710639953613e+01,4.000380000000000047e-01,1.434990000000000067e-08
4.326821947097778320e+01,4.000380000000000047e-01,4.045700000000000288e-08
4.367442512512207031e+01,4.000299999999999967e-01,2.813459999999999836e-08
4.404811906814575195e+01,4.000349999999999739e-01,1.112870000000000025e-08
4.448609471321105957e+01,4.000259999999999927e-01,6.689859999999999892e-09
4.491901683807373047e+01,4.000409999999999799e-01,2.047179999999999873e-08
4.535233736038208008e+01,4.000279999999999947e-01,2.842429999999999996e-08
4.580665278434753418e+01,4.000190000000000135e-01,8.920569999999999523e-09
4.624222660064697266e+01,4.000270000000000215e-01,2.514010000000000090e-08
4.668018817901611328e+01,4.000290000000000235e-01,2.544550000000000110e-08
4.711674070358276367e+01,4.000270000000000215e-01,6.081800000000000236e-09
4.755469584465026855e+01,4.000230000000000175e-01,2.591619999999999949e-08
4.799212408065795898e+01,4.000239999999999907e-01,1.420900000000000005e-08
4.839983367919921875e+01,4.000190000000000135e-01,2.518880000000000053e-08
4.877671623229980469e+01,4.000230000000000175e-01,2.710209999999999888e-09
4.921207261085510254e+01,4.000270000000000215e-01,3.630589999999999971e-09
4.964836406707763672e+01,4.000270000000000215e-01,5.257809999999999652e-09
5.008509540557861328e+01,4.000270000000000215e-01,1.464700000000000040e-08
5.049318218231201172e+01,4.000270000000000215e-01,2.095439999999999869e-08
5.086713314056396484e+01,4.000340000000000007e-01,1.917920000000000011e-08
5.130644273757934570e+01,4.000319999999999987e-01,9.485390000000000474e-09
5.174416351318359375e+01,4.000349999999999739e-01,1.606920000000000072e-08
5.217921829223632812e+01,4.000279999999999947e-01,2.171769999999999832e-09
5.258473277091979980e+01,4.000299999999999967e-01,2.095040000000000078e-08
5.295930171012878418e+01,4.000380000000000047e-01,1.360679999999999979e-08
5.339566302299499512e+01,4.000389999999999779e-01,1.570740000000000141e-08
5.384164047241210938e+01,4.000250000000000195e-01,2.215530000000000103e-09
5.427624034881591797e+01,4.000299999999999967e-01,2.293970000000000093e-09
5.471710872650146484e+01,4.000349999999999739e-01,4.137699999999999887e-09
5.515847492218017578e+01,4.000319999999999987e-01,9.037100000000000567e-09
5.559274148941040039e+01,4.000279999999999947e-01,4.737659999999999954e-09
5.603174805641174316e+01,4.000279999999999947e-01,1.938189999999999901e-09
5.646822690963745117e+01,4.000299999999999967e-01,3.158569999999999940e-08
5.690538287162780762e+01,4.000340000000000007e-01,1.257700000000000072e-08
5.734762477874755859e+01,4.000259999999999927e-01,2.878399999999999904e-09
5.778185534477233887e+01,4.000239999999999907e-01,3.097260000000000035e-08
5.821984767913818359e+01,4.000349999999999739e-01,2.158670000000000033e-08
5.865712952613830566e+01,4.000299999999999967e-01,1.473230000000000050e-08
5.909441685676574707e+01,4.000290000000000235e-01,2.660449999999999845e-08
5.953629755973815918e+01,4.000279999999999947e-01,1.492030000000000027e-08
5.997462677955627441e+01,4.000279999999999947e-01,1.451100000000000004e-08
6.041463494300842285e+01,4.000270000000000215e-01,2.459050000000000106e-08
6.085056877136230469e+01,4.000230000000000175e-01,2.318169999999999906e-08
6.122473216056823730e+01,4.000310000000000255e-01,1.842429999999999975e-08
6.166667103767395020e+01,4.000330000000000275e-01,2.642830000000000065e-09
6.210277605056762695e+01,4.000349999999999739e-01,1.789410000000000007e-08
6.251217317581176758e+01,4.000270000000000215e-01,2.169759999999999836e-08
6.288427805900573730e+01,4.000270000000000215e-01,4.814129999999999711e-08
6.332071137428283691e+01,4.000259999999999927e-01,2.266620000000000017e-08
6.375919079780578613e+01,4.000190000000000135e-01,2.174679999999999856e-08
6.419807434082031250e+01,4.000130000000000075e-01,2.436010000000000152e-09
6.463413524627685547e+01,4.000250000000000195e-01,8.439779999999999987e-10
6.507037591934204102e+01,4.000250000000000195e-01,1.113739999999999920e-08
6.550926566123962402e+01,4.000310000000000255e-01,1.931070000000000033e-08
6.594631695747375488e+01,4.000330000000000275e-01,2.006970000000000071e-08
6.638352537155151367e+01,4.000380000000000047e-01,1.501119999999999879e-08
6.681985974311828613e+01,4.000219999999999887e-01,2.910589999999999976e-09
6.725463747978210449e+01,4.000250000000000195e-01,1.178139999999999987e-08
6.769085788726806641e+01,4.000279999999999947e-01,1.978359999999999856e-08
6.812688159942626953e+01,4.000319999999999987e-01,1.755690000000000086e-08
6.856525731086730957e+01,4.000330000000000275e-01,1.750080000000000144e-08
6.900045514106750488e+01,4.000310000000000255e-01,1.055460000000000075e-08
6.943716430664062500e+01,4.000259999999999927e-01,2.542759999999999934e-08
6.987355685234069824e+01,4.000259999999999927e-01,2.301880000000000162e-08
7.030984163284301758e+01,4.000239999999999907e-01,4.516540000000000287e-08
7.074681091308593750e+01,4.000279999999999947e-01,2.040880000000000008e-08
7.118363165855407715e+01,4.000259999999999927e-01,1.211389999999999970e-08
7.162239050865173340e+01,4.000279999999999947e-01,9.604850000000000803e-09
7.206338977813720703e+01,4.000250000000000195e-01,3.687809999999999986e-08
7.246481418609619141e+01,4.000230000000000175e-01,3.257530000000000186e-08
7.280669856071472168e+01,4.000259999999999927e-01,2.724639999999999971e-08
7.318099975585937500e+01,4.000239999999999907e-01,3.485240000000000178e-08
7.361509370803833008e+01,4.000290000000000235e-01,1.062900000000000042e-08
7.404973602294921875e+01,4.000190000000000135e-01,1.882810000000000036e-08
7.448621630668640137e+01,4.000239999999999907e-01,1.368880000000000013e-08
7.491840100288391113e+01,4.000230000000000175e-01,2.427299999999999838e-08
7.535482645034790039e+01,4.000239999999999907e-01,8.327000000000000713e-09
7.579034733772277832e+01,4.000079999999999747e-01,1.739849999999999860e-08
7.616479539871215820e+01,4.000099999999999767e-01,2.338149999999999996e-08
7.660221219062805176e+01,4.000090000000000034e-01,2.627320000000000063e-08
7.703910040855407715e+01,4.000150000000000095e-01,3.452420000000000285e-08
7.747601747512817383e+01,4.000130000000000075e-01,1.175829999999999981e-08
7.787786293029785156e+01,4.000079999999999747e-01,1.528979999999999904e-08
7.825408601760864258e+01,4.000190000000000135e-01,1.275050000000000059e-08
7.869304704666137695e+01,4.000130000000000075e-01,2.138829999999999903e-08
7.912887144088745117e+01,4.000170000000000115e-01,1.232529999999999920e-08
7.956810641288757324e+01,4.000190000000000135e-01,2.142879999999999863e-08
7.997430372238159180e+01,4.000130000000000075e-01,3.690399999999999747e-08
8.035087847709655762e+01,4.000170000000000115e-01,3.573880000000000236e-08
8.078801989555358887e+01,4.000179999999999847e-01,1.236179999999999923e-08
8.119401955604553223e+01,4.000170000000000115e-01,3.958239999999999847e-08
8.156820607185363770e+01,4.000159999999999827e-01,4.232379999999999813e-08
8.200944709777832031e+01,4.000150000000000095e-01,1.337019999999999918e-08
8.244834709167480469e+01,4.000119999999999787e-01,1.968140000000000113e-08
8.288473963737487793e+01,4.000079999999999747e-01,2.719639999999999927e-08
8.332339954376220703e+01,4.000090000000000034e-01,6.319420000000000083e-09
8.375960516929626465e+01,4.000130000000000075e-01,1.398910000000000084e-09
8.419676876068115234e+01,4.000090000000000034e-01,2.341939999999999876e-09
8.463362097740173340e+01,4.000150000000000095e-01,7.810690000000000043e-09
8.503839230537414551e+01,4.000119999999999787e-01,2.455979999999999867e-08
8.541522002220153809e+01,4.000159999999999827e-01,1.898839999999999949e-08
8.585592627525329590e+01,4.000190000000000135e-01,1.167920000000000078e-08
8.626339745521545410e+01,4.000079999999999747e-01,1.907820000000000139e-08
8.661190557479858398e+01,4.000070000000000014e-01,4.433889999999999875e-08
8.698768949508666992e+01,4.000079999999999747e-01,2.194620000000000100e-08
8.740160250663757324e+01,4.000049999999999994e-01,2.209740000000000105e-08
8.779334998130798340e+01,4.000130000000000075e-01,1.952099999999999990e-08
8.822973775863647461e+01,4.000159999999999827e-01,1.814010000000000025e-09
8.867348241806030273e+01,4.000150000000000095e-01,2.511179999999999925e-08
8.911225366592407227e+01,4.000090000000000034e-01,1.575039999999999971e-09
8.954818773269653320e+01,4.000090000000000034e-01,1.406999999999999960e-08
8.995664048194885254e+01,4.000049999999999994e-01,2.847050000000000007e-08
9.031362414360046387e+01,4.000110000000000054e-01,2.480139999999999999e-08
9.069004988670349121e+01,4.000340000000000007e-01,3.024719999999999870e-09
9.114148974418640137e+01,4.000279999999999947e-01,1.810219999999999980e-09
9.158316135406494141e+01,4.000340000000000007e-01,1.537979999999999853e-08
9.202590799331665039e+01,4.000279999999999947e-01,8.469379999999999967e-09
9.243324923515319824e+01,4.000239999999999907e-01,2.331789999999999865e-08
9.281164145469665527e+01,4.000290000000000235e-01,2.619960000000000122e-08
9.324412655830383301e+01,4.000290000000000235e-01,1.580700000000000053e-08
9.364983630180358887e+01,4.000250000000000195e-01,1.974680000000000051e-08
9.402361774444580078e+01,4.000389999999999779e-01,6.444529999999999872e-09
9.446209812164306641e+01,4.000380000000000047e-01,1.886420000000000027e-08
9.486814928054809570e+01,4.000330000000000275e-01,1.605569999999999864e-08
9.521092081069946289e+01,4.000290000000000235e-01,2.019460000000000138e-08
9.558710193634033203e+01,4.000380000000000047e-01,2.206149999999999873e-08
9.602584958076477051e+01,4.000319999999999987e-01,4.433969999999999734e-09
9.646559739112854004e+01,4.000279999999999947e-01,2.538110000000000038e-09
9.690734505653381348e+01,4.000360000000000027e-01,1.508620000000000111e-08
9.734709453582763672e+01,4.000270000000000215e-01,2.537820000000000155e-08
9.778463959693908691e+01,4.000279999999999947e-01,7.397959999999999959e-09
9.822249007225036621e+01,4.000270000000000215e-01,1.914149999999999971e-08
9.866030573844909668e+01,4.000330000000000275e-01,1.546250000000000032e-08
9.906602978706359863e+01,4.000290000000000235e-01,2.589690000000000143e-08
9.944046735763549805e+01,4.000299999999999967e-01,3.347239999999999869e-08
9.988020515441894531e+01,4.000299999999999967e-01,1.453179999999999980e-08
1.003178715705871582e+02,4.000250000000000195e-01,2.303179999999999981e-08
1.007530033588409424e+02,4.000250000000000195e-01,4.939739999999999736e-08
1.011898834705352783e+02,4.000310000000000255e-01,1.526580000000000161e-08
1.016016764640808105e+02,4.000230000000000175e-01,3.388249999999999916e-08
1.019801666736602783e+02,4.000259999999999927e-01,2.580810000000000066e-08
1.024199612140655518e+02,4.000270000000000215e-01,3.775869999999999783e-08
1.028521361351013184e+02,4.000259999999999927e-01,2.884129999999999966e-08
1.032917850017547607e+02,4.000290000000000235e-01,1.255699999999999955e-08
1.037307765483856201e+02,4.000279999999999947e-01,1.962199999999999862e-08
1.041687924861907959e+02,4.000239999999999907e-01,4.207879999999999825e-08
1.046059277057647705e+02,4.000380000000000047e-01,1.486019999999999962e-08
1.050447127819061279e+02,4.000330000000000275e-01,2.035570000000000075e-08
1.054812891483306885e+02,4.000310000000000255e-01,1.655599999999999949e-08
1.059167685508728027e+02,4.000239999999999907e-01,1.914749999999999990e-08
1.063721878528594971e+02,4.000290000000000235e-01,1.761259999999999851e-08
1.068125743865966797e+02,4.000299999999999967e-01,3.810900000000000065e-08
1.072497622966766357e+02,4.000319999999999987e-01,7.343139999999999936e-09
1.076882345676422119e+02,4.000279999999999947e-01,2.219299999999999895e-08
1.081261613368988037e+02,4.000279999999999947e-01,4.568409999999999944e-09
1.085631802082061768e+02,4.000279999999999947e-01,1.304409999999999965e-08
1.089986104965209961e+02,4.000279999999999947e-01,2.263830000000000029e-09
1.094378178119659424e+02,4.000330000000000275e-01,9.127180000000000736e-09
1.098759753704071045e+02,4.000299999999999967e-01,1.661509999999999901e-08
1.103117442131042480e+02,4.000279999999999947e-01,3.308079999999999934e-08
1.107492375373840332e+02,4.000279999999999947e-01,3.669569999999999685e-08
1.111854567527770996e+02,4.000279999999999947e-01,3.359890000000000316e-08
1.116232163906097412e+02,4.000219999999999887e-01,3.344409999999999704e-08
