# Fri Oct  6 15:56:55 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3.5, Vmin=-3.5, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.914187431335449219e-02,-2.722739999999999956e-05,1.147070000000000052e-09,2.304325103759765625e-01,4.000230000000000175e-01,3.415630000000000126e-08
3.853266239166259766e-01,1.399900000000000033e-01,4.143739999999999589e-09,5.248348712921142578e-01,4.000340000000000007e-01,3.665690000000000315e-08
6.651127338409423828e-01,2.799980000000000246e-01,1.577040000000000005e-08,8.034238815307617188e-01,4.000349999999999739e-01,3.617339999999999753e-08
9.435722827911376953e-01,4.200240000000000085e-01,4.110709999999999756e-08,1.083052396774291992e+00,4.000319999999999987e-01,3.754869999999999794e-08
1.222264528274536133e+00,5.600340000000000318e-01,8.482209999999999560e-08,1.363148450851440430e+00,4.000330000000000275e-01,3.594560000000000127e-08
1.504714012145996094e+00,7.000750000000000028e-01,2.004390000000000123e-07,1.659197330474853516e+00,4.000199999999999867e-01,3.523989999999999780e-08
1.860997915267944336e+00,8.400570000000000537e-01,2.874229999999999923e-07,2.018292665481567383e+00,4.000210000000000155e-01,3.540040000000000113e-08
2.218245983123779297e+00,9.800489999999999480e-01,4.287820000000000076e-07,2.371357202529907227e+00,4.000310000000000255e-01,3.566600000000000319e-08
2.575020551681518555e+00,1.120049999999999990e+00,6.274970000000000503e-07,2.729271650314331055e+00,4.000369999999999759e-01,3.881679999999999855e-08
2.931249856948852539e+00,1.260080000000000089e+00,8.853329999999999776e-07,3.088133811950683594e+00,4.000299999999999967e-01,4.061549999999999732e-08
3.289138317108154297e+00,1.400050000000000017e+00,1.160720000000000086e-06,3.462059020996093750e+00,4.000219999999999887e-01,4.639270000000000090e-08
3.665268421173095703e+00,1.540019999999999945e+00,1.528240000000000084e-06,3.836164474487304688e+00,4.000199999999999867e-01,4.065589999999999813e-08
4.041326761245727539e+00,1.680020000000000069e+00,1.978179999999999837e-06,4.209839105606079102e+00,4.000230000000000175e-01,4.271249999999999948e-08
4.410583734512329102e+00,1.820000000000000062e+00,2.541650000000000051e-06,4.581654548645019531e+00,4.000190000000000135e-01,4.816020000000000002e-08
4.783559560775756836e+00,1.959959999999999924e+00,3.219129999999999789e-06,4.955157995223999023e+00,4.000139999999999807e-01,4.597389999999999982e-08
5.158114910125732422e+00,2.100080000000000169e+00,3.983009999999999665e-06,5.328691244125366211e+00,4.000210000000000155e-01,4.743739999999999834e-08
5.531569957733154297e+00,2.240130000000000177e+00,4.941420000000000370e-06,5.703024148941040039e+00,4.000219999999999887e-01,5.282190000000000264e-08
5.905131101608276367e+00,2.379919999999999813e+00,5.951280000000000388e-06,6.076116085052490234e+00,4.000130000000000075e-01,4.880279999999999943e-08
6.279233932495117188e+00,2.520000000000000018e+00,7.296779999999999618e-06,6.450548410415649414e+00,4.000230000000000175e-01,5.350720000000000151e-08
6.652367115020751953e+00,2.660130000000000106e+00,8.715100000000000635e-06,6.823548078536987305e+00,4.000239999999999907e-01,5.866620000000000158e-08
