# Fri Oct  6 19:02:56 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-4.5, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.003880500793457031e-02,-1.778599999999999878e-05,-8.249520000000000480e-10,2.329399585723876953e-01,4.000360000000000027e-01,4.707830000000000275e-08
3.718607425689697266e-01,1.999750000000000139e-01,1.373310000000000007e-08,5.117812156677246094e-01,4.000340000000000007e-01,4.853970000000000021e-08
6.516249179840087891e-01,4.000319999999999987e-01,4.795519999999999917e-08,7.926197052001953125e-01,4.000349999999999739e-01,4.657140000000000236e-08
9.325399398803710938e-01,6.000630000000000130e-01,1.509529999999999886e-07,1.088112115859985352e+00,4.000259999999999927e-01,4.574340000000000315e-08
1.290997028350830078e+00,8.000859999999999639e-01,2.764170000000000061e-07,1.446906805038452148e+00,4.000250000000000195e-01,4.644360000000000038e-08
1.649717807769775391e+00,1.000080000000000080e+00,4.406779999999999971e-07,1.806700944900512695e+00,4.000279999999999947e-01,4.677029999999999761e-08
2.008585691452026367e+00,1.200080000000000036e+00,6.687300000000000331e-07,2.162424325942993164e+00,4.000279999999999947e-01,4.433139999999999686e-08
2.363409519195556641e+00,1.400060000000000082e+00,9.849220000000000629e-07,2.518245458602905273e+00,4.000349999999999739e-01,4.686269999999999783e-08
2.720132350921630859e+00,1.600019999999999998e+00,1.430290000000000031e-06,2.892106771469116211e+00,4.000270000000000215e-01,5.121380000000000031e-08
3.094990253448486328e+00,1.800010000000000110e+00,1.942520000000000165e-06,3.264897584915161133e+00,4.000299999999999967e-01,4.703850000000000130e-08
3.467777252197265625e+00,1.999970000000000026e+00,2.629769999999999811e-06,3.638625860214233398e+00,4.000259999999999927e-01,5.213960000000000056e-08
3.842563152313232422e+00,2.200039999999999996e+00,3.449109999999999999e-06,4.010966539382934570e+00,4.000299999999999967e-01,5.587060000000000267e-08
4.214350223541259766e+00,2.400110000000000188e+00,4.456850000000000366e-06,4.388251066207885742e+00,4.000219999999999887e-01,5.391389999999999681e-08
4.591952323913574219e+00,2.600190000000000001e+00,5.530969999999999664e-06,4.763819694519042969e+00,4.000230000000000175e-01,5.651420000000000322e-08
4.965738773345947266e+00,2.800260000000000193e+00,7.084980000000000223e-06,5.137567520141601562e+00,4.000319999999999987e-01,5.831130000000000149e-08
5.340524196624755859e+00,3.000399999999999956e+00,8.924289999999999559e-06,5.512425899505615234e+00,4.000360000000000027e-01,5.456210000000000125e-08
5.712311267852783203e+00,3.200520000000000032e+00,1.085639999999999994e-05,5.883214950561523438e+00,4.000199999999999867e-01,5.324360000000000172e-08
6.086390495300292969e+00,3.400669999999999860e+00,1.358530000000000019e-05,6.256937503814697266e+00,4.000279999999999947e-01,4.561950000000000030e-08
6.459884643554687500e+00,3.600610000000000088e+00,1.647869999999999861e-05,6.630129337310791016e+00,4.000219999999999887e-01,5.057469999999999824e-08
6.833671569824218750e+00,3.800440000000000040e+00,2.021699999999999973e-05,7.006572246551513672e+00,4.000179999999999847e-01,5.047409999999999799e-08
7.208456516265869141e+00,4.000510000000000232e+00,2.459200000000000104e-05,7.394350051879882812e+00,4.000230000000000175e-01,5.272929999999999823e-08
7.597234010696411133e+00,4.200590000000000046e+00,2.904909999999999941e-05,7.768137693405151367e+00,4.000250000000000195e-01,6.358819999999999761e-08
7.971020221710205078e+00,4.400730000000000253e+00,3.452089999999999673e-05,8.145847082138061523e+00,4.000210000000000155e-01,5.811710000000000231e-08
8.349828958511352539e+00,4.600819999999999688e+00,4.212780000000000008e-05,8.522729873657226562e+00,4.000150000000000095e-01,4.725570000000000009e-08
8.721616268157958984e+00,4.800980000000000025e+00,4.567149999999999801e-05,8.896516799926757812e+00,4.000159999999999827e-01,2.887650000000000053e-08
9.099400758743286133e+00,5.001059999999999839e+00,5.855599999999999976e-05,9.269302845001220703e+00,4.000250000000000195e-01,4.428770000000000289e-08
9.473399400711059570e+00,4.800939999999999763e+00,4.978990000000000249e-05,9.648010492324829102e+00,4.000250000000000195e-01,4.379240000000000110e-08
9.853968381881713867e+00,4.600859999999999950e+00,4.181000000000000119e-05,1.002836728096008301e+01,4.000270000000000215e-01,4.335970000000000279e-08
1.023075318336486816e+01,4.400730000000000253e+00,3.418189999999999879e-05,1.040065622329711914e+01,4.000230000000000175e-01,3.914829999999999725e-08
1.060254120826721191e+01,4.200630000000000308e+00,2.944179999999999990e-05,1.077544379234313965e+01,4.000199999999999867e-01,3.859259999999999844e-08
1.097725510597229004e+01,4.000479999999999592e+00,2.472170000000000083e-05,1.114715361595153809e+01,4.000239999999999907e-01,5.148199999999999738e-08
1.135111403465270996e+01,3.800429999999999975e+00,2.098070000000000056e-05,1.152101564407348633e+01,4.000210000000000155e-01,4.533600000000000309e-08
1.172390055656433105e+01,3.600680000000000103e+00,1.749289999999999984e-05,1.190879464149475098e+01,4.000319999999999987e-01,3.660489999999999712e-08
1.211267733573913574e+01,3.400659999999999794e+00,1.437040000000000051e-05,1.228657817840576172e+01,4.000279999999999947e-01,3.929790000000000013e-08
1.248946142196655273e+01,3.200489999999999835e+00,1.182170000000000067e-05,1.265931081771850586e+01,4.000199999999999867e-01,4.198689999999999860e-08
1.286220884323120117e+01,3.000360000000000138e+00,9.326000000000000156e-06,1.303315186500549316e+01,4.000259999999999927e-01,4.052199999999999717e-08
1.323603510856628418e+01,2.800260000000000193e+00,7.508110000000000016e-06,1.340722680091857910e+01,4.000310000000000255e-01,4.686539999999999824e-08
1.360982155799865723e+01,2.600179999999999936e+00,5.969119999999999865e-06,1.378072381019592285e+01,4.000199999999999867e-01,4.939760000000000155e-08
1.398253297805786133e+01,2.400069999999999926e+00,4.631700000000000056e-06,1.415343737602233887e+01,4.000259999999999927e-01,4.363590000000000231e-08
1.435739469528198242e+01,2.200009999999999799e+00,3.558290000000000028e-06,1.452829670906066895e+01,4.000310000000000255e-01,4.610199999999999817e-08
1.473018050193786621e+01,1.999970000000000026e+00,2.693659999999999889e-06,1.490308284759521484e+01,4.000349999999999739e-01,5.045250000000000129e-08
1.510696530342102051e+01,1.800010000000000110e+00,1.949480000000000010e-06,1.529285883903503418e+01,4.000279999999999947e-01,4.530199999999999762e-08
1.549474644660949707e+01,1.600019999999999998e+00,1.439929999999999951e-06,1.566664552688598633e+01,4.000310000000000255e-01,4.646719999999999935e-08
