# Fri Oct  6 15:24:46 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.896544456481933594e-02,-2.892020000000000137e-05,-9.867550000000000734e-10,2.761874198913574219e-01,4.000330000000000275e-01,4.884950000000000342e-07
4.304945468902587891e-01,1.999670000000000059e-01,1.088520000000000009e-07,5.711510181427001953e-01,4.000270000000000215e-01,4.493760000000000132e-07
7.113773822784423828e-01,4.000259999999999927e-01,4.455429999999999815e-07,8.658533096313476562e-01,4.000279999999999947e-01,4.581580000000000187e-07
1.007127761840820312e+00,6.000510000000000010e-01,1.195349999999999914e-06,1.162533283233642578e+00,4.000230000000000175e-01,4.417810000000000038e-07
1.316082954406738281e+00,8.000690000000000301e-01,2.512620000000000009e-06,1.471096038818359375e+00,4.000259999999999927e-01,4.673290000000000152e-07
1.626690149307250977e+00,1.000070000000000014e+00,4.540049999999999841e-06,1.783908843994140625e+00,4.000199999999999867e-01,4.563939999999999772e-07
1.937889099121093750e+00,1.200059999999999905e+00,7.574519999999999775e-06,2.092559337615966797e+00,4.000210000000000155e-01,4.652170000000000027e-07
2.249170541763305664e+00,1.400039999999999951e+00,1.169800000000000048e-05,2.420941114425659180e+00,4.000210000000000155e-01,4.715929999999999798e-07
2.577800273895263672e+00,1.600009999999999932e+00,1.715780000000000029e-05,2.749014616012573242e+00,4.000210000000000155e-01,4.998579999999999752e-07
2.920409202575683594e+00,1.800000000000000044e+00,2.398349999999999831e-05,3.092590570449829102e+00,4.000210000000000155e-01,5.277549999999999768e-07
3.246769666671752930e+00,1.999959999999999960e+00,3.233979999999999825e-05,3.417775392532348633e+00,4.000210000000000155e-01,5.096990000000000432e-07
3.572789669036865234e+00,2.199899999999999967e+00,4.233220000000000103e-05,3.744575262069702148e+00,4.000159999999999827e-01,5.135319999999999691e-07
3.900581836700439453e+00,2.399950000000000028e+00,5.517759999999999836e-05,4.071999788284301758e+00,4.000179999999999847e-01,5.588760000000000342e-07
4.229010820388793945e+00,2.600080000000000169e+00,6.960760000000000081e-05,4.403982162475585938e+00,4.000199999999999867e-01,5.485329999999999792e-07
4.559966325759887695e+00,2.800129999999999786e+00,8.699640000000000617e-05,4.731241703033447266e+00,4.000150000000000095e-01,5.972529999999999549e-07
4.886964797973632812e+00,3.000340000000000007e+00,1.061850000000000006e-04,5.059008121490478516e+00,4.000170000000000115e-01,5.857539999999999656e-07
5.215429067611694336e+00,3.200470000000000148e+00,1.278530000000000107e-04,5.385708332061767578e+00,4.000099999999999767e-01,6.346310000000000399e-07
5.540658235549926758e+00,3.400619999999999976e+00,1.543609999999999947e-04,5.712070226669311523e+00,4.000090000000000034e-01,6.696899999999999570e-07
5.867260217666625977e+00,3.600699999999999790e+00,1.833249999999999973e-04,6.038904428482055664e+00,4.000090000000000034e-01,6.739050000000000513e-07
6.194343566894531250e+00,3.800510000000000055e+00,2.181519999999999944e-04,6.365001678466796875e+00,4.000119999999999787e-01,6.991920000000000050e-07
6.521888256072998047e+00,4.000589999999999868e+00,2.550349999999999731e-04,6.693816184997558594e+00,4.000059999999999727e-01,7.669669999999999618e-07
6.848092794418334961e+00,4.200680000000000192e+00,2.979720000000000263e-04,7.019072294235229492e+00,4.000090000000000034e-01,7.836419999999999969e-07
7.174488067626953125e+00,4.400769999999999627e+00,3.402500000000000034e-04,7.345893621444702148e+00,4.000020000000000242e-01,7.894259999999999910e-07
7.501049041748046875e+00,4.600900000000000212e+00,3.890580000000000145e-04,7.671312332153320312e+00,3.999929999999999874e-01,7.453029999999999605e-07
7.827414274215698242e+00,4.800959999999999894e+00,4.373040000000000130e-04,7.999854326248168945e+00,3.999969999999999914e-01,7.993380000000000072e-07
8.155165910720825195e+00,5.001019999999999577e+00,5.043870000000000211e-04,8.325083017349243164e+00,3.999929999999999874e-01,8.159090000000000304e-07
8.479486942291259766e+00,4.800910000000000011e+00,4.494680000000000138e-04,8.649006128311157227e+00,3.999940000000000162e-01,8.269820000000000131e-07
8.804895401000976562e+00,4.600900000000000212e+00,3.922010000000000080e-04,8.976966142654418945e+00,4.000029999999999974e-01,8.405070000000000234e-07
9.133126735687255859e+00,4.400730000000000253e+00,3.482790000000000039e-04,9.319038867950439453e+00,4.000020000000000242e-01,8.231040000000000097e-07
9.476042985916137695e+00,4.200639999999999930e+00,3.050870000000000014e-04,9.646967172622680664e+00,4.000029999999999974e-01,8.430230000000000176e-07
