# Fri Oct  6 19:05:55 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=4.75, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=63, Rth=5973574.552773632
3.563702106475830078e-01,4.000159999999999827e-01,1.750060000000000055e-08
7.343966960906982422e-01,4.000250000000000195e-01,1.740029999999999998e-08
1.111551284790039062e+00,4.000270000000000215e-01,3.957490000000000320e-08
1.485086441040039062e+00,4.000219999999999887e-01,3.215929999999999999e-08
1.858871936798095703e+00,4.000099999999999767e-01,3.286699999999999910e-08
2.230698585510253906e+00,4.000230000000000175e-01,4.186619999999999673e-08
2.605036497116088867e+00,4.000150000000000095e-01,4.472999999999999753e-08
2.982427835464477539e+00,4.000130000000000075e-01,4.896780000000000124e-08
3.360040187835693359e+00,4.000199999999999867e-01,4.580630000000000301e-08
3.734290599822998047e+00,4.000230000000000175e-01,5.542220000000000244e-08
4.109422683715820312e+00,4.000199999999999867e-01,5.518289999999999976e-08
4.497773170471191406e+00,4.000210000000000155e-01,4.500480000000000076e-08
4.872280597686767578e+00,4.000170000000000115e-01,5.741880000000000194e-08
5.247139930725097656e+00,4.000119999999999787e-01,6.729109999999999565e-08
5.632918357849121094e+00,4.000199999999999867e-01,6.754500000000000033e-08
6.006704330444335938e+00,4.000190000000000135e-01,7.904740000000000147e-08
6.379491329193115234e+00,4.000199999999999867e-01,7.811100000000000375e-08
6.756276607513427734e+00,4.000219999999999887e-01,8.120899999999999615e-08
7.129062414169311523e+00,4.000159999999999827e-01,8.821739999999999689e-08
7.504848480224609375e+00,4.000090000000000034e-01,8.476949999999999684e-08
7.880088090896606445e+00,4.000159999999999827e-01,8.217030000000000358e-08
8.253420352935791016e+00,4.000130000000000075e-01,9.521440000000000323e-08
8.629205465316772461e+00,4.000110000000000054e-01,7.467630000000000278e-08
9.017983198165893555e+00,4.000330000000000275e-01,1.453710000000000118e-07
9.408005952835083008e+00,4.000070000000000014e-01,9.040409999999999886e-08
9.778548002243041992e+00,4.000330000000000275e-01,1.400030000000000129e-07
1.016885256767272949e+01,4.000299999999999967e-01,1.293909999999999971e-07
1.055802750587463379e+01,4.000219999999999887e-01,9.555970000000000038e-08
1.092618918418884277e+01,4.000059999999999727e-01,9.055529999999999561e-08
1.130067825317382812e+01,4.000199999999999867e-01,8.813920000000000351e-08
1.170641493797302246e+01,4.000099999999999767e-01,8.526779999999999541e-08
1.207823395729064941e+01,4.000389999999999779e-01,1.461130000000000061e-07
1.247000885009765625e+01,4.000360000000000027e-01,1.366509999999999972e-07
1.286478304862976074e+01,4.000330000000000275e-01,1.285739999999999971e-07
1.325655889511108398e+01,4.000310000000000255e-01,1.404729999999999900e-07
1.364633870124816895e+01,4.000139999999999807e-01,9.913370000000000313e-08
1.402012205123901367e+01,4.000319999999999987e-01,1.463589999999999939e-07
1.440890026092529297e+01,4.000340000000000007e-01,1.291630000000000032e-07
1.480167579650878906e+01,4.000179999999999847e-01,9.960930000000000509e-08
1.517638707160949707e+01,4.000360000000000027e-01,1.504030000000000002e-07
1.556523895263671875e+01,4.000290000000000235e-01,1.477200000000000019e-07
1.589005303382873535e+01,4.000600000000000267e-01,1.739729999999999922e-07
1.628083038330078125e+01,4.000349999999999739e-01,1.698080000000000075e-07
1.660743570327758789e+01,4.000380000000000047e-01,1.382970000000000108e-07
1.699721264839172363e+01,4.000369999999999759e-01,1.455669999999999958e-07
1.738698935508728027e+01,4.000369999999999759e-01,1.322069999999999873e-07
1.777876663208007812e+01,4.000349999999999739e-01,1.392700000000000023e-07
1.816454553604125977e+01,4.000400000000000067e-01,1.426550000000000025e-07
1.855425190925598145e+01,4.000420000000000087e-01,1.395839999999999878e-07
1.894411563873291016e+01,4.000440000000000107e-01,1.368750000000000130e-07
1.933305430412292480e+01,4.000580000000000247e-01,1.721850000000000029e-07
1.972458505630493164e+01,4.000259999999999927e-01,1.451380000000000123e-07
2.005226874351501465e+01,4.000560000000000227e-01,1.707200000000000093e-07
2.044109487533569336e+01,4.000449999999999839e-01,1.480809999999999877e-07
2.083087229728698730e+01,4.000210000000000155e-01,1.503910000000000131e-07
2.115768742561340332e+01,4.000380000000000047e-01,1.489729999999999933e-07
2.154946017265319824e+01,4.000230000000000175e-01,1.576059999999999887e-07
2.187827229499816895e+01,4.000460000000000127e-01,1.930199999999999907e-07
2.227204656600952148e+01,4.000250000000000195e-01,1.702730000000000054e-07
2.260078573226928711e+01,4.000150000000000095e-01,1.717539999999999907e-07
2.292567491531372070e+01,4.000199999999999867e-01,1.647959999999999889e-07
2.326862072944641113e+01,4.000119999999999787e-01,1.718459999999999891e-07
2.359451198577880859e+01,4.000059999999999727e-01,1.721630000000000045e-07
2.374920296669006348e+01,4.000349999999999739e-01,1.676560000000000026e-07
