# Fri Oct  6 16:19:24 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=4, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=14, Rth=22303232.53531347
3.547933101654052734e-01,4.000270000000000215e-01,4.739270000000000324e-09
7.326588630676269531e-01,4.000270000000000215e-01,4.636789999999999660e-09
1.112395286560058594e+00,4.000279999999999947e-01,3.900859999999999700e-09
1.491270780563354492e+00,4.000279999999999947e-01,9.458170000000000644e-09
1.872988462448120117e+00,4.000210000000000155e-01,1.390290000000000004e-08
2.253826379776000977e+00,4.000170000000000115e-01,6.030050000000000285e-09
2.635610580444335938e+00,4.000170000000000115e-01,1.233129999999999939e-08
3.014409303665161133e+00,4.000210000000000155e-01,1.124139999999999967e-08
3.396168470382690430e+00,4.000259999999999927e-01,1.321960000000000013e-08
3.775014162063598633e+00,4.000219999999999887e-01,1.185530000000000062e-08
4.153752326965332031e+00,4.000219999999999887e-01,1.231290000000000036e-08
4.526488780975341797e+00,4.000219999999999887e-01,8.091030000000000752e-09
4.901349544525146484e+00,4.000290000000000235e-01,1.371629999999999988e-08
5.275135993957519531e+00,4.000210000000000155e-01,1.860720000000000002e-08
5.479020595550537109e+00,4.000330000000000275e-01,1.451600000000000074e-08
