# Fri Nov 10 17:18:45 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-4.8, Tmax=0, Twrite=0, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=997, ratioRth=0.2, Rth=4873990.41335376, Nth=50
2.121386528015136719e-01,4.000580000000000247e-01,2.323980000000000075e-08
3.813681602478027344e-01,4.000659999999999772e-01,1.790030000000000114e-08
5.402700901031494141e-01,4.000619999999999732e-01,1.828349999999999957e-08
6.969444751739501953e-01,4.000650000000000039e-01,2.158940000000000074e-08
8.542752265930175781e-01,4.000630000000000019e-01,2.275140000000000148e-08
1.012686014175415039e+00,4.000589999999999979e-01,2.222629999999999965e-08
1.170052766799926758e+00,4.000569999999999959e-01,2.087009999999999972e-08
1.331009149551391602e+00,4.000560000000000227e-01,2.128389999999999844e-08
1.500936269760131836e+00,4.000670000000000059e-01,1.714149999999999835e-08
1.659116744995117188e+00,4.000639999999999752e-01,1.840979999999999985e-08
1.830683231353759766e+00,4.000529999999999919e-01,2.116349999999999955e-08
1.989009618759155273e+00,4.000489999999999879e-01,1.950789999999999961e-08
2.148090839385986328e+00,4.000529999999999919e-01,1.874319999999999872e-08
2.304554462432861328e+00,4.000580000000000247e-01,1.624470000000000120e-08
2.462060213088989258e+00,4.000699999999999812e-01,1.661110000000000109e-08
2.618460655212402344e+00,4.000739999999999852e-01,1.878939999999999883e-08
2.776256799697875977e+00,4.000699999999999812e-01,2.104200000000000075e-08
2.934743642807006836e+00,4.000650000000000039e-01,2.179830000000000071e-08
3.096874952316284180e+00,4.000699999999999812e-01,2.016629999999999973e-08
3.265807628631591797e+00,4.000580000000000247e-01,1.684669999999999891e-08
3.421735525131225586e+00,4.000679999999999792e-01,1.637870000000000094e-08
3.578224420547485352e+00,4.000739999999999852e-01,1.810840000000000087e-08
3.736705780029296875e+00,4.000650000000000039e-01,2.022250000000000125e-08
3.892539262771606445e+00,4.000589999999999979e-01,2.158150000000000039e-08
4.051863431930541992e+00,4.000560000000000227e-01,2.148740000000000089e-08
4.211257934570312500e+00,4.000600000000000267e-01,2.094399999999999881e-08
4.370615243911743164e+00,4.000560000000000227e-01,2.048959999999999840e-08
4.528512477874755859e+00,4.000569999999999959e-01,1.866340000000000154e-08
4.683990001678466797e+00,4.000609999999999999e-01,1.619170000000000066e-08
4.840775012969970703e+00,4.000659999999999772e-01,1.681180000000000103e-08
4.997692108154296875e+00,4.000670000000000059e-01,1.892570000000000052e-08
5.157716512680053711e+00,4.000719999999999832e-01,1.911689999999999961e-08
5.314093828201293945e+00,4.000670000000000059e-01,2.164320000000000153e-08
5.471905231475830078e+00,4.000589999999999979e-01,2.114640000000000134e-08
5.629836320877075195e+00,4.000560000000000227e-01,1.961999999999999966e-08
5.785751819610595703e+00,4.000549999999999939e-01,1.669040000000000101e-08
5.941657543182373047e+00,4.000619999999999732e-01,1.590029999999999978e-08
6.097652912139892578e+00,4.000679999999999792e-01,1.952619999999999984e-08
6.254472494125366211e+00,4.000609999999999999e-01,2.142849999999999895e-08
6.409926414489746094e+00,4.000580000000000247e-01,1.994429999999999946e-08
6.578997135162353516e+00,4.000650000000000039e-01,1.826540000000000023e-08
6.737141370773315430e+00,4.000739999999999852e-01,1.969430000000000053e-08
6.894113302230834961e+00,4.000639999999999752e-01,2.129479999999999888e-08
7.050273895263671875e+00,4.000589999999999979e-01,2.009039999999999837e-08
7.206104040145874023e+00,4.000600000000000267e-01,1.681739999999999944e-08
7.361080884933471680e+00,4.000710000000000099e-01,1.628710000000000097e-08
7.517542839050292969e+00,4.000739999999999852e-01,1.961910000000000063e-08
7.675110101699829102e+00,4.000679999999999792e-01,2.127069999999999935e-08
7.831312656402587891e+00,4.000600000000000267e-01,2.038529999999999990e-08
7.987386703491210938e+00,4.000580000000000247e-01,1.727370000000000002e-08
8.157149314880371094e+00,4.000679999999999792e-01,2.025469999999999872e-08
8.314149379730224609e+00,4.000589999999999979e-01,2.135599999999999946e-08
8.470271348953247070e+00,4.000509999999999899e-01,1.972369999999999880e-08
8.626840591430664062e+00,4.000520000000000187e-01,1.640720000000000017e-08
8.786109447479248047e+00,4.000549999999999939e-01,1.601979999999999963e-08
8.942482471466064453e+00,4.000609999999999999e-01,1.560770000000000019e-08
9.097147941589355469e+00,4.000619999999999732e-01,2.009449999999999839e-08
9.250268459320068359e+00,4.000600000000000267e-01,1.965969999999999902e-08
