# Fri Nov 10 15:05:24 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-5, Tmax=0, Twrite=0, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=73, ratioRth=0.2, Rth=6633377.353149384, Nth=50
1.998951435089111328e-01,4.000310000000000255e-01,1.488840000000000082e-08
3.571047782897949219e-01,4.000380000000000047e-01,1.181170000000000048e-08
5.124504566192626953e-01,4.000429999999999819e-01,1.379840000000000066e-08
6.722841262817382812e-01,4.000409999999999799e-01,1.399460000000000046e-08
8.301391601562500000e-01,4.000429999999999819e-01,1.552519999999999929e-08
1.000825405120849609e+00,4.000270000000000215e-01,1.488259999999999987e-08
1.169725894927978516e+00,4.000400000000000067e-01,1.703889999999999914e-08
1.327082157135009766e+00,4.000380000000000047e-01,1.818770000000000079e-08
1.483954906463623047e+00,4.000380000000000047e-01,1.740909999999999937e-08
1.641462802886962891e+00,4.000290000000000235e-01,1.509619999999999922e-08
1.797414779663085938e+00,4.000369999999999759e-01,1.160109999999999957e-08
1.954820632934570312e+00,4.000380000000000047e-01,1.218670000000000053e-08
2.112408161163330078e+00,4.000420000000000087e-01,1.371310000000000055e-08
2.268720149993896484e+00,4.000460000000000127e-01,2.127310000000000009e-08
2.425135374069213867e+00,4.000330000000000275e-01,1.713789999999999890e-08
2.597618103027343750e+00,4.000360000000000027e-01,1.172389999999999919e-08
2.756018877029418945e+00,4.000380000000000047e-01,1.151000000000000016e-08
2.926903486251831055e+00,4.000429999999999819e-01,1.809010000000000063e-08
3.083332777023315430e+00,4.000389999999999779e-01,1.663030000000000036e-08
3.238922357559204102e+00,4.000360000000000027e-01,1.225119999999999922e-08
3.394121646881103516e+00,4.000469999999999859e-01,1.177309999999999939e-08
3.565395832061767578e+00,4.000440000000000107e-01,1.743520000000000117e-08
3.722286224365234375e+00,4.000380000000000047e-01,1.512810000000000032e-08
3.878779172897338867e+00,4.000369999999999759e-01,8.311939999999999981e-08
4.036084651947021484e+00,4.000429999999999819e-01,9.161380000000000473e-08
4.193653821945190430e+00,4.000460000000000127e-01,1.277010000000000130e-07
4.365230560302734375e+00,4.000440000000000107e-01,1.083559999999999943e-07
4.523253202438354492e+00,4.000420000000000087e-01,1.240889999999999937e-07
4.679983615875244141e+00,4.000440000000000107e-01,1.121830000000000060e-07
4.836013793945312500e+00,4.000429999999999819e-01,8.513850000000000497e-08
5.053098678588867188e+00,4.000400000000000067e-01,1.402810000000000105e-07
5.224051237106323242e+00,4.000230000000000175e-01,7.696369999999999718e-08
5.444778919219970703e+00,4.000409999999999799e-01,1.185870000000000017e-07
5.619060754776000977e+00,4.000340000000000007e-01,1.196089999999999959e-07
5.772971153259277344e+00,4.000340000000000007e-01,1.084700000000000045e-07
5.928038120269775391e+00,4.000330000000000275e-01,1.173850000000000019e-07
6.085595369338989258e+00,4.000330000000000275e-01,1.053180000000000038e-07
6.241226673126220703e+00,4.000369999999999759e-01,1.329030000000000089e-07
6.396959543228149414e+00,4.000349999999999739e-01,1.171420000000000043e-07
6.555135965347290039e+00,4.000420000000000087e-01,8.185349999999999905e-08
6.772861957550048828e+00,4.000420000000000087e-01,9.706040000000000534e-08
6.928550481796264648e+00,4.000409999999999799e-01,1.221610000000000045e-07
7.100830316543579102e+00,4.000349999999999739e-01,1.065379999999999975e-07
7.257284879684448242e+00,4.000389999999999779e-01,8.145410000000000144e-08
7.475360155105590820e+00,4.000460000000000127e-01,1.328939999999999987e-07
7.647382497787475586e+00,4.000299999999999967e-01,8.491180000000000202e-08
7.865171909332275391e+00,4.000340000000000007e-01,9.500200000000000591e-08
8.022088766098022461e+00,4.000409999999999799e-01,1.029270000000000057e-07
