# Tue Nov 14 17:19:20 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.6, Tmax=0, Twrite=0.25, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=80, ratioRth=0.2, Rth=4920834.59255167, Nth=50
4.882335662841796875e-01,4.000799999999999912e-01,3.095330000000000229e-08
9.107530117034912109e-01,4.000830000000000219e-01,2.958609999999999981e-08
1.346664190292358398e+00,4.000779999999999892e-01,2.929929999999999952e-08
1.767953157424926758e+00,4.000799999999999912e-01,2.910720000000000139e-08
2.203123569488525391e+00,4.000739999999999852e-01,2.953419999999999920e-08
2.638534069061279297e+00,4.000799999999999912e-01,2.927559999999999846e-08
3.062505722045898438e+00,4.000879999999999992e-01,2.842189999999999922e-08
3.486097574234008789e+00,4.000839999999999952e-01,2.858560000000000022e-08
3.909152030944824219e+00,4.000799999999999912e-01,2.862779999999999910e-08
4.343427896499633789e+00,4.000839999999999952e-01,2.803799999999999934e-08
4.780718326568603516e+00,4.000739999999999852e-01,2.811319999999999924e-08
5.219861268997192383e+00,4.000759999999999872e-01,2.759839999999999850e-08
5.641049385070800781e+00,4.000750000000000139e-01,2.766509999999999869e-08
6.052491426467895508e+00,4.000739999999999852e-01,4.826639999999999868e-08
6.459207773208618164e+00,4.000699999999999812e-01,6.665179999999999601e-08
6.885602712631225586e+00,4.000779999999999892e-01,4.563779999999999723e-08
7.293083190917968750e+00,4.000739999999999852e-01,6.476120000000000421e-08
7.729500055313110352e+00,4.000819999999999932e-01,6.564530000000000615e-08
8.152343750000000000e+00,4.000810000000000199e-01,7.076939999999999841e-08
8.573023557662963867e+00,4.000779999999999892e-01,7.025389999999999621e-08
9.007271289825439453e+00,4.000790000000000179e-01,7.845120000000000305e-08
9.430393457412719727e+00,4.000819999999999932e-01,7.073119999999999745e-08
9.852164983749389648e+00,4.000830000000000219e-01,6.642099999999999635e-08
1.027338171005249023e+01,4.000839999999999952e-01,8.197330000000000519e-08
1.069598603248596191e+01,4.000830000000000219e-01,6.726709999999999491e-08
1.111822652816772461e+01,4.000819999999999932e-01,6.763370000000000561e-08
1.152330231666564941e+01,4.000879999999999992e-01,7.706579999999999913e-08
1.196036314964294434e+01,4.000900000000000012e-01,8.199550000000000125e-08
1.241268539428710938e+01,4.000900000000000012e-01,7.522330000000000099e-08
1.283609795570373535e+01,4.000839999999999952e-01,9.106670000000000110e-08
1.327163624763488770e+01,4.000889999999999724e-01,7.711499999999999933e-08
1.369190502166748047e+01,4.000830000000000219e-01,8.266860000000000216e-08
1.412920427322387695e+01,4.000810000000000199e-01,1.218810000000000046e-07
1.457856011390686035e+01,4.000529999999999919e-01,7.905519999999999973e-08
1.507473993301391602e+01,4.000889999999999724e-01,1.161669999999999972e-07
1.551300263404846191e+01,4.000630000000000019e-01,7.695289999999999552e-08
1.600919437408447266e+01,4.000839999999999952e-01,1.113780000000000064e-07
1.645907759666442871e+01,4.000839999999999952e-01,1.530839999999999962e-07
1.687971425056457520e+01,4.000790000000000179e-01,1.428129999999999964e-07
1.731383228302001953e+01,4.000850000000000239e-01,1.330400000000000055e-07
1.773414373397827148e+01,4.000859999999999972e-01,1.334880000000000105e-07
1.815698337554931641e+01,4.000810000000000199e-01,1.229029999999999988e-07
1.859101152420043945e+01,4.000839999999999952e-01,1.260019999999999923e-07
1.904194569587707520e+01,4.000870000000000259e-01,1.446010000000000122e-07
1.946388697624206543e+01,4.000859999999999972e-01,1.390509999999999922e-07
1.987033796310424805e+01,4.000839999999999952e-01,1.400549999999999925e-07
2.029098081588745117e+01,4.000830000000000219e-01,1.427330000000000116e-07
2.071490907669067383e+01,4.000770000000000159e-01,1.280020000000000102e-07
2.114960193634033203e+01,4.000799999999999912e-01,1.515810000000000125e-07
2.157235503196716309e+01,4.000859999999999972e-01,1.810790000000000030e-07
2.199402856826782227e+01,4.000830000000000219e-01,1.357440000000000011e-07
2.241720771789550781e+01,4.000879999999999992e-01,1.361970000000000118e-07
2.282718062400817871e+01,4.000879999999999992e-01,1.379860000000000022e-07
2.326597499847412109e+01,4.000819999999999932e-01,1.345540000000000017e-07
2.367620515823364258e+01,4.000839999999999952e-01,1.362880000000000091e-07
2.410899329185485840e+01,4.000879999999999992e-01,1.410369999999999943e-07
2.454481220245361328e+01,4.000839999999999952e-01,1.414200000000000051e-07
2.496533632278442383e+01,4.000859999999999972e-01,1.304040000000000075e-07
2.537252521514892578e+01,4.000839999999999952e-01,1.456250000000000086e-07
2.579443407058715820e+01,4.000839999999999952e-01,1.391810000000000073e-07
2.623067474365234375e+01,4.000870000000000259e-01,1.394370000000000064e-07
2.668095755577087402e+01,4.000900000000000012e-01,1.561349999999999883e-07
2.710459733009338379e+01,4.000909999999999744e-01,1.646379999999999950e-07
2.757002091407775879e+01,4.000920000000000032e-01,1.660240000000000049e-07
2.800460457801818848e+01,4.000940000000000052e-01,1.459389999999999941e-07
2.841308283805847168e+01,4.000859999999999972e-01,1.592970000000000003e-07
2.884864950180053711e+01,4.000859999999999972e-01,1.724020000000000108e-07
2.928707408905029297e+01,4.000839999999999952e-01,1.600950000000000052e-07
2.972250151634216309e+01,4.000889999999999724e-01,1.517140000000000045e-07
3.015831255912780762e+01,4.000819999999999932e-01,1.472639999999999878e-07
3.058041882514953613e+01,4.000850000000000239e-01,1.211100000000000038e-07
3.100408887863159180e+01,4.000859999999999972e-01,1.355820000000000027e-07
3.143707489967346191e+01,4.000810000000000199e-01,1.275110000000000094e-07
3.187235093116760254e+01,4.000819999999999932e-01,1.438559999999999880e-07
3.230924820899963379e+01,4.000830000000000219e-01,1.316109999999999997e-07
3.274630570411682129e+01,4.000839999999999952e-01,1.633499999999999903e-07
3.318160963058471680e+01,4.000839999999999952e-01,1.512530000000000111e-07
3.360454630851745605e+01,4.000920000000000032e-01,1.549269999999999949e-07
3.404132652282714844e+01,4.000889999999999724e-01,1.161630000000000059e-07
3.448969817161560059e+01,4.000859999999999972e-01,1.360599999999999888e-07
3.462965321540832520e+01,4.000500000000000167e-01,1.130729999999999961e-07
