# Tue Nov 14 17:52:31 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-4, Tmax=0, Twrite=0.25, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=51, ratioRth=0.2, Rth=5160524.089197026, Nth=50
4.926943778991699219e-01,4.000949999999999784e-01,2.305239999999999869e-08
9.287190437316894531e-01,4.000989999999999824e-01,9.316809999999999635e-08
1.348865032196044922e+00,4.001149999999999984e-01,1.755659999999999986e-07
1.771876573562622070e+00,4.001009999999999844e-01,1.177679999999999995e-07
2.207170009613037109e+00,4.001000000000000112e-01,2.114250000000000023e-07
2.644186019897460938e+00,4.001029999999999864e-01,1.974440000000000043e-07
3.067024469375610352e+00,4.001000000000000112e-01,2.047980000000000052e-07
3.505953788757324219e+00,4.001020000000000132e-01,2.467040000000000100e-07
3.913746833801269531e+00,4.001009999999999844e-01,2.870250000000000175e-07
4.349881649017333984e+00,4.001000000000000112e-01,2.382859999999999938e-07
4.769874811172485352e+00,4.001040000000000152e-01,2.770469999999999793e-07
5.208771467208862305e+00,4.001020000000000132e-01,2.761879999999999847e-07
5.645931482315063477e+00,4.000989999999999824e-01,2.545560000000000197e-07
6.069500446319580078e+00,4.000980000000000092e-01,2.813460000000000101e-07
6.490904331207275391e+00,4.001009999999999844e-01,3.254870000000000081e-07
6.927193164825439453e+00,4.001060000000000172e-01,3.373200000000000056e-07
7.362098455429077148e+00,4.001080000000000192e-01,3.177660000000000146e-07
7.797769069671630859e+00,4.001020000000000132e-01,3.035579999999999975e-07
8.233897209167480469e+00,4.000960000000000072e-01,3.211119999999999971e-07
8.670224666595458984e+00,4.001000000000000112e-01,3.200460000000000059e-07
9.095001935958862305e+00,4.000960000000000072e-01,3.128729999999999985e-07
9.516767740249633789e+00,4.000989999999999824e-01,3.198830000000000064e-07
9.967896938323974609e+00,4.001000000000000112e-01,3.582500000000000216e-07
1.040498232841491699e+01,4.001040000000000152e-01,2.786639999999999865e-07
1.084087228775024414e+01,4.001020000000000132e-01,3.203119999999999899e-07
1.126087450981140137e+01,4.000989999999999824e-01,3.091030000000000118e-07
1.169514489173889160e+01,4.000969999999999804e-01,3.899570000000000024e-07
1.216508936882019043e+01,4.000920000000000032e-01,3.038109999999999932e-07
1.258346199989318848e+01,4.000949999999999784e-01,3.172819999999999952e-07
1.301752877235412598e+01,4.001000000000000112e-01,3.048700000000000029e-07
1.344158148765563965e+01,4.000989999999999824e-01,2.968719999999999865e-07
1.387529230117797852e+01,4.001020000000000132e-01,3.647150000000000203e-07
1.431152033805847168e+01,4.001000000000000112e-01,3.119249999999999824e-07
1.473504805564880371e+01,4.000989999999999824e-01,3.419319999999999942e-07
1.517158007621765137e+01,4.000960000000000072e-01,2.996600000000000244e-07
1.557834005355834961e+01,4.000949999999999784e-01,3.497940000000000153e-07
1.599838352203369141e+01,4.000949999999999784e-01,3.508209999999999887e-07
1.642004942893981934e+01,4.000909999999999744e-01,3.246780000000000172e-07
1.685428547859191895e+01,4.000960000000000072e-01,3.537609999999999872e-07
1.728777742385864258e+01,4.000900000000000012e-01,3.429170000000000259e-07
1.772308373451232910e+01,4.000870000000000259e-01,3.051890000000000205e-07
1.816087818145751953e+01,4.000909999999999744e-01,3.504110000000000002e-07
1.859435319900512695e+01,4.000870000000000259e-01,3.338030000000000146e-07
1.901830816268920898e+01,4.000839999999999952e-01,3.366200000000000060e-07
1.945376563072204590e+01,4.000870000000000259e-01,3.137989999999999897e-07
1.989094996452331543e+01,4.000859999999999972e-01,3.183149999999999754e-07
2.031446003913879395e+01,4.000859999999999972e-01,3.628220000000000178e-07
2.074888277053833008e+01,4.000960000000000072e-01,3.130389999999999750e-07
2.115619301795959473e+01,4.000879999999999992e-01,3.426350000000000238e-07
2.159200787544250488e+01,4.000879999999999992e-01,3.420630000000000104e-07
2.202635216712951660e+01,4.000839999999999952e-01,3.131570000000000029e-07
2.216758418083190918e+01,4.000440000000000107e-01,2.425699999999999811e-07
