# Fri Nov 17 15:15:18 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.5, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=181, ratioRth=0.2, Rth=6347043.111332742, Nth=50
3.352789878845214844e-01,4.000639999999999752e-01,2.288870000000000100e-08
6.315422058105468750e-01,4.000659999999999772e-01,2.363799999999999964e-08
9.271070957183837891e-01,4.000690000000000079e-01,2.641120000000000161e-08
1.208987951278686523e+00,4.000679999999999792e-01,2.639549999999999968e-08
1.504664897918701172e+00,4.000609999999999999e-01,2.519750000000000113e-08
1.799294233322143555e+00,4.000659999999999772e-01,2.690830000000000147e-08
2.076849699020385742e+00,4.000670000000000059e-01,2.705399999999999860e-08
2.359833240509033203e+00,4.000650000000000039e-01,2.624010000000000082e-08
2.639366388320922852e+00,4.000639999999999752e-01,2.531219999999999951e-08
2.921136617660522461e+00,4.000639999999999752e-01,2.547320000000000009e-08
3.200143814086914062e+00,4.000639999999999752e-01,2.523019999999999917e-08
3.480748176574707031e+00,4.000639999999999752e-01,2.464390000000000007e-08
3.755071878433227539e+00,4.000659999999999772e-01,2.629450000000000096e-08
4.032631635665893555e+00,4.000659999999999772e-01,2.623140000000000022e-08
4.315235137939453125e+00,4.000690000000000079e-01,2.586759999999999864e-08
4.598707437515258789e+00,4.000699999999999812e-01,2.441349999999999888e-08
4.890594482421875000e+00,4.000659999999999772e-01,2.572289999999999934e-08
5.186655759811401367e+00,4.000659999999999772e-01,2.392409999999999848e-08
5.480385065078735352e+00,4.000659999999999772e-01,2.419020000000000111e-08
5.775306701660156250e+00,4.000670000000000059e-01,2.506030000000000041e-08
6.056144475936889648e+00,4.000690000000000079e-01,2.642960000000000063e-08
6.336043834686279297e+00,4.000710000000000099e-01,2.602369999999999896e-08
6.630873203277587891e+00,4.000710000000000099e-01,2.560550000000000055e-08
6.909714221954345703e+00,4.000750000000000139e-01,2.528919999999999990e-08
7.193551301956176758e+00,4.000739999999999852e-01,2.569650000000000117e-08
7.489575147628784180e+00,4.000679999999999792e-01,2.431589999999999872e-08
7.783213376998901367e+00,4.000670000000000059e-01,2.392910000000000084e-08
8.063054561614990234e+00,4.000719999999999832e-01,2.512970000000000102e-08
8.346281528472900391e+00,4.000679999999999792e-01,2.356020000000000142e-08
8.631116390228271484e+00,4.000659999999999772e-01,2.499650000000000152e-08
8.908265113830566406e+00,4.000710000000000099e-01,2.635390000000000016e-08
9.199789524078369141e+00,4.000690000000000079e-01,2.442870000000000023e-08
9.482628107070922852e+00,4.000739999999999852e-01,2.360400000000000079e-08
9.776805400848388672e+00,4.000650000000000039e-01,2.533670000000000082e-08
1.005710721015930176e+01,4.000679999999999792e-01,2.498709999999999946e-08
1.035094070434570312e+01,4.000679999999999792e-01,2.516889999999999981e-08
1.062878108024597168e+01,4.000659999999999772e-01,2.493480000000000038e-08
1.092530536651611328e+01,4.000679999999999792e-01,2.446010000000000076e-08
1.122113561630249023e+01,4.000679999999999792e-01,2.485760000000000151e-08
1.150097608566284180e+01,4.000589999999999979e-01,2.403619999999999854e-08
1.181279778480529785e+01,4.000549999999999939e-01,2.511080000000000142e-08
1.210762739181518555e+01,4.000560000000000227e-01,2.482490000000000017e-08
1.239045143127441406e+01,4.000489999999999879e-01,2.550829999999999886e-08
1.267582559585571289e+01,4.000569999999999959e-01,2.494160000000000081e-08
1.295766139030456543e+01,4.000569999999999959e-01,2.442450000000000142e-08
1.324049925804138184e+01,4.000589999999999979e-01,2.443820000000000108e-08
1.352333950996398926e+01,4.000589999999999979e-01,2.328960000000000031e-08
1.381721520423889160e+01,4.000609999999999999e-01,2.508039999999999872e-08
1.410072851181030273e+01,4.000659999999999772e-01,2.367370000000000108e-08
1.438355660438537598e+01,4.000639999999999752e-01,2.396080000000000105e-08
1.466739320755004883e+01,4.000609999999999999e-01,2.571260000000000156e-08
1.495097041130065918e+01,4.000659999999999772e-01,2.501240000000000102e-08
1.523380780220031738e+01,4.000619999999999732e-01,2.440680000000000054e-08
1.551664376258850098e+01,4.000659999999999772e-01,2.335080000000000088e-08
1.579889273643493652e+01,4.000690000000000079e-01,2.363870000000000110e-08
1.609431314468383789e+01,4.000619999999999732e-01,2.476479999999999952e-08
1.638880705833435059e+01,4.000609999999999999e-01,2.536320000000000109e-08
1.667364335060119629e+01,4.000699999999999812e-01,2.503240000000000054e-08
1.695348477363586426e+01,4.000619999999999732e-01,2.586390000000000040e-08
1.724831485748291016e+01,4.000600000000000267e-01,2.518539999999999866e-08
1.752915263175964355e+01,4.000589999999999979e-01,2.609499999999999974e-08
1.783097982406616211e+01,4.000540000000000207e-01,2.374609999999999847e-08
1.812281298637390137e+01,4.000609999999999999e-01,2.383690000000000151e-08
1.840565013885498047e+01,4.000619999999999732e-01,2.418049999999999937e-08
1.868848800659179688e+01,4.000600000000000267e-01,2.487210000000000141e-08
1.898331880569458008e+01,4.000650000000000039e-01,2.143889999999999883e-08
1.927614998817443848e+01,4.000699999999999812e-01,2.742950000000000087e-08
1.955799007415771484e+01,4.000719999999999832e-01,2.621300000000000119e-08
1.985381984710693359e+01,4.000719999999999832e-01,2.529879999999999953e-08
2.014965009689331055e+01,4.000670000000000059e-01,2.549800000000000108e-08
2.043648862838745117e+01,4.000710000000000099e-01,2.374849999999999921e-08
2.073231840133666992e+01,4.000710000000000099e-01,2.560660000000000048e-08
2.101315522193908691e+01,4.000690000000000079e-01,2.857600000000000058e-08
2.131449508666992188e+01,4.000659999999999772e-01,2.319310000000000007e-08
2.163634562492370605e+01,4.000659999999999772e-01,2.478550000000000049e-08
2.191818380355834961e+01,4.000670000000000059e-01,2.214360000000000116e-08
2.223500204086303711e+01,4.000670000000000059e-01,2.519540000000000008e-08
2.251983880996704102e+01,4.000630000000000019e-01,2.203299999999999950e-08
2.281187796592712402e+01,4.000630000000000019e-01,2.461350000000000067e-08
2.312169981002807617e+01,4.000630000000000019e-01,2.242610000000000055e-08
2.341753983497619629e+01,4.000690000000000079e-01,2.451129999999999993e-08
2.370037889480590820e+01,4.000710000000000099e-01,2.289800000000000096e-08
2.398721241950988770e+01,4.000609999999999999e-01,2.301849999999999863e-08
2.427204942703247070e+01,4.000719999999999832e-01,2.623190000000000079e-08
2.456818485260009766e+01,4.000730000000000119e-01,2.561730000000000004e-08
