# Tue Nov 21 21:35:17 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.190633773803710938e-02,5.006789999999999797e-07,-3.350259999999999968e-10,2.340087890625000000e-01,4.000520000000000187e-01,2.598699999999999970e-08
3.741588592529296875e-01,1.999920000000000031e-01,5.806060000000000111e-09,5.294251441955566406e-01,4.000429999999999819e-01,2.521340000000000063e-08
6.699666976928710938e-01,4.000460000000000127e-01,2.424250000000000019e-08,8.105716705322265625e-01,4.000449999999999839e-01,2.401569999999999845e-08
9.508883953094482422e-01,6.000720000000000498e-01,6.152639999999999962e-08,1.092835664749145508e+00,4.000460000000000127e-01,1.730469999999999878e-08
1.231724262237548828e+00,8.000899999999999679e-01,7.510490000000000438e-08,1.372545242309570312e+00,4.000480000000000147e-01,1.188460000000000009e-08
1.512606620788574219e+00,1.000089999999999923e+00,9.145400000000000617e-08,1.653287410736083984e+00,4.000420000000000087e-01,7.656190000000000214e-09
1.807818174362182617e+00,1.200090000000000101e+00,1.304169999999999958e-07,1.964613914489746094e+00,4.000440000000000107e-01,6.869099999999999782e-09
2.165639400482177734e+00,1.400090000000000057e+00,2.008629999999999901e-07,2.319700241088867188e+00,4.000429999999999819e-01,7.535850000000000607e-09
2.538524627685546875e+00,1.600039999999999907e+00,2.402019999999999958e-07,2.695801973342895508e+00,4.000460000000000127e-01,8.380320000000000690e-09
2.896024227142333984e+00,1.800030000000000019e+00,3.108060000000000105e-07,3.053781986236572266e+00,4.000509999999999899e-01,8.150719999999999746e-09
3.258577108383178711e+00,1.999989999999999934e+00,4.069230000000000234e-07,3.417612075805664062e+00,4.000420000000000087e-01,6.622900000000000363e-09
3.620466709136962891e+00,2.200229999999999908e+00,5.492889999999999895e-07,3.776588916778564453e+00,4.000420000000000087e-01,6.230470000000000303e-09
3.982106447219848633e+00,2.400259999999999838e+00,7.627770000000000281e-07,4.136804342269897461e+00,4.000429999999999819e-01,6.021259999999999947e-09
4.338843345642089844e+00,2.600309999999999899e+00,1.030910000000000011e-06,4.510427951812744141e+00,4.000469999999999859e-01,7.398049999999999697e-09
4.712378978729248047e+00,2.800419999999999909e+00,1.455309999999999920e-06,4.885590791702270508e+00,4.000369999999999759e-01,7.743859999999999768e-09
5.089367151260375977e+00,3.000500000000000167e+00,2.058379999999999933e-06,5.260352373123168945e+00,4.000369999999999759e-01,6.851199999999999668e-09
5.463693857192993164e+00,3.200720000000000010e+00,2.921770000000000149e-06,5.638232707977294922e+00,4.000369999999999759e-01,6.758250000000000314e-09
5.843139886856079102e+00,3.400729999999999809e+00,4.144820000000000238e-06,6.014536380767822266e+00,4.000389999999999779e-01,6.208349999999999970e-09
6.215251445770263672e+00,3.600870000000000015e+00,5.895170000000000344e-06,6.386942148208618164e+00,4.000400000000000067e-01,7.743700000000000049e-09
6.589680671691894531e+00,3.800619999999999887e+00,8.375850000000000452e-06,6.760157108306884766e+00,4.000400000000000067e-01,7.406039999999999791e-09
6.963899612426757812e+00,4.000630000000000130e+00,1.193619999999999932e-05,7.137646198272705078e+00,4.000319999999999987e-01,3.409030000000000066e-10
7.339659214019775391e+00,4.200549999999999784e+00,1.699319999999999851e-05,7.512828111648559570e+00,4.000369999999999759e-01,-5.705120000000000457e-10
7.715257883071899414e+00,4.400830000000000020e+00,2.433100000000000134e-05,7.887670755386352539e+00,4.000369999999999759e-01,3.501180000000000234e-11
8.090720891952514648e+00,4.600959999999999717e+00,3.485809999999999750e-05,8.261482715606689453e+00,4.000310000000000255e-01,3.696679999999999714e-11
8.462614059448242188e+00,4.801029999999999909e+00,5.013659999999999699e-05,8.634841680526733398e+00,4.000290000000000235e-01,-1.687880000000000017e-10
8.838224887847900391e+00,5.001120000000000232e+00,7.232269999999999790e-05,9.024655818939208984e+00,4.000319999999999987e-01,-3.549930000000000065e-10
