# Fri Nov 24 00:13:19 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.868697166442871094e-02,9.870530000000000176e-06,-2.614970000000000018e-10,2.311232089996337891e-01,4.000580000000000247e-01,5.152359999999999690e-08
3.722710609436035156e-01,2.000059999999999893e-01,1.229620000000000061e-08,5.131785869598388672e-01,4.000619999999999732e-01,4.887710000000000030e-08
6.536402702331542969e-01,4.000679999999999792e-01,3.948129999999999765e-08,7.935943603515625000e-01,4.000670000000000059e-01,3.827180000000000261e-08
9.338002204895019531e-01,6.000940000000000163e-01,1.296040000000000004e-07,1.090831518173217773e+00,4.000630000000000019e-01,2.943189999999999966e-08
1.294821739196777344e+00,8.001239999999999464e-01,2.200160000000000029e-07,1.450146436691284180e+00,4.000650000000000039e-01,2.548410000000000054e-08
1.653275489807128906e+00,1.000119999999999898e+00,2.961040000000000156e-07,1.811443567276000977e+00,4.000619999999999732e-01,2.015630000000000163e-08
2.014072179794311523e+00,1.200120000000000076e+00,3.046869999999999807e-07,2.169716119766235352e+00,4.000639999999999752e-01,1.517799999999999867e-08
2.372272729873657227e+00,1.400099999999999900e+00,3.910129999999999822e-07,2.528114795684814453e+00,4.000679999999999792e-01,1.138019999999999923e-08
2.732563734054565430e+00,1.600070000000000103e+00,3.724760000000000062e-07,2.887550830841064453e+00,4.000719999999999832e-01,1.443780000000000075e-08
3.088872194290161133e+00,1.800059999999999993e+00,4.818590000000000269e-07,3.243979692459106445e+00,4.000730000000000119e-01,1.289870000000000055e-08
3.446555852890014648e+00,2.000020000000000131e+00,5.469590000000000473e-07,3.603302955627441406e+00,4.000699999999999812e-01,1.133570000000000005e-08
3.805526733398437500e+00,2.200470000000000148e+00,6.967730000000000414e-07,3.960273742675781250e+00,4.000679999999999792e-01,1.215899999999999989e-08
4.162541866302490234e+00,2.400469999999999882e+00,9.345920000000000086e-07,4.319236278533935547e+00,4.000630000000000019e-01,1.252110000000000053e-08
4.520876169204711914e+00,2.600509999999999877e+00,1.256380000000000031e-06,4.691277980804443359e+00,4.000549999999999939e-01,1.149440000000000034e-08
4.894901990890502930e+00,2.800530000000000186e+00,1.709550000000000005e-06,5.068267822265625000e+00,4.000609999999999999e-01,1.129799999999999966e-08
5.272017002105712891e+00,3.000690000000000079e+00,2.363329999999999868e-06,5.443773746490478516e+00,4.000589999999999979e-01,1.194650000000000047e-08
5.647389650344848633e+00,3.200790000000000024e+00,3.299729999999999915e-06,5.818042993545532227e+00,4.000589999999999979e-01,1.329050000000000079e-08
6.018953323364257812e+00,3.400959999999999983e+00,4.598649999999999585e-06,6.190274238586425781e+00,4.000560000000000227e-01,1.212809999999999992e-08
6.396102905273437500e+00,3.601039999999999797e+00,6.447549999999999789e-06,6.566624879837036133e+00,4.000630000000000019e-01,1.184129999999999963e-08
6.769467830657958984e+00,3.800829999999999931e+00,8.970399999999999698e-06,6.940319061279296875e+00,4.000589999999999979e-01,1.327449999999999919e-08
7.143538951873779297e+00,4.000790000000000290e+00,1.254460000000000014e-05,7.315688848495483398e+00,4.000500000000000167e-01,2.079079999999999814e-09
7.517780780792236328e+00,4.200719999999999565e+00,1.757810000000000031e-05,7.688611030578613281e+00,4.000449999999999839e-01,1.648820000000000103e-09
7.893585920333862305e+00,4.400900000000000034e+00,2.503949999999999972e-05,8.063654422760009766e+00,4.000480000000000147e-01,1.589730000000000051e-09
8.267327070236206055e+00,4.601079999999999615e+00,3.512580000000000173e-05,8.438841342926025391e+00,4.000549999999999939e-01,2.084089999999999986e-09
8.641358375549316406e+00,4.801219999999999821e+00,4.975920000000000294e-05,8.814311504364013672e+00,4.000440000000000107e-01,2.311360000000000174e-09
9.018591880798339844e+00,5.001319999999999766e+00,7.130369999999999970e-05,9.189174890518188477e+00,4.000420000000000087e-01,1.958939999999999855e-09
9.395179986953735352e+00,4.801169999999999938e+00,5.001880000000000296e-05,9.566270828247070312e+00,4.000429999999999819e-01,1.728249999999999900e-09
9.768848896026611328e+00,4.601110000000000255e+00,3.524439999999999751e-05,9.940274715423583984e+00,4.000480000000000147e-01,1.976930000000000120e-09
1.014127898216247559e+01,4.401019999999999932e+00,2.487800000000000135e-05,1.031435441970825195e+01,4.000440000000000107e-01,2.403009999999999956e-09
1.051634764671325684e+01,4.200719999999999565e+00,1.758640000000000157e-05,1.068719887733459473e+01,4.000489999999999879e-01,1.760380000000000077e-09
1.089246702194213867e+01,3.999070000000000125e+00,-9.937639999999999775e-08,1.103302001953125000e+01,4.000429999999999819e-01,1.575739999999999855e-08
1.117283296585083008e+01,3.800759999999999916e+00,8.908399999999999275e-06,1.134488439559936523e+01,4.000569999999999959e-01,1.321019999999999973e-08
1.154782986640930176e+01,3.600989999999999913e+00,6.369549999999999858e-06,1.171817398071289062e+01,4.000560000000000227e-01,1.450630000000000066e-08
1.192027401924133301e+01,3.400959999999999983e+00,4.547850000000000003e-06,1.209229946136474609e+01,4.000609999999999999e-01,1.431569999999999928e-08
