# Thu Nov 23 05:46:26 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.793905258178710938e-02,1.125339999999999969e-05,4.911420000000000008e-11,2.287731170654296875e-01,4.000589999999999979e-01,1.003400000000000071e-08
3.694128990173339844e-01,2.000029999999999863e-01,3.929730000000000243e-09,5.088877677917480469e-01,4.000600000000000267e-01,9.945079999999999741e-09
6.484160423278808594e-01,4.000609999999999999e-01,9.990790000000000817e-09,7.887592315673828125e-01,4.000589999999999979e-01,9.940650000000000409e-09
9.299793243408203125e-01,6.000889999999999835e-01,1.913240000000000064e-08,1.070190191268920898e+00,4.000619999999999732e-01,9.795369999999999852e-09
1.226475000381469727e+00,8.001030000000000086e-01,3.198509999999999701e-08,1.382045269012451172e+00,4.000580000000000247e-01,8.734769999999999606e-09
1.537415266036987305e+00,1.000099999999999989e+00,4.907839999999999960e-08,1.677287101745605469e+00,4.000630000000000019e-01,8.011350000000000464e-09
1.819386720657348633e+00,1.200110000000000010e+00,7.501199999999999698e-08,1.960347175598144531e+00,4.000609999999999999e-01,8.416040000000000232e-09
2.101514101028442383e+00,1.400090000000000057e+00,1.332730000000000050e-07,2.256380796432495117e+00,4.000619999999999732e-01,7.075700000000000288e-09
2.456344604492187500e+00,1.600070000000000103e+00,2.066999999999999914e-07,2.611676454544067383e+00,4.000580000000000247e-01,7.632039999999999631e-09
2.814229965209960938e+00,1.800059999999999993e+00,2.718740000000000163e-07,2.970153808593750000e+00,4.000589999999999979e-01,7.781449999999999842e-09
3.172716379165649414e+00,2.000010000000000066e+00,3.716099999999999772e-07,3.330499887466430664e+00,4.000639999999999752e-01,7.380409999999999746e-09
3.530668497085571289e+00,2.200380000000000003e+00,5.088730000000000066e-07,3.687349557876586914e+00,4.000569999999999959e-01,7.779289999999999510e-09
3.891695976257324219e+00,2.400440000000000129e+00,7.078179999999999924e-07,4.046414613723754883e+00,4.000580000000000247e-01,7.430159999999999910e-09
4.249160766601562500e+00,2.600569999999999826e+00,9.933300000000000677e-07,4.404455661773681641e+00,4.000650000000000039e-01,7.841160000000000249e-09
4.608048200607299805e+00,2.800609999999999822e+00,1.367530000000000017e-06,4.778370857238769531e+00,4.000600000000000267e-01,8.719390000000000430e-09
4.982050180435180664e+00,3.000719999999999832e+00,1.936240000000000032e-06,5.153314828872680664e+00,4.000619999999999732e-01,8.587929999999999728e-09
5.357107400894165039e+00,3.200880000000000170e+00,2.738020000000000003e-06,5.529436349868774414e+00,4.000600000000000267e-01,8.390949999999999443e-09
5.732648134231567383e+00,3.400980000000000114e+00,3.874930000000000354e-06,5.904155969619750977e+00,4.000659999999999772e-01,7.795750000000000506e-09
6.106480121612548828e+00,3.601090000000000124e+00,5.485349999999999921e-06,6.277702808380126953e+00,4.000609999999999999e-01,8.236189999999999452e-09
6.479818105697631836e+00,3.800829999999999931e+00,7.735069999999999449e-06,6.651568651199340820e+00,4.000580000000000247e-01,9.200740000000000635e-09
6.854249715805053711e+00,4.000849999999999795e+00,1.089740000000000005e-05,7.027561187744140625e+00,4.000619999999999732e-01,8.899269999999999193e-09
7.228771448135375977e+00,4.200719999999999565e+00,1.522519999999999951e-05,7.399111986160278320e+00,4.000520000000000187e-01,4.654050000000000074e-10
7.600500822067260742e+00,4.400949999999999918e+00,2.135760000000000029e-05,7.771940708160400391e+00,4.000489999999999879e-01,3.171209999999999950e-10
7.975388050079345703e+00,4.601130000000000386e+00,2.958130000000000086e-05,8.146415710449218750e+00,4.000489999999999879e-01,5.697010000000000162e-10
8.349412679672241211e+00,4.801239999999999952e+00,4.068709999999999878e-05,8.520029067993164062e+00,4.000529999999999919e-01,8.871790000000000235e-10
8.723725318908691406e+00,5.001319999999999766e+00,5.593739999999999742e-05,8.896587848663330078e+00,4.000509999999999899e-01,9.998320000000000687e-10
9.101854085922241211e+00,4.801219999999999821e+00,4.105759999999999803e-05,9.273936748504638672e+00,4.000540000000000207e-01,1.020130000000000074e-09
9.478694200515747070e+00,4.601189999999999891e+00,2.979930000000000114e-05,9.650612592697143555e+00,4.000509999999999899e-01,9.723070000000000009e-10
9.856404542922973633e+00,4.400970000000000049e+00,2.150770000000000077e-05,1.002849316596984863e+01,4.000549999999999939e-01,9.573580000000000766e-10
1.023081040382385254e+01,4.200759999999999827e+00,1.543490000000000023e-05,1.040428543090820312e+01,4.000549999999999939e-01,7.930759999999999815e-10
1.060509610176086426e+01,4.000840000000000174e+00,1.106070000000000067e-05,1.077872562408447266e+01,4.000569999999999959e-01,8.714220000000000127e-09
1.098259592056274414e+01,3.800800000000000178e+00,7.868239999999999734e-06,1.115379738807678223e+01,4.000540000000000207e-01,1.010859999999999961e-08
1.135721015930175781e+01,3.601010000000000044e+00,5.606949999999999739e-06,1.152738690376281738e+01,4.000609999999999999e-01,1.084500000000000050e-08
1.172903203964233398e+01,3.400949999999999918e+00,3.976550000000000069e-06,1.190138483047485352e+01,4.000589999999999979e-01,1.027809999999999990e-08
1.210359215736389160e+01,3.200839999999999907e+00,2.820529999999999912e-06,1.227739167213439941e+01,4.000600000000000267e-01,9.774719999999999928e-09
1.248246932029724121e+01,3.000719999999999832e+00,1.999210000000000125e-06,1.265428876876831055e+01,4.000619999999999732e-01,9.243759999999999520e-09
1.285834670066833496e+01,2.800580000000000069e+00,1.413980000000000013e-06,1.302938127517700195e+01,4.000659999999999772e-01,8.865079999999999335e-09
1.323301267623901367e+01,2.600519999999999943e+00,1.006440000000000057e-06,1.340426659584045410e+01,4.000650000000000039e-01,9.315419999999999250e-09
1.360743331909179688e+01,2.400479999999999947e+00,7.425470000000000118e-07,1.376491713523864746e+01,4.000609999999999999e-01,8.831689999999999722e-09
1.396371436119079590e+01,2.200410000000000199e+00,5.352389999999999927e-07,1.411887145042419434e+01,4.000589999999999979e-01,9.588170000000000816e-09
1.432263779640197754e+01,2.000020000000000131e+00,3.918790000000000113e-07,1.447901821136474609e+01,4.000609999999999999e-01,9.185340000000000047e-09
1.467977452278137207e+01,1.800059999999999993e+00,2.879729999999999807e-07,1.483700704574584961e+01,4.000619999999999732e-01,9.307179999999999700e-09
1.504017877578735352e+01,1.600070000000000103e+00,2.151580000000000000e-07,1.519392204284667969e+01,4.000619999999999732e-01,9.477129999999999512e-09
1.541395759582519531e+01,1.400090000000000057e+00,1.483540000000000061e-07,1.557105302810668945e+01,4.000600000000000267e-01,9.847589999999999905e-09
1.577357196807861328e+01,1.200099999999999945e+00,8.048719999999999561e-08,1.591534757614135742e+01,4.000650000000000039e-01,9.906900000000000190e-09
1.605418825149536133e+01,1.000099999999999989e+00,5.375720000000000044e-08,1.619428849220275879e+01,4.000639999999999752e-01,1.000640000000000052e-08
1.633585286140441895e+01,8.001070000000000126e-01,3.459789999999999775e-08,1.647539091110229492e+01,4.000609999999999999e-01,1.056359999999999938e-08
1.663007855415344238e+01,6.000889999999999835e-01,1.990590000000000092e-08,1.677059578895568848e+01,4.000639999999999752e-01,1.007139999999999978e-08
1.691255140304565430e+01,4.000600000000000267e-01,1.057680000000000012e-08,1.705308222770690918e+01,4.000670000000000059e-01,1.073730000000000013e-08
1.719422197341918945e+01,2.000059999999999893e-01,4.428839999999999773e-09,1.733748316764831543e+01,4.000670000000000059e-01,1.132470000000000081e-08
1.747803282737731934e+01,1.738070000000000115e-05,-8.237360000000000597e-11,1.763175296783447266e+01,4.000609999999999999e-01,1.123919999999999982e-08
1.777177596092224121e+01,2.000049999999999883e-01,4.537389999999999776e-09,1.791311287879943848e+01,4.000589999999999979e-01,1.138369999999999989e-08
1.806637310981750488e+01,4.000619999999999732e-01,1.049050000000000053e-08,1.820802140235900879e+01,4.000580000000000247e-01,1.068659999999999989e-08
1.834970402717590332e+01,6.000839999999999508e-01,2.101319999999999853e-08,1.848913669586181641e+01,4.000600000000000267e-01,1.105200000000000030e-08
1.864351081848144531e+01,8.000990000000000046e-01,3.437799999999999854e-08,1.878533744812011719e+01,4.000619999999999732e-01,1.039560000000000079e-08
1.892655158042907715e+01,1.000099999999999989e+00,5.435019999999999787e-08,1.906761479377746582e+01,4.000619999999999732e-01,1.092660000000000071e-08
1.920641589164733887e+01,1.200099999999999945e+00,8.173869999999999858e-08,1.934658026695251465e+01,4.000679999999999792e-01,1.091210000000000081e-08
1.948745989799499512e+01,1.400090000000000057e+00,1.462379999999999890e-07,1.964363765716552734e+01,4.000650000000000039e-01,8.705219999999999848e-09
1.984543657302856445e+01,1.600070000000000103e+00,2.141390000000000092e-07,2.000188040733337402e+01,4.000650000000000039e-01,8.676639999999999932e-09
2.020425319671630859e+01,1.800049999999999928e+00,2.884610000000000047e-07,2.036044836044311523e+01,4.000650000000000039e-01,8.641519999999999747e-09
2.056187319755554199e+01,2.000020000000000131e+00,3.908780000000000144e-07,2.071778583526611328e+01,4.000540000000000207e-01,8.499899999999999568e-09
2.092072558403015137e+01,2.200320000000000054e+00,5.338809999999999881e-07,2.107771348953247070e+01,4.000589999999999979e-01,8.661649999999999346e-09
2.127922248840332031e+01,2.400430000000000064e+00,7.408239999999999903e-07,2.143668532371520996e+01,4.000609999999999999e-01,8.763160000000000167e-09
