# Wed Nov 22 20:08:13 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.196975708007812500e-02,1.101490000000000020e-05,-1.740340000000000010e-10,2.325327396392822266e-01,4.000619999999999732e-01,1.129129999999999967e-08
3.732309341430664062e-01,2.000059999999999893e-01,4.033620000000000387e-09,5.122177600860595703e-01,4.000630000000000019e-01,1.031850000000000071e-08
6.521077156066894531e-01,4.000589999999999979e-01,9.865320000000000422e-09,7.922639846801757812e-01,4.000569999999999959e-01,9.705129999999999965e-09
9.331953525543212891e-01,6.000830000000000330e-01,1.956520000000000105e-08,1.086145877838134766e+00,4.000639999999999752e-01,8.251369999999999393e-09
1.227423191070556641e+00,8.001019999999999799e-01,3.199030000000000026e-08,1.367808341979980469e+00,4.000600000000000267e-01,7.757019999999999338e-09
1.508769750595092773e+00,1.000099999999999989e+00,5.204260000000000307e-08,1.650077104568481445e+00,4.000509999999999899e-01,7.441369999999999916e-09
1.791125297546386719e+00,1.200099999999999945e+00,7.951379999999999564e-08,1.930192470550537109e+00,4.000580000000000247e-01,6.843150000000000300e-09
2.082891702651977539e+00,1.400090000000000057e+00,1.416270000000000016e-07,2.239398002624511719e+00,4.000569999999999959e-01,7.575930000000000328e-09
2.443333387374877930e+00,1.600060000000000038e+00,2.125520000000000096e-07,2.599404096603393555e+00,4.000639999999999752e-01,7.446779999999999797e-09
2.802202463150024414e+00,1.800059999999999993e+00,2.825790000000000053e-07,2.956252336502075195e+00,4.000609999999999999e-01,6.747950000000000050e-09
3.157713651657104492e+00,2.000010000000000066e+00,3.844090000000000112e-07,3.310605049133300781e+00,4.000619999999999732e-01,5.827079999999999693e-09
3.512435197830200195e+00,2.200460000000000083e+00,5.215390000000000222e-07,3.665857315063476562e+00,4.000690000000000079e-01,6.715000000000000076e-09
3.869154930114746094e+00,2.400490000000000013e+00,7.286409999999999665e-07,4.024036407470703125e+00,4.000639999999999752e-01,7.010910000000000143e-09
4.227310895919799805e+00,2.600530000000000008e+00,9.910559999999999774e-07,4.397665739059448242e+00,4.000600000000000267e-01,7.271789999999999763e-09
