# Wed Nov 22 22:26:07 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.4, Tmax=0, Twrite=0.025, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=1501, ratioRth=0.2, Rth=7093227.339646328, Nth=50
2.276618480682373047e-01,4.000699999999999812e-01,1.622949999999999984e-08
4.148454666137695312e-01,4.000699999999999812e-01,1.658810000000000148e-08
6.027281284332275391e-01,4.000719999999999832e-01,1.773689999999999983e-08
8.037412166595458984e-01,4.000730000000000119e-01,1.786500000000000148e-08
9.905819892883300781e-01,4.000699999999999812e-01,1.643780000000000046e-08
1.194279432296752930e+00,4.000639999999999752e-01,1.684490000000000084e-08
1.394814729690551758e+00,4.000710000000000099e-01,1.673559999999999999e-08
1.597715854644775391e+00,4.000759999999999872e-01,1.774550000000000164e-08
1.786802768707275391e+00,4.000710000000000099e-01,1.651330000000000004e-08
1.972416400909423828e+00,4.000750000000000139e-01,1.644000000000000030e-08
2.161642551422119141e+00,4.000690000000000079e-01,1.703250000000000048e-08
2.362071752548217773e+00,4.000719999999999832e-01,1.732910000000000130e-08
2.564670085906982422e+00,4.000759999999999872e-01,1.712369999999999868e-08
2.752660512924194336e+00,4.000690000000000079e-01,1.643569999999999940e-08
2.952345609664916992e+00,4.000699999999999812e-01,1.632650000000000064e-08
3.137304544448852539e+00,4.000750000000000139e-01,1.733000000000000033e-08
3.325929403305053711e+00,4.000790000000000179e-01,1.710729999999999861e-08
3.511546373367309570e+00,4.000750000000000139e-01,1.600229999999999963e-08
3.698655128479003906e+00,4.000759999999999872e-01,1.757419999999999997e-08
3.886600732803344727e+00,4.000819999999999932e-01,1.593980000000000156e-08
4.087474584579467773e+00,4.000719999999999832e-01,1.623100000000000154e-08
4.273718595504760742e+00,4.000719999999999832e-01,1.607500000000000001e-08
4.461160659790039062e+00,4.000759999999999872e-01,1.707739999999999978e-08
4.651914358139038086e+00,4.000730000000000119e-01,1.544859999999999978e-08
4.851902008056640625e+00,4.000739999999999852e-01,1.571540000000000055e-08
5.038609743118286133e+00,4.000790000000000179e-01,1.741220000000000156e-08
5.227539062500000000e+00,4.000759999999999872e-01,1.646650000000000057e-08
5.413398027420043945e+00,4.000730000000000119e-01,1.668949999999999867e-08
5.601480007171630859e+00,4.000759999999999872e-01,1.706560000000000029e-08
5.789192199707031250e+00,4.000730000000000119e-01,1.585939999999999840e-08
5.974466800689697266e+00,4.000750000000000139e-01,1.688160000000000010e-08
6.162852287292480469e+00,4.000830000000000219e-01,1.707139999999999959e-08
6.351660013198852539e+00,4.000770000000000159e-01,1.652649999999999913e-08
6.538886785507202148e+00,4.000759999999999872e-01,1.755830000000000046e-08
6.739584922790527344e+00,4.000779999999999892e-01,1.745279999999999995e-08
6.925965309143066406e+00,4.000770000000000159e-01,1.598859999999999998e-08
7.114500045776367188e+00,4.000710000000000099e-01,1.680770000000000101e-08
7.303057193756103516e+00,4.000750000000000139e-01,1.654809999999999913e-08
7.490769386291503906e+00,4.000710000000000099e-01,1.598459999999999875e-08
7.676028728485107422e+00,4.000679999999999792e-01,1.718810000000000023e-08
7.863816499710083008e+00,4.000779999999999892e-01,1.638530000000000048e-08
8.049845457077026367e+00,4.000730000000000119e-01,1.583039999999999860e-08
8.238774776458740234e+00,4.000739999999999852e-01,1.729049999999999856e-08
8.424882411956787109e+00,4.000690000000000079e-01,1.592730000000000062e-08
8.611806154251098633e+00,4.000719999999999832e-01,1.647720000000000013e-08
8.798735618591308594e+00,4.000810000000000199e-01,1.744290000000000064e-08
8.985800027847290039e+00,4.000759999999999872e-01,1.574740000000000044e-08
9.173449993133544922e+00,4.000739999999999852e-01,1.685049999999999925e-08
9.362825870513916016e+00,4.000770000000000159e-01,1.629510000000000011e-08
9.551858186721801758e+00,4.000770000000000159e-01,1.652360000000000113e-08
9.755522012710571289e+00,4.000750000000000139e-01,1.695849999999999929e-08
9.944110870361328125e+00,4.000770000000000159e-01,1.595900000000000083e-08
1.014331841468811035e+01,4.000730000000000119e-01,1.599950000000000043e-08
1.033261013031005859e+01,4.000730000000000119e-01,1.675170000000000038e-08
