# Thu Nov 23 23:34:13 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.6, Tmax=0, Twrite=0.06, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=316, ratioRth=0.2, Rth=5271392.650345064, Nth=50
2.757313251495361328e-01,4.000810000000000199e-01,1.969709999999999974e-08
4.955668449401855469e-01,4.000879999999999992e-01,1.831819999999999988e-08
7.166361808776855469e-01,4.000779999999999892e-01,1.799460000000000153e-08
9.370863437652587891e-01,4.000839999999999952e-01,1.781739999999999846e-08
1.156336069107055664e+00,4.000879999999999992e-01,1.788750000000000053e-08
1.372021198272705078e+00,4.000870000000000259e-01,1.877990000000000129e-08
1.589080333709716797e+00,4.000839999999999952e-01,1.905690000000000106e-08
1.810204982757568359e+00,4.000770000000000159e-01,1.812650000000000022e-08
2.042725563049316406e+00,4.000750000000000139e-01,1.777989999999999895e-08
2.262139558792114258e+00,4.000750000000000139e-01,1.784899999999999988e-08
2.497233867645263672e+00,4.000850000000000239e-01,1.737689999999999859e-08
2.713261365890502930e+00,4.000790000000000179e-01,1.766199999999999960e-08
2.947022199630737305e+00,4.000770000000000159e-01,1.847090000000000164e-08
3.163324117660522461e+00,4.000810000000000199e-01,1.769820000000000160e-08
3.381542444229125977e+00,4.000839999999999952e-01,1.710770000000000039e-08
3.600188970565795898e+00,4.000839999999999952e-01,1.721020000000000081e-08
3.817857027053833008e+00,4.000859999999999972e-01,1.714029999999999963e-08
4.066508531570434570e+00,4.000879999999999992e-01,1.812659999999999901e-08
4.299092054367065430e+00,4.000759999999999872e-01,1.679139999999999973e-08
4.516362190246582031e+00,4.000810000000000199e-01,1.667519999999999966e-08
4.735181808471679688e+00,4.000770000000000159e-01,1.682080000000000131e-08
4.954406261444091797e+00,4.000770000000000159e-01,1.687189999999999837e-08
5.170024633407592773e+00,4.000750000000000139e-01,1.836639999999999895e-08
5.404194593429565430e+00,4.000790000000000179e-01,1.813889999999999906e-08
5.623457670211791992e+00,4.000739999999999852e-01,1.785690000000000024e-08
5.841078519821166992e+00,4.000719999999999832e-01,1.737010000000000147e-08
6.062609434127807617e+00,4.000739999999999852e-01,1.744979999999999986e-08
6.280192613601684570e+00,4.000750000000000139e-01,1.693339999999999862e-08
6.514475822448730469e+00,4.000830000000000219e-01,1.655079999999999955e-08
6.731218576431274414e+00,4.000779999999999892e-01,1.752680000000000114e-08
6.948231935501098633e+00,4.000759999999999872e-01,1.816440000000000150e-08
7.168897390365600586e+00,4.000759999999999872e-01,1.792369999999999922e-08
7.387681961059570312e+00,4.000699999999999812e-01,1.826029999999999907e-08
7.606329202651977539e+00,4.000719999999999832e-01,1.826230000000000134e-08
7.825453281402587891e+00,4.000750000000000139e-01,1.784340000000000148e-08
8.042191982269287109e+00,4.000719999999999832e-01,1.749270000000000019e-08
8.258990049362182617e+00,4.000759999999999872e-01,1.672909999999999923e-08
8.508229255676269531e+00,4.000730000000000119e-01,1.796749999999999860e-08
8.725163221359252930e+00,4.000719999999999832e-01,1.795150000000000031e-08
8.945202350616455078e+00,4.000690000000000079e-01,1.777879999999999903e-08
9.163217782974243164e+00,4.000739999999999852e-01,1.775290000000000143e-08
9.381215333938598633e+00,4.000739999999999852e-01,1.706340000000000045e-08
9.598692655563354492e+00,4.000739999999999852e-01,1.640209999999999902e-08
9.831216335296630859e+00,4.000819999999999932e-01,1.720200000000000077e-08
1.005049848556518555e+01,4.000810000000000199e-01,1.759930000000000063e-08
1.026800584793090820e+01,4.000810000000000199e-01,1.815589999999999848e-08
