# Fri Nov 24 18:05:58 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.006193161010742188e-02,-6.675720000000000011e-06,7.220510000000000122e-10,2.788515090942382812e-01,4.000580000000000247e-01,7.293910000000000229e-07
4.336433410644531250e-01,2.000039999999999873e-01,1.544430000000000020e-07,5.732293128967285156e-01,4.000500000000000167e-01,6.696979999999999661e-07
7.147743701934814453e-01,4.000509999999999899e-01,6.627040000000000293e-07,8.566434383392333984e-01,4.000460000000000127e-01,6.467179999999999548e-07
9.966580867767333984e-01,6.000799999999999468e-01,1.849930000000000049e-06,1.151061773300170898e+00,4.000509999999999899e-01,5.953690000000000421e-07
1.306660175323486328e+00,8.000979999999999759e-01,3.586349999999999976e-06,1.461948156356811523e+00,4.000460000000000127e-01,5.730269999999999602e-07
1.620282649993896484e+00,1.000089999999999923e+00,6.081140000000000361e-06,1.777788877487182617e+00,4.000420000000000087e-01,5.375760000000000222e-07
1.931478023529052734e+00,1.200090000000000101e+00,8.852840000000000438e-06,2.086730241775512695e+00,4.000500000000000167e-01,4.220479999999999951e-07
2.245310544967651367e+00,1.400069999999999926e+00,1.139309999999999939e-05,2.399155139923095703e+00,4.000460000000000127e-01,3.951680000000000085e-07
2.554725170135498047e+00,1.600049999999999972e+00,1.269269999999999962e-05,2.711644887924194336e+00,4.000449999999999839e-01,2.713879999999999947e-07
2.866411924362182617e+00,1.800049999999999928e+00,1.390039999999999993e-05,3.035744905471801758e+00,4.000460000000000127e-01,2.035140000000000051e-07
3.191493034362792969e+00,2.000000000000000000e+00,1.389409999999999967e-05,3.349023342132568359e+00,4.000670000000000059e-01,1.713149999999999958e-07
3.503645420074462891e+00,2.199879999999999836e+00,1.530840000000000068e-05,3.659445762634277344e+00,4.000509999999999899e-01,1.487619999999999923e-07
3.861098527908325195e+00,2.399979999999999780e+00,1.540669999999999938e-05,4.016823291778564453e+00,4.000569999999999959e-01,1.195179999999999986e-07
4.219634056091308594e+00,2.600070000000000103e+00,1.783219999999999844e-05,4.373645305633544922e+00,4.000259999999999927e-01,9.276340000000000332e-08
4.576945781707763672e+00,2.800269999999999815e+00,2.132159999999999928e-05,4.746674537658691406e+00,4.000420000000000087e-01,7.234470000000000062e-08
4.947377443313598633e+00,3.000469999999999970e+00,2.659659999999999875e-05,5.116878032684326172e+00,4.000440000000000107e-01,8.501859999999999342e-08
5.320808172225952148e+00,3.200670000000000126e+00,3.394510000000000132e-05,5.492307662963867188e+00,4.000380000000000047e-01,8.973249999999999965e-08
5.693842411041259766e+00,3.400780000000000136e+00,4.420349999999999784e-05,5.863219976425170898e+00,4.000400000000000067e-01,8.040739999999999512e-08
6.062981843948364258e+00,3.600870000000000015e+00,5.905039999999999963e-05,6.232563495635986328e+00,4.000349999999999739e-01,9.911970000000000049e-08
6.434654474258422852e+00,3.800699999999999967e+00,7.926429999999999934e-05,6.604739665985107422e+00,4.000529999999999919e-01,1.196450000000000103e-07
6.762156486511230469e+00,4.000849999999999795e+00,1.079379999999999955e-04,6.933025360107421875e+00,4.000540000000000207e-01,1.319609999999999996e-07
7.136866331100463867e+00,4.200890000000000235e+00,1.468979999999999884e-04,7.306677579879760742e+00,4.000779999999999892e-01,1.743820000000000060e-07
7.508600234985351562e+00,4.401019999999999932e+00,2.042199999999999929e-04,7.680649042129516602e+00,4.000469999999999859e-01,1.434980000000000055e-07
7.833398818969726562e+00,4.601079999999999615e+00,2.816499999999999885e-04,8.004268646240234375e+00,4.000389999999999779e-01,1.453579999999999970e-07
8.159291982650756836e+00,4.801179999999999559e+00,3.864539999999999967e-04,8.331906318664550781e+00,4.000600000000000267e-01,2.012909999999999990e-07
8.533861398696899414e+00,5.001339999999999897e+00,5.360249999999999780e-04,8.704928874969482422e+00,4.000259999999999927e-01,1.705780000000000071e-07
8.859158515930175781e+00,4.801149999999999807e+00,4.218399999999999862e-04,9.030030965805053711e+00,4.000119999999999787e-01,1.970349999999999905e-07
9.186612367630004883e+00,4.601060000000000372e+00,3.214189999999999799e-04,9.357177972793579102e+00,4.000150000000000095e-01,2.344410000000000014e-07
9.512056589126586914e+00,4.400960000000000427e+00,2.459329999999999915e-04,9.682647943496704102e+00,4.000210000000000155e-01,2.143220000000000050e-07
9.836818933486938477e+00,4.200870000000000104e+00,1.873619999999999995e-04,1.000717616081237793e+01,4.000230000000000175e-01,2.250130000000000046e-07
1.016364336013793945e+01,4.000799999999999912e+00,1.408840000000000016e-04,1.033464860916137695e+01,4.000250000000000195e-01,2.136599999999999955e-07
1.048752593994140625e+01,3.800749999999999851e+00,1.076649999999999932e-04,1.065728521347045898e+01,4.000290000000000235e-01,2.086179999999999957e-07
1.081116604804992676e+01,3.600870000000000015e+00,8.205499999999999957e-05,1.098086333274841309e+01,4.000310000000000255e-01,2.022949999999999993e-07
1.113679122924804688e+01,3.400729999999999809e+00,6.203040000000000160e-05,1.129130268096923828e+01,4.000340000000000007e-01,2.343659999999999957e-07
1.144726037979125977e+01,3.200649999999999995e+00,4.726039999999999901e-05,1.160292625427246094e+01,4.000330000000000275e-01,2.181609999999999906e-07
1.175976181030273438e+01,3.000529999999999919e+00,3.574130000000000286e-05,1.192881059646606445e+01,4.000360000000000027e-01,2.327230000000000121e-07
1.208473134040832520e+01,2.800390000000000157e+00,2.699719999999999963e-05,1.225660109519958496e+01,4.000409999999999799e-01,1.893410000000000012e-07
1.241288495063781738e+01,2.600229999999999819e+00,2.046229999999999889e-05,1.256890320777893066e+01,4.000409999999999799e-01,2.334470000000000125e-07
1.272457909584045410e+01,2.400009999999999977e+00,1.520979999999999962e-05,1.289363622665405273e+01,4.000440000000000107e-01,1.988609999999999964e-07
1.304869008064270020e+01,2.200140000000000207e+00,1.131839999999999992e-05,1.320438623428344727e+01,4.000469999999999859e-01,2.411409999999999753e-07
1.335905385017395020e+01,2.000000000000000000e+00,8.309069999999999374e-06,1.351572895050048828e+01,4.000469999999999859e-01,1.889780000000000131e-07
1.367180347442626953e+01,1.800040000000000084e+00,6.033820000000000279e-06,1.382670211791992188e+01,4.000529999999999919e-01,2.370110000000000039e-07
1.398426914215087891e+01,1.600039999999999907e+00,4.364659999999999645e-06,1.413736057281494141e+01,4.000429999999999819e-01,1.970819999999999909e-07
1.429362726211547852e+01,1.400079999999999991e+00,2.995699999999999965e-06,1.444975471496582031e+01,4.000440000000000107e-01,2.068050000000000046e-07
1.460311818122863770e+01,1.200090000000000101e+00,2.075510000000000140e-06,1.475869703292846680e+01,4.000400000000000067e-01,2.080569999999999949e-07
1.491624116897583008e+01,1.000089999999999923e+00,1.320369999999999905e-06,1.506938982009887695e+01,4.000509999999999899e-01,2.051720000000000058e-07
1.522650837898254395e+01,8.000939999999999719e-01,7.778949999999999654e-07,1.538283801078796387e+01,4.000449999999999839e-01,1.886819999999999951e-07
1.552405977249145508e+01,6.000780000000000003e-01,4.398569999999999926e-07,1.566480016708374023e+01,4.000429999999999819e-01,2.081729999999999941e-07
1.580455350875854492e+01,4.000529999999999919e-01,2.073049999999999892e-07,1.594363307952880859e+01,4.000449999999999839e-01,2.009349999999999924e-07
1.608465957641601562e+01,2.000029999999999863e-01,7.747710000000000494e-08,1.628667068481445312e+01,4.000619999999999732e-01,2.623259999999999893e-07
1.644237637519836426e+01,5.316729999999999831e-06,1.342880000000000020e-09,1.664474487304687500e+01,4.000549999999999939e-01,2.669589999999999753e-07
