# Fri Nov 24 18:14:48 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.3, Tmax=0, Twrite=0.05, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=1501, ratioRth=0.2, Rth=431291.5380662915, Nth=50
2.605106830596923828e-01,4.000719999999999832e-01,3.236350000000000257e-07
4.787206649780273438e-01,4.000770000000000159e-01,3.171319999999999839e-07
6.975331306457519531e-01,4.000810000000000199e-01,3.307619999999999809e-07
9.131057262420654297e-01,4.000799999999999912e-01,2.702909999999999948e-07
1.130115509033203125e+00,4.000690000000000079e-01,2.570740000000000162e-07
1.364906311035156250e+00,4.000690000000000079e-01,3.694489999999999884e-07
1.585958957672119141e+00,4.000710000000000099e-01,3.427409999999999851e-07
1.803467750549316406e+00,4.000710000000000099e-01,4.061989999999999966e-07
2.020468473434448242e+00,4.000710000000000099e-01,3.892040000000000221e-07
2.237895965576171875e+00,4.000690000000000079e-01,3.741149999999999854e-07
2.455610752105712891e+00,4.000699999999999812e-01,3.793199999999999847e-07
2.676513671875000000e+00,4.000710000000000099e-01,4.088170000000000006e-07
2.894311904907226562e+00,4.000690000000000079e-01,4.121720000000000197e-07
3.128107309341430664e+00,4.000699999999999812e-01,4.057419999999999813e-07
3.346881866455078125e+00,4.000690000000000079e-01,3.518929999999999866e-07
3.564486980438232422e+00,4.000719999999999832e-01,3.683240000000000098e-07
3.783746242523193359e+00,4.000679999999999792e-01,3.557709999999999900e-07
3.999961137771606445e+00,4.000719999999999832e-01,4.006119999999999876e-07
4.217633962631225586e+00,4.000719999999999832e-01,3.635019999999999948e-07
4.437728166580200195e+00,4.000699999999999812e-01,3.818539999999999993e-07
4.651853799819946289e+00,4.000679999999999792e-01,4.109359999999999946e-07
4.870844602584838867e+00,4.000619999999999732e-01,3.837249999999999768e-07
5.087517499923706055e+00,4.000670000000000059e-01,3.252269999999999780e-07
5.305607318878173828e+00,4.000589999999999979e-01,3.277189999999999979e-07
5.525681018829345703e+00,4.000670000000000059e-01,3.691740000000000207e-07
5.742863893508911133e+00,4.000639999999999752e-01,3.353399999999999839e-07
5.957739591598510742e+00,4.000670000000000059e-01,3.910260000000000234e-07
6.174723863601684570e+00,4.000639999999999752e-01,3.495029999999999765e-07
6.404840469360351562e+00,4.000690000000000079e-01,3.574860000000000024e-07
6.622324466705322266e+00,4.000679999999999792e-01,3.494019999999999943e-07
6.841783761978149414e+00,4.000600000000000267e-01,3.194089999999999983e-07
7.059700965881347656e+00,4.000699999999999812e-01,3.896520000000000007e-07
7.276993513107299805e+00,4.000670000000000059e-01,3.586810000000000074e-07
7.497713088989257812e+00,4.000679999999999792e-01,4.149490000000000187e-07
7.713645219802856445e+00,4.000679999999999792e-01,4.372380000000000140e-07
7.930111646652221680e+00,4.000619999999999732e-01,4.496629999999999946e-07
8.149762868881225586e+00,4.000569999999999959e-01,4.430700000000000096e-07
8.367978811264038086e+00,4.000639999999999752e-01,4.833670000000000428e-07
8.589034557342529297e+00,4.000679999999999792e-01,4.183879999999999742e-07
8.806571245193481445e+00,4.000699999999999812e-01,4.007669999999999781e-07
9.024785041809082031e+00,4.000699999999999812e-01,4.533849999999999798e-07
9.241767883300781250e+00,4.000650000000000039e-01,3.661689999999999750e-07
9.458976984024047852e+00,4.000609999999999999e-01,4.959590000000000274e-07
9.675544261932373047e+00,4.000679999999999792e-01,4.634680000000000047e-07
9.892377138137817383e+00,4.000699999999999812e-01,3.981220000000000229e-07
1.011043071746826172e+01,4.000679999999999792e-01,3.961199999999999763e-07
1.032897472381591797e+01,4.000639999999999752e-01,5.229660000000000257e-07
1.054597187042236328e+01,4.000690000000000079e-01,4.785610000000000459e-07
1.076593017578125000e+01,4.000600000000000267e-01,4.812990000000000272e-07
1.098277187347412109e+01,4.000630000000000019e-01,4.881570000000000215e-07
1.120047020912170410e+01,4.000699999999999812e-01,4.836029999999999927e-07
1.141948866844177246e+01,4.000580000000000247e-01,4.488350000000000086e-07
1.163682651519775391e+01,4.000609999999999999e-01,4.257929999999999800e-07
1.185506916046142578e+01,4.000589999999999979e-01,3.881530000000000215e-07
1.207208228111267090e+01,4.000609999999999999e-01,4.282669999999999795e-07
1.228939557075500488e+01,4.000600000000000267e-01,4.081850000000000251e-07
1.250736045837402344e+01,4.000619999999999732e-01,4.861550000000000278e-07
1.272470641136169434e+01,4.000569999999999959e-01,6.046120000000000144e-07
1.294336652755737305e+01,4.000650000000000039e-01,5.540270000000000151e-07
1.316163802146911621e+01,4.000639999999999752e-01,4.911880000000000438e-07
1.337827897071838379e+01,4.000650000000000039e-01,6.310929999999999986e-07
1.359576988220214844e+01,4.000619999999999732e-01,6.482229999999999938e-07
1.381294512748718262e+01,4.000690000000000079e-01,5.370890000000000258e-07
1.403124666213989258e+01,4.000679999999999792e-01,6.199679999999999568e-07
1.424758934974670410e+01,4.000699999999999812e-01,5.759429999999999845e-07
1.446767735481262207e+01,4.000719999999999832e-01,4.846750000000000436e-07
1.468794608116149902e+01,4.000710000000000099e-01,5.293410000000000282e-07
1.490729117393493652e+01,4.000699999999999812e-01,5.292790000000000108e-07
1.512588930130004883e+01,4.000619999999999732e-01,5.992519999999999717e-07
1.534393095970153809e+01,4.000690000000000079e-01,4.796779999999999626e-07
1.556316828727722168e+01,4.000670000000000059e-01,5.618210000000000119e-07
1.578141307830810547e+01,4.000639999999999752e-01,5.462750000000000129e-07
1.599897074699401855e+01,4.000639999999999752e-01,4.850190000000000102e-07
1.621668601036071777e+01,4.000699999999999812e-01,5.584500000000000276e-07
1.644940209388732910e+01,4.000699999999999812e-01,5.243960000000000060e-07
1.666844534873962402e+01,4.000699999999999812e-01,6.100440000000000329e-07
1.688449120521545410e+01,4.000639999999999752e-01,5.267389999999999894e-07
1.710263323783874512e+01,4.000670000000000059e-01,5.440400000000000462e-07
1.732175803184509277e+01,4.000699999999999812e-01,5.337790000000000312e-07
1.753917574882507324e+01,4.000739999999999852e-01,5.140410000000000433e-07
1.775722408294677734e+01,4.000679999999999792e-01,5.798880000000000373e-07
1.797518920898437500e+01,4.000739999999999852e-01,6.005820000000000505e-07
1.819272541999816895e+01,4.000710000000000099e-01,6.172729999999999979e-07
1.840973734855651855e+01,4.000639999999999752e-01,6.571660000000000494e-07
1.862749528884887695e+01,4.000659999999999772e-01,5.211480000000000288e-07
1.884638905525207520e+01,4.000639999999999752e-01,4.962939999999999573e-07
1.906330156326293945e+01,4.000670000000000059e-01,5.747219999999999499e-07
1.928090167045593262e+01,4.000679999999999792e-01,4.377000000000000085e-07
1.949804592132568359e+01,4.000679999999999792e-01,4.499400000000000175e-07
1.971798825263977051e+01,4.000650000000000039e-01,4.928349999999999791e-07
1.993652701377868652e+01,4.000690000000000079e-01,5.317040000000000342e-07
2.015423464775085449e+01,4.000690000000000079e-01,4.977040000000000209e-07
2.037342119216918945e+01,4.000690000000000079e-01,5.344850000000000377e-07
2.058930659294128418e+01,4.000659999999999772e-01,6.053089999999999842e-07
2.080886435508728027e+01,4.000670000000000059e-01,5.001729999999999883e-07
2.102809834480285645e+01,4.000619999999999732e-01,5.091899999999999690e-07
2.124506330490112305e+01,4.000639999999999752e-01,6.237110000000000453e-07
2.146160197257995605e+01,4.000630000000000019e-01,4.758060000000000189e-07
2.168076682090759277e+01,4.000679999999999792e-01,5.158919999999999982e-07
2.189956116676330566e+01,4.000670000000000059e-01,5.000100000000000417e-07
2.211576914787292480e+01,4.000650000000000039e-01,5.270050000000000263e-07
2.233423781394958496e+01,4.000659999999999772e-01,4.971429999999999935e-07
2.255234861373901367e+01,4.000630000000000019e-01,5.614159999999999498e-07
2.277085971832275391e+01,4.000699999999999812e-01,5.336330000000000245e-07
2.298866033554077148e+01,4.000650000000000039e-01,5.611819999999999491e-07
2.320450592041015625e+01,4.000710000000000099e-01,6.550499999999999794e-07
2.342344880104064941e+01,4.000619999999999732e-01,6.184400000000000241e-07
2.364257431030273438e+01,4.000690000000000079e-01,5.835350000000000170e-07
2.385940241813659668e+01,4.000650000000000039e-01,6.174050000000000417e-07
2.407667350769042969e+01,4.000710000000000099e-01,4.683570000000000162e-07
2.429535269737243652e+01,4.000710000000000099e-01,5.105359999999999600e-07
2.451248812675476074e+01,4.000699999999999812e-01,4.943259999999999492e-07
2.472980809211730957e+01,4.000770000000000159e-01,5.918949999999999674e-07
2.494878005981445312e+01,4.000679999999999792e-01,5.699979999999999931e-07
2.516760134696960449e+01,4.000670000000000059e-01,5.596360000000000490e-07
2.538555574417114258e+01,4.000679999999999792e-01,5.166009999999999816e-07
2.560366654396057129e+01,4.000710000000000099e-01,5.891670000000000505e-07
2.582046318054199219e+01,4.000710000000000099e-01,5.716400000000000021e-07
2.603844475746154785e+01,4.000739999999999852e-01,5.504020000000000074e-07
2.625556588172912598e+01,4.000710000000000099e-01,5.574739999999999797e-07
2.647312283515930176e+01,4.000650000000000039e-01,5.445439999999999824e-07
2.669229388236999512e+01,4.000650000000000039e-01,5.084680000000000503e-07
2.690830039978027344e+01,4.000639999999999752e-01,4.619130000000000149e-07
2.712809634208679199e+01,4.000679999999999792e-01,4.627709999999999820e-07
2.734897041320800781e+01,4.000699999999999812e-01,5.145139999999999709e-07
2.756884312629699707e+01,4.000730000000000119e-01,5.521100000000000383e-07
2.778372025489807129e+01,4.000750000000000139e-01,5.151129999999999884e-07
2.800359320640563965e+01,4.000739999999999852e-01,4.620640000000000008e-07
2.822242283821105957e+01,4.000779999999999892e-01,5.053980000000000102e-07
2.843933606147766113e+01,4.000759999999999872e-01,5.156700000000000111e-07
2.865786838531494141e+01,4.000750000000000139e-01,5.217470000000000463e-07
2.887612009048461914e+01,4.000719999999999832e-01,5.364180000000000326e-07
2.909457826614379883e+01,4.000739999999999852e-01,5.787919999999999592e-07
2.931293535232543945e+01,4.000739999999999852e-01,5.955349999999999656e-07
2.952795362472534180e+01,4.000759999999999872e-01,4.800710000000000111e-07
2.974550390243530273e+01,4.000750000000000139e-01,4.524140000000000170e-07
2.996426534652709961e+01,4.000730000000000119e-01,5.061169999999999520e-07
3.018355822563171387e+01,4.000719999999999832e-01,4.978080000000000329e-07
3.040358996391296387e+01,4.000679999999999792e-01,4.326839999999999853e-07
3.062644529342651367e+01,4.000659999999999772e-01,4.954959999999999524e-07
3.084441900253295898e+01,4.000699999999999812e-01,5.685720000000000173e-07
3.105847167968750000e+01,4.000699999999999812e-01,4.925359999999999841e-07
3.127741265296936035e+01,4.000679999999999792e-01,5.502589999999999776e-07
3.151328015327453613e+01,4.000699999999999812e-01,5.879580000000000295e-07
3.173319959640502930e+01,4.000679999999999792e-01,5.958529999999999556e-07
3.194955325126647949e+01,4.000730000000000119e-01,5.477820000000000012e-07
3.216857028007507324e+01,4.000730000000000119e-01,5.804109999999999686e-07
3.238450717926025391e+01,4.000759999999999872e-01,5.660609999999999493e-07
3.260335516929626465e+01,4.000730000000000119e-01,5.416350000000000455e-07
3.281770133972167969e+01,4.000710000000000099e-01,4.872039999999999732e-07
3.303457212448120117e+01,4.000739999999999852e-01,5.230580000000000241e-07
3.325190949440002441e+01,4.000699999999999812e-01,5.150830000000000073e-07
3.346819758415222168e+01,4.000710000000000099e-01,5.925389999999999565e-07
3.368639302253723145e+01,4.000719999999999832e-01,6.635980000000000372e-07
3.390140938758850098e+01,4.000719999999999832e-01,5.322980000000000195e-07
3.411747193336486816e+01,4.000739999999999852e-01,5.183429999999999981e-07
3.433651614189147949e+01,4.000699999999999812e-01,5.125279999999999953e-07
3.455343461036682129e+01,4.000690000000000079e-01,4.972389999999999965e-07
3.477124714851379395e+01,4.000730000000000119e-01,5.828900000000000003e-07
3.498949527740478516e+01,4.000730000000000119e-01,5.395809999999999928e-07
3.520694518089294434e+01,4.000730000000000119e-01,6.370419999999999944e-07
3.542315554618835449e+01,4.000670000000000059e-01,5.909540000000000386e-07
3.564084386825561523e+01,4.000710000000000099e-01,5.831860000000000183e-07
3.585718226432800293e+01,4.000730000000000119e-01,5.520839999999999559e-07
3.607557511329650879e+01,4.000710000000000099e-01,5.295189999999999653e-07
3.629329085350036621e+01,4.000679999999999792e-01,6.002750000000000464e-07
3.651037120819091797e+01,4.000690000000000079e-01,5.897079999999999492e-07
3.672841382026672363e+01,4.000719999999999832e-01,5.030109999999999770e-07
3.694663572311401367e+01,4.000659999999999772e-01,9.029419999999999601e-07
3.716364145278930664e+01,4.000699999999999812e-01,9.214670000000000283e-07
3.737989711761474609e+01,4.000679999999999792e-01,6.569979999999999648e-07
3.759656286239624023e+01,4.000699999999999812e-01,6.619689999999999635e-07
3.781484127044677734e+01,4.000639999999999752e-01,5.735440000000000435e-07
3.803346776962280273e+01,4.000719999999999832e-01,6.253189999999999629e-07
3.824731779098510742e+01,4.000730000000000119e-01,5.775429999999999988e-07
