# Fri Nov 24 17:07:51 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.910563468933105469e-02,-6.437300000000000183e-06,2.023259999999999897e-09,2.162237167358398438e-01,4.000299999999999967e-01,6.363870000000000194e-08
3.552231788635253906e-01,1.999799999999999911e-01,1.882640000000000108e-08,4.971129894256591797e-01,4.000369999999999759e-01,6.344969999999999938e-08
6.371684074401855469e-01,4.000380000000000047e-01,6.616750000000000007e-08,7.775354385375976562e-01,4.000449999999999839e-01,6.808409999999999488e-08
9.168016910552978516e-01,6.000919999999999588e-01,2.036849999999999872e-07,1.069796800613403320e+00,4.000520000000000187e-01,5.020819999999999956e-08
1.269286155700683594e+00,8.000979999999999759e-01,3.899310000000000259e-07,1.424921035766601562e+00,4.000400000000000067e-01,5.421839999999999798e-08
1.627347707748413086e+00,1.000089999999999923e+00,5.062709999999999678e-07,1.783855199813842773e+00,4.000520000000000187e-01,4.996300000000000210e-08
1.987597227096557617e+00,1.200099999999999945e+00,7.285390000000000097e-07,2.144357919692993164e+00,4.000520000000000187e-01,4.068240000000000171e-08
2.344898223876953125e+00,1.400079999999999991e+00,9.918509999999998994e-07,2.498337268829345703e+00,4.000299999999999967e-01,3.781320000000000008e-08
2.698825597763061523e+00,1.600039999999999907e+00,1.062719999999999923e-06,2.854046583175659180e+00,4.000360000000000027e-01,2.255290000000000139e-08
3.057468175888061523e+00,1.800030000000000019e+00,1.093350000000000086e-06,3.212217569351196289e+00,4.000429999999999819e-01,1.334689999999999989e-08
3.415281057357788086e+00,2.000000000000000000e+00,1.294930000000000068e-06,3.572446823120117188e+00,4.000389999999999779e-01,9.199770000000000792e-09
3.775479078292846680e+00,2.200200000000000156e+00,1.207140000000000101e-06,3.930469036102294922e+00,4.000429999999999819e-01,1.025379999999999948e-08
4.132173299789428711e+00,2.400250000000000217e+00,1.475109999999999926e-06,4.287509918212890625e+00,4.000589999999999979e-01,1.071160000000000011e-08
4.488220453262329102e+00,2.600400000000000045e+00,1.554369999999999909e-06,4.643760442733764648e+00,4.000569999999999959e-01,1.518270000000000135e-08
4.848774671554565430e+00,2.800460000000000171e+00,1.940570000000000124e-06,5.005852222442626953e+00,4.000540000000000207e-01,1.202650000000000019e-08
5.207500934600830078e+00,3.000579999999999803e+00,2.654599999999999961e-06,5.363973379135131836e+00,4.000540000000000207e-01,1.437220000000000048e-08
5.566628694534301758e+00,3.200629999999999864e+00,3.470889999999999815e-06,5.723101377487182617e+00,4.000480000000000147e-01,1.519329999999999881e-08
5.925899267196655273e+00,3.400760000000000005e+00,4.765040000000000375e-06,6.082176208496093750e+00,4.000500000000000167e-01,1.630020000000000126e-08
6.282344579696655273e+00,3.600909999999999833e+00,6.346989999999999688e-06,6.453289508819580078e+00,4.000279999999999947e-01,1.346259999999999940e-08
6.655625581741333008e+00,3.800650000000000084e+00,8.703369999999999987e-06,6.814108610153198242e+00,4.000290000000000235e-01,1.567850000000000040e-08
7.015293359756469727e+00,4.001360000000000028e+00,1.170939999999999929e-08,7.155413150787353516e+00,4.000340000000000007e-01,1.665590000000000160e-08
7.295412063598632812e+00,4.200470000000000148e+00,1.701819999999999912e-05,7.465399503707885742e+00,4.000400000000000067e-01,-5.181909999999999531e-10
7.667673110961914062e+00,4.400859999999999772e+00,2.397489999999999978e-05,7.837635993957519531e+00,4.000319999999999987e-01,3.947090000000000274e-09
8.037010669708251953e+00,4.600999999999999979e+00,3.390270000000000322e-05,8.209532737731933594e+00,4.000179999999999847e-01,1.544190000000000020e-09
8.411971092224121094e+00,4.801149999999999807e+00,4.834219999999999940e-05,8.582285881042480469e+00,4.000420000000000087e-01,-6.126170000000000260e-11
8.782819986343383789e+00,5.001249999999999751e+00,6.920490000000000550e-05,8.954802036285400391e+00,4.000250000000000195e-01,5.097750000000000103e-09
9.159223794937133789e+00,4.801070000000000171e+00,4.868280000000000085e-05,9.330112457275390625e+00,4.000139999999999807e-01,3.610399999999999857e-09
9.529706478118896484e+00,4.601020000000000110e+00,3.410870000000000091e-05,9.701195478439331055e+00,4.000380000000000047e-01,-1.189109999999999888e-10
9.902363061904907227e+00,4.400900000000000034e+00,2.405880000000000079e-05,1.007317566871643066e+01,4.000250000000000195e-01,4.979999999999999760e-09
1.027605009078979492e+01,4.200529999999999653e+00,1.701519999999999931e-05,1.044671654701232910e+01,4.000190000000000135e-01,1.681570000000000015e-09
1.064944124221801758e+01,4.000409999999999577e+00,-2.078160000000000194e-09,1.078932714462280273e+01,4.000360000000000027e-01,1.889459999999999967e-08
1.092833328247070312e+01,3.800670000000000215e+00,8.624190000000000518e-06,1.108320999145507812e+01,4.000400000000000067e-01,8.572459999999999988e-09
1.128469753265380859e+01,3.600929999999999964e+00,6.177149999999999803e-06,1.145604252815246582e+01,4.000489999999999879e-01,1.594180000000000052e-08
1.165667366981506348e+01,3.400780000000000136e+00,4.389919999999999806e-06,1.182411909103393555e+01,4.000270000000000215e-01,9.566969999999999276e-09
1.202668547630310059e+01,3.200670000000000126e+00,3.169080000000000158e-06,1.219533181190490723e+01,4.000560000000000227e-01,1.537339999999999987e-08
1.239489054679870605e+01,3.000560000000000116e+00,2.243489999999999928e-06,1.256523728370666504e+01,4.000270000000000215e-01,1.251789999999999955e-08
1.276590657234191895e+01,2.800419999999999909e+00,1.634150000000000058e-06,1.291972064971923828e+01,4.000440000000000107e-01,7.838680000000000480e-09
1.312343335151672363e+01,2.600379999999999914e+00,1.192110000000000052e-06,1.327737689018249512e+01,4.000529999999999919e-01,8.775209999999999934e-09
1.347782301902770996e+01,2.400399999999999867e+00,8.574159999999999533e-07,1.363320612907409668e+01,4.000589999999999979e-01,1.462669999999999955e-08
1.383675265312194824e+01,2.200270000000000170e+00,6.276399999999999742e-07,1.398931884765625000e+01,4.000480000000000147e-01,1.905750000000000042e-08
1.419359421730041504e+01,2.000000000000000000e+00,4.819489999999999701e-07,1.434864616394042969e+01,4.000489999999999879e-01,1.867719999999999998e-08
1.455217552185058594e+01,1.800049999999999928e+00,3.655789999999999942e-07,1.470710158348083496e+01,4.000469999999999859e-01,1.879979999999999871e-08
1.491121077537536621e+01,1.600049999999999972e+00,2.789180000000000098e-07,1.506761455535888672e+01,4.000469999999999859e-01,1.873309999999999852e-08
1.526839804649353027e+01,1.400069999999999926e+00,2.121780000000000091e-07,1.543746185302734375e+01,4.000340000000000007e-01,6.794109999999999816e-09
1.564001727104187012e+01,1.200090000000000101e+00,1.209829999999999922e-07,1.579519653320312500e+01,4.000409999999999799e-01,7.579239999999999978e-09
1.599803113937377930e+01,1.000080000000000080e+00,7.663260000000000025e-08,1.613913321495056152e+01,4.000400000000000067e-01,1.996749999999999996e-08
1.628010129928588867e+01,8.000859999999999639e-01,5.098699999999999857e-08,1.641992044448852539e+01,4.000460000000000127e-01,1.931429999999999978e-08
1.656122493743896484e+01,6.000699999999999923e-01,3.100129999999999716e-08,1.670016670227050781e+01,4.000429999999999819e-01,1.897380000000000080e-08
1.685408020019531250e+01,4.000279999999999947e-01,1.601810000000000034e-08,1.699445438385009766e+01,4.000250000000000195e-01,1.719920000000000157e-08
1.713391518592834473e+01,1.999740000000000129e-01,6.706050000000000019e-09,1.727218770980834961e+01,4.000299999999999967e-01,1.434369999999999959e-08
1.741011381149291992e+01,-1.049040000000000039e-05,-9.994510000000000056e-10,1.755226516723632812e+01,4.000270000000000215e-01,1.430590000000000040e-08
1.769220662117004395e+01,1.999750000000000139e-01,5.151330000000000243e-09,1.783012390136718750e+01,4.000279999999999947e-01,1.149100000000000013e-08
1.796910262107849121e+01,4.000279999999999947e-01,1.035000000000000003e-08,1.810809230804443359e+01,4.000349999999999739e-01,9.417929999999999551e-09
1.824754142761230469e+01,6.000609999999999555e-01,2.245450000000000099e-08,1.838784098625183105e+01,4.000279999999999947e-01,9.826770000000000385e-09
1.852526330947875977e+01,8.000770000000000381e-01,4.082340000000000277e-08,1.866639637947082520e+01,4.000299999999999967e-01,8.885370000000000306e-09
1.880628848075866699e+01,1.000080000000000080e+00,6.568869999999999713e-08,1.894573092460632324e+01,4.000360000000000027e-01,8.780869999999999271e-09
1.908494949340820312e+01,1.200080000000000036e+00,9.959410000000000373e-08,1.922603845596313477e+01,4.000349999999999739e-01,9.246459999999999935e-09
1.936481547355651855e+01,1.400069999999999926e+00,2.183779999999999984e-07,1.952118849754333496e+01,4.000380000000000047e-01,1.860310000000000000e-08
1.972199034690856934e+01,1.600039999999999907e+00,2.893919999999999751e-07,1.987757444381713867e+01,4.000319999999999987e-01,1.581960000000000025e-08
2.007929348945617676e+01,1.800030000000000019e+00,3.744069999999999988e-07,2.023541927337646484e+01,4.000270000000000215e-01,1.319650000000000008e-08
2.043530678749084473e+01,2.000000000000000000e+00,4.695440000000000122e-07,2.059107780456542969e+01,4.000369999999999759e-01,6.800119999999999881e-09
2.079308199882507324e+01,2.200250000000000039e+00,6.252539999999999686e-07,2.095002818107604980e+01,4.000340000000000007e-01,7.455890000000000399e-09
2.115219831466674805e+01,2.400329999999999853e+00,8.550250000000000214e-07,2.130655694007873535e+01,4.000449999999999839e-01,8.253230000000000047e-09
2.150921845436096191e+01,2.600330000000000030e+00,1.182839999999999969e-06,2.166461205482482910e+01,4.000489999999999879e-01,1.103150000000000021e-08
2.186459803581237793e+01,2.800339999999999829e+00,1.611680000000000043e-06,2.202221870422363281e+01,4.000520000000000187e-01,1.512100000000000021e-08
2.222412204742431641e+01,3.000500000000000167e+00,2.239140000000000130e-06,2.239495158195495605e+01,4.000279999999999947e-01,1.768749999999999874e-08
2.259585618972778320e+01,3.200670000000000126e+00,3.114189999999999909e-06,2.275121498107910156e+01,4.000239999999999907e-01,1.213460000000000068e-08
2.295211863517761230e+01,3.400799999999999823e+00,4.372560000000000026e-06,2.310971355438232422e+01,4.000239999999999907e-01,1.038920000000000048e-08
2.330969619750976562e+01,3.600870000000000015e+00,6.112900000000000375e-06,2.348155832290649414e+01,4.000460000000000127e-01,1.328979999999999933e-08
2.368274211883544922e+01,3.800650000000000084e+00,8.538240000000000095e-06,2.383914422988891602e+01,4.000489999999999879e-01,1.647470000000000061e-08
2.404209613800048828e+01,4.000670000000000393e+00,1.201100000000000071e-05,2.421221709251403809e+01,4.000199999999999867e-01,4.494640000000000104e-09
2.441258931159973145e+01,4.200490000000000279e+00,1.685670000000000075e-05,2.458368062973022461e+01,4.000360000000000027e-01,-4.438279999999999898e-10
2.478422331809997559e+01,4.400769999999999627e+00,2.389800000000000057e-05,2.495590162277221680e+01,4.000369999999999759e-01,3.344489999999999894e-09
2.515641546249389648e+01,4.600970000000000226e+00,3.391239999999999739e-05,2.532823538780212402e+01,4.000170000000000115e-01,2.692189999999999985e-09
2.553009009361267090e+01,4.801079999999999792e+00,4.829100000000000233e-05,2.570115184783935547e+01,4.000360000000000027e-01,-3.479480000000000066e-10
2.590133905410766602e+01,5.001190000000000246e+00,6.914369999999999327e-05,2.607182359695434570e+01,4.000270000000000215e-01,5.259000000000000141e-09
2.627437853813171387e+01,4.801070000000000171e+00,4.868910000000000111e-05,2.644505715370178223e+01,4.000179999999999847e-01,1.560680000000000033e-09
2.665009546279907227e+01,4.600939999999999586e+00,3.424329999999999789e-05,2.682038903236389160e+01,4.000330000000000275e-01,-3.146170000000000210e-10
2.702170467376708984e+01,4.400839999999999641e+00,2.420410000000000091e-05,2.719112396240234375e+01,4.000299999999999967e-01,5.207180000000000210e-09
2.739522147178649902e+01,4.200540000000000163e+00,1.717470000000000007e-05,2.756746768951416016e+01,4.000239999999999907e-01,4.366979999999999741e-09
2.776914238929748535e+01,3.999950000000000117e+00,-1.082570000000000078e-08,2.790810418128967285e+01,4.000380000000000047e-01,1.787930000000000049e-08
2.804895877838134766e+01,3.800670000000000215e+00,8.712469999999999611e-06,2.820473933219909668e+01,4.000310000000000255e-01,1.387210000000000052e-08
2.840827965736389160e+01,3.600940000000000030e+00,6.233139999999999922e-06,2.856372523307800293e+01,4.000319999999999987e-01,1.221469999999999919e-08
2.876292562484741211e+01,3.400819999999999954e+00,4.510419999999999753e-06,2.891830229759216309e+01,4.000409999999999799e-01,8.532289999999999701e-09
2.912214922904968262e+01,3.200750000000000206e+00,3.249980000000000095e-06,2.927877116203308105e+01,4.000449999999999839e-01,8.315680000000000384e-09
2.948329544067382812e+01,3.000659999999999883e+00,2.341099999999999913e-06,2.963890194892883301e+01,4.000440000000000107e-01,8.192049999999999230e-09
2.984042906761169434e+01,2.800489999999999924e+00,1.706679999999999980e-06,2.999665546417236328e+01,4.000509999999999899e-01,8.701070000000000436e-09
3.019999718666076660e+01,2.600400000000000045e+00,1.233880000000000035e-06,3.035549664497375488e+01,4.000609999999999999e-01,1.364739999999999984e-08
3.057239627838134766e+01,2.400370000000000115e+00,9.324809999999999707e-07,3.075657367706298828e+01,4.000560000000000227e-01,7.960839999999999571e-09
3.095889496803283691e+01,2.200340000000000185e+00,6.445319999999999642e-07,3.111366343498229980e+01,4.000639999999999752e-01,1.016219999999999950e-08
3.131497502326965332e+01,2.000010000000000066e+00,4.727819999999999781e-07,3.147188162803649902e+01,4.000619999999999732e-01,1.058620000000000052e-08
3.167405200004577637e+01,1.800049999999999928e+00,3.465160000000000041e-07,3.183084726333618164e+01,4.000619999999999732e-01,1.274729999999999960e-08
3.203159761428833008e+01,1.600060000000000038e+00,2.648220000000000138e-07,3.218869495391845703e+01,4.000659999999999772e-01,1.513009999999999928e-08
3.239189553260803223e+01,1.400109999999999966e+00,2.133109999999999968e-07,3.254772353172302246e+01,4.000619999999999732e-01,1.627789999999999980e-08
3.274967980384826660e+01,1.200110000000000010e+00,1.416479999999999989e-07,3.290392827987670898e+01,4.000520000000000187e-01,1.925840000000000124e-08
3.310833382606506348e+01,1.000089999999999923e+00,6.827279999999999444e-08,3.324925613403320312e+01,4.000409999999999799e-01,1.108220000000000046e-08
3.338817691802978516e+01,8.000890000000000502e-01,4.219170000000000186e-08,3.352781152725219727e+01,4.000460000000000127e-01,9.816179999999999494e-09
