# Fri Nov 24 17:13:32 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.2, Tmax=0, Twrite=0.05, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=1501, ratioRth=0.2, Rth=4680580.449599761, Nth=50
2.671260833740234375e-01,4.000549999999999939e-01,3.104659999999999823e-08
4.842426776885986328e-01,4.000469999999999859e-01,2.749519999999999993e-08
7.008652687072753906e-01,4.000500000000000167e-01,2.404189999999999904e-08
9.175217151641845703e-01,4.000609999999999999e-01,2.400460000000000042e-08
1.151961326599121094e+00,4.000639999999999752e-01,3.433500000000000272e-08
1.369257688522338867e+00,4.000650000000000039e-01,3.818380000000000208e-08
1.586839199066162109e+00,4.000589999999999979e-01,3.774590000000000052e-08
1.802043914794921875e+00,4.000449999999999839e-01,3.376040000000000100e-08
2.018954992294311523e+00,4.000580000000000247e-01,2.629929999999999913e-08
2.236045122146606445e+00,4.000600000000000267e-01,4.106219999999999826e-08
2.451543331146240234e+00,4.000719999999999832e-01,2.857430000000000130e-08
2.673754930496215820e+00,4.000600000000000267e-01,2.533599999999999936e-08
2.889288663864135742e+00,4.000730000000000119e-01,3.219339999999999762e-08
3.107328176498413086e+00,4.000690000000000079e-01,3.543160000000000077e-08
3.324630260467529297e+00,4.000600000000000267e-01,5.320229999999999856e-08
3.544566869735717773e+00,4.000630000000000019e-01,4.286940000000000005e-08
3.762635707855224609e+00,4.000529999999999919e-01,4.124319999999999836e-08
3.975768804550170898e+00,4.000549999999999939e-01,2.393659999999999942e-08
4.192840337753295898e+00,4.000650000000000039e-01,2.443749999999999962e-08
4.411634922027587891e+00,4.000630000000000019e-01,2.126199999999999875e-08
4.631130695343017578e+00,4.000659999999999772e-01,2.438419999999999940e-08
4.848212003707885742e+00,4.000730000000000119e-01,2.793010000000000140e-08
5.066134214401245117e+00,4.000659999999999772e-01,3.097889999999999691e-08
5.282833099365234375e+00,4.000659999999999772e-01,3.377900000000000092e-08
5.499873161315917969e+00,4.000529999999999919e-01,3.147249999999999942e-08
5.715579748153686523e+00,4.000489999999999879e-01,2.562130000000000126e-08
5.934941530227661133e+00,4.000520000000000187e-01,2.533349999999999984e-08
6.151735544204711914e+00,4.000549999999999939e-01,2.124000000000000027e-08
6.368053674697875977e+00,4.000679999999999792e-01,2.399869999999999903e-08
6.587357521057128906e+00,4.000730000000000119e-01,3.089820000000000069e-08
6.806491136550903320e+00,4.000699999999999812e-01,3.933239999999999954e-08
7.034863471984863281e+00,4.000480000000000147e-01,5.044289999999999835e-08
7.250421524047851562e+00,4.000580000000000247e-01,3.610819999999999904e-08
7.466616392135620117e+00,4.000679999999999792e-01,3.627549999999999948e-08
7.684860944747924805e+00,4.000750000000000139e-01,4.643989999999999883e-08
7.901524782180786133e+00,4.000690000000000079e-01,4.198610000000000166e-08
8.120367527008056641e+00,4.000770000000000159e-01,5.087190000000000173e-08
8.337661504745483398e+00,4.000690000000000079e-01,4.859140000000000324e-08
8.554786920547485352e+00,4.000500000000000167e-01,6.446360000000000557e-08
8.770385265350341797e+00,4.000500000000000167e-01,4.112050000000000084e-08
8.987285852432250977e+00,4.000569999999999959e-01,2.139099999999999944e-08
9.204922676086425781e+00,4.000639999999999752e-01,2.658749999999999902e-08
9.420660972595214844e+00,4.000710000000000099e-01,3.029710000000000201e-08
9.636472940444946289e+00,4.000659999999999772e-01,3.666649999999999948e-08
9.853945255279541016e+00,4.000569999999999959e-01,6.495509999999999379e-08
1.007078456878662109e+01,4.000449999999999839e-01,3.478800000000000022e-08
1.028869891166687012e+01,4.000489999999999879e-01,2.685139999999999849e-08
1.050699400901794434e+01,4.000460000000000127e-01,3.003259999999999987e-08
