# Fri Nov  3 15:04:33 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.303834915161132812e-02,-3.089899999999999673e-05,-2.937079999999999953e-10,2.183091640472412109e-01,4.000279999999999947e-01,8.081559999999999542e-09
3.571584224700927734e-01,1.999720000000000109e-01,2.583630000000000104e-09,4.975945949554443359e-01,4.000290000000000235e-01,8.022420000000000510e-09
6.541640758514404297e-01,4.000290000000000235e-01,9.643789999999999430e-09,7.926187515258789062e-01,4.000250000000000195e-01,9.929730000000000203e-09
9.340057373046875000e-01,6.000590000000000090e-01,2.360249999999999909e-08,1.075186729431152344e+00,4.000330000000000275e-01,8.755429999999999408e-09
1.217720985412597656e+00,8.000800000000000134e-01,4.742689999999999966e-08,1.360221385955810547e+00,4.000259999999999927e-01,6.407489999999999760e-09
1.501541137695312500e+00,1.000070000000000014e+00,8.597129999999999903e-08,1.644070386886596680e+00,4.000179999999999847e-01,6.398189999999999802e-09
1.785229921340942383e+00,1.200099999999999945e+00,1.843619999999999935e-07,1.939460277557373047e+00,4.000259999999999927e-01,6.011089999999999764e-09
2.144159317016601562e+00,1.400079999999999991e+00,2.101690000000000074e-07,2.299427032470703125e+00,4.000259999999999927e-01,5.439650000000000339e-09
2.500246286392211914e+00,1.600019999999999998e+00,2.492439999999999785e-07,2.657140970230102539e+00,4.000210000000000155e-01,5.297019999999999974e-09
2.859353542327880859e+00,1.800019999999999953e+00,2.978369999999999954e-07,3.015427350997924805e+00,4.000270000000000215e-01,4.781530000000000134e-09
3.216823577880859375e+00,1.999980000000000091e+00,3.667110000000000072e-07,3.373062610626220703e+00,4.000230000000000175e-01,4.226800000000000334e-09
3.575683832168579102e+00,2.200070000000000192e+00,4.671350000000000070e-07,3.729770660400390625e+00,4.000250000000000195e-01,2.917599999999999934e-09
3.929962158203125000e+00,2.400209999999999955e+00,6.177359999999999670e-07,4.086997032165527344e+00,4.000190000000000135e-01,1.904869999999999854e-09
4.289169311523437500e+00,2.600210000000000132e+00,8.929150000000000517e-07,4.442505598068237305e+00,4.000259999999999927e-01,1.287710000000000095e-09
4.646487474441528320e+00,2.800219999999999931e+00,1.282299999999999988e-06,4.802693843841552734e+00,4.000150000000000095e-01,1.205099999999999902e-09
5.004988908767700195e+00,3.000329999999999941e+00,1.818779999999999932e-06,5.162753820419311523e+00,4.000159999999999827e-01,1.159560000000000078e-09
5.379225492477416992e+00,3.200509999999999966e+00,2.628200000000000095e-06,5.541728019714355469e+00,4.000210000000000155e-01,1.110720000000000069e-09
5.736421108245849609e+00,3.400599999999999845e+00,3.815509999999999998e-06,5.892756223678588867e+00,4.000179999999999847e-01,3.619370000000000086e-09
6.095468282699584961e+00,3.600699999999999790e+00,5.618379999999999730e-06,6.251394987106323242e+00,4.000139999999999807e-01,3.961530000000000071e-09
6.452797651290893555e+00,3.800460000000000171e+00,8.203840000000000383e-06,6.610070466995239258e+00,4.000090000000000034e-01,4.287990000000000203e-09
6.812215328216552734e+00,3.999969999999999803e+00,6.510330000000000037e-08,6.953017950057983398e+00,4.000079999999999747e-01,2.119970000000000073e-09
7.092829704284667969e+00,4.200409999999999755e+00,1.730059999999999831e-05,7.262498140335083008e+00,4.000079999999999747e-01,-3.285340000000000155e-09
7.467613697052001953e+00,4.400559999999999583e+00,2.493680000000000153e-05,7.652123928070068359e+00,4.000170000000000115e-01,-9.526009999999999037e-10
7.854084491729736328e+00,4.600880000000000081e+00,3.551939999999999742e-05,8.024155616760253906e+00,4.000110000000000054e-01,-1.961219999999999975e-09
8.227855920791625977e+00,4.800970000000000404e+00,4.951889999999999780e-05,8.398053884506225586e+00,4.000139999999999807e-01,-2.180479999999999898e-09
8.602251052856445312e+00,5.001019999999999577e+00,6.861670000000000323e-05,8.772501707077026367e+00,4.000139999999999807e-01,-3.394719999999999833e-10
8.975265741348266602e+00,4.800939999999999763e+00,5.127010000000000231e-05,9.148239612579345703e+00,4.000170000000000115e-01,-2.981659999999999814e-10
9.351091384887695312e+00,4.600830000000000197e+00,3.573679999999999977e-05,9.522855281829833984e+00,4.000119999999999787e-01,-1.023480000000000068e-09
9.724989175796508789e+00,4.400640000000000107e+00,2.563960000000000097e-05,9.896454095840454102e+00,4.000179999999999847e-01,-2.079519999999999867e-09
1.009981226921081543e+01,4.200479999999999769e+00,1.780710000000000100e-05,1.027172207832336426e+01,4.000199999999999867e-01,-5.927559999999999950e-10
1.047416663169860840e+01,4.000810000000000421e+00,-3.486689999999999837e-08,1.061548829078674316e+01,4.000059999999999727e-01,8.382830000000000095e-09
1.075683736801147461e+01,3.800469999999999793e+00,8.733120000000000845e-06,1.091287350654602051e+01,4.000270000000000215e-01,4.308490000000000287e-09
1.111499786376953125e+01,3.600760000000000183e+00,6.091950000000000178e-06,1.127034330368041992e+01,4.000319999999999987e-01,5.683680000000000374e-09
1.148795104026794434e+01,3.400659999999999794e+00,4.297240000000000382e-06,1.164535117149353027e+01,4.000259999999999927e-01,6.960320000000000217e-09
1.184720993041992188e+01,3.200549999999999784e+00,2.994439999999999912e-06,1.200182676315307617e+01,4.000219999999999887e-01,6.453200000000000008e-09
1.220506930351257324e+01,3.000370000000000203e+00,2.087600000000000138e-06,1.236208581924438477e+01,4.000239999999999907e-01,6.863029999999999615e-09
1.256723070144653320e+01,2.800260000000000193e+00,1.445650000000000084e-06,1.272336220741271973e+01,4.000250000000000195e-01,7.346210000000000009e-09
1.292850565910339355e+01,2.600159999999999805e+00,1.014970000000000042e-06,1.308525156974792480e+01,4.000230000000000175e-01,7.596799999999999244e-09
1.329135465621948242e+01,2.400180000000000202e+00,7.457939999999999614e-07,1.344767737388610840e+01,4.000239999999999907e-01,6.457010000000000226e-09
1.364954280853271484e+01,2.200060000000000127e+00,5.380980000000000317e-07,1.380532574653625488e+01,4.000219999999999887e-01,7.115999999999999829e-09
1.401024293899536133e+01,1.999970000000000026e+00,3.903080000000000034e-07,1.416825056076049805e+01,4.000250000000000195e-01,6.040739999999999966e-09
1.437177085876464844e+01,1.800019999999999953e+00,2.802180000000000016e-07,1.453011822700500488e+01,4.000279999999999947e-01,5.016769999999999831e-09
1.473609352111816406e+01,1.600039999999999907e+00,2.134080000000000009e-07,1.489287805557250977e+01,4.000250000000000195e-01,4.902819999999999826e-09
1.509678816795349121e+01,1.400050000000000017e+00,1.349389999999999882e-07,1.527050566673278809e+01,4.000219999999999887e-01,4.988899999999999595e-09
1.547538232803344727e+01,1.200069999999999970e+00,7.930790000000000569e-08,1.561481714248657227e+01,4.000230000000000175e-01,9.073649999999999991e-09
1.575597381591796875e+01,1.000080000000000080e+00,5.195879999999999805e-08,1.589872932434082031e+01,4.000250000000000195e-01,8.214819999999999969e-09
1.604485702514648438e+01,8.000680000000000014e-01,2.924759999999999979e-08,1.619609260559082031e+01,4.000219999999999887e-01,9.792489999999999961e-09
1.633702683448791504e+01,6.000529999999999475e-01,1.899829999999999880e-08,1.647803282737731934e+01,4.000259999999999927e-01,9.049779999999999328e-09
1.662142896652221680e+01,4.000199999999999867e-01,7.646539999999999529e-09,1.676395249366760254e+01,4.000239999999999907e-01,7.177579999999999941e-09
1.690599799156188965e+01,1.999599999999999989e-01,2.048850000000000013e-09,1.704781246185302734e+01,4.000210000000000155e-01,9.044979999999999510e-09
1.718849706649780273e+01,-3.309250000000000207e-05,-4.067420000000000131e-11,1.733043837547302246e+01,4.000219999999999887e-01,1.075769999999999977e-08
1.747115516662597656e+01,1.999640000000000029e-01,4.440259999999999719e-09,1.764571022987365723e+01,4.000210000000000155e-01,8.326689999999999501e-09
1.780084037780761719e+01,4.000279999999999947e-01,7.839790000000000283e-09,1.794369101524353027e+01,4.000250000000000195e-01,7.277980000000000132e-09
1.808596754074096680e+01,6.000550000000000050e-01,1.756879999999999914e-08,1.822860622406005859e+01,4.000210000000000155e-01,9.619829999999999856e-09
1.837171530723571777e+01,8.000819999999999599e-01,3.306239999999999700e-08,1.851540923118591309e+01,4.000310000000000255e-01,9.031149999999999776e-09
1.865297269821166992e+01,1.000080000000000080e+00,5.200600000000000260e-08,1.879191970825195312e+01,4.000340000000000007e-01,9.946370000000000675e-09
1.893301916122436523e+01,1.200069999999999970e+00,7.864040000000000318e-08,1.907420682907104492e+01,4.000330000000000275e-01,8.449630000000000733e-09
1.921493458747863770e+01,1.400060000000000082e+00,1.475860000000000088e-07,1.937260961532592773e+01,4.000170000000000115e-01,6.139900000000000273e-09
1.957565450668334961e+01,1.600030000000000063e+00,2.211329999999999989e-07,1.973377180099487305e+01,4.000190000000000135e-01,7.172570000000000182e-09
1.993689250946044922e+01,1.800019999999999953e+00,2.941079999999999758e-07,2.009402036666870117e+01,4.000219999999999887e-01,6.828759999999999898e-09
2.029608607292175293e+01,1.999970000000000026e+00,3.878299999999999993e-07,2.045355677604675293e+01,4.000179999999999847e-01,6.625240000000000171e-09
2.066041827201843262e+01,2.200039999999999996e+00,5.258700000000000363e-07,2.081932854652404785e+01,4.000179999999999847e-01,7.252849999999999826e-09
2.102422642707824707e+01,2.400150000000000006e+00,7.046219999999999683e-07,2.118413853645324707e+01,4.000239999999999907e-01,4.444060000000000058e-09
2.138900113105773926e+01,2.600260000000000016e+00,9.890870000000000475e-07,2.154690885543823242e+01,4.000230000000000175e-01,3.914129999999999593e-09
2.175139617919921875e+01,2.800240000000000062e+00,1.391680000000000032e-06,2.190662121772766113e+01,4.000150000000000095e-01,3.929380000000000342e-09
2.211112904548645020e+01,3.000340000000000007e+00,1.996420000000000191e-06,2.226863145828247070e+01,4.000119999999999787e-01,4.411360000000000367e-09
2.247413945198059082e+01,3.200450000000000017e+00,2.872090000000000144e-06,2.262923598289489746e+01,4.000130000000000075e-01,4.347229999999999680e-09
2.284903883934020996e+01,3.400589999999999780e+00,4.141809999999999737e-06,2.300306391716003418e+01,4.000210000000000155e-01,3.888240000000000213e-09
