# Fri Nov  3 15:55:48 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.2, Tmax=900, Twrite=0.4, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=1026, ratioRth=0.2, Rth=7259841.317786581, Nth=50
6.568248271942138672e-01,4.000420000000000087e-01,1.189470000000000029e-08
1.342453241348266602e+00,4.000460000000000127e-01,1.494950000000000095e-08
2.021202802658081055e+00,4.000440000000000107e-01,1.411220000000000013e-08
2.690663576126098633e+00,4.000449999999999839e-01,1.175730000000000033e-08
3.366601705551147461e+00,4.000429999999999819e-01,1.447420000000000033e-08
4.042940616607666016e+00,4.000429999999999819e-01,1.411670000000000027e-08
4.714317083358764648e+00,4.000480000000000147e-01,1.066979999999999970e-08
5.385559797286987305e+00,4.000500000000000167e-01,1.440430000000000081e-08
6.056429862976074219e+00,4.000469999999999859e-01,1.003290000000000079e-08
6.727209568023681641e+00,4.000549999999999939e-01,1.395330000000000061e-08
7.397606134414672852e+00,4.000440000000000107e-01,1.014999999999999990e-08
8.066761493682861328e+00,4.000480000000000147e-01,1.383450000000000056e-08
8.735340118408203125e+00,4.000500000000000167e-01,1.047110000000000037e-08
9.404309988021850586e+00,4.000449999999999839e-01,1.277789999999999989e-08
1.007450103759765625e+01,4.000420000000000087e-01,1.114210000000000023e-08
1.073456120491027832e+01,4.000460000000000127e-01,1.143820000000000047e-08
1.140877127647399902e+01,4.000449999999999839e-01,1.371790000000000037e-08
1.206859636306762695e+01,4.000429999999999819e-01,1.410900000000000081e-08
1.275357866287231445e+01,4.000489999999999879e-01,1.294099999999999988e-08
1.341393613815307617e+01,4.000500000000000167e-01,1.299229999999999948e-08
1.408947563171386719e+01,4.000489999999999879e-01,1.392999999999999967e-08
1.588628721237182617e+01,4.000259999999999927e-01,6.898759999999999863e-09
1.774122309684753418e+01,4.000460000000000127e-01,5.753639999999999996e-09
1.877662873268127441e+01,4.000420000000000087e-01,8.389240000000000283e-09
1.945437383651733398e+01,4.000540000000000207e-01,1.305309999999999993e-08
2.020736742019653320e+01,4.000319999999999987e-01,8.307419999999999422e-09
2.086433720588684082e+01,4.000429999999999819e-01,9.442890000000000258e-09
2.153901147842407227e+01,4.000509999999999899e-01,1.199940000000000056e-08
2.221086859703063965e+01,4.000420000000000087e-01,1.188510000000000066e-08
2.287957024574279785e+01,4.000529999999999919e-01,1.158059999999999949e-08
2.353858900070190430e+01,4.000589999999999979e-01,1.237440000000000061e-08
2.421272826194763184e+01,4.000480000000000147e-01,1.242280000000000057e-08
2.487298679351806641e+01,4.000489999999999879e-01,1.231349999999999972e-08
2.553724312782287598e+01,4.000549999999999939e-01,1.240499999999999925e-08
2.619458603858947754e+01,4.000560000000000227e-01,1.280230000000000076e-08
2.686953401565551758e+01,4.000500000000000167e-01,1.046040000000000081e-08
2.754271817207336426e+01,4.000500000000000167e-01,1.079599999999999953e-08
2.820986962318420410e+01,4.000489999999999879e-01,1.038240000000000005e-08
2.887748432159423828e+01,4.000409999999999799e-01,1.186790000000000035e-08
2.956194591522216797e+01,4.000480000000000147e-01,1.198349999999999941e-08
