# Fri Nov  3 17:43:00 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.239819526672363281e-02,-6.914140000000000263e-07,-5.136249999999999712e-10,2.822573184967041016e-01,4.000739999999999852e-01,1.939500000000000129e-07
4.403369426727294922e-01,1.999950000000000061e-01,2.312630000000000109e-08,6.456913948059082031e-01,4.000790000000000179e-01,1.757699999999999917e-07
8.041234016418457031e-01,4.000540000000000207e-01,1.399099999999999869e-07,9.433085918426513672e-01,4.000520000000000187e-01,1.390640000000000070e-07
1.083538055419921875e+00,6.000780000000000003e-01,3.842619999999999769e-07,1.223594188690185547e+00,4.000489999999999879e-01,1.232939999999999922e-07
1.365170717239379883e+00,8.000960000000000294e-01,7.090960000000000122e-07,1.506392240524291992e+00,4.000340000000000007e-01,7.193999999999999435e-08
1.710806131362915039e+00,1.000099999999999989e+00,9.263399999999999688e-07,1.868778705596923828e+00,4.000310000000000255e-01,4.790609999999999776e-08
2.072978019714355469e+00,1.200090000000000101e+00,9.425229999999999755e-07,2.229575634002685547e+00,4.000340000000000007e-01,2.886520000000000161e-08
2.436537265777587891e+00,1.400069999999999926e+00,9.594729999999999784e-07,2.594867944717407227e+00,4.000400000000000067e-01,2.070909999999999914e-08
2.798409223556518555e+00,1.600030000000000063e+00,9.524039999999999830e-07,2.955132007598876953e+00,4.000420000000000087e-01,2.731300000000000112e-08
3.162176847457885742e+00,1.800019999999999953e+00,1.121540000000000023e-06,3.320408821105957031e+00,4.000520000000000187e-01,1.109560000000000044e-08
3.524227142333984375e+00,1.999989999999999934e+00,1.092950000000000056e-06,3.681089401245117188e+00,4.000569999999999959e-01,9.396079999999999259e-09
3.887610197067260742e+00,2.200159999999999894e+00,1.433720000000000056e-06,4.046717166900634766e+00,4.000449999999999839e-01,1.012019999999999986e-09
4.251637935638427734e+00,2.400319999999999787e+00,1.968009999999999899e-06,4.409942388534545898e+00,4.000420000000000087e-01,1.731600000000000100e-08
4.613867759704589844e+00,2.600369999999999848e+00,2.753499999999999980e-06,4.770298480987548828e+00,4.000369999999999759e-01,1.466869999999999919e-08
4.974797725677490234e+00,2.800440000000000040e+00,3.187610000000000047e-06,5.146868705749511719e+00,4.000500000000000167e-01,4.088570000000000327e-08
5.352150201797485352e+00,3.000609999999999999e+00,3.630340000000000041e-06,5.510335922241210938e+00,4.000340000000000007e-01,1.316260000000000002e-08
5.712809324264526367e+00,3.200639999999999930e+00,3.548670000000000025e-06,5.867312908172607422e+00,4.000380000000000047e-01,1.115880000000000080e-09
6.069774389266967773e+00,3.400860000000000216e+00,4.744020000000000363e-06,6.239093065261840820e+00,4.000460000000000127e-01,6.861130000000000273e-09
6.442740917205810547e+00,3.600929999999999964e+00,6.626610000000000070e-06,6.600080966949462891e+00,4.000500000000000167e-01,7.353329999999999877e-09
6.801582336425781250e+00,3.800650000000000084e+00,9.287570000000000255e-06,6.957631826400756836e+00,4.000380000000000047e-01,6.583880000000000223e-09
7.162194252014160156e+00,4.000630000000000130e+00,1.331169999999999996e-05,7.332742452621459961e+00,4.000239999999999907e-01,-1.878390000000000169e-09
7.536070823669433594e+00,4.200580000000000425e+00,1.872099999999999914e-05,7.707759618759155273e+00,4.000380000000000047e-01,-5.428790000000000234e-09
7.909675598144531250e+00,4.400800000000000267e+00,2.712969999999999878e-05,8.081627130508422852e+00,4.000380000000000047e-01,-5.476470000000000425e-10
8.284795761108398438e+00,4.601009999999999600e+00,3.935139999999999732e-05,8.457714796066284180e+00,4.000299999999999967e-01,6.330969999999999904e-10
8.661980867385864258e+00,4.801070000000000171e+00,5.720819999999999887e-05,8.834852933883666992e+00,4.000190000000000135e-01,5.520820000000000380e-10
9.040624618530273438e+00,5.001229999999999620e+00,8.194810000000000234e-05,9.213089466094970703e+00,4.000170000000000115e-01,-2.365350000000000005e-10
9.416294097900390625e+00,4.801120000000000054e+00,5.667279999999999719e-05,9.590622663497924805e+00,4.000480000000000147e-01,-7.248639999999999486e-10
9.824445724487304688e+00,4.600959999999999717e+00,3.916299999999999756e-05,9.998121500015258789e+00,4.000239999999999907e-01,8.566020000000000370e-10
1.020495247840881348e+01,4.400769999999999627e+00,2.701450000000000029e-05,1.037509107589721680e+01,4.000130000000000075e-01,-6.369710000000000331e-10
1.058124995231628418e+01,4.200580000000000425e+00,1.867479999999999948e-05,1.075391197204589844e+01,4.000190000000000135e-01,-1.938100000000000163e-09
1.095896625518798828e+01,4.000600000000000378e+00,1.294909999999999940e-05,1.113373398780822754e+01,4.000190000000000135e-01,-8.957620000000000341e-10
1.133490300178527832e+01,3.800590000000000135e+00,8.946870000000000281e-06,1.149051165580749512e+01,4.000310000000000255e-01,3.208850000000000143e-09
1.169489359855651855e+01,3.600849999999999884e+00,6.188540000000000383e-06,1.185194420814514160e+01,4.000340000000000007e-01,3.776000000000000195e-09
1.205298042297363281e+01,3.400790000000000202e+00,4.279950000000000417e-06,1.222280621528625488e+01,4.000449999999999839e-01,8.391079999999999524e-09
1.242600226402282715e+01,3.200709999999999944e+00,2.959800000000000020e-06,1.258305597305297852e+01,4.000520000000000187e-01,8.775280000000000741e-09
1.278386473655700684e+01,3.000579999999999803e+00,2.032000000000000196e-06,1.293923687934875488e+01,4.000449999999999839e-01,1.012579999999999992e-08
1.314217448234558105e+01,2.800450000000000106e+00,1.390260000000000010e-06,1.329880499839782715e+01,4.000349999999999739e-01,9.904379999999999251e-09
1.350061273574829102e+01,2.600340000000000096e+00,9.605439999999998958e-07,1.365681433677673340e+01,4.000360000000000027e-01,8.470860000000000256e-09
1.385969829559326172e+01,2.400290000000000035e+00,7.370930000000000213e-07,1.401556968688964844e+01,4.000340000000000007e-01,6.712369999999999641e-09
1.421586799621582031e+01,2.200210000000000221e+00,5.128400000000000315e-07,1.437295532226562500e+01,4.000330000000000275e-01,4.047559999999999618e-09
1.457822561264038086e+01,2.000000000000000000e+00,3.857420000000000140e-07,1.473514270782470703e+01,4.000290000000000235e-01,6.488369999999999588e-09
1.493627357482910156e+01,1.800040000000000084e+00,2.803439999999999856e-07,1.509531855583190918e+01,4.000310000000000255e-01,2.727399999999999908e-09
1.531620073318481445e+01,1.600039999999999907e+00,2.035049999999999949e-07,1.547171497344970703e+01,4.000360000000000027e-01,2.837740000000000170e-09
1.567376089096069336e+01,1.400069999999999926e+00,1.232719999999999937e-07,1.582857799530029297e+01,4.000480000000000147e-01,2.892589999999999831e-09
1.603204798698425293e+01,1.200080000000000036e+00,7.519779999999999855e-08,1.617268419265747070e+01,4.000349999999999739e-01,1.178750000000000050e-08
1.631181955337524414e+01,1.000080000000000080e+00,5.090430000000000008e-08,1.645242381095886230e+01,4.000380000000000047e-01,1.193519999999999990e-08
1.659375000000000000e+01,8.000859999999999639e-01,3.369590000000000066e-08,1.673595237731933594e+01,4.000429999999999819e-01,1.073810000000000038e-08
1.687664651870727539e+01,6.000769999999999715e-01,1.913799999999999905e-08,1.701978492736816406e+01,4.000500000000000167e-01,6.766340000000000025e-09
