# Fri Nov  3 17:54:03 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.4, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=194, ratioRth=0.2, Rth=12442084.398912929, Nth=50
3.778851032257080078e-01,4.000589999999999979e-01,1.356319999999999965e-08
7.686131000518798828e-01,4.000730000000000119e-01,8.066840000000000652e-09
1.143169879913330078e+00,4.000750000000000139e-01,1.427050000000000030e-08
1.520087957382202148e+00,4.000690000000000079e-01,1.520160000000000094e-08
1.911364793777465820e+00,4.000580000000000247e-01,8.154419999999999640e-09
2.285756587982177734e+00,4.000730000000000119e-01,7.378889999999999941e-09
2.661080360412597656e+00,4.000699999999999812e-01,1.203110000000000077e-08
3.034717082977294922e+00,4.000529999999999919e-01,1.399549999999999949e-08
3.423630952835083008e+00,4.000639999999999752e-01,6.080970000000000354e-09
3.812741994857788086e+00,4.000549999999999939e-01,1.300260000000000057e-08
4.203425168991088867e+00,4.000650000000000039e-01,5.314059999999999742e-09
4.592306613922119141e+00,4.000659999999999772e-01,1.403839999999999983e-08
4.983507156372070312e+00,4.000619999999999732e-01,5.209430000000000280e-09
5.374603271484375000e+00,4.000699999999999812e-01,1.221230000000000011e-08
5.752654314041137695e+00,4.000650000000000039e-01,1.307539999999999974e-08
6.146842002868652344e+00,4.000529999999999919e-01,1.079810000000000059e-08
6.539593935012817383e+00,4.000600000000000267e-01,4.764560000000000347e-09
6.916860818862915039e+00,4.000580000000000247e-01,6.126590000000000037e-09
7.309110164642333984e+00,4.000619999999999732e-01,1.382049999999999958e-08
7.695281982421875000e+00,4.000619999999999732e-01,6.919609999999999848e-09
8.086610078811645508e+00,4.000630000000000019e-01,1.359690000000000048e-08
8.474876880645751953e+00,4.000609999999999999e-01,5.201980000000000269e-09
8.852879047393798828e+00,4.000670000000000059e-01,6.833429999999999635e-09
9.226783275604248047e+00,4.000639999999999752e-01,1.330050000000000055e-08
9.616430521011352539e+00,4.000619999999999732e-01,5.381129999999999594e-09
1.000788831710815430e+01,4.000710000000000099e-01,1.092179999999999924e-08
1.040096282958984375e+01,4.000619999999999732e-01,1.226380000000000060e-08
1.077851009368896484e+01,4.000619999999999732e-01,1.016039999999999978e-08
1.116929459571838379e+01,4.000750000000000139e-01,6.731450000000000366e-09
1.155760049819946289e+01,4.000619999999999732e-01,1.113419999999999987e-08
1.193529725074768066e+01,4.000609999999999999e-01,8.241379999999999514e-09
1.231449246406555176e+01,4.000639999999999752e-01,8.301750000000000206e-09
1.269631505012512207e+01,4.000630000000000019e-01,1.166340000000000007e-08
1.307505869865417480e+01,4.000589999999999979e-01,1.159779999999999980e-08
1.347089147567749023e+01,4.000609999999999999e-01,5.973100000000000394e-09
1.386392021179199219e+01,4.000730000000000119e-01,7.803700000000000256e-09
1.424365425109863281e+01,4.000739999999999852e-01,5.017199999999999590e-09
1.463721919059753418e+01,4.000730000000000119e-01,1.305459999999999998e-08
1.502017641067504883e+01,4.000739999999999852e-01,9.866049999999999860e-09
1.543186116218566895e+01,4.000619999999999732e-01,1.164670000000000032e-08
1.580963301658630371e+01,4.000580000000000247e-01,9.688209999999999573e-09
1.618894696235656738e+01,4.000600000000000267e-01,9.992789999999999776e-09
1.656486582756042480e+01,4.000600000000000267e-01,5.221940000000000271e-09
1.694375729560852051e+01,4.000589999999999979e-01,5.058339999999999719e-09
1.733879518508911133e+01,4.000739999999999852e-01,4.781769999999999712e-09
1.771567273139953613e+01,4.000750000000000139e-01,8.389530000000000083e-09
1.809164595603942871e+01,4.000699999999999812e-01,1.190909999999999975e-08
1.848272180557250977e+01,4.000560000000000227e-01,6.911399999999999935e-09
1.887257933616638184e+01,4.000670000000000059e-01,1.026799999999999970e-08
1.925092053413391113e+01,4.000699999999999812e-01,1.171900000000000058e-08
1.964534091949462891e+01,4.000609999999999999e-01,1.303819999999999991e-08
2.003773331642150879e+01,4.000589999999999979e-01,5.347219999999999656e-09
2.043161964416503906e+01,4.000710000000000099e-01,8.277250000000000549e-09
2.081982064247131348e+01,4.000580000000000247e-01,9.944799999999999821e-09
2.121160817146301270e+01,4.000699999999999812e-01,6.721459999999999659e-09
2.159940934181213379e+01,4.000560000000000227e-01,9.816049999999999412e-09
2.197792887687683105e+01,4.000560000000000227e-01,9.000440000000000820e-09
2.237164855003356934e+01,4.000670000000000059e-01,4.632679999999999764e-09
2.274530506134033203e+01,4.000710000000000099e-01,1.101869999999999960e-08
2.312074637413024902e+01,4.000679999999999792e-01,1.358130000000000065e-08
2.350788855552673340e+01,4.000739999999999852e-01,6.293329999999999815e-09
2.389684295654296875e+01,4.000630000000000019e-01,1.327239999999999979e-08
2.427260088920593262e+01,4.000529999999999919e-01,1.128009999999999954e-08
2.464855146408081055e+01,4.000630000000000019e-01,2.048789999999999912e-08
2.503870964050292969e+01,4.000650000000000039e-01,1.805040000000000128e-08
2.543461370468139648e+01,4.000600000000000267e-01,1.601590000000000050e-08
2.582635736465454102e+01,4.000609999999999999e-01,7.279060000000000297e-09
2.619871759414672852e+01,4.000719999999999832e-01,1.838700000000000113e-08
2.658781361579895020e+01,4.000520000000000187e-01,1.002020000000000062e-08
2.698215126991271973e+01,4.000699999999999812e-01,1.627799999999999859e-08
2.736087679862976074e+01,4.000750000000000139e-01,1.693329999999999983e-08
2.773983788490295410e+01,4.000759999999999872e-01,1.421069999999999933e-08
2.813260555267333984e+01,4.000609999999999999e-01,2.432379999999999907e-08
2.850791358947753906e+01,4.000589999999999979e-01,1.627970000000000118e-08
2.889749884605407715e+01,4.000710000000000099e-01,1.210199999999999977e-08
2.928586459159851074e+01,4.000580000000000247e-01,1.741809999999999965e-08
2.966157197952270508e+01,4.000589999999999979e-01,9.715519999999999967e-09
3.005056643486022949e+01,4.000690000000000079e-01,1.930009999999999956e-08
3.045796155929565430e+01,4.000560000000000227e-01,1.108059999999999997e-08
3.084576916694641113e+01,4.000569999999999959e-01,1.922670000000000103e-08
3.122048997879028320e+01,4.000529999999999919e-01,1.627940000000000150e-08
3.160926938056945801e+01,4.000549999999999939e-01,1.754059999999999958e-08
3.199978470802307129e+01,4.000460000000000127e-01,1.614410000000000094e-08
3.238894462585449219e+01,4.000609999999999999e-01,1.635809999999999876e-08
3.276614069938659668e+01,4.000639999999999752e-01,2.085850000000000112e-08
3.314302015304565430e+01,4.000560000000000227e-01,2.443090000000000008e-08
3.353081631660461426e+01,4.000659999999999772e-01,1.463969999999999940e-08
3.390802693367004395e+01,4.000630000000000019e-01,1.505480000000000058e-08
3.429407739639282227e+01,4.000529999999999919e-01,1.180090000000000047e-08
3.468299007415771484e+01,4.000589999999999979e-01,1.949310000000000003e-08
