# Fri Nov  3 14:36:31 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-3.5, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=50, ratioRth=0.2, Rth=4159853.097177251
3.917050361633300781e-01,3.999539999999999762e-01,2.216909999999999964e-07
7.508425712585449219e-01,3.999570000000000070e-01,2.300169999999999877e-07
1.097207546234130859e+00,3.999630000000000130e-01,2.336579999999999870e-07
1.429343461990356445e+00,3.999659999999999882e-01,2.270849999999999982e-07
1.763769626617431641e+00,3.999590000000000090e-01,2.089609999999999876e-07
2.108818054199218750e+00,3.999670000000000170e-01,2.088150000000000073e-07
2.444056272506713867e+00,3.999619999999999842e-01,2.360659999999999911e-07
2.820205211639404297e+00,3.999679999999999902e-01,2.155689999999999896e-07
3.158834457397460938e+00,3.999650000000000150e-01,2.306840000000000029e-07
3.505798339843750000e+00,3.999710000000000210e-01,2.078320000000000044e-07
3.838762998580932617e+00,3.999670000000000170e-01,2.186000000000000119e-07
4.187891006469726562e+00,3.999719999999999942e-01,2.140450000000000085e-07
4.570128917694091797e+00,3.999710000000000210e-01,2.174740000000000057e-07
4.928697586059570312e+00,3.999759999999999982e-01,2.016649999999999996e-07
5.277498722076416016e+00,3.999750000000000250e-01,2.195290000000000065e-07
5.624718189239501953e+00,3.999730000000000230e-01,1.837700000000000104e-07
5.972045183181762695e+00,3.999679999999999902e-01,2.073670000000000066e-07
6.332689285278320312e+00,3.999710000000000210e-01,2.267380000000000018e-07
6.689496040344238281e+00,3.999679999999999902e-01,2.102800000000000009e-07
7.062502145767211914e+00,3.999789999999999734e-01,1.578980000000000021e-07
7.414073467254638672e+00,3.999590000000000090e-01,2.278319999999999982e-07
7.790381431579589844e+00,3.999690000000000190e-01,2.154769999999999912e-07
8.121273994445800781e+00,3.999650000000000150e-01,2.111280000000000096e-07
8.450259208679199219e+00,3.999670000000000170e-01,2.011439999999999911e-07
8.795260429382324219e+00,3.999650000000000150e-01,1.994619999999999897e-07
9.128198623657226562e+00,3.999630000000000130e-01,2.031470000000000124e-07
9.626286506652832031e+00,3.999530000000000030e-01,2.463110000000000144e-07
9.957479953765869141e+00,3.999650000000000150e-01,2.327630000000000045e-07
1.031577062606811523e+01,3.999630000000000130e-01,2.130850000000000052e-07
1.066042804718017578e+01,3.999590000000000090e-01,1.988399999999999991e-07
1.110120964050292969e+01,3.999619999999999842e-01,2.236449999999999886e-07
1.142860317230224609e+01,3.999630000000000130e-01,2.250390000000000076e-07
1.177048087120056152e+01,3.999610000000000110e-01,2.128189999999999948e-07
1.211442804336547852e+01,3.999590000000000090e-01,1.983290000000000020e-07
1.244801235198974609e+01,3.999670000000000170e-01,2.069460000000000056e-07
1.279140496253967285e+01,3.999599999999999822e-01,2.130789999999999984e-07
1.313534879684448242e+01,3.999570000000000070e-01,1.984940000000000038e-07
1.347732424736022949e+01,3.999570000000000070e-01,1.960989999999999880e-07
1.380541706085205078e+01,3.999599999999999822e-01,2.058659999999999986e-07
1.415381979942321777e+01,3.999590000000000090e-01,1.903149999999999939e-07
1.451331305503845215e+01,3.999550000000000050e-01,1.860699999999999979e-07
1.488281965255737305e+01,3.999550000000000050e-01,2.063009999999999889e-07
1.523943901062011719e+01,3.999579999999999802e-01,1.940160000000000083e-07
1.557136106491088867e+01,3.999630000000000130e-01,2.035850000000000062e-07
1.590250563621520996e+01,3.999539999999999762e-01,2.018090000000000040e-07
1.623636627197265625e+01,3.999659999999999882e-01,2.408609999999999755e-07
1.658372688293457031e+01,3.999599999999999822e-01,1.978700000000000109e-07
1.692853569984436035e+01,3.999659999999999882e-01,1.929350000000000001e-07
1.726059174537658691e+01,3.999590000000000090e-01,1.838330000000000024e-07
1.760358953475952148e+01,3.999610000000000110e-01,1.988950000000000085e-07
1.776155376434326172e+01,3.999409999999999910e-01,1.718190000000000114e-07
