# Fri Nov  3 18:15:36 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-4, Tmax=0, Twrite=0.1, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=51, ratioRth=0.2, Rth=15062691.56225414, Nth=50
3.631687164306640625e-01,4.000509999999999899e-01,1.294780000000000031e-08
7.520387172698974609e-01,4.000659999999999772e-01,4.551770000000000134e-08
1.141637563705444336e+00,4.000500000000000167e-01,7.920460000000000502e-08
1.532913446426391602e+00,4.000460000000000127e-01,8.391120000000000033e-08
1.942119121551513672e+00,4.000529999999999919e-01,8.350579999999999592e-08
2.333386898040771484e+00,4.000480000000000147e-01,9.838069999999999632e-08
2.739203929901123047e+00,4.000460000000000127e-01,8.687439999999999605e-08
3.130005836486816406e+00,4.000799999999999912e-01,1.088550000000000043e-07
3.473004579544067383e+00,4.000750000000000139e-01,1.247320000000000081e-07
3.817109107971191406e+00,4.000759999999999872e-01,1.334380000000000068e-07
4.159075736999511719e+00,4.000739999999999852e-01,2.030940000000000053e-07
4.501878023147583008e+00,4.000810000000000199e-01,2.095390000000000077e-07
4.845291376113891602e+00,4.000790000000000179e-01,2.150119999999999933e-07
5.175105094909667969e+00,4.000750000000000139e-01,2.171980000000000103e-07
5.519220352172851562e+00,4.000730000000000119e-01,2.131249999999999976e-07
5.862126111984252930e+00,4.000770000000000159e-01,2.305619999999999969e-07
6.188306808471679688e+00,4.000750000000000139e-01,2.340220000000000027e-07
6.515401363372802734e+00,4.000779999999999892e-01,2.634910000000000133e-07
6.857986450195312500e+00,4.000770000000000159e-01,2.006999999999999906e-07
7.188329935073852539e+00,4.000759999999999872e-01,2.202669999999999963e-07
7.517205715179443359e+00,4.000759999999999872e-01,2.597340000000000148e-07
7.862125396728515625e+00,4.000779999999999892e-01,2.491360000000000148e-07
8.204316854476928711e+00,4.000779999999999892e-01,2.871440000000000201e-07
8.548274040222167969e+00,4.000799999999999912e-01,2.118270000000000081e-07
8.891126394271850586e+00,4.000790000000000179e-01,2.167449999999999996e-07
9.220755338668823242e+00,4.000830000000000219e-01,2.801709999999999748e-07
9.565684318542480469e+00,4.000870000000000259e-01,2.671120000000000164e-07
9.923040628433227539e+00,4.000850000000000239e-01,2.428039999999999817e-07
1.026409888267517090e+01,4.000859999999999972e-01,3.377900000000000092e-07
1.060638022422790527e+01,4.000799999999999912e-01,2.192099999999999889e-07
1.093529510498046875e+01,4.000779999999999892e-01,2.792420000000000066e-07
1.127942061424255371e+01,4.000810000000000199e-01,2.707630000000000006e-07
1.162308049201965332e+01,4.000779999999999892e-01,2.565080000000000096e-07
1.195320606231689453e+01,4.000690000000000079e-01,2.443599999999999991e-07
1.229945611953735352e+01,4.000810000000000199e-01,2.626369999999999979e-07
1.264110636711120605e+01,4.000819999999999932e-01,2.426549999999999980e-07
1.298421335220336914e+01,4.000779999999999892e-01,2.273440000000000007e-07
1.333820986747741699e+01,4.000779999999999892e-01,2.193809999999999975e-07
1.367023634910583496e+01,4.000639999999999752e-01,2.142229999999999986e-07
1.399880695343017578e+01,4.000759999999999872e-01,2.594199999999999764e-07
1.434189200401306152e+01,4.000750000000000139e-01,2.672299999999999914e-07
1.468484163284301758e+01,4.000609999999999999e-01,2.730210000000000199e-07
1.505990886688232422e+01,4.000739999999999852e-01,2.618950000000000035e-07
1.540181517601013184e+01,4.000759999999999872e-01,2.420650000000000172e-07
1.574629640579223633e+01,4.000759999999999872e-01,2.313959999999999897e-07
1.608967733383178711e+01,4.000699999999999812e-01,2.098019999999999883e-07
1.643239355087280273e+01,4.000670000000000059e-01,2.273629999999999958e-07
1.676101112365722656e+01,4.000659999999999772e-01,2.432650000000000015e-07
1.710264205932617188e+01,4.000679999999999792e-01,2.603020000000000236e-07
1.743273973464965820e+01,4.000600000000000267e-01,2.635649999999999914e-07
1.777725005149841309e+01,4.000699999999999812e-01,2.537160000000000201e-07
1.793178629875183105e+01,4.000369999999999759e-01,2.120600000000000076e-07
