# Tue Nov  7 18:08:07 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.045055389404296875e-02,-2.272129999999999877e-05,-1.128970000000000083e-09,2.814857959747314453e-01,4.000170000000000115e-01,9.547249999999999679e-08
4.238240718841552734e-01,1.999630000000000019e-01,2.149849999999999891e-08,5.642640590667724609e-01,4.000219999999999887e-01,9.529220000000000145e-08
7.052111625671386719e-01,4.000239999999999907e-01,9.288680000000000560e-08,8.467864990234375000e-01,4.000250000000000195e-01,9.655819999999999439e-08
9.854130744934082031e-01,6.000670000000000170e-01,2.958439999999999855e-07,1.142282485961914062e+00,4.000170000000000115e-01,7.375360000000000472e-08
1.343501091003417969e+00,8.000850000000000461e-01,4.357610000000000068e-07,1.501145362854003906e+00,4.000170000000000115e-01,5.710309999999999733e-08
1.703526020050048828e+00,1.000080000000000080e+00,5.554890000000000317e-07,1.858994007110595703e+00,4.000250000000000195e-01,3.761549999999999692e-08
2.061799764633178711e+00,1.200080000000000036e+00,6.183039999999999758e-07,2.220955371856689453e+00,4.000270000000000215e-01,1.504090000000000004e-08
2.423485755920410156e+00,1.400060000000000082e+00,5.379320000000000023e-07,2.577685117721557617e+00,4.000319999999999987e-01,1.047609999999999942e-08
2.780673742294311523e+00,1.600030000000000063e+00,6.447070000000000303e-07,2.935229063034057617e+00,4.000380000000000047e-01,1.071399999999999919e-08
3.139655351638793945e+00,1.800030000000000019e+00,6.564360000000000158e-07,3.295263290405273438e+00,4.000310000000000255e-01,9.963009999999999492e-09
3.495839595794677734e+00,1.999980000000000091e+00,6.993169999999999615e-07,3.653237342834472656e+00,4.000330000000000275e-01,9.377039999999999705e-09
3.856922388076782227e+00,2.200070000000000192e+00,8.772300000000000274e-07,4.014147043228149414e+00,4.000310000000000255e-01,8.782509999999999278e-09
4.220040321350097656e+00,2.400069999999999926e+00,1.045310000000000034e-06,4.376055717468261719e+00,4.000330000000000275e-01,6.148139999999999823e-09
4.579203605651855469e+00,2.600190000000000001e+00,1.207579999999999965e-06,4.733210563659667969e+00,4.000360000000000027e-01,7.325210000000000185e-09
4.936399936676025391e+00,2.800300000000000011e+00,1.666719999999999985e-06,5.094801425933837891e+00,4.000330000000000275e-01,6.229510000000000339e-09
5.301137924194335938e+00,3.000410000000000021e+00,2.301740000000000175e-06,5.459403276443481445e+00,4.000310000000000255e-01,2.640619999999999924e-09
5.664041519165039062e+00,3.200600000000000112e+00,3.262249999999999979e-06,5.820987224578857422e+00,4.000299999999999967e-01,1.766860000000000038e-09
6.023557186126708984e+00,3.400659999999999794e+00,4.510680000000000154e-06,6.194186449050903320e+00,4.000310000000000255e-01,6.577790000000000299e-09
6.398193836212158203e+00,3.600810000000000066e+00,6.323650000000000009e-06,6.553975820541381836e+00,4.000290000000000235e-01,6.560790000000000047e-09
6.756374597549438477e+00,3.800530000000000186e+00,9.141480000000000778e-06,6.914735078811645508e+00,4.000259999999999927e-01,6.344830000000000309e-09
7.116842985153198242e+00,4.000370000000000203e+00,1.310030000000000059e-05,7.319010496139526367e+00,4.000239999999999907e-01,-1.573800000000000087e-09
7.523157835006713867e+00,4.200459999999999638e+00,1.891610000000000004e-05,7.696346044540405273e+00,4.000279999999999947e-01,-1.231370000000000061e-09
7.894878625869750977e+00,4.400669999999999860e+00,2.719720000000000110e-05,8.068151235580444336e+00,4.000150000000000095e-01,-1.025580000000000092e-09
8.271309375762939453e+00,4.600929999999999964e+00,3.920570000000000310e-05,8.443329095840454102e+00,4.000170000000000115e-01,-3.849080000000000113e-09
8.648666620254516602e+00,4.800950000000000273e+00,5.702330000000000002e-05,8.821942567825317383e+00,4.000139999999999807e-01,-3.492810000000000060e-09
9.026231527328491211e+00,5.001050000000000217e+00,8.391789999999999829e-05,9.198544502258300781e+00,4.000199999999999867e-01,-1.548270000000000073e-09
9.404641389846801758e+00,4.800950000000000273e+00,5.794230000000000257e-05,9.576409816741943359e+00,4.000230000000000175e-01,-8.461949999999999921e-10
9.778095722198486328e+00,4.600869999999999571e+00,3.987860000000000135e-05,9.950380802154541016e+00,4.000159999999999827e-01,2.887959999999999920e-10
1.015395355224609375e+01,4.400610000000000355e+00,2.765829999999999911e-05,1.032301592826843262e+01,4.000170000000000115e-01,-2.656460000000000151e-09
1.052656626701354980e+01,4.200459999999999638e+00,1.912929999999999996e-05,1.070066738128662109e+01,4.000219999999999887e-01,-2.245379999999999953e-09
1.090453910827636719e+01,4.000499999999999723e+00,1.332929999999999959e-05,1.107578206062316895e+01,4.000340000000000007e-01,-2.880330000000000123e-10
1.127907228469848633e+01,3.800549999999999873e+00,9.302130000000000671e-06,1.143444347381591797e+01,4.000299999999999967e-01,9.052469999999999863e-09
1.163866519927978516e+01,3.600779999999999870e+00,6.505370000000000025e-06,1.180856227874755859e+01,4.000210000000000155e-01,8.830729999999999759e-09
1.201099014282226562e+01,3.400700000000000056e+00,4.531889999999999905e-06,1.216629552841186523e+01,4.000199999999999867e-01,7.065740000000000046e-09
1.236827111244201660e+01,3.200600000000000112e+00,3.186940000000000187e-06,1.252415347099304199e+01,4.000250000000000195e-01,5.393359999999999664e-09
1.272871971130371094e+01,3.000449999999999839e+00,2.228019999999999803e-06,1.288512039184570312e+01,4.000230000000000175e-01,6.463529999999999909e-09
1.309062743186950684e+01,2.800320000000000142e+00,1.545639999999999909e-06,1.324779510498046875e+01,4.000179999999999847e-01,8.717910000000000142e-09
1.344807672500610352e+01,2.600239999999999885e+00,1.093089999999999897e-06,1.360521125793457031e+01,4.000250000000000195e-01,7.043930000000000097e-09
1.380762219429016113e+01,2.400180000000000202e+00,8.204660000000000360e-07,1.396391701698303223e+01,4.000230000000000175e-01,5.412390000000000166e-09
1.416770458221435547e+01,2.200110000000000010e+00,5.930339999999999620e-07,1.432234048843383789e+01,4.000190000000000135e-01,4.414279999999999774e-09
1.452626562118530273e+01,1.999980000000000091e+00,4.302079999999999835e-07,1.468317341804504395e+01,4.000250000000000195e-01,4.610589999999999895e-09
1.488450741767883301e+01,1.800019999999999953e+00,3.046619999999999788e-07,1.503952670097351074e+01,4.000349999999999739e-01,3.378489999999999983e-09
1.524219894409179688e+01,1.600039999999999907e+00,2.251639999999999905e-07,1.541324424743652344e+01,4.000420000000000087e-01,9.100339999999999616e-09
1.561714029312133789e+01,1.400099999999999900e+00,1.941689999999999965e-07,1.577413392066955566e+01,4.000500000000000167e-01,8.659589999999999458e-09
1.597507238388061523e+01,1.200090000000000101e+00,8.300869999999999605e-08,1.611717343330383301e+01,4.000369999999999759e-01,6.971190000000000201e-09
1.625697398185729980e+01,1.000080000000000080e+00,5.445019999999999877e-08,1.639667439460754395e+01,4.000369999999999759e-01,7.028629999999999953e-09
1.653757333755493164e+01,8.000840000000000174e-01,3.418410000000000234e-08,1.668062543869018555e+01,4.000369999999999759e-01,1.124889999999999990e-08
1.682001566886901855e+01,6.000649999999999595e-01,2.195720000000000024e-08,1.696193599700927734e+01,4.000429999999999819e-01,1.244149999999999927e-08
1.710460901260375977e+01,4.000429999999999819e-01,1.257210000000000046e-08,1.724707388877868652e+01,4.000480000000000147e-01,1.029059999999999919e-08
1.738554859161376953e+01,1.999839999999999951e-01,5.142940000000000027e-09,1.752780628204345703e+01,4.000500000000000167e-01,1.012150000000000067e-08
