# Tue Nov  7 17:11:18 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-4.2, Tmax=0, Twrite=0, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=50, ratioRth=0.2, Rth=10005580.35509123, Nth=50
2.563133239746093750e-01,3.999460000000000237e-01,6.727360000000000228e-08
5.383684635162353516e-01,3.999429999999999930e-01,6.186330000000000577e-08
8.192074298858642578e-01,3.999369999999999870e-01,6.073810000000000308e-08
1.117196798324584961e+00,3.999249999999999750e-01,9.033610000000000117e-08
1.418982982635498047e+00,3.999369999999999870e-01,7.673339999999999809e-08
1.702769517898559570e+00,3.999349999999999850e-01,9.864270000000000224e-08
2.001473665237426758e+00,3.999329999999999830e-01,8.932929999999999509e-08
2.299971342086791992e+00,3.999449999999999950e-01,1.222610000000000120e-07
2.584546566009521484e+00,3.999249999999999750e-01,8.818829999999999831e-08
2.872381925582885742e+00,3.999420000000000197e-01,1.220030000000000106e-07
3.096254825592041016e+00,3.999380000000000157e-01,1.036840000000000038e-07
3.320127725601196289e+00,3.999369999999999870e-01,1.214140000000000045e-07
3.540432214736938477e+00,3.999380000000000157e-01,1.350520000000000105e-07
3.760852575302124023e+00,3.999389999999999890e-01,1.223700000000000032e-07
3.979125261306762695e+00,3.999340000000000117e-01,1.137049999999999981e-07
4.200998544692993164e+00,3.999409999999999910e-01,1.452040000000000077e-07
4.424692153930664062e+00,3.999380000000000157e-01,1.527329999999999953e-07
4.648555040359497070e+00,3.999400000000000177e-01,1.634060000000000009e-07
4.867427349090576172e+00,3.999409999999999910e-01,1.530430000000000027e-07
5.087973356246948242e+00,3.999349999999999850e-01,1.452250000000000050e-07
5.305419921875000000e+00,3.999400000000000177e-01,1.317659999999999902e-07
5.526086807250976562e+00,3.999360000000000137e-01,1.344370000000000014e-07
5.759718656539916992e+00,3.999380000000000157e-01,1.202339999999999899e-07
5.993252038955688477e+00,3.999400000000000177e-01,1.158010000000000057e-07
6.213719367980957031e+00,3.999400000000000177e-01,1.475059999999999975e-07
6.435290813446044922e+00,3.999389999999999890e-01,1.101830000000000014e-07
6.653097867965698242e+00,3.999400000000000177e-01,1.086780000000000021e-07
6.871117830276489258e+00,3.999360000000000137e-01,1.076089999999999943e-07
7.089989423751831055e+00,3.999369999999999870e-01,1.248040000000000103e-07
7.319977283477783203e+00,3.999400000000000177e-01,1.346919999999999993e-07
7.554137945175170898e+00,3.999360000000000137e-01,1.665390000000000065e-07
7.775179147720336914e+00,3.999420000000000197e-01,1.393620000000000008e-07
7.994888067245483398e+00,3.999469999999999970e-01,1.024240000000000045e-07
8.212250709533691406e+00,3.999460000000000237e-01,1.198030000000000041e-07
8.445151329040527344e+00,3.999420000000000197e-01,1.666159999999999879e-07
8.662250041961669922e+00,3.999380000000000157e-01,1.469009999999999997e-07
8.883146524429321289e+00,3.999340000000000117e-01,1.407450000000000073e-07
9.103230476379394531e+00,3.999360000000000137e-01,1.596149999999999903e-07
9.320160388946533203e+00,3.999400000000000177e-01,1.495020000000000109e-07
9.538314104080200195e+00,3.999320000000000097e-01,1.395960000000000014e-07
9.755681991577148438e+00,3.999360000000000137e-01,1.337309999999999949e-07
9.976124763488769531e+00,3.999369999999999870e-01,1.288870000000000079e-07
1.019554805755615234e+01,3.999289999999999790e-01,1.121310000000000000e-07
1.041412878036499023e+01,3.999329999999999830e-01,1.318109999999999883e-07
1.063050746917724609e+01,3.999329999999999830e-01,1.312920000000000086e-07
1.084753346443176270e+01,3.999369999999999870e-01,1.329409999999999991e-07
1.106503391265869141e+01,3.999360000000000137e-01,1.336520000000000112e-07
1.128100490570068359e+01,3.999340000000000117e-01,1.611260000000000096e-07
1.150004625320434570e+01,3.999340000000000117e-01,1.404049999999999923e-07
1.171958732604980469e+01,3.999349999999999850e-01,1.771519999999999971e-07
1.187796401977539062e+01,3.999360000000000137e-01,1.393150000000000004e-07
