# Tue Nov  7 17:39:10 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=-4, Tmax=0, Twrite=0, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=56, ratioRth=0.2, Rth=8155853.932413563, Nth=50
2.647187709808349609e-01,4.000330000000000275e-01,1.078749999999999982e-08
5.476155281066894531e-01,4.000279999999999947e-01,1.175070000000000079e-08
8.313283920288085938e-01,4.000239999999999907e-01,1.228790000000000014e-08
1.109444141387939453e+00,4.000219999999999887e-01,8.698340000000000384e-09
1.388227462768554688e+00,4.000299999999999967e-01,9.242079999999999998e-09
1.669553995132446289e+00,4.000239999999999907e-01,1.925009999999999911e-08
1.952718973159790039e+00,4.000270000000000215e-01,9.572110000000000604e-08
2.233376264572143555e+00,4.000360000000000027e-01,1.391530000000000020e-07
2.451020717620849609e+00,4.000429999999999819e-01,1.606140000000000114e-07
2.667925119400024414e+00,4.000429999999999819e-01,1.270230000000000119e-07
2.886291980743408203e+00,4.000389999999999779e-01,1.091259999999999939e-07
3.105875253677368164e+00,4.000400000000000067e-01,1.128550000000000004e-07
3.324284315109252930e+00,4.000389999999999779e-01,1.149340000000000020e-07
3.542474746704101562e+00,4.000429999999999819e-01,1.419620000000000108e-07
3.761414051055908203e+00,4.000409999999999799e-01,1.649119999999999880e-07
3.981997489929199219e+00,4.000429999999999819e-01,1.619350000000000005e-07
4.200657606124877930e+00,4.000409999999999799e-01,1.516629999999999996e-07
4.435603857040405273e+00,4.000389999999999779e-01,1.876240000000000130e-07
4.655519008636474609e+00,4.000389999999999779e-01,1.721069999999999939e-07
4.875590801239013672e+00,4.000429999999999819e-01,1.819200000000000038e-07
5.096226215362548828e+00,4.000420000000000087e-01,1.768290000000000014e-07
5.329236745834350586e+00,4.000380000000000047e-01,1.903290000000000098e-07
5.547307968139648438e+00,4.000420000000000087e-01,1.412110000000000063e-07
5.767570257186889648e+00,4.000369999999999759e-01,1.822559999999999877e-07
5.988392591476440430e+00,4.000440000000000107e-01,1.995700000000000063e-07
6.206984519958496094e+00,4.000409999999999799e-01,1.706329999999999901e-07
6.427560329437255859e+00,4.000400000000000067e-01,1.980980000000000048e-07
6.647616624832153320e+00,4.000429999999999819e-01,2.243400000000000091e-07
6.868729114532470703e+00,4.000440000000000107e-01,2.171290000000000115e-07
7.090068817138671875e+00,4.000460000000000127e-01,1.928240000000000066e-07
7.323302745819091797e+00,4.000440000000000107e-01,1.865200000000000052e-07
7.557202816009521484e+00,4.000429999999999819e-01,2.114540000000000087e-07
7.777630090713500977e+00,4.000440000000000107e-01,1.725979999999999948e-07
7.997271776199340820e+00,4.000400000000000067e-01,2.097250000000000069e-07
8.217564821243286133e+00,4.000420000000000087e-01,2.016980000000000105e-07
8.438065290451049805e+00,4.000389999999999779e-01,1.671270000000000115e-07
8.655687808990478516e+00,4.000409999999999799e-01,1.980520000000000055e-07
8.875192642211914062e+00,4.000369999999999759e-01,2.140559999999999945e-07
9.096536874771118164e+00,4.000360000000000027e-01,1.923580000000000076e-07
9.315427064895629883e+00,4.000380000000000047e-01,2.256860000000000001e-07
9.535813570022583008e+00,4.000400000000000067e-01,1.977359999999999913e-07
9.758774042129516602e+00,4.000340000000000007e-01,2.052380000000000012e-07
9.980231285095214844e+00,4.000369999999999759e-01,2.011300000000000017e-07
1.020182490348815918e+01,4.000389999999999779e-01,1.699950000000000078e-07
1.042411136627197266e+01,4.000349999999999739e-01,2.120989999999999989e-07
1.064439415931701660e+01,4.000380000000000047e-01,1.902050000000000015e-07
1.086090874671936035e+01,4.000360000000000027e-01,1.824059999999999990e-07
1.108178257942199707e+01,4.000349999999999739e-01,2.022439999999999944e-07
1.129901766777038574e+01,4.000380000000000047e-01,2.173630000000000122e-07
1.151623082160949707e+01,4.000349999999999739e-01,2.506550000000000167e-07
1.173559308052062988e+01,4.000360000000000027e-01,2.497769999999999741e-07
1.195442938804626465e+01,4.000380000000000047e-01,2.426809999999999746e-07
1.217303085327148438e+01,4.000349999999999739e-01,2.241090000000000118e-07
1.239488554000854492e+01,4.000420000000000087e-01,2.100809999999999871e-07
1.261442995071411133e+01,4.000369999999999759e-01,2.351599999999999961e-07
1.283352756500244141e+01,4.000349999999999739e-01,2.188909999999999978e-07
1.298983359336853027e+01,4.000299999999999967e-01,1.949710000000000059e-07
