# Fri Dec  1 16:28:07 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=0, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.904531478881835938e-02,-2.660749999999999894e-05,-1.318540000000000081e-09,2.279486656188964844e-01,4.000330000000000275e-01,3.368559999999999956e-08
3.689908981323242188e-01,1.999730000000000119e-01,1.463629999999999918e-08,5.090641975402832031e-01,4.000299999999999967e-01,3.271700000000000107e-08
6.629741191864013672e-01,4.000179999999999847e-01,2.984119999999999989e-08,8.193924427032470703e-01,4.000230000000000175e-01,2.580389999999999854e-08
9.616451263427734375e-01,6.000429999999999930e-01,5.681450000000000228e-08,1.103704452514648438e+00,4.000219999999999887e-01,3.130380000000000268e-08
1.243690490722656250e+00,8.000779999999999559e-01,1.096989999999999952e-07,1.398958444595336914e+00,4.000380000000000047e-01,2.376590000000000041e-08
1.601476430892944336e+00,1.000099999999999989e+00,2.082669999999999948e-07,1.756585597991943359e+00,4.000420000000000087e-01,2.621649999999999855e-08
1.959882020950317383e+00,1.200090000000000101e+00,2.649700000000000228e-07,2.114742517471313477e+00,4.000420000000000087e-01,2.793750000000000118e-08
2.317457199096679688e+00,1.400069999999999926e+00,3.820540000000000143e-07,2.472289562225341797e+00,4.000380000000000047e-01,3.019939999999999975e-08
2.673596143722534180e+00,1.600030000000000063e+00,5.448269999999999592e-07,2.830749273300170898e+00,4.000299999999999967e-01,3.093470000000000237e-08
3.032693386077880859e+00,1.800019999999999953e+00,7.483440000000000471e-07,3.188041925430297852e+00,4.000310000000000255e-01,3.103609999999999956e-08
3.393023729324340820e+00,1.999970000000000026e+00,9.776580000000000846e-07,3.563286066055297852e+00,4.000190000000000135e-01,2.676310000000000160e-08
3.766346693038940430e+00,2.200050000000000061e+00,1.353589999999999986e-06,3.937002897262573242e+00,4.000259999999999927e-01,2.394410000000000131e-08
4.142597436904907227e+00,2.400079999999999991e+00,1.898680000000000005e-06,4.313625812530517578e+00,4.000279999999999947e-01,2.686639999999999896e-08
4.514856576919555664e+00,2.600130000000000052e+00,2.637259999999999886e-06,4.685862541198730469e+00,4.000230000000000175e-01,3.241120000000000239e-08
4.889744997024536133e+00,2.800289999999999946e+00,3.618149999999999824e-06,5.063690185546875000e+00,4.000159999999999827e-01,3.076350000000000280e-08
5.268682956695556641e+00,3.000379999999999825e+00,5.002849999999999882e-06,5.440541267395019531e+00,4.000199999999999867e-01,2.732979999999999965e-08
5.642719030380249023e+00,3.200549999999999784e+00,6.954169999999999861e-06,5.815529108047485352e+00,4.000279999999999947e-01,2.471390000000000003e-08
6.018848419189453125e+00,3.400640000000000107e+00,9.659590000000000803e-06,6.187823057174682617e+00,4.000349999999999739e-01,3.213759999999999788e-08
