# Fri Dec  1 16:41:19 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  I=-1e-08, Tmax=0, Twrite=0.05, Tread=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5, Nfire=1501, ratioRth=0.6, Rth=7523983.250882385, Nth=50
2.731654644012451172e-01,4.000330000000000275e-01,2.893049999999999889e-08
5.060276985168457031e-01,4.000279999999999947e-01,3.534549999999999711e-08
7.254900932312011719e-01,4.000270000000000215e-01,3.555460000000000128e-08
9.430270195007324219e-01,4.000279999999999947e-01,3.425030000000000197e-08
1.160965919494628906e+00,4.000270000000000215e-01,3.200949999999999953e-08
1.378858804702758789e+00,4.000219999999999887e-01,2.962629999999999974e-08
1.598943233489990234e+00,4.000239999999999907e-01,3.022239999999999936e-08
1.829152107238769531e+00,4.000400000000000067e-01,3.140930000000000320e-08
2.048838853836059570e+00,4.000389999999999779e-01,3.156310000000000157e-08
2.266229867935180664e+00,4.000420000000000087e-01,3.384350000000000126e-08
2.483582735061645508e+00,4.000340000000000007e-01,3.530589999999999985e-08
2.702097415924072266e+00,4.000290000000000235e-01,3.526590000000000082e-08
2.920427799224853516e+00,4.000310000000000255e-01,3.426190000000000056e-08
3.138988494873046875e+00,4.000210000000000155e-01,3.307010000000000309e-08
3.357284545898437500e+00,4.000250000000000195e-01,3.154029999999999954e-08
3.577551603317260742e+00,4.000230000000000175e-01,3.204619999999999879e-08
3.794790267944335938e+00,4.000299999999999967e-01,2.907450000000000005e-08
4.012039422988891602e+00,4.000299999999999967e-01,2.701220000000000149e-08
4.231197118759155273e+00,4.000259999999999927e-01,2.683670000000000102e-08
4.449236154556274414e+00,4.000279999999999947e-01,2.674210000000000095e-08
4.668092727661132812e+00,4.000349999999999739e-01,2.729019999999999909e-08
4.886141300201416016e+00,4.000340000000000007e-01,2.902869999999999841e-08
5.121221065521240234e+00,4.000389999999999779e-01,3.445810000000000201e-08
5.338913202285766602e+00,4.000310000000000255e-01,3.482890000000000160e-08
5.557103157043457031e+00,4.000190000000000135e-01,3.452569999999999793e-08
5.773998498916625977e+00,4.000159999999999827e-01,3.162899999999999821e-08
