# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=7, Vneg=7, stepPos=0.09333333333333334, stepNeg=0.09333333333333334, rev=0, hslV=0.3, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,3.001280000000000059e-01,2.126979999999999843e-02
2.505490000000000217e-01,9.333619999999999417e-02,6.619520000000000265e-03
5.005490000000000217e-01,3.002170000000000116e-01,2.126259999999999956e-02
7.500000000000000000e-01,1.866770000000000096e-01,1.322839999999999953e-02
1.000000000000000000e+00,3.002409999999999801e-01,2.126760000000000109e-02
1.250000000000000000e+00,2.801620000000000221e-01,1.985009999999999900e-02
1.500000000000000000e+00,3.003709999999999991e-01,2.128230000000000052e-02
1.750000000000000000e+00,3.736070000000000224e-01,2.647750000000000103e-02
2.000000000000000000e+00,3.001929999999999876e-01,2.127659999999999968e-02
2.250000000000000000e+00,4.669619999999999882e-01,3.308989999999999848e-02
2.500000000000000000e+00,3.003060000000000174e-01,2.127369999999999955e-02
2.750000000000000000e+00,5.602690000000000170e-01,3.972090000000000343e-02
3.000000000000000000e+00,3.002819999999999934e-01,2.129090000000000149e-02
3.250000000000000000e+00,6.536250000000000115e-01,4.641080000000000205e-02
3.500000000000000000e+00,3.000309999999999921e-01,2.131610000000000102e-02
3.750000000000000000e+00,7.470050000000000301e-01,5.325280000000000291e-02
4.000000000000000000e+00,3.002170000000000116e-01,2.141919999999999935e-02
4.250000000000000000e+00,8.402629999999999821e-01,6.029260000000000175e-02
4.500000000000000000e+00,3.001280000000000059e-01,2.152880000000000071e-02
4.750000000000000000e+00,9.337480000000000224e-01,6.749299999999999744e-02
5.000000000000000000e+00,3.001599999999999824e-01,2.170230000000000076e-02
5.250000000000000000e+00,1.027199999999999891e+00,7.490969999999999573e-02
5.500000000000000000e+00,3.001929999999999876e-01,2.189730000000000149e-02
5.750000000000000000e+00,1.120440000000000103e+00,8.225129999999999941e-02
6.000000000000000000e+00,3.001929999999999876e-01,2.204570000000000141e-02
6.250000000000000000e+00,1.213850000000000096e+00,8.959540000000000559e-02
6.500000000000000000e+00,3.003219999999999779e-01,2.217569999999999958e-02
6.750000000000000000e+00,1.307109999999999994e+00,9.685789999999999678e-02
7.000000000000000000e+00,3.001770000000000271e-01,2.224510000000000029e-02
7.250530000000000364e+00,1.348070000000000102e+00,9.959199999999999997e-02
7.501120000000000232e+00,3.002170000000000116e-01,2.226840000000000069e-02
7.750519999999999854e+00,1.347750000000000004e+00,9.960639999999999772e-02
8.001120000000000232e+00,3.002580000000000249e-01,2.224720000000000170e-02
8.250519999999999854e+00,1.348759999999999959e+00,9.957280000000000297e-02
8.501120000000000232e+00,3.002580000000000249e-01,2.225299999999999848e-02
8.750519999999999854e+00,1.350430000000000019e+00,9.959690000000000210e-02
9.001129999999999853e+00,3.002659999999999774e-01,2.221199999999999911e-02
9.250519999999999854e+00,1.351580000000000004e+00,9.957749999999999935e-02
9.501120000000000232e+00,3.001770000000000271e-01,2.219549999999999995e-02
9.750519999999999854e+00,1.351960000000000051e+00,9.957280000000000297e-02
1.000109999999999921e+01,3.001770000000000271e-01,2.218470000000000164e-02
1.025050000000000061e+01,1.351269999999999971e+00,9.958240000000000147e-02
1.050109999999999921e+01,3.002980000000000094e-01,2.218689999999999898e-02
1.075050000000000061e+01,1.355480000000000018e+00,9.960159999999999847e-02
1.100109999999999921e+01,3.001849999999999796e-01,2.214910000000000143e-02
1.125050000000000061e+01,1.355620000000000047e+00,9.959199999999999997e-02
1.150109999999999921e+01,3.001770000000000271e-01,2.214270000000000127e-02
1.175050000000000061e+01,1.358279999999999932e+00,9.959199999999999997e-02
1.200109999999999921e+01,3.003140000000000254e-01,2.210960000000000009e-02
1.225050000000000061e+01,1.359220000000000095e+00,9.961609999999999909e-02
1.250109999999999921e+01,3.002170000000000116e-01,2.209629999999999928e-02
1.275050000000000061e+01,1.360880000000000090e+00,9.961129999999999984e-02
1.300109999999999921e+01,3.002250000000000196e-01,2.207620000000000068e-02
1.325050000000000061e+01,1.360370000000000079e+00,9.956310000000000160e-02
1.350109999999999921e+01,3.002659999999999774e-01,2.206620000000000109e-02
1.375050000000000061e+01,1.359220000000000095e+00,9.955360000000000598e-02
1.400109999999999921e+01,3.001119999999999899e-01,2.207049999999999984e-02
1.425050000000000061e+01,1.361450000000000049e+00,9.952469999999999373e-02
1.450109999999999921e+01,3.000789999999999846e-01,2.206620000000000109e-02
1.475050000000000061e+01,1.361450000000000049e+00,9.954390000000000460e-02
1.500109999999999921e+01,3.001690000000000191e-01,2.202410000000000131e-02
1.525099999999999945e+01,1.361269999999999980e+00,9.961209999999999509e-02
1.550109999999999921e+01,3.001759999999999984e-01,2.202569999999999875e-02
1.575050000000000061e+01,1.362789999999999946e+00,9.963139999999999497e-02
1.600110000000000099e+01,3.001599999999999824e-01,2.201809999999999878e-02
1.625049999999999883e+01,1.363429999999999920e+00,9.962650000000000672e-02
1.650110000000000099e+01,3.001280000000000059e-01,2.201349999999999835e-02
1.675049999999999883e+01,1.363790000000000058e+00,9.964589999999999559e-02
1.700110000000000099e+01,3.000140000000000029e-01,2.200380000000000044e-02
1.725049999999999883e+01,1.363650000000000029e+00,9.965060000000000584e-02
1.750110000000000099e+01,2.999899999999999789e-01,2.198939999999999922e-02
1.775049999999999883e+01,1.364149999999999974e+00,9.964589999999999559e-02
1.800110000000000099e+01,2.999660000000000104e-01,2.198150000000000104e-02
1.825049999999999883e+01,1.362500000000000044e+00,9.964099999999999346e-02
1.850110000000000099e+01,3.000950000000000006e-01,2.198690000000000019e-02
1.875049999999999883e+01,1.362789999999999946e+00,9.966980000000000284e-02
1.900110000000000099e+01,3.000789999999999846e-01,2.198510000000000048e-02
1.925049999999999883e+01,1.365520000000000067e+00,9.965060000000000584e-02
1.950110000000000099e+01,3.000470000000000081e-01,2.197400000000000048e-02
1.975049999999999883e+01,1.364509999999999890e+00,9.964099999999999346e-02
2.000110000000000099e+01,2.999660000000000104e-01,2.195710000000000023e-02
2.025049999999999883e+01,1.365089999999999915e+00,9.970829999999999971e-02
2.050110000000000099e+01,2.999740000000000184e-01,2.194339999999999832e-02
2.075049999999999883e+01,1.366030000000000078e+00,9.967950000000000421e-02
2.100110000000000099e+01,2.999089999999999812e-01,2.193619999999999945e-02
2.125049999999999883e+01,1.366749999999999909e+00,9.958820000000000172e-02
2.150110000000000099e+01,3.000550000000000161e-01,2.192619999999999986e-02
2.175049999999999883e+01,1.366819999999999924e+00,9.968420000000000059e-02
2.200110000000000099e+01,2.999660000000000104e-01,2.193979999999999889e-02
2.225049999999999883e+01,1.366030000000000078e+00,9.965060000000000584e-02
2.250110000000000099e+01,3.000300000000000189e-01,2.193729999999999986e-02
2.275049999999999883e+01,1.366530000000000022e+00,9.969390000000000196e-02
2.300110000000000099e+01,2.999089999999999812e-01,2.192370000000000083e-02
2.325049999999999883e+01,1.367760000000000087e+00,9.969390000000000196e-02
2.350110000000000099e+01,2.999820000000000264e-01,2.191469999999999876e-02
2.375049999999999883e+01,1.367250000000000076e+00,9.964099999999999346e-02
2.400110000000000099e+01,2.999899999999999789e-01,2.190359999999999877e-02
2.425049999999999883e+01,1.368039999999999923e+00,9.971309999999999896e-02
2.450110000000000099e+01,3.000470000000000081e-01,2.189129999999999895e-02
2.475049999999999883e+01,1.369560000000000111e+00,9.966029999999999334e-02
2.500110000000000099e+01,3.001599999999999824e-01,2.187549999999999911e-02
2.525049999999999883e+01,1.369629999999999903e+00,9.966500000000000359e-02
2.550110000000000099e+01,2.999330000000000052e-01,2.187479999999999980e-02
2.575049999999999883e+01,1.370349999999999957e+00,9.966500000000000359e-02
2.600110000000000099e+01,3.001199999999999979e-01,2.186549999999999952e-02
2.625049999999999883e+01,1.371790000000000065e+00,9.965540000000000509e-02
2.650110000000000099e+01,2.999490000000000212e-01,2.184140000000000040e-02
2.675049999999999883e+01,1.372649999999999926e+00,9.966500000000000359e-02
2.700110000000000099e+01,2.999660000000000104e-01,2.183819999999999859e-02
2.725049999999999883e+01,1.372730000000000006e+00,9.962179999999999647e-02
2.750110000000000099e+01,3.000220000000000109e-01,2.182059999999999902e-02
2.775049999999999883e+01,1.372730000000000006e+00,9.969390000000000196e-02
2.800110000000000099e+01,2.999979999999999869e-01,2.180259999999999837e-02
2.825049999999999883e+01,1.372219999999999995e+00,9.966500000000000359e-02
2.850110000000000099e+01,3.000550000000000161e-01,2.181989999999999971e-02
2.875049999999999883e+01,1.375099999999999989e+00,9.966500000000000359e-02
2.900110000000000099e+01,3.000869999999999926e-01,2.179970000000000172e-02
2.925049999999999883e+01,1.375180000000000069e+00,9.963139999999999497e-02
2.950110000000000099e+01,2.998759999999999759e-01,2.179259999999999878e-02
2.975049999999999883e+01,1.375389999999999890e+00,9.967950000000000421e-02
3.000110000000000099e+01,3.000630000000000241e-01,2.179290000000000047e-02
3.025049999999999883e+01,1.377050000000000107e+00,9.966980000000000284e-02
3.050110000000000099e+01,2.999089999999999812e-01,2.177350000000000119e-02
3.075049999999999883e+01,1.375830000000000108e+00,9.965060000000000584e-02
3.100110000000000099e+01,3.000630000000000241e-01,2.177750000000000172e-02
3.125100000000000122e+01,1.375899999999999901e+00,9.965519999999999934e-02
3.150110000000000099e+01,3.000090000000000257e-01,2.175979999999999928e-02
3.175049999999999883e+01,1.376700000000000035e+00,9.971280000000000421e-02
3.200110000000000099e+01,2.999040000000000039e-01,2.175229999999999872e-02
3.225050000000000239e+01,1.377420000000000089e+00,9.966469999999999496e-02
3.250110000000000099e+01,3.000659999999999994e-01,2.175150000000000000e-02
3.275050000000000239e+01,1.378060000000000063e+00,9.968879999999999408e-02
3.300110000000000099e+01,2.998879999999999879e-01,2.173749999999999988e-02
3.325050000000000239e+01,1.378349999999999964e+00,9.967910000000000659e-02
3.350110000000000099e+01,2.999609999999999776e-01,2.171599999999999919e-02
3.375050000000000239e+01,1.379070000000000018e+00,9.970800000000000496e-02
3.400110000000000099e+01,3.001150000000000206e-01,2.170230000000000076e-02
3.425050000000000239e+01,1.379070000000000018e+00,9.967429999999999346e-02
3.450110000000000099e+01,2.999279999999999724e-01,2.169909999999999894e-02
3.475050000000000239e+01,1.379650000000000043e+00,9.969350000000000434e-02
3.500110000000000099e+01,2.999120000000000119e-01,2.168580000000000160e-02
3.525050000000000239e+01,1.380300000000000082e+00,9.970800000000000496e-02
3.550110000000000099e+01,3.000249999999999861e-01,2.167289999999999842e-02
3.575050000000000239e+01,1.379650000000000043e+00,9.967429999999999346e-02
3.600110000000000099e+01,2.999689999999999857e-01,2.168039999999999898e-02
3.625050000000000239e+01,1.380880000000000107e+00,9.968399999999999483e-02
3.650110000000000099e+01,3.000499999999999834e-01,2.167289999999999842e-02
3.675050000000000239e+01,1.380589999999999984e+00,9.971280000000000421e-02
3.700110000000000099e+01,3.000010000000000177e-01,2.167219999999999910e-02
3.725050000000000239e+01,1.382959999999999967e+00,9.969840000000000646e-02
3.750110000000000099e+01,2.999689999999999857e-01,2.165560000000000054e-02
3.775050000000000239e+01,1.381159999999999943e+00,9.968879999999999408e-02
3.800110000000000099e+01,3.000740000000000074e-01,2.166459999999999914e-02
3.825050000000000239e+01,1.383469999999999978e+00,9.970320000000000571e-02
3.850110000000000099e+01,2.998469999999999747e-01,2.166600000000000123e-02
3.875050000000000239e+01,1.382679999999999909e+00,9.966959999999999709e-02
3.900110000000000099e+01,2.998959999999999959e-01,2.163589999999999958e-02
