# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0.3, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,2.999850000000000017e-01,1.257819999999999927e-05
2.495149999999999868e-01,9.993920000000000581e-02,3.944979999999999794e-06
4.992940000000000156e-01,2.997830000000000217e-01,1.252090000000000069e-05
7.494990000000000263e-01,1.999100000000000044e-01,7.884520000000000195e-06
9.992950000000000443e-01,3.000419999999999754e-01,1.251390000000000058e-05
1.248769999999999936e+00,3.001960000000000184e-01,1.250109999999999962e-05
1.498769999999999936e+00,3.000579999999999914e-01,1.249019999999999944e-05
1.748769999999999936e+00,4.003099999999999992e-01,1.668729999999999861e-05
1.998769999999999936e+00,3.001880000000000104e-01,1.248559999999999952e-05
2.248769999999999936e+00,5.003600000000000270e-01,2.086810000000000100e-05
2.498769999999999936e+00,3.002119999999999789e-01,1.249719999999999954e-05
2.748769999999999936e+00,6.004019999999999913e-01,2.505710000000000104e-05
2.998769999999999936e+00,2.999930000000000097e-01,1.250819999999999994e-05
3.248769999999999936e+00,7.003460000000000241e-01,2.924969999999999881e-05
3.498769999999999936e+00,2.999530000000000252e-01,1.248660000000000002e-05
3.748769999999999936e+00,8.003069999999999906e-01,3.347089999999999831e-05
3.998769999999999936e+00,3.002119999999999789e-01,1.249230000000000066e-05
4.248770000000000380e+00,9.003320000000000212e-01,3.766840000000000005e-05
4.498770000000000380e+00,2.999930000000000097e-01,1.249649999999999970e-05
4.748770000000000380e+00,1.000369999999999981e+00,4.189310000000000044e-05
4.998770000000000380e+00,3.001229999999999731e-01,1.249300000000000050e-05
5.248770000000000380e+00,1.100130000000000052e+00,4.611150000000000058e-05
5.498770000000000380e+00,3.001229999999999731e-01,1.248840000000000057e-05
5.748770000000000380e+00,1.200380000000000003e+00,5.035099999999999954e-05
5.998770000000000380e+00,3.002119999999999789e-01,1.249300000000000050e-05
6.248770000000000380e+00,1.300329999999999986e+00,5.459279999999999678e-05
6.498770000000000380e+00,3.003500000000000059e-01,1.248910000000000042e-05
6.748770000000000380e+00,1.400539999999999896e+00,5.883979999999999864e-05
6.998770000000000380e+00,3.000740000000000074e-01,1.249230000000000066e-05
7.248770000000000380e+00,1.500310000000000032e+00,6.310239999999999404e-05
7.498770000000000380e+00,3.003179999999999739e-01,1.250429999999999986e-05
7.748770000000000380e+00,1.600230000000000041e+00,6.737729999999999609e-05
7.998770000000000380e+00,2.999769999999999937e-01,1.248939999999999938e-05
8.248770000000000380e+00,1.700479999999999992e+00,7.166040000000000257e-05
8.498770000000000380e+00,3.001309999999999811e-01,1.249579999999999986e-05
8.748770000000000380e+00,1.800370000000000026e+00,7.594670000000000251e-05
